Detector_VERSION,BurstId,Burst_Timestamp_UTC,Burst_Feature_Available_Timestamp_UTC,Burst_Timestamp_NY,Response_Available_Timestamp_UTC,Response_Horizon_Seconds,Side,Burst_Price,Response_Price,Broken_Level,Directional_Displacement_Ticks,Response_MFE_Ticks,Response_MAE_Ticks,Acceptance_Dwell_Ratio,Reclaim_Count,Rejection_Speed_TPS,Directional_Delta,Response_Volume,Effort_Result_Delta,Effort_Result_Volume,Momentum_Survival_Ratio,Rotation_Index,Local_Entropy,Path_Efficiency,Response_POC_Migration_Ticks,AvailableBeforeEntry,Model_Eligibility,born_bad_group,fecha
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220405_093200_BUY_0001,2022-04-05 13:32:00+00:00,2022-04-05 13:32:01+00:00,2022-04-05 09:32:00,2022-04-05 13:32:02+00:00,1,BUY,15135.0,15128.75,15130.0,-5,1,5,0.0,1,5.0,-13,153,-0.384615384615385,-0.032679738562092,0.0,0.0,0.0,-1.0,0,0,POST_BURST_ONLY,A_WINNER,2022-04-05
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220405_093200_BUY_0001,2022-04-05 13:32:00+00:00,2022-04-05 13:32:01+00:00,2022-04-05 09:32:00,2022-04-05 13:32:04+00:00,3,BUY,15135.0,15132.5,15130.0,-2,1,6,0.666666666666667,1,2.0,-34,294,-0.058823529411765,-0.006802721088435,0.666666666666667,0.5,0.91829583405449,-0.25,0,0,POST_BURST_ONLY,A_WINNER,2022-04-05
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220405_093200_BUY_0001,2022-04-05 13:32:00+00:00,2022-04-05 13:32:01+00:00,2022-04-05 09:32:00,2022-04-05 13:32:06+00:00,5,BUY,15135.0,15133.75,15130.0,-1,1,6,0.8,1,1.2,-42,410,-0.023809523809524,-0.002439024390244,0.6,0.333333333333333,0.811278124459133,-0.111111111111111,0,0,POST_BURST_ONLY,A_WINNER,2022-04-05
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220406_093100_BUY_0001,2022-04-06 13:31:00+00:00,2022-04-06 13:31:01+00:00,2022-04-06 09:31:00,2022-04-06 13:31:02+00:00,1,BUY,14643.75,14636.25,14635.0,-6,0,6,1.0,0,6.0,-15,137,-0.4,-0.043795620437956,0.0,0.0,0.0,-1.0,0,0,POST_BURST_ONLY,A_WINNER,2022-04-06
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220406_093100_BUY_0001,2022-04-06 13:31:00+00:00,2022-04-06 13:31:01+00:00,2022-04-06 09:31:00,2022-04-06 13:31:04+00:00,3,BUY,14643.75,14635.0,14635.0,-7,0,7,1.0,0,2.333333333333333,-20,308,-0.35,-0.022727272727273,0.0,0.0,0.0,-1.0,0,0,POST_BURST_ONLY,A_WINNER,2022-04-06
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220406_093100_BUY_0001,2022-04-06 13:31:00+00:00,2022-04-06 13:31:01+00:00,2022-04-06 09:31:00,2022-04-06 13:31:06+00:00,5,BUY,14643.75,14636.25,14635.0,-6,0,7,1.0,0,1.4,-42,430,-0.142857142857143,-0.013953488372093,0.2,0.666666666666667,0.811278124459133,-0.6,0,0,POST_BURST_ONLY,A_WINNER,2022-04-06
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220419_093100_BUY_0001,2022-04-19 13:31:00+00:00,2022-04-19 13:31:01+00:00,2022-04-19 09:31:00,2022-04-19 13:31:02+00:00,1,BUY,13906.25,13907.5,13896.25,1,3,0,1.0,0,0.0,55,139,0.018181818181818,0.007194244604317,1.0,0.0,0.0,1.0,0,0,POST_BURST_ONLY,A_WINNER,2022-04-19
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220419_093100_BUY_0001,2022-04-19 13:31:00+00:00,2022-04-19 13:31:01+00:00,2022-04-19 09:31:00,2022-04-19 13:31:04+00:00,3,BUY,13906.25,13907.5,13896.25,1,3,1,1.0,0,0.333333333333333,45,285,0.022222222222222,0.003508771929825,0.666666666666667,1.0,0.91829583405449,0.333333333333333,0,0,POST_BURST_ONLY,A_WINNER,2022-04-19
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220419_093100_BUY_0001,2022-04-19 13:31:00+00:00,2022-04-19 13:31:01+00:00,2022-04-19 09:31:00,2022-04-19 13:31:06+00:00,5,BUY,13906.25,13902.5,13896.25,-3,3,3,1.0,0,0.6,47,413,-0.063829787234043,-0.00726392251816,0.4,0.75,0.970950594454669,-0.428571428571429,0,0,POST_BURST_ONLY,A_WINNER,2022-04-19
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220426_093143_SELL_0001,2022-04-26 13:31:43+00:00,2022-04-26 13:31:44+00:00,2022-04-26 09:31:43,2022-04-26 13:31:45+00:00,1,SELL,13405.0,13406.25,13413.75,-1,0,1,1.0,0,1.0,-10,54,-0.1,-0.018518518518519,0.0,0.0,0.0,-1.0,0,0,POST_BURST_ONLY,C_LOSER_MFE_3_TO_30,2022-04-26
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220426_093143_SELL_0001,2022-04-26 13:31:43+00:00,2022-04-26 13:31:44+00:00,2022-04-26 09:31:43,2022-04-26 13:31:47+00:00,3,SELL,13405.0,13408.75,13413.75,-3,3,4,1.0,0,1.333333333333333,47,299,-0.063829787234043,-0.010033444816054,0.333333333333333,1.0,0.91829583405449,-0.428571428571429,0,0,POST_BURST_ONLY,C_LOSER_MFE_3_TO_30,2022-04-26
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220426_093143_SELL_0001,2022-04-26 13:31:43+00:00,2022-04-26 13:31:44+00:00,2022-04-26 09:31:43,2022-04-26 13:31:49+00:00,5,SELL,13405.0,13408.75,13413.75,-3,3,4,1.0,0,0.8,44,378,-0.068181818181818,-0.007936507936508,0.4,0.75,0.970950594454669,-0.333333333333333,0,0,POST_BURST_ONLY,C_LOSER_MFE_3_TO_30,2022-04-26
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220427_093500_BUY_0001,2022-04-27 13:35:00+00:00,2022-04-27 13:35:01+00:00,2022-04-27 09:35:00,2022-04-27 13:35:02+00:00,1,BUY,13120.0,13106.25,13070.0,-11,1,12,1.0,0,12.0,-24,212,-0.458333333333333,-0.05188679245283,0.0,0.0,0.0,-1.0,0,0,POST_BURST_ONLY,A_WINNER,2022-04-27
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220427_093500_BUY_0001,2022-04-27 13:35:00+00:00,2022-04-27 13:35:01+00:00,2022-04-27 09:35:00,2022-04-27 13:35:04+00:00,3,BUY,13120.0,13111.25,13070.0,-7,1,14,1.0,0,4.666666666666667,-6,348,-1.166666666666667,-0.020114942528736,0.333333333333333,1.0,1.0,-0.466666666666667,0,0,POST_BURST_ONLY,A_WINNER,2022-04-27
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220504_093301_SELL_0001,2022-05-04 13:33:01+00:00,2022-05-04 13:33:02+00:00,2022-05-04 09:33:01,2022-05-04 13:33:03+00:00,1,SELL,13075.0,13072.5,13083.75,2,3,0,1.0,0,0.0,11,107,0.181818181818182,0.018691588785047,1.0,0.0,0.0,1.0,0,0,POST_BURST_ONLY,A_WINNER,2022-05-04
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220504_093301_SELL_0001,2022-05-04 13:33:01+00:00,2022-05-04 13:33:02+00:00,2022-05-04 09:33:01,2022-05-04 13:33:05+00:00,3,SELL,13075.0,13077.5,13083.75,-2,3,4,1.0,0,1.333333333333333,-26,268,-0.076923076923077,-0.007462686567164,0.333333333333333,0.5,0.91829583405449,-0.333333333333333,0,0,POST_BURST_ONLY,A_WINNER,2022-05-04
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220504_093301_SELL_0001,2022-05-04 13:33:01+00:00,2022-05-04 13:33:02+00:00,2022-05-04 09:33:01,2022-05-04 13:33:07+00:00,5,SELL,13075.0,13077.5,13083.75,-2,3,4,1.0,0,0.8,-50,352,-0.04,-0.005681818181818,0.4,0.75,0.970950594454669,-0.2,0,0,POST_BURST_ONLY,A_WINNER,2022-05-04
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220509_093112_BUY_0001,2022-05-09 13:31:12+00:00,2022-05-09 13:31:13+00:00,2022-05-09 09:31:12,2022-05-09 13:31:14+00:00,1,BUY,12492.5,12492.5,12481.25,0,2,1,1.0,0,1.0,12,66,0.0,0.0,0.0,0.0,0.0,0.0,0,0,POST_BURST_ONLY,A_WINNER,2022-05-09
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220509_093112_BUY_0001,2022-05-09 13:31:12+00:00,2022-05-09 13:31:13+00:00,2022-05-09 09:31:12,2022-05-09 13:31:16+00:00,3,BUY,12492.5,12495.0,12481.25,2,3,1,1.0,0,0.333333333333333,18,172,0.111111111111111,0.011627906976744,0.666666666666667,0.0,0.0,1.0,0,0,POST_BURST_ONLY,A_WINNER,2022-05-09
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220509_093112_BUY_0001,2022-05-09 13:31:12+00:00,2022-05-09 13:31:13+00:00,2022-05-09 09:31:12,2022-05-09 13:31:18+00:00,5,BUY,12492.5,12496.25,12481.25,3,3,1,1.0,0,0.2,6,246,0.5,0.01219512195122,0.6,0.666666666666667,0.811278124459133,0.6,0,0,POST_BURST_ONLY,A_WINNER,2022-05-09
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220518_093457_BUY_0001,2022-05-18 13:34:57+00:00,2022-05-18 13:34:58+00:00,2022-05-18 09:34:57,2022-05-18 13:34:59+00:00,1,BUY,12378.75,12378.75,12372.5,0,1,1,1.0,0,1.0,-2,28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,POST_BURST_ONLY,A_WINNER,2022-05-18
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220518_093457_BUY_0001,2022-05-18 13:34:57+00:00,2022-05-18 13:34:58+00:00,2022-05-18 09:34:57,2022-05-18 13:35:01+00:00,3,BUY,12378.75,12370.0,12372.5,-7,1,7,0.666666666666667,1,2.333333333333333,-146,266,-0.047945205479452,-0.026315789473684,0.0,0.0,0.0,-1.0,0,0,POST_BURST_ONLY,A_WINNER,2022-05-18
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220518_093457_BUY_0001,2022-05-18 13:34:57+00:00,2022-05-18 13:34:58+00:00,2022-05-18 09:34:57,2022-05-18 13:35:03+00:00,5,BUY,12378.75,12372.5,12372.5,-5,1,7,0.6,1,1.4,-66,430,-0.075757575757576,-0.011627906976744,0.2,0.5,0.91829583405449,-0.555555555555556,0,0,POST_BURST_ONLY,A_WINNER,2022-05-18
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220520_093501_SELL_0001,2022-05-20 13:35:01+00:00,2022-05-20 13:35:02+00:00,2022-05-20 09:35:01,2022-05-20 13:35:03+00:00,1,SELL,11990.0,11987.5,12011.25,2,2,1,1.0,0,1.0,-15,99,0.133333333333333,0.02020202020202,1.0,0.0,0.0,1.0,0,0,POST_BURST_ONLY,D_BORN_BAD_MFE_LE_2,2022-05-20
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220520_093501_SELL_0001,2022-05-20 13:35:01+00:00,2022-05-20 13:35:02+00:00,2022-05-20 09:35:01,2022-05-20 13:35:05+00:00,3,SELL,11990.0,11986.25,12011.25,3,7,1,1.0,0,0.333333333333333,125,493,0.024,0.006085192697769,0.666666666666667,0.5,0.91829583405449,0.6,0,0,POST_BURST_ONLY,D_BORN_BAD_MFE_LE_2,2022-05-20
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220520_093501_SELL_0001,2022-05-20 13:35:01+00:00,2022-05-20 13:35:02+00:00,2022-05-20 09:35:01,2022-05-20 13:35:07+00:00,5,SELL,11990.0,11982.5,12011.25,6,8,1,1.0,0,0.2,207,729,0.028985507246377,0.008230452674897,0.6,0.666666666666667,0.811278124459133,0.75,0,0,POST_BURST_ONLY,D_BORN_BAD_MFE_LE_2,2022-05-20
liquidity-burst-detector-2026-07-18-v2-response-families,LB_20220523_093420_SELL_0001,2022-05-23 13:34:20+00:00,2022-05-23 13:34:21+00:00,2022-05-23 09:34:20,2022-05-23 13:34:22+00:00,1,SELL,11850.0,11850.0,11855.0,0,3,1,1.0,0,1.0,-41,131,0.0,0.0,0.0,0.0,0.0,0.0,0,0,POST_BURST_ONLY,A_WINNER,2022-05-23
