response_horizon_seconds,born_bad_group,metric,n,mean,median,std,p25,p75,model_eligibility
1,A_WINNER,Directional_Displacement_Ticks,91,-0.4835164835164835,0.0,2.2279170010604443,-1.0,1.0,POST_BURST_ONLY
1,A_WINNER,Response_MFE_Ticks,91,1.3076923076923077,1.0,1.189699380257305,1.0,2.0,POST_BURST_ONLY
1,A_WINNER,Response_MAE_Ticks,91,1.6923076923076923,1.0,1.8540784335099845,0.5,2.0,POST_BURST_ONLY
1,A_WINNER,Acceptance_Dwell_Ratio,91,0.9120879120879121,1.0,0.2847358092591816,1.0,1.0,POST_BURST_ONLY
1,A_WINNER,Reclaim_Count,91,0.01098901098901099,0.0,0.1048284836721918,0.0,0.0,POST_BURST_ONLY
1,A_WINNER,Rejection_Speed_TPS,91,1.6923076923076923,1.0,1.8540784335099845,0.5,2.0,POST_BURST_ONLY
1,A_WINNER,Directional_Delta,91,5.769230769230769,1.0,30.433197123856164,-10.5,23.0,POST_BURST_ONLY
1,A_WINNER,Response_Volume,91,114.89010989010988,110.0,56.222662601372676,78.5,147.0,POST_BURST_ONLY
1,A_WINNER,Effort_Result_Delta,91,-0.11402999460095332,0.0,0.4597626389434258,-0.1,0.0166666666666665,POST_BURST_ONLY
1,A_WINNER,Effort_Result_Volume,91,-0.005491335960203089,0.0,0.02224342632369235,-0.015054195102368502,0.0068022505072865,POST_BURST_ONLY
1,A_WINNER,Momentum_Survival_Ratio,91,0.2967032967032967,0.0,0.45933540141057166,0.0,1.0,POST_BURST_ONLY
1,A_WINNER,Rotation_Index,91,0.0,0.0,0.0,0.0,0.0,POST_BURST_ONLY
1,A_WINNER,Local_Entropy,91,0.0,0.0,0.0,0.0,0.0,POST_BURST_ONLY
1,A_WINNER,Path_Efficiency,91,-0.13186813186813187,0.0,0.8460206355349235,-1.0,1.0,POST_BURST_ONLY
1,A_WINNER,Response_POC_Migration_Ticks,91,0.0,0.0,0.0,0.0,0.0,POST_BURST_ONLY
1,B_LOSER_MFE_GT_30,Directional_Displacement_Ticks,2,-1.0,-1.0,2.8284271247461903,-2.0,0.0,POST_BURST_ONLY
1,B_LOSER_MFE_GT_30,Response_MFE_Ticks,2,1.0,1.0,0.0,1.0,1.0,POST_BURST_ONLY
1,B_LOSER_MFE_GT_30,Response_MAE_Ticks,2,1.5,1.5,2.1213203435596424,0.75,2.25,POST_BURST_ONLY
1,B_LOSER_MFE_GT_30,Acceptance_Dwell_Ratio,2,1.0,1.0,0.0,1.0,1.0,POST_BURST_ONLY
