feature,n_A,n_B,A_mean,A_median,A_std,A_p10,A_p25,A_p75,A_p90,B_mean,B_median,B_std,B_p10,B_p25,B_p75,B_p90,cohens_d_A_minus_B,cliffs_delta_A_minus_B,overlap_coefficient,mann_whitney_p,ks_p,welch_t_p,anova_p,permutation_p,mean_diff_bootstrap_ci_low,mean_diff_bootstrap_ci_high,mann_whitney_q_bh,permutation_q_bh,abs_cliffs_delta
PreEntry_Directional_Efficiency3_AtEntry,26,61,-0.30269230769230765,-0.305,0.3567694795501173,-0.765,-0.64,0.0,0.025,-0.060655737704918035,0.0,0.33906670362658253,-0.44,-0.27,0.0,0.44,-0.7028430403849456,-0.34363177805800754,0.6475409836065573,0.010443721954382628,0.01854950902294641,0.0051666938738328195,0.003532468299648531,0.005497251374312844,-0.39950189155107185,-0.08628010718789406,1.0,0.632183908045977,0.34363177805800754
Directional_VWAP_Distance_Ticks_AtEntry,26,61,-122.67769230769233,-113.1,145.39136214528543,-295.895,-202.03750000000002,-25.775,-1.3899999999999997,-39.619016393442635,-49.91,142.02506370009624,-203.36,-139.74,57.06,149.87,-0.5807349678027792,-0.3026481715006305,0.7604035308953341,0.026366671288606498,0.1618248789248058,0.017861188930509673,0.015129717090315296,0.013993003498250875,-148.9014153530896,-22.245851670870117,1.0,0.7662835249042147,0.3026481715006305
PreEntry_Directional_Delta_Share3_AtEntry,26,61,-0.03076923076923077,-0.015,0.0501934718403162,-0.1,-0.06,0.0,0.02,-0.007704918032786886,0.0,0.03984944343496535,-0.05,-0.02,0.0,0.03,-0.5345149628995853,-0.21563682219419925,0.7679697351828499,0.10678543900949143,0.1754101698789545,0.04411306531298385,0.02497596226459751,0.01999000499750125,-0.0451267339218159,-0.0016785939470365962,1.0,0.7662835249042147,0.21563682219419925
PreBurst_Acceptance_Dwell_Ratio_5s,26,61,0.823076923076923,1.0,0.2957129585360673,0.30000000000000004,0.65,1.0,1.0,0.6557377049180327,0.8,0.39349908520178906,0.0,0.2,1.0,1.0,0.4554070107599394,0.23896595208070617,0.7994955863808324,0.05404296166543786,0.392266774996945,0.03318533046323389,0.05515119227280603,0.06496751624187906,0.01929066834804543,0.31210592686002525,1.0,1.0,0.23896595208070617
price_impact_per_100_contracts,26,61,1.002128443857361,0.7807578990145281,0.7254569828499717,0.40272662560737826,0.6035116749402464,1.1496031969381437,1.847457627118644,1.2175898518645116,1.0830324909747293,0.754832440184687,0.30120481927710846,0.7326007326007326,1.606425702811245,2.2900763358778624,-0.28870127349946084,-0.22698612862547288,0.7011349306431274,0.09600640357224896,0.009519145904801764,0.21624894696408464,0.2211039442257657,0.23438280859570215,-0.547202485351638,0.11654342117522462,1.0,1.0,0.22698612862547288
Profile_Normalized_Entropy,26,61,0.926538109228792,0.9324767659851585,0.025449929241372456,0.8978645826246421,0.9107381022457972,0.9462249743715997,0.950914748313931,0.9141679236116207,0.916910137273547,0.03155033481126938,0.875618440110027,0.891660972686285,0.940713962319415,0.951158297884226,0.41391733430633637,0.2244640605296343,0.6513240857503152,0.09979011797248478,0.25751364542133937,0.05893826156139496,0.08077031286677903,0.07446276861569215,-0.00012920406219677492,0.024567284662456043,1.0,1.0,0.2244640605296343
absorption_pressure_1s,26,61,93.46923076923076,73.75,100.94801001751212,26.6,50.604166666666664,91.5,147.5,101.08762377254611,52.0,171.0649490981499,26.2,35.0,82.0,166.0,-0.04953530021500841,0.21626733921815888,0.9180327868852459,0.11281845701712236,0.06869224581058188,0.7970718707731974,0.8330047819432652,0.8440779610194903,-65.40180408988003,48.91045886771887,1.0,1.0,0.21626733921815888
Previous_Delta_AtEntry,26,61,91.73076923076923,139.0,246.30786551668348,-213.5,-29.25,243.25,357.5,35.50819672131148,14.0,246.36772129960667,-227.0,-103.0,126.0,338.0,0.22822222667370143,0.21563682219419925,0.7503152585119798,0.11388124621494354,0.028061896660878466,0.3347553703103065,0.3326088977702563,0.3233383308345827,-57.40840163934427,164.61316204287508,1.0,1.0,0.21563682219419925
burst_efficiency_score,26,61,0.01734943323347282,0.013585705075066777,0.011920617142308928,0.006814191998521667,0.01092896174863388,0.019764082811747713,0.037698412698412696,0.021210520443912056,0.019230769230769232,0.013704437917296185,0.006024096385542169,0.012195121951219513,0.02857142857142857,0.03816793893129771,-0.29239976865021794,-0.21563682219419925,0.7496847414880201,0.1138581855059264,0.06869224581058188,0.19210748749560955,0.21529637634409715,0.2108945527236382,-0.00943695532126459,0.0017141686460641623,1.0,1.0,0.21563682219419925
liquidity_absorption_score,26,61,74.97307692307692,54.3,103.85340192116139,11.9,28.9125,73.2,124.85,83.58909055425447,31.733333333333334,174.41511492136635,6.824999999999998,18.599999999999998,61.2,149.4,-0.05488285084784747,0.2080706179066835,0.9508196721311476,0.12716486780221675,0.12499129097974776,0.7763721952376468,0.8152920070332998,0.8385807096451774,-69.63413863117756,51.68570828079025,1.0,1.0,0.2080706179066835
