comparison,feature,physical_family,years_with_nonzero_effect,annual_direction_stable_min_3_years,valid_walk_forward_folds,median_walk_forward_balanced_accuracy,walk_forward_direction_stable,latest_year_oos_balanced_accuracy,passes_confirmation_gate
D_vs_REST,PreEntry_Directional_Efficiency3_AtEntry,OTHER_CAUSAL_CONTEXT,4,1,4,0.602573051948052,1,0.788888888888889,1
D_vs_REST,PreBurst_Rotation_Index_10s,TEMPORAL_SEQUENCE,4,1,4,0.5533982683982684,1,0.5888888888888889,1
D_vs_REST,Profile_Skewness,AUCTION_THEORY,5,1,4,0.5370967741935484,1,0.5222222222222221,1
D_vs_REST,BreakOut_TICKS_PER_SEC_AtEntry,OTHER_CAUSAL_CONTEXT,5,1,4,0.5277835963319835,1,0.6222222222222222,1
D_vs_A,BreakOut_TICKS_PER_SEC_AtEntry,OTHER_CAUSAL_CONTEXT,5,1,4,0.504827688651218,1,0.6857142857142857,1
D_vs_A,Score_AtEntry,OTHER_CAUSAL_CONTEXT,2,0,3,0.6216577540106951,1,0.5571428571428572,0
D_vs_REST,PreBurst_Acceptance_Dwell_Ratio_5s,ACCEPTANCE_RECLAIM,4,0,4,0.6174296536796537,1,0.6777777777777778,0
D_vs_A,PreEntry_Directional_Efficiency3_AtEntry,OTHER_CAUSAL_CONTEXT,5,0,4,0.5987355169340463,1,0.7571428571428571,0
D_vs_A,PreBurst_Local_Entropy_10s,TEMPORAL_SEQUENCE,5,0,1,0.5967261904761905,0,,0
D_vs_REST,Score_AtEntry,OTHER_CAUSAL_CONTEXT,2,0,2,0.5947691197691198,1,0.5888888888888889,0
D_vs_A,Profile_Skewness,AUCTION_THEORY,5,0,4,0.5798941798941799,1,0.5857142857142856,0
D_vs_A,Directional_VWAP_Distance_Ticks_AtEntry,AUCTION_THEORY,5,0,4,0.5689059714795008,1,0.14285714285714285,0
D_vs_REST,Directional_VWAP_Distance_Ticks_AtEntry,AUCTION_THEORY,5,0,4,0.5652137445887446,1,0.1111111111111111,0
D_vs_REST,Signed_Delta_Share_AtEntry,FLOW_BURST_QUALITY,5,0,4,0.5596780303030303,1,0.6777777777777778,0
D_vs_A,PreBurst_Acceptance_Dwell_Ratio_5s,ACCEPTANCE_RECLAIM,2,0,4,0.5578113063407182,1,0.6142857142857143,0
D_vs_A,signed_delta_1s,FLOW_BURST_QUALITY,4,0,4,0.5517195767195767,1,0.5571428571428572,0
D_vs_REST,PreBurst_Price_Per_Volume_3s,EFFORT_VS_RESULT,5,0,4,0.5495941558441558,0,0.6111111111111112,0
D_vs_REST,Nearest_OR_Edge_Retest_Count_AtEntry,ACCEPTANCE_RECLAIM,4,0,4,0.5453905413582834,1,0.7333333333333334,0
D_vs_REST,delta_persistence_1_3,PERSISTENCE_EXHAUSTION,5,0,4,0.5450006982265047,0,0.6222222222222222,0
D_vs_REST,signed_velocity_1s,PERSISTENCE_EXHAUSTION,3,0,3,0.5444444444444444,1,0.5444444444444444,0
D_vs_A,Body_AtEntry,OTHER_CAUSAL_CONTEXT,4,0,3,0.5441176470588236,1,0.5285714285714286,0
D_vs_A,directional_poc_distance,AUCTION_THEORY,5,0,3,0.5428571428571429,1,0.5428571428571429,0
D_vs_REST,TradesPerSecond,TIME_REGIME,5,0,4,0.541955266955267,1,0.5222222222222221,0
D_vs_A,signed_velocity_3s,PERSISTENCE_EXHAUSTION,4,0,2,0.5398478835978835,0,,0
D_vs_A,PreBurst_Rotation_Index_10s,TEMPORAL_SEQUENCE,4,0,4,0.5392666157372039,1,0.5571428571428572,0
