Feriados de mercado excluidos (2): 2022-04-15, 2022-05-30
Fechas LVN: 50
Rango efectivo: 2022-04-04 -> 2022-06-14
Raw footprint: C:\Users\k_99_\Desktop\codding\data_footprint_generator\lvn_research_raw
Ventana Replay: 09:29-10:00 ET (X10)
Reporte final: C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\outputs\lvn_or_strategy_replay\lvn_retest_DST_2022_early.xlsx
IMPORTANTE: chart NQ 1 minuto + Volume_Profile_Eddieware; strategy NO requerida.
[atas_guard] 1 procesos, 1 instancia(s) pesada(s). Nada que limpiar (1 instancia = OK).
Replay configurado automáticamente en 10x.
Rango: FROM 04/04/2022 09:29:00 a. m. | TO 04/04/2022 10:00:00 a. m.
Iniciando captura LVN X10 2022-04-04 (09:29-10:00)...

Replay iniciado (intento 1/3).                              

Esperando footprint+marker 2022-04-04: 00:00 / resta 15:00 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:01 / resta 14:59 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:02 / resta 14:58 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:03 / resta 14:57 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:04 / resta 14:56 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:05 / resta 14:55 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:06 / resta 14:54 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:07 / resta 14:53 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:08 / resta 14:52 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:09 / resta 14:51 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:10 / resta 14:50 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:11 / resta 14:49 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:12 / resta 14:48 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:13 / resta 14:47 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:14 / resta 14:46 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:15 / resta 14:45 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:16 / resta 14:44 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:17 / resta 14:43 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:18 / resta 14:42 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:19 / resta 14:41 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:20 / resta 14:40 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:21 / resta 14:39 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:22 / resta 14:38 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:23 / resta 14:37 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:24 / resta 14:36 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:25 / resta 14:35 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:26 / resta 14:34 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:27 / resta 14:33 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:28 / resta 14:32 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:29 / resta 14:31 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:30 / resta 14:30 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:31 / resta 14:29 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:32 / resta 14:28 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:33 / resta 14:27 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:34 / resta 14:26 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:35 / resta 14:25 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:36 / resta 14:24 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:37 / resta 14:23 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:38 / resta 14:22 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:39 / resta 14:21 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:40 / resta 14:20 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:41 / resta 14:19 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:42 / resta 14:18 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:43 / resta 14:17 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:44 / resta 14:16 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:45 / resta 14:15 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:46 / resta 14:14 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:47 / resta 14:13 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:48 / resta 14:12 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:49 / resta 14:11 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:50 / resta 14:10 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:51 / resta 14:09 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:52 / resta 14:08 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:53 / resta 14:07 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:54 / resta 14:06 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:55 / resta 14:05 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:56 / resta 14:04 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:57 / resta 14:03 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:58 / resta 14:02 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 00:59 / resta 14:01 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:00 / resta 14:00 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:01 / resta 13:59 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:02 / resta 13:58 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:03 / resta 13:57 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:04 / resta 13:56 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:05 / resta 13:55 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:06 / resta 13:54 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:07 / resta 13:53 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:08 / resta 13:52 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:09 / resta 13:51 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:10 / resta 13:50 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:11 / resta 13:49 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:12 / resta 13:48 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:13 / resta 13:47 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:14 / resta 13:46 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:15 / resta 13:45 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:16 / resta 13:44 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:17 / resta 13:43 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:18 / resta 13:42 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:19 / resta 13:41 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:20 / resta 13:40 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:21 / resta 13:39 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:22 / resta 13:38 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:23 / resta 13:37 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:24 / resta 13:36 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:25 / resta 13:35 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:26 / resta 13:34 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:27 / resta 13:33 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:28 / resta 13:32 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:29 / resta 13:31 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:30 / resta 13:30 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:31 / resta 13:29 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:32 / resta 13:28 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:33 / resta 13:27 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:34 / resta 13:26 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:35 / resta 13:25 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:36 / resta 13:24 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:37 / resta 13:23 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:38 / resta 13:22 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:39 / resta 13:21 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:40 / resta 13:20 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:41 / resta 13:19 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:42 / resta 13:18 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:43 / resta 13:17 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:44 / resta 13:16 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:45 / resta 13:15 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:46 / resta 13:14 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:47 / resta 13:13 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:48 / resta 13:12 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:49 / resta 13:11 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:50 / resta 13:10 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:51 / resta 13:09 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:52 / resta 13:08 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:53 / resta 13:07 | MISSING_FILES
Esperando footprint+marker 2022-04-04: 01:54 / resta 13:06 | MISSING_FILES
