Feriados de mercado excluidos (5): 2024-03-29, 2024-05-27, 2024-06-19, 2024-07-04, 2024-09-02
Fechas LVN: 165
Rango efectivo: 2024-03-11 -> 2024-11-01
Raw footprint: C:\Users\k_99_\Desktop\codding\data_footprint_generator\lvn_research_raw
Ventana Replay: 09:29-10:00 ET (X10)
Reporte final: C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\outputs\lvn_or_strategy_replay\lvn_retest_DST_2024.xlsx
IMPORTANTE: chart NQ 1 minuto + Volume_Profile_Eddieware; strategy NO requerida.
[atas_guard] 1 procesos, 1 instancia(s) pesada(s). Nada que limpiar (1 instancia = OK).
Replay configurado autom�ticamente en 10x.
[1/165] 2024-03-11 SKIP | 695 filas
Captura LVN OR ░░░░░░░░░░   0.6% |  1.9 min restantes
[2/165] 2024-03-12 SKIP | 1143 filas
[3/165] 2024-03-13 SKIP | 482 filas
[4/165] 2024-03-14 SKIP | 765 filas
[5/165] 2024-03-15 SKIP | 768 filas
[6/165] 2024-03-18 SKIP | 495 filas
[7/165] 2024-03-19 SKIP | 617 filas
[8/165] 2024-03-20 SKIP | 434 filas
[9/165] 2024-03-21 SKIP | 461 filas
[10/165] 2024-03-22 SKIP | 476 filas
[11/165] 2024-03-25 SKIP | 419 filas
[12/165] 2024-03-26 SKIP | 510 filas
[13/165] 2024-03-27 SKIP | 387 filas
[14/165] 2024-03-28 SKIP | 565 filas
[15/165] 2024-04-01 SKIP | 466 filas
[16/165] 2024-04-02 SKIP | 630 filas
[17/165] 2024-04-03 SKIP | 519 filas
[18/165] 2024-04-04 SKIP | 509 filas
[19/165] 2024-04-05 SKIP | 1128 filas
[20/165] 2024-04-08 SKIP | 555 filas
[21/165] 2024-04-09 SKIP | 483 filas
[22/165] 2024-04-10 SKIP | 1449 filas
[23/165] 2024-04-11 SKIP | 976 filas
[24/165] 2024-04-12 SKIP | 700 filas
[25/165] 2024-04-15 SKIP | 630 filas
[26/165] 2024-04-16 SKIP | 759 filas
[27/165] 2024-04-17 SKIP | 587 filas
[28/165] 2024-04-18 SKIP | 699 filas
[29/165] 2024-04-19 SKIP | 744 filas
[30/165] 2024-04-22 SKIP | 542 filas
[31/165] 2024-04-23 SKIP | 515 filas
[32/165] 2024-04-24 SKIP | 564 filas
[33/165] 2024-04-25 SKIP | 901 filas
[34/165] 2024-04-26 SKIP | 1110 filas
[35/165] 2024-04-29 SKIP | 456 filas
[36/165] 2024-04-30 SKIP | 704 filas
[37/165] 2024-05-01 SKIP | 626 filas
[38/165] 2024-05-02 SKIP | 663 filas
[39/165] 2024-05-03 SKIP | 906 filas
[40/165] 2024-05-06 SKIP | 377 filas
[41/165] 2024-05-07 SKIP | 372 filas
[42/165] 2024-05-08 SKIP | 419 filas
[43/165] 2024-05-09 SKIP | 505 filas
[44/165] 2024-05-10 SKIP | 427 filas
[45/165] 2024-05-13 SKIP | 410 filas
[46/165] 2024-05-14 SKIP | 756 filas
[47/165] 2024-05-15 SKIP | 771 filas
[48/165] 2024-05-16 SKIP | 434 filas
[49/165] 2024-05-17 SKIP | 347 filas
[50/165] 2024-05-20 SKIP | 348 filas
[51/165] 2024-05-21 SKIP | 462 filas
[52/165] 2024-05-22 SKIP | 292 filas
[53/165] 2024-05-23 SKIP | 425 filas
[54/165] 2024-05-24 SKIP | 536 filas
[55/165] 2024-05-28 SKIP | 443 filas
[56/165] 2024-05-29 SKIP | 482 filas
[57/165] 2024-05-30 SKIP | 574 filas
[58/165] 2024-05-31 SKIP | 663 filas
[59/165] 2024-06-03 SKIP | 437 filas
[60/165] 2024-06-04 SKIP | 476 filas
[61/165] 2024-06-05 SKIP | 423 filas
[62/165] 2024-06-06 SKIP | 551 filas
[63/165] 2024-06-07 SKIP | 1048 filas
[64/165] 2024-06-10 SKIP | 428 filas
[65/165] 2024-06-11 SKIP | 413 filas
[66/165] 2024-06-12 SKIP | 787 filas
[67/165] 2024-06-13 SKIP | 705 filas
[68/165] 2024-06-14 SKIP | 470 filas
[69/165] 2024-06-17 SKIP | 409 filas
[70/165] 2024-06-18 SKIP | 558 filas
[71/165] 2024-06-20 SKIP | 534 filas
[72/165] 2024-06-21 SKIP | 629 filas
[73/165] 2024-06-24 SKIP | 535 filas
[74/165] 2024-06-25 SKIP | 493 filas
[75/165] 2024-06-26 SKIP | 579 filas
[76/165] 2024-06-27 SKIP | 569 filas
[77/165] 2024-06-28 SKIP | 749 filas
[78/165] 2024-07-01 SKIP | 554 filas
[79/165] 2024-07-02 SKIP | 557 filas
[80/165] 2024-07-03 SKIP | 509 filas
[81/165] 2024-07-05 SKIP | 709 filas
[82/165] 2024-07-08 SKIP | 348 filas
[83/165] 2024-07-09 SKIP | 379 filas
[84/165] 2024-07-10 SKIP | 342 filas
[85/165] 2024-07-11 SKIP | 827 filas
[86/165] 2024-07-12 SKIP | 803 filas
[87/165] 2024-07-15 SKIP | 497 filas
[88/165] 2024-07-16 SKIP | 591 filas
[89/165] 2024-07-17 SKIP | 658 filas
[90/165] 2024-07-18 SKIP | 587 filas
[91/165] 2024-07-19 SKIP | 729 filas
[92/165] 2024-07-22 SKIP | 576 filas
[93/165] 2024-07-23 SKIP | 586 filas
[94/165] 2024-07-24 SKIP | 643 filas
[95/165] 2024-07-25 SKIP | 1084 filas
[96/165] 2024-07-26 SKIP | 810 filas
[97/165] 2024-07-29 SKIP | 633 filas
[98/165] 2024-07-30 SKIP | 475 filas
[99/165] 2024-07-31 SKIP | 686 filas
