family,mode,feature_count,roc_auc_new,balanced_accuracy_new,p_permutation_new
ACCEPTANCE_REJECTION,ONLY_FAMILY,2,0.5633333333333332,0.5333333333333333,0.2979404119176165
EFFORT_RESULT,ONLY_FAMILY,2,0.5466666666666667,0.44999999999999996,0.6220755848830234
FLOW_PERSISTENCE,ONLY_FAMILY,19,0.5,0.44999999999999996,0.4299140171965607
CROSSING_ANATOMY,ONLY_FAMILY,3,0.4955555555555556,0.55,0.7100579884023195
AUCTION_CONTEXT,ONLY_FAMILY,23,0.4355555555555556,0.4833333333333333,0.9258148370325935
LEVEL_MEMORY,ONLY_FAMILY,4,0.4355555555555556,0.48333333333333334,0.7576484703059388
BURST_INTENSITY,ONLY_FAMILY,66,0.27999999999999997,0.35,0.9972005598880224
BURST_INTENSITY,WITHOUT_FAMILY,53,0.47333333333333333,0.48333333333333334,0.6948610277944411
ACCEPTANCE_REJECTION,WITHOUT_FAMILY,117,0.3577777777777778,0.4,0.972005598880224
AUCTION_CONTEXT,WITHOUT_FAMILY,96,0.34444444444444444,0.4166666666666667,0.9582083583283343
LEVEL_MEMORY,WITHOUT_FAMILY,115,0.34,0.44999999999999996,0.9804039192161568
CROSSING_ANATOMY,WITHOUT_FAMILY,116,0.33555555555555555,0.4,0.9874025194961008
FLOW_PERSISTENCE,WITHOUT_FAMILY,100,0.31777777777777777,0.35,0.9964007198560288
EFFORT_RESULT,WITHOUT_FAMILY,117,0.31555555555555553,0.31666666666666665,0.99500099980004
