feature_1,feature_2,interaction_strength
Flow_1_3_CounterflowShare,Prior_Volume_At_Level_Band_60s,9.066308151324913
Nearest_OR_Edge_Distance_Ticks_AtEntry,mean_trade_size,6.14489854585769
Profile_Local_Maxima_Count,Previous_Delta_AtEntry,3.2399958739457992
BuySellRatio,Short_Long_Volatility_Ratio,2.9955132519431866
Flow_3_5_DirectionalNetDelta,Flow_3_5_GrossAggressive,2.666749175304707
PreEntry_Volume_Climax_Ratio_AtEntry,Realized_Volatility_30s_Ticks,2.644859326196021
Previous_Delta_AtEntry,Previous_Volume_AtEntry,2.309464608027562
PreEntry_Volume_Climax_Ratio_AtEntry,Flow_1_3_CounterflowShare,1.7361332536607388
PreBurst_Rotation_Index_10s,Flow_3_5_CounterflowShare,1.29705130571182
Cumulative_Delta_AtEntry,Previous_Delta_AtEntry,1.15365062832775
Directional_VWAP_Distance_Ticks_AtEntry,signed_acceleration_1s,1.0660823805869297
Previous_Delta_AtEntry,Volume_AtEntry,0.9113508756669856
directional_poc_distance,Cumulative_Delta_AtEntry,0.867657864185386
directional_poc_distance,Previous_Delta_AtEntry,0.8567880034660883
Delta10s,Delta_AtEntry,0.830462569367567
BuySellRatio,Flow_0_1_DirectionalVelocityTPS,0.8229635558040207
BuySellRatio,Delta_Change_AtEntry,0.8182953485493931
Previous_Delta_AtEntry,signed_acceleration_1s,0.7221938952070729
Cumulative_Delta_AtEntry,Flow_1_3_CounterflowShare,0.7205754285068626
directional_vwap_distance,Previous_Delta_AtEntry,0.713270673501516
Profile_Local_Maxima_Count,Pre_Approach_Pause_Seconds,0.6974579411387855
Short_Long_Volatility_Ratio,Velocity_Retention_1_3,0.6855658532371213
Delta2s,Dist_VAL_Ticks,0.6751683271619495
Directional_VWAP_Distance_Ticks_AtEntry,Profile_Normalized_Entropy,0.6694583414359643
Directional_OR_Extension_Ticks_AtEntry,Previous_Delta_AtEntry,0.658670175385367
Directional_VWAP_Distance_Ticks_AtEntry,liquidity_absorption_score,0.6264824997038284
Flow_3_5_CounterflowShare,Flow_3_5_GrossAggressive,0.6230621929313085
Delta1s,Pre_Approach_Distance_Ticks,0.611266767291986
Body_AtEntry,PeakPositiveDelta,0.5877190324962935
Profile_Excess_Kurtosis,Prior_Volume_At_Level_Band_60s,0.5744567717254414
