feature,mechanism_family,direction_from_old_A_minus_B,coverage_old_pct,coverage_new_pct,auc_old_oriented,auc_new_oriented,p_permutation_new_fixed_direction,auc_2025,auc_2026,auc_BUY,auc_SELL,q_bh_new,stable_univariate_candidate
Realized_Volatility_10s_Ticks,BURST_INTENSITY,1,100.0,100.0,0.5937762825904122,0.7077777777777778,0.05058988202359528,0.7266666666666667,0.39999999999999997,0.462962962962963,0.888888888888889,0.9952009598080384,0
Realized_Volatility_60s_Ticks,BURST_INTENSITY,1,100.0,100.0,0.5588730025231287,0.7044444444444444,0.0637872425514897,0.6933333333333334,0.39999999999999997,0.4814814814814815,0.873015873015873,0.9952009598080384,0
Realized_Volatility_30s_Ticks,BURST_INTENSITY,1,100.0,100.0,0.588309503784693,0.6855555555555555,0.09058188362327535,0.7222222222222222,0.39999999999999997,0.41975308641975306,0.9285714285714286,0.9952009598080384,0
Dist_OR_Low_Ticks,AUCTION_CONTEXT,1,100.0,100.0,0.5592935239697225,0.6711111111111111,0.08398320335932813,0.7533333333333333,0.4666666666666666,0.5185185185185186,0.6111111111111112,0.9952009598080384,0
Flow_3_5_GrossAggressive,FLOW_PERSISTENCE,1,100.0,100.0,0.6152228763666947,0.67,0.010397920415916816,0.8177777777777777,0.39999999999999997,0.6851851851851851,0.6746031746031746,0.9952009598080384,0
Dist_VAL_Ticks,BURST_INTENSITY,1,100.0,100.0,0.5613961312026914,0.6588888888888889,0.08818236352729454,0.7377777777777778,0.39999999999999997,0.4691358024691358,0.5912698412698414,0.9952009598080384,0
Flow_3_5_DirectionalVelocityTPS,FLOW_PERSISTENCE,1,100.0,100.0,0.571488645920942,0.6422222222222224,0.1315736852629474,0.6266666666666666,0.5333333333333332,0.5123456790123457,0.7142857142857143,0.9952009598080384,0
Dist_VWAP_Ticks,AUCTION_CONTEXT,1,100.0,100.0,0.5534062237174096,0.6422222222222221,0.11637672465506899,0.76,0.36666666666666664,0.4567901234567901,0.5317460317460319,0.9952009598080384,0
Dist_OR_High_Ticks,AUCTION_CONTEXT,1,100.0,100.0,0.5475189234650968,0.638888888888889,0.11997600479904019,0.7555555555555555,0.3333333333333333,0.42592592592592593,0.5476190476190476,0.9952009598080384,0
BreakOut_TICKS_PER_SEC_AtEntry,BURST_INTENSITY,1,100.0,100.0,0.5492010092514719,0.62,0.17196560687862428,0.6622222222222222,0.5333333333333333,0.4814814814814815,0.6904761904761905,0.9952009598080384,0
Pre_Approach_Velocity_TPS,CROSSING_ANATOMY,1,100.0,100.0,0.6000841042893188,0.6133333333333334,0.29474105178964205,0.6199999999999999,0.35,0.38888888888888884,0.7817460317460317,0.9952009598080384,0
Velocity_Retention_3_5,FLOW_PERSISTENCE,1,80.0,88.88888888888889,0.5731225296442688,0.603988603988604,0.2563487302539492,0.5823863636363636,0.52,0.515625,0.6052631578947368,0.9952009598080384,0
Signed_Previous_Delta_Share_AtEntry,BURST_INTENSITY,1,100.0,100.0,0.5407905803195964,0.59,0.23315336932613479,0.6288888888888889,0.41666666666666663,0.5061728395061728,0.7301587301587301,0.9952009598080384,0
Profile_Excess_Kurtosis,AUCTION_CONTEXT,1,100.0,100.0,0.5735912531539109,0.5711111111111111,0.22115576884623075,0.5955555555555555,0.5333333333333333,0.5679012345679012,0.5396825396825398,0.9952009598080384,0
signed_velocity_3s,BURST_INTENSITY,1,100.0,100.0,0.5836837678721615,0.5633333333333334,0.4657068586282743,0.6044444444444445,0.2666666666666666,0.3888888888888889,0.6825396825396826,0.9952009598080384,0
Acceleration1s,BURST_INTENSITY,1,100.0,100.0,0.520605550883095,0.5522222222222222,0.396120775844831,0.5644444444444444,0.36666666666666664,0.36419753086419754,0.4087301587301587,0.9952009598080384,0
PreBurst_Acceptance_Dwell_Ratio_5s,ACCEPTANCE_REJECTION,-1,100.0,100.0,0.5580319596299411,0.5511111111111111,0.23195360927814437,0.5711111111111111,0.55,0.4506172839506174,0.7380952380952381,0.9952009598080384,0
delta_persistence_3_5,BURST_INTENSITY,1,100.0,100.0,0.6097560975609756,0.5511111111111111,0.33553289342131576,0.48444444444444446,0.6666666666666666,0.4320987654320988,0.7063492063492064,0.9952009598080384,0
PreBurst_Rotation_Index_10s,BURST_INTENSITY,1,100.0,100.0,0.5277544154751892,0.5477777777777778,0.39172165566886624,0.5155555555555555,0.5833333333333333,0.5679012345679012,0.503968253968254,0.9952009598080384,0
signed_delta_1s,BURST_INTENSITY,-1,100.0,100.0,0.4861227922624054,0.5455555555555556,0.3717256548690262,0.5,0.6333333333333333,0.45679012345679015,0.5873015873015873,0.9952009598080384,0
Flow_0_1_DirectionalNetDelta,FLOW_PERSISTENCE,-1,100.0,100.0,0.4861227922624054,0.5455555555555556,0.3705258948210358,0.5,0.6333333333333333,0.45679012345679015,0.5873015873015873,0.9952009598080384,0
PreEntry_Range_Compression3_AtEntry,BURST_INTENSITY,1,100.0,100.0,0.5193439865433137,0.5444444444444444,0.3199360127974405,0.6111111111111112,0.41666666666666663,0.4506172839506173,0.6071428571428572,0.9952009598080384,0
PreBurst_Price_Per_Delta_3s,EFFORT_RESULT,1,100.0,100.0,0.6030277544154752,0.5377777777777778,0.6330733853229354,0.5111111111111111,0.43333333333333335,0.33333333333333337,0.6825396825396826,0.9952009598080384,0
Flow_0_1_DirectionalVelocityTPS,FLOW_PERSISTENCE,1,100.0,100.0,0.5643397813288478,0.5333333333333334,0.5810837832433513,0.5066666666666666,0.35000000000000003,0.35802469135802467,0.6547619047619049,0.9952009598080384,0
delta_share_of_volume,BURST_INTENSITY,-1,100.0,100.0,0.5479394449116906,0.5333333333333333,0.5742851429714058,0.48888888888888893,0.4,0.37037037037037035,0.6349206349206349,0.9952009598080384,0
Delta_Retention_3_5,FLOW_PERSISTENCE,1,97.14285714285714,97.77777777777777,0.5907859078590786,0.5333333333333333,0.35812837432513495,0.4907407407407407,0.6666666666666666,0.4444444444444444,0.6583333333333333,0.9952009598080384,0
Flow_0_1_CounterflowShare,FLOW_PERSISTENCE,1,100.0,100.0,0.5479394449116906,0.5333333333333333,0.5640871825634873,0.48888888888888893,0.4,0.37037037037037035,0.6349206349206349,0.9952009598080384,0
ContractsPerSecond,BURST_INTENSITY,1,100.0,100.0,0.5458368376787215,0.5322222222222223,0.4455108978204359,0.5555555555555556,0.3333333333333333,0.5246913580246915,0.5158730158730158,0.9952009598080384,0
Flow_0_1_GrossAggressive,FLOW_PERSISTENCE,1,100.0,100.0,0.5458368376787215,0.5322222222222223,0.46030793841231754,0.5555555555555556,0.3333333333333333,0.5246913580246915,0.5158730158730158,0.9952009598080384,0
Flow_3_5_DirectionalNetDelta,FLOW_PERSISTENCE,1,100.0,100.0,0.6055508830950378,0.53,0.39952009598080385,0.4755555555555555,0.6333333333333333,0.4444444444444445,0.6468253968253969,0.9952009598080384,0
Short_Long_Volatility_Ratio,BURST_INTENSITY,1,100.0,100.0,0.6021867115222876,0.5266666666666666,0.3025394921015797,0.5911111111111111,0.4666666666666667,0.5432098765432098,0.5634920634920635,0.9952009598080384,0
burst_efficiency_score,BURST_INTENSITY,1,100.0,100.0,0.5479394449116904,0.5266666666666666,0.7028594281143771,0.45555555555555555,0.5333333333333333,0.3333333333333333,0.6626984126984128,0.9952009598080384,0
absorption_pressure_1s,BURST_INTENSITY,-1,100.0,100.0,0.5483599663582842,0.5255555555555556,0.7002599480103979,0.45555555555555555,0.5333333333333333,0.3333333333333333,0.6587301587301587,0.9952009598080384,0
PreBurst_Price_Per_Volume_3s,EFFORT_RESULT,1,100.0,100.0,0.5576114381833474,0.52,0.6874625074985004,0.52,0.3333333333333333,0.33333333333333337,0.6428571428571428,0.9952009598080384,0
price_impact_per_100_contracts,BURST_INTENSITY,1,100.0,100.0,0.5231286795626576,0.5166666666666667,0.7110577884423115,0.4577777777777778,0.4666666666666667,0.345679012345679,0.6150793650793651,0.9952009598080384,0
Prior_Closed_ATR3_Ticks_AtEntry,AUCTION_CONTEXT,1,100.0,100.0,0.6429772918418839,0.5166666666666666,0.8498300339932013,0.41333333333333333,0.3333333333333333,0.4506172839506173,0.5873015873015872,0.9952009598080384,0
Flow_3_5_CounterflowShare,FLOW_PERSISTENCE,-1,100.0,100.0,0.6232127838519763,0.5155555555555555,0.4979004199160168,0.4711111111111111,0.6666666666666666,0.40740740740740744,0.6904761904761905,0.9952009598080384,0
Flow_0_1_TicksPerAggressiveContract,FLOW_PERSISTENCE,1,100.0,100.0,0.5248107653490328,0.5144444444444445,0.6502699460107978,0.4666666666666666,0.4666666666666667,0.308641975308642,0.6468253968253967,0.9952009598080384,0
Dist_LVN_Ticks,BURST_INTENSITY,1,100.0,100.0,0.5542472666105971,0.5111111111111111,0.42391521695660866,0.4955555555555555,0.55,0.4012345679012346,0.6071428571428572,0.9952009598080384,0
liquidity_absorption_score,BURST_INTENSITY,-1,100.0,100.0,0.5546677880571909,0.5055555555555556,0.772245550889822,0.44666666666666666,0.38333333333333336,0.3333333333333333,0.6349206349206349,0.9952009598080384,0
OR_WidthTicks,AUCTION_CONTEXT,1,100.0,100.0,0.5832632464255677,0.49777777777777776,0.9050189962007599,0.3844444444444444,0.36666666666666664,0.5061728395061729,0.5476190476190477,0.9952009598080384,0
Delta_Change_AtEntry,BURST_INTENSITY,-1,100.0,100.0,0.39655172413793105,0.49777777777777776,0.564887022595481,0.41333333333333333,0.7,0.4691358024691358,0.6547619047619048,0.9952009598080384,0
range,BURST_INTENSITY,1,100.0,100.0,0.5832632464255677,0.49777777777777776,0.8936212757448511,0.3844444444444444,0.36666666666666664,0.5061728395061729,0.5476190476190477,0.9952009598080384,0
Profile_Concentration,AUCTION_CONTEXT,-1,100.0,100.0,0.6232127838519765,0.4955555555555555,0.9114177164567087,0.40444444444444444,0.26666666666666666,0.4197530864197531,0.5158730158730158,0.9952009598080384,0
Directional_OR_Extension_Ticks_AtEntry,AUCTION_CONTEXT,-1,100.0,100.0,0.5689655172413793,0.4922222222222222,0.7604479104179164,0.39555555555555555,0.33333333333333337,0.5185185185185186,0.4523809523809524,0.9952009598080384,0
Velocity_Retention_1_3,FLOW_PERSISTENCE,1,97.14285714285714,95.55555555555556,0.5243147656940761,0.4913793103448276,0.4303139372125575,0.5995370370370371,0.27999999999999997,0.5555555555555556,0.42000000000000004,0.9952009598080384,0
Profile_Normalized_Entropy,AUCTION_CONTEXT,-1,100.0,100.0,0.5466778805719091,0.49111111111111116,0.39792041591681665,0.5333333333333332,0.5333333333333333,0.4691358024691358,0.4920634920634921,0.9952009598080384,0
TradesPerSecond,BURST_INTENSITY,1,100.0,100.0,0.5786375105130361,0.4877777777777778,0.6798640271945611,0.46444444444444444,0.3333333333333333,0.36419753086419754,0.5476190476190477,0.9952009598080384,0
directional_vwap_distance,AUCTION_CONTEXT,1,100.0,100.0,0.5887300252312868,0.48,0.7798440311937612,0.44,0.26666666666666666,0.4567901234567901,0.46825396825396826,0.9952009598080384,0
Flow_1_3_CounterflowShare,FLOW_PERSISTENCE,1,100.0,100.0,0.6492851135407907,0.47777777777777786,0.5654869026194761,0.44,0.6333333333333333,0.4074074074074074,0.6111111111111112,0.9952009598080384,0
Profile_Skewness,AUCTION_CONTEXT,-1,100.0,100.0,0.4760302775441548,0.4733333333333334,0.5346930613877224,0.4266666666666667,0.6666666666666666,0.45679012345679015,0.42063492063492064,0.9952009598080384,0
Body_AtEntry,BURST_INTENSITY,1,100.0,100.0,0.6152228763666947,0.46777777777777774,0.8108378324335133,0.41333333333333333,0.23333333333333328,0.37037037037037035,0.4920634920634921,0.9952009598080384,0
directional_poc_distance,AUCTION_CONTEXT,1,100.0,100.0,0.5538267451640033,0.4666666666666667,0.7600479904019196,0.4355555555555556,0.4333333333333333,0.4876543209876543,0.43253968253968256,0.9952009598080384,0
Profile_Effective_Nodes,AUCTION_CONTEXT,1,100.0,100.0,0.6248948696383515,0.46222222222222226,0.9616076784643072,0.3422222222222222,0.2666666666666666,0.4444444444444445,0.5079365079365079,0.9952009598080384,0
Prior_Closed_ATR5_Ticks_AtEntry,AUCTION_CONTEXT,1,100.0,100.0,0.6219512195121951,0.4622222222222222,0.9692061587682463,0.3688888888888889,0.24999999999999994,0.47530864197530864,0.5158730158730158,0.9952009598080384,0
Prior_Level_Touches_60s,LEVEL_MEMORY,-1,100.0,100.0,0.5954583683767872,0.45666666666666655,0.6658668266346731,0.47555555555555556,0.48333333333333334,0.5246913580246914,0.5238095238095238,0.9952009598080384,0
Profile_Local_Maxima_Count,AUCTION_CONTEXT,1,100.0,100.0,0.7043734230445753,0.4488888888888889,0.982003599280144,0.30666666666666664,0.23333333333333328,0.4197530864197531,0.5079365079365079,0.9952009598080384,0
Prior_Full_Crosses_60s,LEVEL_MEMORY,-1,100.0,100.0,0.556349873843566,0.4477777777777778,0.739252149570086,0.42666666666666664,0.43333333333333335,0.4691358024691358,0.5396825396825398,0.9952009598080384,0
Velocity5s,BURST_INTENSITY,-1,100.0,100.0,0.47813288477712357,0.44666666666666666,0.6512697460507898,0.3577777777777777,0.7,0.6111111111111112,0.7738095238095238,0.9952009598080384,0
Body_OR_Ratio_AtEntry,AUCTION_CONTEXT,1,100.0,100.0,0.566021867115223,0.44555555555555554,0.7534493101379725,0.4711111111111111,0.19999999999999996,0.3580246913580247,0.4444444444444444,0.9952009598080384,0
Profile_Std_Ticks,AUCTION_CONTEXT,1,100.0,100.0,0.6265769554247267,0.4444444444444445,0.9616076784643072,0.35555555555555557,0.2666666666666666,0.46913580246913583,0.4920634920634921,0.9952009598080384,0
signed_delta_change_1s,BURST_INTENSITY,1,100.0,100.0,0.5269133725820018,0.44,0.6632673465306939,0.4911111111111111,0.3333333333333333,0.5246913580246914,0.36904761904761907,0.9952009598080384,0
Nearest_OR_Edge_Distance_Ticks_AtEntry,AUCTION_CONTEXT,1,100.0,100.0,0.6030277544154752,0.4322222222222222,0.8966206758648271,0.3844444444444444,0.29999999999999993,0.42592592592592593,0.38492063492063494,0.9952009598080384,0
Signed_Delta_Share_AtEntry,BURST_INTENSITY,1,100.0,100.0,0.520605550883095,0.42555555555555546,0.7294541091781643,0.39999999999999997,0.5,0.4691358024691358,0.3849206349206349,0.9952009598080384,0
