experiment,feature_set,subgroup,n,n_A,n_B,roc_auc,balanced_accuracy,sensitivity_A,specificity_B,p_permutation_fixed_oos
DISCOVERY_TO_NEW,CORE_FROZEN,ALL,45,15,30,0.3844444444444445,0.33333333333333337,0.26666666666666666,0.4,0.9416116776644671
DISCOVERY_TO_NEW,CORE_FROZEN,YEAR_2025,34,9,25,0.48,0.4066666666666666,0.3333333333333333,0.48,
DISCOVERY_TO_NEW,CORE_FROZEN,YEAR_2026,11,6,5,0.13333333333333333,0.08333333333333333,0.16666666666666666,0.0,
DISCOVERY_TO_NEW,CORE_FROZEN,BURST_SIDE_BUY,18,9,9,0.34567901234567905,0.2777777777777778,0.2222222222222222,0.3333333333333333,
DISCOVERY_TO_NEW,CORE_FROZEN,BURST_SIDE_SELL,27,6,21,0.5,0.38095238095238093,0.3333333333333333,0.42857142857142855,
THROUGH_2025_TO_2026,CORE_FROZEN,ALL,11,6,5,0.06666666666666667,0.18333333333333335,0.16666666666666666,0.2,0.9946010797840432
THROUGH_2025_TO_2026,CORE_FROZEN,YEAR_2026,11,6,5,0.06666666666666667,0.18333333333333335,0.16666666666666666,0.2,
THROUGH_2025_TO_2026,CORE_FROZEN,BURST_SIDE_BUY,6,3,3,0.0,0.16666666666666666,0.0,0.3333333333333333,
THROUGH_2025_TO_2026,CORE_FROZEN,BURST_SIDE_SELL,5,3,2,0.0,0.16666666666666666,0.3333333333333333,0.0,
DISCOVERY_TO_NEW,BURST_MECHANISM,ALL,45,15,30,0.43555555555555553,0.43333333333333335,0.3333333333333333,0.5333333333333333,0.8400319936012798
DISCOVERY_TO_NEW,BURST_MECHANISM,YEAR_2025,34,9,25,0.4266666666666667,0.39111111111111113,0.2222222222222222,0.56,
DISCOVERY_TO_NEW,BURST_MECHANISM,YEAR_2026,11,6,5,0.36666666666666664,0.45,0.5,0.4,
DISCOVERY_TO_NEW,BURST_MECHANISM,BURST_SIDE_BUY,18,9,9,0.4691358024691358,0.4444444444444444,0.2222222222222222,0.6666666666666666,
DISCOVERY_TO_NEW,BURST_MECHANISM,BURST_SIDE_SELL,27,6,21,0.5,0.4880952380952381,0.5,0.47619047619047616,
THROUGH_2025_TO_2026,BURST_MECHANISM,ALL,11,6,5,0.3333333333333333,0.3833333333333333,0.16666666666666666,0.6,0.8422315536892622
THROUGH_2025_TO_2026,BURST_MECHANISM,YEAR_2026,11,6,5,0.3333333333333333,0.3833333333333333,0.16666666666666666,0.6,
THROUGH_2025_TO_2026,BURST_MECHANISM,BURST_SIDE_BUY,6,3,3,0.0,0.16666666666666666,0.0,0.3333333333333333,
THROUGH_2025_TO_2026,BURST_MECHANISM,BURST_SIDE_SELL,5,3,2,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,
DISCOVERY_TO_NEW,ALL_CAUSAL,ALL,45,15,30,0.32666666666666666,0.31666666666666665,0.26666666666666666,0.36666666666666664,0.9874025194961008
DISCOVERY_TO_NEW,ALL_CAUSAL,YEAR_2025,34,9,25,0.26666666666666666,0.27555555555555555,0.1111111111111111,0.44,
DISCOVERY_TO_NEW,ALL_CAUSAL,YEAR_2026,11,6,5,0.43333333333333335,0.25,0.5,0.0,
DISCOVERY_TO_NEW,ALL_CAUSAL,BURST_SIDE_BUY,18,9,9,0.30864197530864196,0.3333333333333333,0.2222222222222222,0.4444444444444444,
DISCOVERY_TO_NEW,ALL_CAUSAL,BURST_SIDE_SELL,27,6,21,0.39682539682539686,0.3333333333333333,0.3333333333333333,0.3333333333333333,
THROUGH_2025_TO_2026,ALL_CAUSAL,ALL,11,6,5,0.19999999999999998,0.18333333333333335,0.16666666666666666,0.2,0.9638072385522896
THROUGH_2025_TO_2026,ALL_CAUSAL,YEAR_2026,11,6,5,0.19999999999999998,0.18333333333333335,0.16666666666666666,0.2,
THROUGH_2025_TO_2026,ALL_CAUSAL,BURST_SIDE_BUY,6,3,3,0.0,0.0,0.0,0.0,
THROUGH_2025_TO_2026,ALL_CAUSAL,BURST_SIDE_SELL,5,3,2,0.5,0.41666666666666663,0.3333333333333333,0.5,
