BurstId,fecha,year,era,BurstSide,ExecutionSide,family,target,Acceleration1s,Acceleration3s,Body_AtEntry,Body_OR_Ratio_AtEntry,BreakOut_TICKS_PER_SEC_AtEntry,BuySellRatio,Buy_Imbalance_Count_AtEntry,ContractsPerSecond,CumulativeDeltaWindow,Cumulative_Delta_AtEntry,Delta10s,Delta1s,Delta2s,Delta3s,Delta5s,DeltaChange1s,DeltaChangeZScore,DeltaPercentile,Delta_AtEntry,Delta_Change_AtEntry,Delta_Retention_1_3,Delta_Retention_3_5,Directional_OR_Extension_Ticks_AtEntry,Directional_VWAP_Distance_Ticks_AtEntry,Dist_HVN_Ticks,Dist_LVN_Ticks,Dist_OR_High_Ticks,Dist_OR_Low_Ticks,Dist_POC_Ticks,Dist_VAH_Ticks,Dist_VAL_Ticks,Dist_VWAP_Ticks,Flow_0_1_CounterflowShare,Flow_0_1_DirectionalNetDelta,Flow_0_1_DirectionalVelocityTPS,Flow_0_1_GrossAggressive,Flow_0_1_TicksPerAggressiveContract,Flow_1_3_CounterflowShare,Flow_1_3_DirectionalNetDelta,Flow_1_3_DirectionalVelocityTPS,Flow_1_3_GrossAggressive,Flow_3_5_CounterflowShare,Flow_3_5_DirectionalNetDelta,Flow_3_5_DirectionalVelocityTPS,Flow_3_5_GrossAggressive,Flow_Aligned_Segment_Count,Flow_Conflict_Segment_Count,Nearest_OR_Edge_Acceptance_Ratio3_AtEntry,Nearest_OR_Edge_Distance_Ticks_AtEntry,Nearest_OR_Edge_Retest_Count_AtEntry,OR_WidthTicks,PeakNegativeDelta,PeakPositiveDelta,PreBurst_Acceptance_Dwell_Ratio_5s,PreBurst_Impulse_Decay_Slope_5s,PreBurst_Impulse_Survival_Seconds,PreBurst_Local_Entropy_10s,PreBurst_Path_Efficiency_10s,PreBurst_Price_Per_Delta_3s,PreBurst_Price_Per_Volume_3s,PreBurst_Reclaim_Count_10s,PreBurst_Rotation_Index_10s,PreEntry_Directional_Delta_Share3_AtEntry,PreEntry_Directional_Efficiency3_AtEntry,PreEntry_Range_Compression3_AtEntry,PreEntry_Volume_Climax_Ratio_AtEntry,Pre_Approach_Distance_Ticks,Pre_Approach_Pause_Seconds,Pre_Approach_Velocity_TPS,Previous_Delta_AtEntry,Previous_Volume_AtEntry,Prior_Closed_ATR3_Ticks_AtEntry,Prior_Closed_ATR5_Ticks_AtEntry,Prior_Full_Crosses_60s,Prior_Level_Touches_60s,Prior_Volume_At_Level_Band_60s,Profile_Concentration,Profile_Effective_Nodes,Profile_Excess_Kurtosis,Profile_Local_Maxima_Count,Profile_Normalized_Entropy,Profile_Position_Percentile,Profile_Skewness,Profile_Std_Ticks,Realized_Volatility_10s_Ticks,Realized_Volatility_30s_Ticks,Realized_Volatility_60s_Ticks,Score_AtEntry,Seconds_From_Open_AtEntry,Sell_Imbalance_Count_AtEntry,Short_Long_Volatility_Ratio,Signal_To_Entry_Latency_Milliseconds,Signed_Delta_Share_AtEntry,Signed_Previous_Delta_Share_AtEntry,TicksPerSecond,TradesPerSecond,Velocity1s,Velocity3s,Velocity5s,Velocity_Retention_1_3,Velocity_Retention_3_5,Volume_AtEntry,absorption_pressure_1s,acceleration_velocity_ratio,burst_efficiency_score,delta_persistence_1_3,delta_persistence_3_5,delta_share_of_volume,directional_poc_distance,directional_vwap_distance,liquidity_absorption_score,mean_trade_size,price_impact_per_100_contracts,profile_confluence_4t,range,signed_acceleration_1s,signed_delta_1s,signed_delta_change_1s,signed_velocity_1s,signed_velocity_3s
LB_20220405_093200_BUY_0001,2022-04-05,2022,DISCOVERY_2022_2024,BUY,SELL,A_TRUE_ABSORPTION,1,6,2.333333333333333,20,0.15,19.49,3.904255319148936,0,461,338,-157,343,273,321,338,349,225,6.879339890608311,1.0,270,355,0.238095238095238,0.169230769230769,-155,14.73,-1,0,4.0,31.0,13,6,21,15.435164313678964,0.203904555314534,273,8,461,0.017353579175705,0.171717171717172,65,2.0,99,0.417910447761194,11,0.0,67,2,0,0.0,20,0,27.0,-19,273,0.2,1.9,4,0.954434002924965,0.458333333333333,0.035502958579882,0.021428571428571,0,0.428571428571429,0.03,-1.0,0.6,0.0,8,0,2.4,-85,2699,81.67,68,1,1,461,0.070708269071064,26.4490090599718,-0.621934842775609,9,0.93671145718257,0.994779926444418,-0.19081274015497,6.933576494907072,10.4880884817015,12.8840987267251,15.0332963783729,7,121.026,0,1.708904322161096,26.0,-0.58,0.03,8,445,8,4.0,2.4,0.25,0.0,464,34.125,0.75,0.0293040293040293,0.4126984126984127,0.6195266272189349,0.5921908893709328,13.0,15.435164313678964,6.824999999999998,1.0359550561797752,1.735357917570499,2,135,6.0,273.0,225.0,8.0,4.0
LB_20220427_093500_BUY_0001,2022-04-27,2022,DISCOVERY_2022_2024,BUY,SELL,A_TRUE_ABSORPTION,1,19,7.333333333333333,95,0.4,94.34,3.951388888888889,1,713,444,1848,393,425,450,444,402,400,13.334978645448688,1.0,480,521,0.044705882352941,-2.210526315789474,-440,-174.94,0,1,40.0,88.0,23,4,56,41.95550216242192,0.201963534361851,425,19,713,0.026647966339411,0.421487603305785,19,-1.0,121,0.769230769230769,-42,-2.0,78,1,1,1.0,200,2,48.0,-38,425,1.0,4.1,1,0.91829583405449,0.620689655172414,0.038288288288288,0.020383693045564,0,0.6,-0.01,-0.44,0.46,0.92,-26,1,2.8,-41,3239,110.0,142,0,0,0,0.031234983181163,77.3958475286853,-0.944811657732071,25,0.966470461702242,0.999327246516098,-0.318414479575048,23.19966278711744,19.723082923316,22.113344387496,24.2693221990232,10,301.007,0,1.990640237932521,7.0,-0.62,0.01,19,660,19,6.0,3.0,-0.052631578947368,-2.0,778,22.36842105263158,1.0,0.0447058823529411,0.348235294117647,0.5432432432432432,0.5960729312762973,23.0,41.95550216242192,0.0,1.0803030303030303,2.664796633941094,3,240,19.0,425.0,400.0,19.0,6.0
LB_20220504_093301_SELL_0001,2022-05-04,2022,DISCOVERY_2022_2024,SELL,BUY,A_TRUE_ABSORPTION,1,3,-0.333333333333333,30,0.24,14.96,0.088461538461538,0,283,-304,-602,-298,-237,-286,-304,-305,-188,-5.751900070701107,1.0,-285,-259,0.282700421940928,0.014925373134328,-160,-159.65,0,1,-32.0,-7.0,-16,-19,-3,-13.516883116883117,0.081272084805654,237,1,283,0.003533568904594,0.147368421052632,67,2.5,95,0.484848484848485,1,0.5,33,3,0,0.5,35,2,25.0,-237,13,1.0,0.4,3,0.985228136034252,0.5,0.019736842105263,0.015873015873016,0,0.166666666666667,0.0,-0.34,0.88,0.8,0,1,1.4,-26,2304,110.0,84,5,27,899,0.057350649350649,28.6378593129572,-0.75660077065917,9,0.95132915968788,0.025558441558442,0.23692384649789,7.506793504992528,4.69041575982343,9.1104335791443,15.7480157480236,10,182.005,1,0.729560185670881,5.0,-0.81,-0.01,-1,142,-1,-2.0,-1.4,2.5,0.2,353,237.0,-3.0,0.0042194092827004,0.4275668073136427,0.6019736842105263,0.8374558303886925,16.0,13.516883116883117,213.3,1.9929577464788728,0.3533568904593639,3,125,-3.0,237.0,188.0,1.0,2.0
LB_20220520_093501_SELL_0001,2022-05-20,2022,DISCOVERY_2022_2024,SELL,BUY,B_CLEAN_BREAKOUT,0,-4,-2.0,40,0.28,19.95,0.356115107913669,0,377,-206,767,-202,-179,-205,-206,-186,-153,-5.299327006652865,1.0,-205,-446,0.150837988826816,-0.740740740740741,-230,-173.7,0,-1,-46.0,-17.0,-21,-30,-8,-22.72650296359017,0.262599469496021,179,6,377,0.015915119363395,0.440528634361233,27,0.5,227,0.672413793103448,-20,0.0,58,2,0,0.67,85,4,29.0,-179,12,1.0,1.6,2,0.650022421648354,0.8125,0.033980582524272,0.01158940397351,0,0.4,0.04,-0.15,0.76,0.75,-9,1,1.6,241,2507,110.0,135,7,21,948,0.046670319270807,42.5934180718365,-0.387390007230699,11,0.936208586250746,0.011306470090153,0.437583861242943,11.60159312684224,7.87400787401181,13.8202749610853,18.2482875908947,9,302.005,0,1.056937612689183,5.0,-0.36,0.1,-6,335,-6,-2.666666666666667,-1.4,0.083333333333333,0.0,577,29.83333333333333,0.6666666666666666,0.0335195530726257,0.3836126629422718,0.541747572815534,0.4748010610079575,21.0,22.72650296359017,11.933333333333334,1.1253731343283582,1.5915119363395225,2,145,4.0,179.0,153.0,6.0,2.666666666666667
LB_20220527_093100_BUY_0001,2022-05-27,2022,DISCOVERY_2022_2024,BUY,SELL,B_CLEAN_BREAKOUT,0,4,2.0,30,0.27,29.44,2.896103896103896,0,300,173,3350,380,146,164,173,266,128,3.699491650282806,1.0,147,-254,0.184931506849315,3.444444444444444,-140,-399.24,0,1,6.0,28.0,24,14,27,17.70169374351884,0.256666666666667,146,6,300,0.02,0.380530973451327,27,1.5,113,0.317647058823529,93,-0.5,255,2,1,0.0,30,0,22.0,-3,146,0.4,1.4,3,0.0,1.0,0.052023121387283,0.021791767554479,0,0.0,0.0,0.0,0.47,0.0,2,0,1.6,401,5485,51.67,40,1,5,727,0.112685793294158,22.418037587855,-0.38330245363448,8,0.914344430889696,0.998098859315589,0.657359394959719,6.533980463052432,7.34846922834954,11.8743420870379,17.9722007556114,9,61.019,0,1.001546791334385,19.0,-0.49,-0.07,6,284,6,3.0,1.8,0.25,-0.333333333333333,303,24.33333333333333,0.6666666666666666,0.0410958904109589,0.3949771689497717,0.922543352601156,0.4866666666666667,24.0,17.70169374351884,9.733333333333334,1.056338028169014,2.0,2,110,4.0,146.0,128.0,6.0,3.0
LB_20220608_093102_SELL_0001,2022-06-08,2022,DISCOVERY_2022_2024,SELL,BUY,B_CLEAN_BREAKOUT,0,-4,-1.666666666666667,50,0.45,16.63,0.380952380952381,0,580,-338,792,-388,-260,-275,-338,-336,-245,-7.325721496600189,1.0,-341,-329,0.3,-0.025641025641026,-155,-76.04,-3,2,-31.0,-9.0,-25,-29,-14,-17.69067723591246,0.275862068965517,260,6,580,0.010344827586207,0.280898876404494,78,2.5,178,0.51219512195122,-2,0.0,82,2,0,0.0,45,0,22.0,-260,2,0.6,1.1,3,0.0,0.933333333333333,0.029585798816568,0.013192612137203,0,0.0,0.0,0.0,0.52,0.0,1,2,2.0,-12,5044,56.67,46,1,7,463,0.078924694123729,26.0318681865327,-0.430019219875908,7,0.92427347237898,0.014647596070998,-0.48221605297818,7.650942638212936,7.28010988928052,10.0995049383621,16.8819430161341,9,63.007,0,1.05630936457281,7.0,-0.45,0.0,-5,520,-5,-3.333333333333333,-2.0,0.416666666666667,0.0,761,52.0,0.8,0.0192307692307692,0.4333333333333333,0.5964497041420118,0.4482758620689655,25.0,17.69067723591246,26.0,1.1153846153846154,0.8620689655172413,2,110,4.0,260.0,245.0,5.0,3.333333333333333
LB_20220613_093107_SELL_0001,2022-06-13,2022,DISCOVERY_2022_2024,SELL,BUY,A_TRUE_ABSORPTION,1,2,0.333333333333333,15,0.09,1.87,0.246575342465753,0,182,-152,1195,-136,-110,-134,-152,-179,-86,-2.772291249350366,0.970149253731343,-145,-432,0.381818181818182,0.642857142857143,15,-13.89,-1,1,3.0,35.0,10,-5,26,16.555668221456095,0.197802197802198,110,1,182,0.005494505494505,0.398058252427184,42,2.0,206,0.351648351648352,27,-1.0,91,2,1,0.0,15,0,32.0,-110,32,0.0,0.5,0,0.985228136034252,-0.3125,0.026315789473684,0.010309278350515,0,0.166666666666667,0.0,0.0,0.54,0.0,37,0,0.4,287,4153,86.67,65,0,0,0,0.062664773879538,35.1492685461289,-1.326462728465581,9,0.952359136058831,0.917866558507402,-0.011456435622438,11.7981869533832,8.0,12.4899959967968,19.0525588832576,7,68.0,0,1.028518954453162,0.0,-0.19,0.07,0,178,0,-1.333333333333333,-0.6,2.0,-0.5,779,440.0,-8.0,-0.0,0.4606060606060606,0.7065789473684211,0.6043956043956044,-10.0,-16.555668221456095,440.0,1.0224719101123596,0.0,2,160,-2.0,110.0,86.0,-0.0,1.333333333333333
LB_20220627_093202_SELL_0001,2022-06-27,2022,DISCOVERY_2022_2024,SELL,BUY,B_CLEAN_BREAKOUT,0,-4,-2.666666666666667,35,0.23,11.63,0.238993710691824,0,197,-156,-1024,-228,-121,-143,-156,-163,-99,-2.831692053299826,0.983606557377049,-163,5,0.289256198347107,0.2,-180,-119.34,0,-1,-36.0,-6.0,-19,-27,-6,-20.23932426091037,0.192893401015228,121,5,197,0.025380710659898,0.391304347826087,35,1.0,161,0.47244094488189,7,-1.0,127,2,1,0.0,30,1,30.0,-121,4,0.6,1.4,2,0.591672778582328,0.777777777777778,0.051282051282051,0.022346368715084,1,0.333333333333333,-0.04,-0.78,0.77,0.0,0,2,1.2,-168,3858,115.0,85,3,10,818,0.101548568747067,29.8099639564891,-0.837575168487099,12,0.933267983083748,0.004129516658846,0.08493239366443,8.55313106263608,8.12403840463596,11.7046999107196,15.8429795177549,9,123.009,0,1.256061002908648,9.0,-0.45,-0.04,-6,171,-6,-2.666666666666667,-1.4,0.2,-1.0,365,20.166666666666668,0.6666666666666666,0.0495867768595041,0.4297520661157025,0.6269230769230769,0.6142131979695431,19.0,20.23932426091037,8.066666666666668,1.152046783625731,3.045685279187817,2,150,4.0,121.0,99.0,6.0,2.666666666666667
LB_20220720_093414_BUY_0001,2022-07-20,2022,DISCOVERY_2022_2024,BUY,SELL,B_CLEAN_BREAKOUT,0,2,0.666666666666667,10,0.07,0.66,4.893617021276596,0,277,184,2990,191,183,182,184,193,184,6.70349633598793,1.0,322,189,0.005464480874317,9.0,-155,-52.23,-1,0,2.0,31.0,23,9,30,16.17698300283286,0.169675090252708,183,2,277,0.007220216606498,0.494845360824742,1,0.0,97,0.418181818181818,9,1.0,55,2,0,0.0,10,0,29.0,-8,183,1.0,0.0,1,0.811278124459133,0.5,0.010869565217391,0.005347593582888,0,0.333333333333333,-0.01,-0.42,0.57,1.16,2,2,0.8,133,3113,83.33,88,1,10,903,0.051203966005666,30.1542981926429,-1.086549562171753,7,0.94334115471617,0.996104815864023,0.042848200101507,8.48823848613152,3.16227766016838,5.56776436283002,10.3440804327886,10,255.086,0,0.748830864448976,86.0,-0.28,-0.04,2,153,2,0.666666666666667,0.8,0.0,,1154,91.5,1.0,0.0109289617486338,0.3351548269581056,0.6293478260869565,0.6606498194945848,23.0,16.17698300283286,73.2,1.8104575163398693,0.7220216606498195,2,145,2.0,183.0,184.0,2.0,0.666666666666667
LB_20220729_093500_SELL_0001,2022-07-29,2022,DISCOVERY_2022_2024,SELL,BUY,B_CLEAN_BREAKOUT,0,-6,-2.0,30,0.29,27.3,0.303249097472924,0,722,-416,-2711,-321,-386,-400,-416,-416,-372,-12.47315260910805,1.0,-390,-276,0.077720207253886,0.0,-190,-339.62,1,2,-38.0,-17.0,-27,-33,-13,-23.03248996358884,0.232686980609418,386,6,722,0.008310249307479,0.321428571428571,30,1.0,84,0.5,0,0.5,62,2,0,1.0,85,3,21.0,-386,56,1.0,1.0,1,0.863120568566631,0.333333333333333,0.019230769230769,0.009925558312655,0,0.333333333333333,-0.03,-0.35,0.9,0.85,-8,2,1.8,-114,2996,95.0,99,2,10,431,0.045187190738493,38.0291541558339,-0.480582805388804,10,0.95029873613426,0.018625711884978,-0.288260684685062,9.77230597666896,8.0,9.59166304662544,13.4536240470737,10,301.099,2,1.456553109682571,99.0,-0.53,-0.04,-6,591,-6,-2.666666666666667,-1.8,0.166666666666667,0.5,736,64.33333333333333,1.0,0.0155440414507772,0.3592400690846287,0.6,0.5346260387811634,27.0,23.03248996358884,25.73333333333333,1.22165820642978,0.8310249307479224,2,105,6.0,386.0,372.0,6.0,2.666666666666667
