feature,source,formula,units,interpretation,window_start_seconds,window_end_seconds,mechanism_family,coverage_old_pct,coverage_new_pct,unique_old,unique_new,forbidden_name,system_artifact,eligible
PreBurst_Acceptance_Dwell_Ratio_5s,burst_events,seconds accepted beyond broken OR edge / observed seconds,ratio,Aceptación causal previa al burst.,-5,0,ACCEPTANCE_REJECTION,100.0,100.0,6,6,False,False,True
PreBurst_Reclaim_Count_10s,burst_events,crossings from accepted to reclaimed side,count,Reclaims causales antes del burst.,-10,0,ACCEPTANCE_REJECTION,100.0,100.0,3,3,False,False,True
Body_OR_Ratio_AtEntry,trade_inputs,"abs(body ticks)/max(OR ticks,1)",ratio,Extensión del cuerpo normalizada por régimen.,-60,0,AUCTION_CONTEXT,100.0,100.0,43,33,False,False,True
Directional_OR_Extension_Ticks_AtEntry,trade_inputs,execution_sign*distance beyond execution-side OR edge,ticks,Extensión causal respecto al OR.,-600,0,AUCTION_CONTEXT,100.0,100.0,35,35,False,False,True
Directional_VWAP_Distance_Ticks_AtEntry,trade_inputs,execution_sign*(entry-vwap)/tick,ticks,Alineación de entrada con valor negociado.,-600,0,AUCTION_CONTEXT,100.0,100.0,69,45,False,False,True
Dist_OR_High_Ticks,burst_events,(price-OR_high)/tick,ticks,Ubicación respecto al OR high.,-60,0,AUCTION_CONTEXT,100.0,100.0,41,34,False,False,True
Dist_OR_Low_Ticks,burst_events,(price-OR_low)/tick,ticks,Ubicación respecto al OR low.,-60,0,AUCTION_CONTEXT,100.0,100.0,37,35,False,False,True
Dist_POC_Ticks,burst_events,(price-poc)/tick,ticks,Ubicación respecto al POC causal.,-1800,0,AUCTION_CONTEXT,100.0,100.0,39,34,False,False,True
Dist_VWAP_Ticks,burst_events,(price-vwap)/tick,ticks,Ubicación respecto a VWAP.,-1800,0,AUCTION_CONTEXT,100.0,100.0,70,45,False,False,True
Nearest_OR_Edge_Acceptance_Ratio3_AtEntry,trade_inputs,fraction prior 3 closed bars accepted outside nearest OR edge,ratio,Aceptación frente a rechazo del borde.,-240,-1,AUCTION_CONTEXT,100.0,100.0,5,5,False,False,True
Nearest_OR_Edge_Distance_Ticks_AtEntry,trade_inputs,"min(abs(entry-OR high),abs(entry-OR low))/tick",ticks,Proximidad al borde estructural más cercano.,-600,0,AUCTION_CONTEXT,100.0,100.0,23,24,False,False,True
OR_WidthTicks,burst_events,(OR_high-OR_low)/tick,ticks,Régimen de rango de apertura.,-60,0,AUCTION_CONTEXT,100.0,100.0,27,29,False,False,True
Prior_Closed_ATR3_Ticks_AtEntry,trade_inputs,mean true range of prior 3 closed bars,ticks,Volatilidad causal inmediata.,-240,-1,AUCTION_CONTEXT,100.0,100.0,38,34,False,False,True
Prior_Closed_ATR5_Ticks_AtEntry,trade_inputs,mean true range of prior 5 closed bars,ticks,Volatilidad causal suavizada.,-360,-1,AUCTION_CONTEXT,100.0,100.0,42,40,False,False,True
Profile_Concentration,burst_events,POC volume/total profile volume,ratio,Concentración modal sin etiqueta manual.,-1800,0,AUCTION_CONTEXT,100.0,100.0,70,45,False,False,True
Profile_Effective_Nodes,burst_events,exp(profile entropy),count,Número efectivo de niveles negociados.,-1800,0,AUCTION_CONTEXT,100.0,100.0,70,45,False,False,True
Profile_Excess_Kurtosis,burst_events,volume-weighted fourth standardized moment-3,ratio,Colas/concentración del perfil.,-1800,0,AUCTION_CONTEXT,100.0,100.0,70,45,False,False,True
Profile_Local_Maxima_Count,burst_events,count(local maxima in volume profile),count,Multimodalidad matemática.,-1800,0,AUCTION_CONTEXT,100.0,100.0,15,19,False,False,True
Profile_Normalized_Entropy,burst_events,profile entropy/log(number of price nodes),ratio,Dispersión de volumen entre niveles.,-1800,0,AUCTION_CONTEXT,100.0,100.0,70,45,False,False,True
Profile_Position_Percentile,burst_events,cumulative profile volume below price/total volume,ratio,Posición relativa dentro de la subasta.,-1800,0,AUCTION_CONTEXT,100.0,100.0,62,43,False,False,True
Profile_Skewness,burst_events,volume-weighted third standardized moment,ratio,Asimetría matemática del perfil.,-1800,0,AUCTION_CONTEXT,100.0,100.0,70,45,False,False,True
