trade_id,Input_VERSION,fecha,decision_timestamp,feature_timestamp,entry_timestamp,EntryBar,Side,Signal_Source,Speed_Profile,Side_AtEntry,Signal_Source_AtEntry,Speed_Profile_AtEntry,Entry_price,SL_price_AtEntry,TP_price_AtEntry,SL_ticks_AtEntry,TP_ticks_AtEntry,or_low,or_high,range,OR_Low_AtEntry,OR_High_AtEntry,OR_Range_AtEntry,VWAP_AtEntry,Body_AtEntry,Volume_AtEntry,Delta_AtEntry,Cumulative_Delta_AtEntry,Cumulative_Delta_Source_AtEntry,Cvd_Current_AtEntry,Cvd_Peak_AtEntry,Cvd_Pullback_Pct_AtEntry,Cvd_Label_AtEntry,Cvd_Total_Samples_AtEntry,Previous_Volume_AtEntry,Previous_Delta_AtEntry,Volume_Increasing_AtEntry,Delta_Change_AtEntry,Delta_With_Side_AtEntry,Price_Accepted_After_Imbalance_AtEntry,Price_Rejected_After_Imbalance_AtEntry,BreakOut_SPEED_AtEntry,BreakOut_TICKS_PER_SEC_AtEntry,Speed_Elapsed_SECONDS_AtEntry,Speed_Replay_Fallback_AtEntry,Speed_Timing_Source_AtEntry,Range_OK_AtEntry,Body_OK_AtEntry,Volume_OK_AtEntry,Delta_OK_AtEntry,Time_OK_AtEntry,VWAP_OK_AtEntry,Speed_OK_AtEntry,Score_AtEntry,Raw_Speed_Label_AtEntry,APlus_Structure_AtEntry,APlus_Absorption_AtEntry,APlus_Speed_AtEntry,APlus_Speed_Setup_Confirmed_AtEntry,Buy_Imbalance_Count_AtEntry,Sell_Imbalance_Count_AtEntry,Execution_Side_Imbalance_Count_AtEntry,Imbalance_Group_3_AtEntry,Imbalance_Group_Price_AtEntry,Imbalance_Count_AtEntry,Speed_Ignored_By_Structure_AtEntry,feature_timestamp_utc,entry_timestamp_utc
2022-04-04|09:35:10.909,reconstructed-causal-v1-from-legacy-v11,2022-04-04,09:35:10.909,09:35:10.909,09:35:10.909,2315,BUY,BREAKOUT,SCALP_NORMAL,BUY,BREAKOUT,SCALP_NORMAL,14925.00,14909.75,14940.25,61,61,14893.75,14916.25,90,14893.75,14916.25,90,14892.04,35,801,247,-158,SessionDeltaSum,-158,-158,0,Excelente,1,2307,127,FALSE,120,TRUE,FALSE,FALSE,normal speed,3.21,10.909,FALSE,MarketTradeTime,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,normal speed,FALSE,FALSE,FALSE,FALSE,1,0,1,,,1,FALSE,2022-04-04T13:35:10.909000+00:00,2022-04-04T13:35:10.909000+00:00
2022-04-05|09:32:05.515,reconstructed-causal-v1-from-legacy-v11,2022-04-05,09:32:05.515,09:32:05.515,09:32:05.515,2312,BUY,BREAKOUT,SCALP_NORMAL,BUY,BREAKOUT,SCALP_NORMAL,15133.75,15128.75,15138.75,20,20,15096.25,15130.00,135,15096.25,15130.00,135,15138.64,15,818,238,-189,SessionDeltaSum,-189,-189,0,Excelente,1,2699,-85,FALSE,323,TRUE,FALSE,FALSE,normal speed,2.72,5.515,FALSE,MarketTradeTime,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,6,normal speed,FALSE,FALSE,FALSE,FALSE,2,0,2,,,2,FALSE,2022-04-05T13:32:05.515000+00:00,2022-04-05T13:32:05.515000+00:00
2022-04-06|09:36:07.030,reconstructed-causal-v1-from-legacy-v11,2022-04-06,09:36:07.030,09:36:07.030,09:36:07.030,2316,SELL,BREAKOUT,SCALP_NORMAL,SELL,BREAKOUT,SCALP_NORMAL,14580.00,14585.00,14575.00,20,20,14595.00,14635.00,160,14595.00,14635.00,160,14666.74,20,800,-246,-3309,SessionDeltaSum,-3309,-3309,0,Excelente,1,4560,-688,FALSE,442,FALSE,FALSE,FALSE,normal speed,2.84,7.03,FALSE,MarketTradeTime,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,normal speed,FALSE,FALSE,FALSE,FALSE,0,1,1,,,1,FALSE,2022-04-06T13:36:07.030000+00:00,2022-04-06T13:36:07.030000+00:00
2022-04-07|09:33:42.260,reconstructed-causal-v1-from-legacy-v11,2022-04-07,09:33:42.260,09:33:42.260,09:33:42.260,2313,BUY,BREAKOUT,SCALP_NORMAL,BUY,BREAKOUT,SCALP_NORMAL,14511.25,14506.25,14516.25,20,20,14460.00,14490.00,120,14460.00,14490.00,120,14519.32,85,2268,302,-687,SessionDeltaSum,-687,-687,0,Excelente,1,2219,239,TRUE,63,TRUE,FALSE,FALSE,normal speed,2.01,42.26,FALSE,MarketTradeTime,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,6,normal speed,FALSE,FALSE,FALSE,FALSE,1,0,1,,,1,FALSE,2022-04-07T13:33:42.260000+00:00,2022-04-07T13:33:42.260000+00:00
2022-04-08|09:33:45.425,reconstructed-causal-v1-from-legacy-v11,2022-04-08,09:33:45.425,09:33:45.425,09:33:45.425,2312,SELL,BREAKOUT,SCALP_NORMAL,SELL,BREAKOUT,SCALP_NORMAL,14415.00,14420.00,14410.00,20,20,14441.25,14473.75,130,14441.25,14473.75,130,14543.43,105,2470,-106,-2044,SessionDeltaSum,-2044,-2044,0,Excelente,1,3867,-395,FALSE,289,FALSE,FALSE,FALSE,normal speed,2.31,45.425,FALSE,MarketTradeTime,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,normal speed,FALSE,FALSE,FALSE,FALSE,0,1,1,,,1,FALSE,2022-04-08T13:33:45.425000+00:00,2022-04-08T13:33:45.425000+00:00
2022-04-11|09:32:08.687,reconstructed-causal-v1-from-legacy-v11,2022-04-11,09:32:08.687,09:32:08.687,09:32:08.687,2311,SELL,BREAKOUT,POTENTIAL_RUNNER,SELL,BREAKOUT,POTENTIAL_RUNNER,14142.50,14157.50,14135.00,60,30,14153.75,14177.50,95,14153.75,14177.50,95,14202.55,45,1093,-369,-1531,SessionDeltaSum,-1531,-1531,0,Excelente,1,3231,-393,FALSE,24,FALSE,FALSE,FALSE,A+ speed,5.18,8.687,FALSE,MarketTradeTime,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9,A+ speed,FALSE,FALSE,TRUE,FALSE,0,4,4,,,4,FALSE,2022-04-11T13:32:08.687000+00:00,2022-04-11T13:32:08.687000+00:00
2022-04-12|09:33:09.118,reconstructed-causal-v1-from-legacy-v11,2022-04-12,09:33:09.118,09:33:09.118,09:33:09.118,2313,SELL,BREAKOUT,SCALP_NORMAL,SELL,BREAKOUT,SCALP_NORMAL,14148.75,14153.75,14143.75,20,20,14163.75,14203.75,160,14163.75,14203.75,160,14101.73,45,906,-110,2831,SessionDeltaSum,2831,2831,0,Excelente,1,2813,311,FALSE,-421,TRUE,FALSE,FALSE,normal speed,4.94,9.118,FALSE,MarketTradeTime,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,6,normal speed,FALSE,FALSE,FALSE,FALSE,1,1,1,,,1,FALSE,2022-04-12T13:33:09.118000+00:00,2022-04-12T13:33:09.118000+00:00
2022-04-13|09:31:12.461,reconstructed-causal-v1-from-legacy-v11,2022-04-13,09:31:12.461,09:31:12.461,09:31:12.461,2311,SELL,BREAKOUT,SCALP_NORMAL,SELL,BREAKOUT,SCALP_NORMAL,13923.75,13928.75,13918.75,20,20,13938.75,13962.50,95,13938.75,13962.50,95,14010.51,60,1088,-240,-1754,SessionDeltaSum,-1754,-1754,0,Excelente,1,4706,-236,FALSE,-4,TRUE,FALSE,FALSE,normal speed,4.82,12.461,FALSE,MarketTradeTime,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,normal speed,FALSE,FALSE,FALSE,FALSE,0,1,1,,,1,FALSE,2022-04-13T13:31:12.461000+00:00,2022-04-13T13:31:12.461000+00:00
2022-04-14|09:35:02.895,reconstructed-causal-v1-from-legacy-v11,2022-04-14,09:35:02.895,09:35:02.895,09:35:02.895,2315,BUY,BREAKOUT,POTENTIAL_RUNNER,BUY,BREAKOUT,POTENTIAL_RUNNER,14235.00,14220.00,14242.50,60,30,14202.50,14228.75,105,14202.50,14228.75,105,14227.64,25,945,419,-878,SessionDeltaSum,-878,-878,0,Excelente,1,3082,22,FALSE,397,TRUE,FALSE,FALSE,A+ speed,8.64,2.895,FALSE,MarketTradeTime,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9,A+ speed,FALSE,FALSE,TRUE,FALSE,3,0,3,,,3,FALSE,2022-04-14T13:35:02.895000+00:00,2022-04-14T13:35:02.895000+00:00
2022-04-18|09:36:21.390,reconstructed-causal-v1-from-legacy-v11,2022-04-18,09:36:21.390,09:36:21.390,09:36:21.390,936,BUY,BREAKOUT,SCALP_NORMAL,BUY,BREAKOUT,SCALP_NORMAL,13925.00,13920.00,13930.00,20,20,13848.75,13897.50,195,13848.75,13897.50,195,13841.47,55,968,-12,-549,SessionDeltaSum,-549,-549,0,Excelente,1,3024,-362,FALSE,350,FALSE,FALSE,FALSE,normal speed,2.57,21.39,FALSE,MarketTradeTime,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,7,normal speed,FALSE,FALSE,FALSE,FALSE,1,0,1,,,1,FALSE,2022-04-18T13:36:21.390000+00:00,2022-04-18T13:36:21.390000+00:00
