trade_id,Result_VERSION,fecha,entry_timestamp,outcome_timestamp,ExitTime_NY,Trade_Duration,EntryBar,Side,Entry_price,Result_Label,Exit_price,result_ticks,MAE_ticks,MFE_ticks,Largest_MAE_pullback_ticks,Largest_MFE_pullup_ticks,Number_of_Pullbacks_during_Trade,Number_of_PullUps_during_Trade,Max_Speed_MAE_during_trade,Max_Speed_MFE_during_trade,SL_price_Final,TP_price_Final,SL_ticks_Final,TP_ticks_Final,Cvd_Current_Final,Cvd_Peak_Final,Cvd_Pullback_Pct_Final,Cvd_Label_Final,Cvd_Worst_Label_Final,Cvd_Excelente_Count_Final,Cvd_Normal_Count_Final,Cvd_Advertencia_Count_Final,Cvd_Riesgo_Reversion_Count_Final,Cvd_Total_Samples_Final,Cvd_Excelente_Pct_Final,Cvd_Negative_Episodes_Final,Cvd_Label_Changes_Final,Dynamic_Alarm_Triggered,TP_And_SL_Hit_Same_Update,Result_After_Slippage_Ticks,Volume_Increased_During_Trade,Volume_Increase_Samples,Volume_Observed_Samples,Volume_Increasing_Pct_During_Trade,Max_Delta_during_trade,Min_Delta_during_trade
2022-04-04|09:35:10.909,reconstructed-causal-v1-from-legacy-v11,2022-04-04,09:35:10.909,09:36:03.031,09:36:03.031,00:52,2315,BUY,14925.00,TP,14940.25,61,10,65,10,25,8,157,20,40,14909.75,14940.25,61,61,24,24,0,Excelente,Riesgo de reversion,453,505,599,134,1691,0.2679,16,92,TRUE,FALSE,+59,TRUE,1689,3183,0.5306,378,1
2022-04-05|09:32:05.515,reconstructed-causal-v1-from-legacy-v11,2022-04-05,09:32:05.515,09:32:13.788,09:32:13.788,00:08,2312,BUY,15133.75,SL,15128.75,-20,20,5,15,5,19,3,20,20,15128.75,15138.75,20,20,-250,-176,5.69,Riesgo de reversion,Riesgo de reversion,7,0,0,207,214,0.0327,1,1,TRUE,FALSE,-22,TRUE,213,410,0.5195,251,177
2022-04-06|09:36:07.030,reconstructed-causal-v1-from-legacy-v11,2022-04-06,09:36:07.030,09:36:28.596,09:36:28.596,00:21,2316,SELL,14580.00,SL,14585.00,-20,20,15,20,15,24,69,20,20,14585.00,14575.00,20,20,-3639,-3775,0.29,Normal,Riesgo de reversion,693,150,57,281,1181,0.5868,4,12,TRUE,FALSE,-22,TRUE,1180,2499,0.4722,-712,-147
2022-04-07|09:33:42.260,reconstructed-causal-v1-from-legacy-v11,2022-04-07,09:33:42.260,09:33:47.814,09:33:47.814,00:05,2313,BUY,14511.25,TP,14516.25,20,10,20,10,10,7,14,20,20,14506.25,14516.25,20,20,-619,-605,0.17,Excelente,Riesgo de reversion,114,2,0,78,194,0.5876,4,8,TRUE,FALSE,+18,TRUE,193,367,0.5259,384,280
2022-04-08|09:33:45.425,reconstructed-causal-v1-from-legacy-v11,2022-04-08,09:33:45.425,09:33:46.407,09:33:46.407,00:00,2312,SELL,14415.00,TP,14410.00,20,0,20,0,15,0,10,0,20,14420.00,14410.00,20,20,-2119,-2119,0,Excelente,Normal,42,61,0,0,103,0.4078,4,8,FALSE,FALSE,+18,TRUE,102,228,0.4474,-181,-106
2022-04-11|09:32:08.687,reconstructed-causal-v1-from-legacy-v11,2022-04-11,09:32:08.687,09:32:16.074,09:32:16.074,00:07,2311,SELL,14142.50,TP,14135.00,30,5,30,5,10,4,15,20,20,14157.50,14135.00,60,30,-1642,-1642,0,Excelente,Riesgo de reversion,150,10,6,4,170,0.8824,3,14,TRUE,FALSE,+28,TRUE,169,317,0.5331,-480,-369
2022-04-12|09:33:09.118,reconstructed-causal-v1-from-legacy-v11,2022-04-12,09:33:09.118,09:33:25.803,09:33:25.803,00:16,2313,SELL,14148.75,TP,14143.75,20,15,20,10,15,19,37,20,20,14153.75,14143.75,20,20,2853,2823,3.75,Riesgo de reversion,Riesgo de reversion,7,2,1,582,592,0.0118,2,5,TRUE,FALSE,+18,TRUE,591,1163,0.5082,-118,-6
2022-04-13|09:31:12.461,reconstructed-causal-v1-from-legacy-v11,2022-04-13,09:31:12.461,09:31:13.615,09:31:13.615,00:01,2311,SELL,13923.75,SL,13928.75,-20,20,0,15,0,10,0,20,0,13928.75,13918.75,20,20,-1721,-1756,17.5,Riesgo de reversion,Riesgo de reversion,6,0,1,65,72,0.0833,3,6,TRUE,FALSE,-22,TRUE,71,130,0.5462,-242,-207
2022-04-14|09:35:02.895,reconstructed-causal-v1-from-legacy-v11,2022-04-14,09:35:02.895,09:35:11.748,09:35:11.748,00:08,2315,BUY,14235.00,TP,14242.50,30,5,50,5,30,2,66,20,40,14220.00,14242.50,60,30,-857,-780,0.79,Riesgo de reversion,Riesgo de reversion,288,232,38,4,562,0.5125,7,17,TRUE,FALSE,+28,TRUE,561,958,0.5856,517,406
2022-04-18|09:36:21.390,reconstructed-causal-v1-from-legacy-v11,2022-04-18,09:36:21.390,09:36:41.866,09:36:41.866,00:20,936,BUY,13925.00,SL,13920.00,-20,20,15,15,10,28,15,20,20,13920.00,13930.00,20,20,-569,-519,1.67,Riesgo de reversion,Riesgo de reversion,137,24,20,208,389,0.3522,3,14,TRUE,FALSE,-22,TRUE,388,749,0.518,18,1
2022-04-19|09:31:07.026,reconstructed-causal-v1-from-legacy-v11,2022-04-19,09:31:07.026,09:31:22.126,09:31:22.126,00:15,2311,BUY,13906.25,SL,13891.25,-60,60,0,30,0,7,0,40,0,13891.25,13921.25,60,60,-669,-276,0,Excelente,Excelente,123,0,0,0,123,1,0,0,FALSE,FALSE,-62,TRUE,122,235,0.5191,190,41
2022-04-20|09:35:02.214,reconstructed-causal-v1-from-legacy-v11,2022-04-20,09:35:02.214,09:35:04.203,09:35:04.203,00:01,2315,SELL,14213.75,SL,14218.75,-20,20,15,20,15,2,8,20,20,14218.75,14208.75,20,20,2660,2634,0.68,Advertencia,Riesgo de reversion,52,29,8,3,92,0.5652,6,16,TRUE,FALSE,-22,TRUE,91,150,0.6067,,
2022-04-21|09:31:13.201,reconstructed-causal-v1-from-legacy-v11,2022-04-21,09:31:13.201,09:31:13.375,09:31:13.375,00:00,2311,BUY,14205.00,SL,14200.00,-20,20,0,15,0,2,0,20,0,14200.00,14210.00,20,20,229,261,8,Riesgo de reversion,Riesgo de reversion,4,0,0,17,21,0.1905,1,1,TRUE,FALSE,-22,TRUE,20,46,0.4348,203,171
2022-04-22|09:33:06.881,reconstructed-causal-v1-from-legacy-v11,2022-04-22,09:33:06.881,09:33:10.430,09:33:10.430,00:03,2313,BUY,13746.25,TP,13751.25,20,10,20,10,15,9,19,20,20,13741.25,13751.25,20,20,-954,-954,0,Excelente,Riesgo de reversion,124,70,17,8,219,0.5662,12,35,TRUE,FALSE,+18,TRUE,218,393,0.5547,273,209
2022-04-25|09:32:33.353,reconstructed-causal-v1-from-legacy-v11,2022-04-25,09:32:33.353,09:32:34.181,09:32:34.181,00:00,2312,BUY,13320.00,SL,13315.00,-20,20,0,15,0,7,0,20,0,13315.00,13325.00,20,20,653,656,0.19,Excelente,Riesgo de reversion,18,2,13,24,57,0.3158,2,12,TRUE,FALSE,-22,TRUE,56,88,0.6364,348,323
2022-04-26|09:32:14.401,reconstructed-causal-v1-from-legacy-v11,2022-04-26,09:32:14.401,09:32:20.071,09:32:20.071,00:05,2312,SELL,13400.00,TP,13395.00,20,5,20,5,10,3,23,20,20,13405.00,13395.00,20,20,202,202,0,Excelente,Advertencia,123,55,15,0,193,0.6373,6,14,TRUE,FALSE,+18,TRUE,192,320,0.6,-141,-90
2022-04-27|09:32:12.238,reconstructed-causal-v1-from-legacy-v11,2022-04-27,09:32:12.238,09:32:51.320,09:32:51.320,00:39,2312,BUY,13077.50,TP,13085.25,31,0,35,0,30,0,2,0,20,13069.75,13085.25,31,31,1395,1395,0,Excelente,Riesgo de reversion,32,0,0,1,33,0.9697,1,2,FALSE,FALSE,+29,TRUE,32,58,0.5517,103,77
2022-04-28|09:31:07.264,reconstructed-causal-v1-from-legacy-v11,2022-04-28,09:31:07.264,09:31:33.008,09:31:33.008,00:25,2311,BUY,13276.25,SL,13261.25,-60,60,0,20,0,11,0,20,0,13261.25,13291.25,60,60,714,862,0,Excelente,Excelente,125,0,0,0,125,1,0,0,FALSE,FALSE,-62,TRUE,124,209,0.5933,168,20
2022-04-29|09:31:12.023,reconstructed-causal-v1-from-legacy-v11,2022-04-29,09:31:12.023,09:31:12.368,09:31:12.368,00:00,2311,SELL,13255.00,SL,13260.00,-20,20,0,15,0,2,0,20,0,13260.00,13250.00,20,20,117,101,0,Excelente,Excelente,28,0,0,0,28,1,0,0,FALSE,FALSE,-22,TRUE,27,42,0.6429,-302,-283
