feature,coef_fold_2022,coef_fold_2023,coef_fold_2024,median_abs_coefficient,same_sign_all_folds
Profile_Local_Maxima_Count,0.3842998803507481,0.36243195760140867,0.39400823394171836,0.3842998803507481,1
Pre_Approach_Pause_Seconds,-0.14541135772470926,-0.34091151206414677,-0.6483669793807824,0.34091151206414677,1
reference_w3_add_to_aggressive,-0.220609962497063,-0.3569043649761383,-0.3347588329205166,0.3347588329205166,1
reference_w3_aggressive_volume,-0.3001537660748553,-0.3452200215385107,-0.23838841866957688,0.3001537660748553,1
Directional_VWAP_Distance_Ticks_AtEntry,0.273314447843636,0.22460838262691285,0.5227646915041344,0.273314447843636,1
Previous_Delta_AtEntry,-0.04553570313348367,-0.4346426762504323,-0.2456344965395272,0.2456344965395272,1
Flow_3_5_GrossAggressive,0.20833775370109794,0.2887149249512744,0.17043812271467923,0.20833775370109794,1
Prior_Closed_ATR3_Ticks_AtEntry,0.09721065600733655,0.1612196404721322,0.12748019477430417,0.12748019477430417,1
reference_w3_depth_balance,-0.0848268573911802,-0.15798651505755962,-0.08760425668483927,0.08760425668483927,1
burst_w1_recovery_from_min,-0.15869882495221793,-0.03498206718538046,-0.07226837366494594,0.07226837366494594,1
burst_w1_refill_to_remove,-0.03166568616096299,-0.03277066844391933,-0.014036767852455431,0.03166568616096299,1
Prior_Closed_ATR5_Ticks_AtEntry,-0.0014415520057961448,-0.011511855020218929,-0.05193867783441362,0.011511855020218929,1
Signal_To_Entry_Latency_Milliseconds,-0.34684286108455153,-0.4580642231345534,0.008807355503628166,0.34684286108455153,0
BuySellRatio,-0.18588443712003164,0.3026765557312065,-0.20933425993766552,0.20933425993766552,0
reference_w3_refill_latency_ms,-0.36119283013825226,-0.17349480964231803,0.0010253819157008553,0.17349480964231803,0
burst_w1_add_to_aggressive,-0.16417151669057076,0.11473090961330754,-0.172730485921252,0.16417151669057076,0
burst_w1_depth_balance,-0.05700894121941588,-0.06367863239490978,0.02261714064257795,0.05700894121941588,0
burst_w1_refill_latency_ms,-0.051174842213761534,0.16010684416235116,-0.0522935407980073,0.0522935407980073,0
burst_w1_aggressive_volume,-0.011277007945612745,0.14043314469979348,0.04213390941915575,0.04213390941915575,0
reference_w3_refill_to_remove,0.02200398828369738,-0.0968376913346634,-0.041925208418678715,0.041925208418678715,0
Flow_3_5_DirectionalNetDelta,-0.013393675087143527,0.11793435328511544,0.027746314230338822,0.027746314230338822,0
