feature_set,subgroup,n,n_A,n_B,roc_auc
CORE_BASELINE,ALL,70,29,41,0.686291000841043
CORE_BASELINE,YEAR_2022,22,9,13,0.8888888888888888
CORE_BASELINE,YEAR_2023,30,13,17,0.6515837104072398
CORE_BASELINE,YEAR_2024,18,7,11,0.6623376623376623
CORE_BASELINE,SIDE_BUY,33,12,21,0.8055555555555556
CORE_BASELINE,SIDE_SELL,37,17,20,0.5411764705882354
EXISTING_CAUSAL,ALL,70,29,41,0.6812447434819175
EXISTING_CAUSAL,YEAR_2022,22,9,13,0.8376068376068376
EXISTING_CAUSAL,YEAR_2023,30,13,17,0.6515837104072398
EXISTING_CAUSAL,YEAR_2024,18,7,11,0.7272727272727272
EXISTING_CAUSAL,SIDE_BUY,33,12,21,0.8095238095238095
EXISTING_CAUSAL,SIDE_SELL,37,17,20,0.5205882352941177
