regime_axis,segment,n,coverage_pct,n_A,n_B,roc_auc,complement_auc,auc_improvement_vs_complement,eligible_year_count,years_auc_at_least_0_60,minimum_eligible_year_auc,both_sides_eligible,p_permutation_oof_fixed,auc_year_2022,eligible_year_2022,auc_year_2023,eligible_year_2023,auc_year_2024,eligible_year_2024,auc_side_BUY,eligible_side_BUY,auc_side_SELL,eligible_side_SELL,q_bh,candidate_regime
PROFILE_CONCENTRATION,DISPERSED,33,47.142857142857146,15,18,0.8222222222222223,0.546583850931677,0.27563837129054525,3,2,0.5,1,0.0007998400319936012,0.8796296296296298,1,0.5,1.0,0.9166666666666666,1,0.9365079365079365,1,0.7083333333333333,1,0.010077984403119376,1
REALIZED_VOL_60S,HIGH,30,42.857142857142854,13,17,0.8054298642533937,0.6302083333333334,0.17522153092006032,2,2,0.75,1,0.003199360127974405,0.8686868686868687,1,,,0.75,1,0.9666666666666668,1,0.7619047619047619,1,0.010077984403119376,1
ATR5,HIGH,29,41.42857142857143,14,15,0.8047619047619048,0.5230769230769231,0.2816849816849817,2,2,0.8395061728395061,1,0.0023995200959808036,0.8395061728395061,1,,0.0,0.888888888888889,1,1.0,1,0.625,1,0.010077984403119376,1
VWAP_DISTANCE_ABS,FAR,33,47.142857142857146,11,22,0.7727272727272727,0.6286549707602339,0.1440723019670388,3,3,0.7857142857142857,1,0.0033993201359728054,0.9166666666666666,1,0.8571428571428571,1.0,0.7857142857142857,1,0.8636363636363636,1,0.7818181818181819,1,0.010077984403119376,1
PATH_EFFICIENCY,ROTATIONAL,35,50.0,13,22,0.7342657342657343,0.6611842105263158,0.07308152373941845,3,3,0.6222222222222222,1,0.003599280143971206,0.8809523809523809,1,0.6222222222222222,1.0,1.0,1,0.8958333333333333,1,0.5333333333333332,1,0.010077984403119376,0
OR_WIDTH,WIDE,32,45.714285714285715,15,17,0.7333333333333334,0.6428571428571428,0.0904761904761906,2,2,0.6666666666666667,1,0.013397320535892822,0.875,1,,0.0,0.6666666666666667,1,0.8809523809523809,1,0.7045454545454546,1,0.026794641071785644,0
FLOW_INTENSITY,LOW,36,51.42857142857143,11,25,0.72,0.6388888888888888,0.08111111111111113,3,3,0.6666666666666667,1,0.010197960407918417,0.84375,1,0.6666666666666667,1.0,0.6909090909090909,1,0.7321428571428572,1,0.5974025974025974,1,0.02379524095180964,0
PATH_EFFICIENCY,DIRECTIONAL,35,50.0,16,19,0.6611842105263158,0.7342657342657343,-0.07308152373941845,3,3,0.7200000000000001,1,0.047590481903619274,1.0,1,0.75,1.0,0.7200000000000001,1,0.75,1,0.55,1,0.08328334333133373,0
OR_WIDTH,NARROW,38,54.285714285714285,14,24,0.6428571428571428,0.7333333333333334,-0.0904761904761906,2,1,0.5,1,0.07958408318336332,,0,0.65625,1.0,0.5,1,0.7066666666666667,1,0.4814814814814815,1,0.10128883314246241,0
FLOW_INTENSITY,HIGH,34,48.57142857142857,18,16,0.6388888888888888,0.72,-0.08111111111111113,2,2,0.652892561983471,1,0.07258548290341932,0.92,1,0.652892561983471,1.0,,0,0.6964285714285715,1,0.5444444444444444,1,0.10128883314246241,0
REALIZED_VOL_60S,LOW,40,57.142857142857146,16,24,0.6302083333333334,0.8054298642533937,-0.17522153092006032,2,1,0.5333333333333332,1,0.09518096380723855,,0,0.6515837104072398,1.0,0.5333333333333332,1,0.6666666666666667,1,0.45000000000000007,1,0.11104445777511164,0
VWAP_DISTANCE_ABS,NEAR,37,52.857142857142854,18,19,0.6286549707602339,0.7727272727272727,-0.1440723019670388,3,1,0.5,1,0.07558488302339532,0.8333333333333333,1,0.5333333333333333,1.0,0.5,1,0.7666666666666667,1,0.40740740740740744,1,0.10128883314246241,0
PROFILE_CONCENTRATION,CONCENTRATED,37,52.857142857142854,14,23,0.546583850931677,0.8222222222222223,-0.27563837129054525,2,1,0.3928571428571429,1,0.33773245350929815,,0,0.66,1.0,0.3928571428571429,1,0.6166666666666666,1,0.43434343434343436,1,0.3637118730100134,0
ATR5,LOW,41,58.57142857142857,15,26,0.5230769230769231,0.8047619047619048,-0.2816849816849817,2,1,0.5499999999999999,1,0.41251749650069985,,0,0.6256684491978609,1.0,0.5499999999999999,1,0.5595238095238095,1,0.4444444444444444,1,0.41251749650069985,0
