BurstId,fecha,split,family,prediction_timestamp,burst_event_timestamp,burst_timestamp,family_reason,ExecutionSide,BurstSide,Entry_price,Initial_SL_ticks,Initial_TP_ticks,Result_Label,result TP SL BE,MAE_ticks,MFE_ticks,ExitTime_NY_Milliseconds,causal_row_flag,canonical_source_file,Delta1s,Delta2s,Delta3s,Delta5s,Delta10s,PeakPositiveDelta,PeakNegativeDelta,DeltaChange1s,DeltaChangeZScore,DeltaPercentile,BuySellRatio,TradesPerSecond,ContractsPerSecond,Velocity1s,Velocity3s,Velocity5s,Acceleration1s,Acceleration3s,TicksPerSecond,CumulativeDeltaWindow,OR_WidthTicks,Dist_OR_High_Ticks,Dist_OR_Low_Ticks,Dist_VWAP_Ticks,Dist_POC_Ticks,Dist_VAH_Ticks,Dist_VAL_Ticks,Dist_HVN_Ticks,Dist_LVN_Ticks,PreBurst_Acceptance_Dwell_Ratio_5s,PreBurst_Reclaim_Count_10s,PreBurst_Rotation_Index_10s,PreBurst_Local_Entropy_10s,PreBurst_Path_Efficiency_10s,PreBurst_Price_Per_Delta_3s,PreBurst_Price_Per_Volume_3s,PreBurst_Impulse_Survival_Seconds,PreBurst_Impulse_Decay_Slope_5s,Profile_Std_Ticks,Profile_Skewness,Profile_Excess_Kurtosis,Profile_Normalized_Entropy,Profile_Concentration,Profile_Effective_Nodes,Profile_Local_Maxima_Count,Profile_Position_Percentile,POC_Migration_Ticks,Flow_0_1_DirectionalNetDelta,Flow_1_3_DirectionalNetDelta,Flow_3_5_DirectionalNetDelta,Flow_0_1_GrossAggressive,Flow_1_3_GrossAggressive,Flow_3_5_GrossAggressive,Flow_0_1_CounterflowShare,Flow_1_3_CounterflowShare,Flow_3_5_CounterflowShare,Flow_0_1_DirectionalVelocityTPS,Flow_1_3_DirectionalVelocityTPS,Flow_3_5_DirectionalVelocityTPS,Flow_0_1_TicksPerAggressiveContract,Velocity_Retention_1_3,Velocity_Retention_3_5,Delta_Retention_1_3,Delta_Retention_3_5,Prior_Level_Touches_60s,Prior_Full_Crosses_60s,Prior_Volume_At_Level_Band_60s,Pre_Approach_Distance_Ticks,Pre_Approach_Velocity_TPS,Pre_Approach_Pause_Seconds,Time_Since_Last_Prior_Level_Touch_Seconds,Realized_Volatility_10s_Ticks,Realized_Volatility_30s_Ticks,Realized_Volatility_60s_Ticks,Short_Long_Volatility_Ratio,Flow_Aligned_Segment_Count,Flow_Conflict_Segment_Count,Observation_Coverage_60,GapFill_Seconds_60,Burst_Index_In_Episode,Seconds_Since_Prior_Burst,range,Body_AtEntry,Volume_AtEntry,Delta_AtEntry,Cumulative_Delta_AtEntry,Previous_Volume_AtEntry,Previous_Delta_AtEntry,Delta_Change_AtEntry,BreakOut_TICKS_PER_SEC_AtEntry,Score_AtEntry,Buy_Imbalance_Count_AtEntry,Sell_Imbalance_Count_AtEntry,Seconds_From_Open_AtEntry,Directional_OR_Extension_Ticks_AtEntry,Directional_VWAP_Distance_Ticks_AtEntry,Nearest_OR_Edge_Distance_Ticks_AtEntry,Body_OR_Ratio_AtEntry,Signed_Delta_Share_AtEntry,Signed_Previous_Delta_Share_AtEntry,Prior_Closed_ATR3_Ticks_AtEntry,Prior_Closed_ATR5_Ticks_AtEntry,PreEntry_Directional_Efficiency3_AtEntry,PreEntry_Directional_Delta_Share3_AtEntry,PreEntry_Range_Compression3_AtEntry,PreEntry_Volume_Climax_Ratio_AtEntry,Nearest_OR_Edge_Retest_Count_AtEntry,Nearest_OR_Edge_Acceptance_Ratio3_AtEntry,Directional_CLV_AtEntry,PreEntry_Acceptance_Dwell_Ratio_AtEntry,PreEntry_Reclaim_Count_AtEntry,PreEntry_Rejection_Speed_TPS_AtEntry,PreEntry_Rotation_Index_AtEntry,PreEntry_Local_Entropy_AtEntry,PreEntry_Path_Efficiency_AtEntry,PreEntry_Price_Per_Delta_AtEntry,PreEntry_Price_Per_Volume_AtEntry,Detector_Publish_Delay_Milliseconds,Signal_To_Entry_Latency_Milliseconds,Detector_Publish_To_Entry_Latency_Milliseconds,Liquidity_Burst_Index_In_Episode,Liquidity_Burst_Seconds_Since_Prior_Burst,signed_delta_1s,signed_delta_change_1s,signed_velocity_1s,signed_velocity_3s,signed_acceleration_1s,price_impact_per_100_contracts,absorption_pressure_1s,delta_share_of_volume,mean_trade_size,delta_persistence_1_3,delta_persistence_3_5,direction_consistency,velocity_consistency,flow_price_alignment,acceleration_velocity_ratio,directional_vwap_distance,directional_poc_distance,profile_confluence_4t,burst_efficiency_score,liquidity_absorption_score,burst_side,burst_w1_add_to_aggressive,burst_w1_refill_to_remove,burst_w1_depth_balance,burst_w1_recovery_from_min,burst_w1_refill_latency_ms,burst_w1_aggressive_volume,reference_w3_add_to_aggressive,reference_w3_refill_to_remove,reference_w3_depth_balance,reference_w3_recovery_from_min,reference_w3_refill_latency_ms,reference_w3_aggressive_volume,year,target
LB_20220405_093200_BUY_0001,2022-04-05,discovery,A_TRUE_ABSORPTION,2022-04-05 13:32:01.026000+00:00,2022-04-05 13:32:00+00:00,2022-04-05 13:32:01+00:00,TP; MAE<=10; MFE>=TP inicial,SELL,BUY,15135.0,60,60,TP,60,0,60,09:32:38.947,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-04-05_NY.csv,273,321,338,349,343,273,-19,225,6.879339890608311,1.0,3.904255319148936,445,461,8,4.0,2.4,6,2.333333333333333,8,338,27.0,4.0,31.0,15.435164313678964,13,6,21,-1,0,0.2,0,0.428571428571429,0.954434002924965,0.458333333333333,0.035502958579882,0.021428571428571,4,1.9,6.933576494907072,-0.19081274015497,-0.621934842775609,0.93671145718257,0.070708269071064,26.4490090599718,9,0.994779926444418,,273,65,11,461,99,67,0.203904555314534,0.171717171717172,0.417910447761194,8,2.0,0.0,0.017353579175705,0.25,0.0,0.238095238095238,0.169230769230769,1,1,461,8,2.4,0,,10.4880884817015,12.8840987267251,15.0332963783729,1.708904322161096,2,0,1.0,0,1,,135,20,464,270,-157,2699,-85,355,19.49,7,0,0,121.026,-155,14.73,20,0.15,-0.58,0.03,81.67,68,-1.0,0.03,0.6,0.0,0,0.0,,0,0,0,0,0,0,0,0,25.0,26.0,1.0,1,,273.0,225.0,8.0,4.0,6.0,1.735357917570499,34.125,0.5921908893709328,1.0359550561797752,0.4126984126984127,0.6195266272189349,1.0,1.0,1,0.75,15.435164313678964,13.0,2,0.0293040293040293,6.824999999999998,BUY,0.5555555555555556,0.5357142857142857,-0.3023255813953488,5.0,42.00000000128057,27.0,0.5625,1.0,0.0,0.0,0.0,32.0,2022,1
LB_20220427_093500_BUY_0001,2022-04-27,discovery,A_TRUE_ABSORPTION,2022-04-27 13:35:01.007000+00:00,2022-04-27 13:35:00+00:00,2022-04-27 13:35:01+00:00,TP; MAE<=10; MFE>=TP inicial,SELL,BUY,13120.0,60,60,TP,60,0,60,09:35:01.934,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-04-27_NY.csv,425,450,444,402,393,425,-38,400,13.334978645448688,1.0,3.951388888888889,660,713,19,6.0,3.0,19,7.333333333333333,19,444,48.0,40.0,88.0,41.95550216242192,23,4,56,0,1,1.0,0,0.6,0.91829583405449,0.620689655172414,0.038288288288288,0.020383693045564,1,4.1,23.19966278711744,-0.318414479575048,-0.944811657732071,0.966470461702242,0.031234983181163,77.3958475286853,25,0.999327246516098,,425,19,-42,713,121,78,0.201963534361851,0.421487603305785,0.769230769230769,19,-1.0,-2.0,0.026647966339411,-0.052631578947368,-2.0,0.044705882352941,-2.210526315789474,0,0,0,-26,2.8,1,,19.723082923316,22.113344387496,24.2693221990232,1.990640237932521,1,1,1.0,0,1,,240,95,778,480,1848,3239,-41,521,94.34,10,1,0,301.007,-440,-174.94,200,0.4,-0.62,0.01,110.0,142,-0.44,-0.01,0.46,0.92,2,1.0,,0,0,0,0,0,0,0,0,1.0,7.0,6.0,1,,425.0,400.0,19.0,6.0,19.0,2.664796633941094,22.36842105263158,0.5960729312762973,1.0803030303030303,0.348235294117647,0.5432432432432432,1.0,1.0,1,1.0,41.95550216242192,23.0,3,0.0447058823529411,0.0,BUY,2.2972972972972974,1.0,0.0,9.0,0.0,74.0,,,,0.0,,0.0,2022,1
LB_20220504_093301_SELL_0001,2022-05-04,discovery,A_TRUE_ABSORPTION,2022-05-04 13:33:02.005000+00:00,2022-05-04 13:33:01+00:00,2022-05-04 13:33:02+00:00,TP; MAE<=10; MFE>=TP inicial,BUY,SELL,13075.0,60,60,TP,60,0,60,09:34:01.165,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-05-04_NY.csv,-237,-286,-304,-305,-298,13,-237,-188,-5.751900070701107,1.0,0.088461538461538,142,283,-1,-2.0,-1.4,3,-0.333333333333333,-1,-304,25.0,-32.0,-7.0,-13.516883116883117,-16,-19,-3,0,1,1.0,0,0.166666666666667,0.985228136034252,0.5,0.019736842105263,0.015873015873016,3,0.4,7.506793504992528,0.23692384649789,-0.75660077065917,0.95132915968788,0.057350649350649,28.6378593129572,9,0.025558441558442,,237,67,1,283,95,33,0.081272084805654,0.147368421052632,0.484848484848485,1,2.5,0.5,0.003533568904594,2.5,0.2,0.282700421940928,0.014925373134328,27,5,899,0,1.4,1,2.0,4.69041575982343,9.1104335791443,15.7480157480236,0.729560185670881,3,0,1.0,0,1,,125,30,353,-285,-602,2304,-26,-259,14.96,10,0,1,182.005,-160,-159.65,35,0.24,-0.81,-0.01,110.0,84,-0.34,0.0,0.88,0.8,2,0.5,,0,0,0,0,0,0,0,0,1.0,5.0,4.0,1,,237.0,188.0,1.0,2.0,-3.0,0.3533568904593639,237.0,0.8374558303886925,1.9929577464788728,0.4275668073136427,0.6019736842105263,1.0,1.0,1,-3.0,13.516883116883117,16.0,3,0.0042194092827004,213.3,SELL,0.1871921182266009,0.8444444444444444,-0.0843373493975903,0.0,0.0,203.0,,,,0.0,,0.0,2022,1
LB_20220520_093501_SELL_0001,2022-05-20,discovery,B_CLEAN_BREAKOUT,2022-05-20 13:35:02.005000+00:00,2022-05-20 13:35:01+00:00,2022-05-20 13:35:02+00:00,SL; MFE<=10; MAE>=SL inicial,BUY,SELL,11990.0,60,60,SL,-60,60,0,09:35:15.317,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-05-20_NY.csv,-179,-205,-206,-186,-202,12,-179,-153,-5.299327006652865,1.0,0.356115107913669,335,377,-6,-2.666666666666667,-1.4,-4,-2.0,-6,-206,29.0,-46.0,-17.0,-22.72650296359017,-21,-30,-8,0,-1,1.0,0,0.4,0.650022421648354,0.8125,0.033980582524272,0.01158940397351,2,1.6,11.60159312684224,0.437583861242943,-0.387390007230699,0.936208586250746,0.046670319270807,42.5934180718365,11,0.011306470090153,,179,27,-20,377,227,58,0.262599469496021,0.440528634361233,0.672413793103448,6,0.5,0.0,0.015915119363395,0.083333333333333,0.0,0.150837988826816,-0.740740740740741,21,7,948,-9,1.6,1,19.0,7.87400787401181,13.8202749610853,18.2482875908947,1.056937612689183,2,0,1.0,0,1,,145,40,577,-205,767,2507,241,-446,19.95,9,0,0,302.005,-230,-173.7,85,0.28,-0.36,0.1,110.0,135,-0.15,0.04,0.76,0.75,4,0.67,,0,0,0,0,0,0,0,0,0.0,5.0,5.0,1,,179.0,153.0,6.0,2.666666666666667,4.0,1.5915119363395225,29.83333333333333,0.4748010610079575,1.1253731343283582,0.3836126629422718,0.541747572815534,1.0,1.0,1,0.6666666666666666,22.72650296359017,21.0,2,0.0335195530726257,11.933333333333334,SELL,1.0163934426229508,0.8985507246376812,-0.0534351145038167,0.0,48.00000000250293,61.0,,,,0.0,,0.0,2022,0
LB_20220527_093100_BUY_0001,2022-05-27,discovery,B_CLEAN_BREAKOUT,2022-05-27 13:31:01.019000+00:00,2022-05-27 13:31:00+00:00,2022-05-27 13:31:01+00:00,SL; MFE<=10; MAE>=SL inicial,SELL,BUY,12437.5,60,60,SL,-60,60,0,09:31:29.297,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-05-27_NY.csv,146,164,173,266,380,146,-3,128,3.699491650282806,1.0,2.896103896103896,284,300,6,3.0,1.8,4,2.0,6,173,22.0,6.0,28.0,17.70169374351884,24,14,27,0,1,0.4,0,0.0,0.0,1.0,0.052023121387283,0.021791767554479,3,1.4,6.533980463052432,0.657359394959719,-0.38330245363448,0.914344430889696,0.112685793294158,22.418037587855,8,0.998098859315589,,146,27,93,300,113,255,0.256666666666667,0.380530973451327,0.317647058823529,6,1.5,-0.5,0.02,0.25,-0.333333333333333,0.184931506849315,3.444444444444444,5,1,727,2,1.6,0,1.0,7.34846922834954,11.8743420870379,17.9722007556114,1.001546791334385,2,1,1.0,0,1,,110,30,303,147,3350,5485,401,-254,29.44,9,0,0,61.019,-140,-399.24,30,0.27,-0.49,-0.07,51.67,40,0.0,0.0,0.47,0.0,0,0.0,,0,0,0,0,0,0,0,0,6.0,19.0,13.0,1,,146.0,128.0,6.0,3.0,4.0,2.0,24.33333333333333,0.4866666666666667,1.056338028169014,0.3949771689497717,0.922543352601156,1.0,1.0,1,0.6666666666666666,17.70169374351884,24.0,2,0.0410958904109589,9.733333333333334,BUY,0.868421052631579,0.8918918918918919,-0.0571428571428571,3.0,4.999999997380655,38.0,1.2608695652173914,1.0,0.0,0.0,0.0,46.0,2022,0
LB_20220608_093102_SELL_0001,2022-06-08,discovery,B_CLEAN_BREAKOUT,2022-06-08 13:31:03.007000200+00:00,2022-06-08 13:31:02+00:00,2022-06-08 13:31:03+00:00,SL; MFE<=10; MAE>=SL inicial,BUY,SELL,12648.75,60,60,SL,-60,60,10,09:32:34.911,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-06-08_NY.csv,-260,-275,-338,-336,-388,2,-260,-245,-7.325721496600189,1.0,0.380952380952381,520,580,-5,-3.333333333333333,-2.0,-4,-1.666666666666667,-5,-338,22.0,-31.0,-9.0,-17.69067723591246,-25,-29,-14,-3,2,0.6,0,0.0,0.0,0.933333333333333,0.029585798816568,0.013192612137203,3,1.1,7.650942638212936,-0.48221605297818,-0.430019219875908,0.92427347237898,0.078924694123729,26.0318681865327,7,0.014647596070998,,260,78,-2,580,178,82,0.275862068965517,0.280898876404494,0.51219512195122,6,2.5,0.0,0.010344827586207,0.416666666666667,0.0,0.3,-0.025641025641026,7,1,463,1,2.0,2,2.0,7.28010988928052,10.0995049383621,16.8819430161341,1.05630936457281,2,0,1.0,0,1,,110,50,761,-341,792,5044,-12,-329,16.63,9,0,0,63.007,-155,-76.04,45,0.45,-0.45,0.0,56.67,46,0.0,0.0,0.52,0.0,0,0.0,,0,0,0,0,0,0,0,0,7.0,7.0,0.0,1,,260.0,245.0,5.0,3.333333333333333,4.0,0.8620689655172413,52.0,0.4482758620689655,1.1153846153846154,0.4333333333333333,0.5964497041420118,1.0,1.0,1,0.8,17.69067723591246,25.0,2,0.0192307692307692,26.0,SELL,0.975,0.8666666666666667,-0.0714285714285714,0.0,0.0,40.0,1.25,0.7142857142857143,-0.1666666666666666,0.0,,4.0,2022,0
LB_20220613_093107_SELL_0001,2022-06-13,discovery,A_TRUE_ABSORPTION,2022-06-13 13:31:08.000000100+00:00,2022-06-13 13:31:07+00:00,2022-06-13 13:31:08+00:00,TP; MAE<=10; MFE>=TP inicial,BUY,SELL,11537.5,60,60,TP,60,0,60,09:31:14.022,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-06-13_NY.csv,-110,-134,-152,-179,-136,32,-110,-86,-2.772291249350366,0.970149253731343,0.246575342465753,178,182,0,-1.333333333333333,-0.6,2,0.333333333333333,0,-152,32.0,3.0,35.0,16.555668221456095,10,-5,26,-1,1,0.0,0,0.166666666666667,0.985228136034252,-0.3125,0.026315789473684,0.010309278350515,0,0.5,11.7981869533832,-0.011456435622438,-1.326462728465581,0.952359136058831,0.062664773879538,35.1492685461289,9,0.917866558507402,,110,42,27,182,206,91,0.197802197802198,0.398058252427184,0.351648351648352,1,2.0,-1.0,0.005494505494505,2.0,-0.5,0.381818181818182,0.642857142857143,0,0,0,37,0.4,0,,8.0,12.4899959967968,19.0525588832576,1.028518954453162,2,1,1.0,0,1,,160,15,779,-145,1195,4153,287,-432,1.87,7,0,0,68.0,15,-13.89,15,0.09,-0.19,0.07,86.67,65,0.0,0.0,0.54,0.0,0,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,,110.0,86.0,-0.0,1.333333333333333,-2.0,0.0,440.0,0.6043956043956044,1.0224719101123596,0.4606060606060606,0.7065789473684211,1.0,0.6666666666666666,0,-8.0,-16.555668221456095,-10.0,2,-0.0,440.0,SELL,1.46,1.0,0.0,0.0,420.0000000055297,50.0,,,,0.0,,0.0,2022,1
LB_20220627_093202_SELL_0001,2022-06-27,discovery,B_CLEAN_BREAKOUT,2022-06-27 13:32:03.009000+00:00,2022-06-27 13:32:02+00:00,2022-06-27 13:32:03+00:00,SL; MFE<=10; MAE>=SL inicial,BUY,SELL,12166.25,60,60,SL,-60,60,0,09:32:12.904,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-06-27_NY.csv,-121,-143,-156,-163,-228,4,-121,-99,-2.831692053299826,0.983606557377049,0.238993710691824,171,197,-6,-2.666666666666667,-1.4,-4,-2.666666666666667,-6,-156,30.0,-36.0,-6.0,-20.23932426091037,-19,-27,-6,0,-1,0.6,1,0.333333333333333,0.591672778582328,0.777777777777778,0.051282051282051,0.022346368715084,2,1.4,8.55313106263608,0.08493239366443,-0.837575168487099,0.933267983083748,0.101548568747067,29.8099639564891,12,0.004129516658846,,121,35,7,197,161,127,0.192893401015228,0.391304347826087,0.47244094488189,5,1.0,-1.0,0.025380710659898,0.2,-1.0,0.289256198347107,0.2,10,3,818,0,1.2,2,1.0,8.12403840463596,11.7046999107196,15.8429795177549,1.256061002908648,2,1,1.0,0,1,,150,35,365,-163,-1024,3858,-168,5,11.63,9,0,0,123.009,-180,-119.34,30,0.23,-0.45,-0.04,115.0,85,-0.78,-0.04,0.77,0.0,1,0.0,,0,0,0,0,0,0,0,0,8.0,9.0,1.0,1,,121.0,99.0,6.0,2.666666666666667,4.0,3.045685279187817,20.166666666666668,0.6142131979695431,1.152046783625731,0.4297520661157025,0.6269230769230769,1.0,1.0,1,0.6666666666666666,20.23932426091037,19.0,2,0.0495867768595041,8.066666666666668,SELL,0.375,0.6521739130434783,-0.2105263157894736,0.0,0.0,40.0,3.3684210526315788,1.0,0.0,0.0,0.0,19.0,2022,0
LB_20220720_093414_BUY_0001,2022-07-20,discovery,B_CLEAN_BREAKOUT,2022-07-20 13:34:15.086000+00:00,2022-07-20 13:34:14+00:00,2022-07-20 13:34:15+00:00,SL; MFE<=10; MAE>=SL inicial,SELL,BUY,12301.25,60,60,SL,-60,60,0,09:37:32.635,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-07-20_NY.csv,183,182,184,193,191,183,-8,184,6.70349633598793,1.0,4.893617021276596,153,277,2,0.666666666666667,0.8,2,0.666666666666667,2,184,29.0,2.0,31.0,16.17698300283286,23,9,30,-1,0,1.0,0,0.333333333333333,0.811278124459133,0.5,0.010869565217391,0.005347593582888,1,0.0,8.48823848613152,0.042848200101507,-1.086549562171753,0.94334115471617,0.051203966005666,30.1542981926429,7,0.996104815864023,,183,1,9,277,97,55,0.169675090252708,0.494845360824742,0.418181818181818,2,0.0,1.0,0.007220216606498,0.0,,0.005464480874317,9.0,10,1,903,2,0.8,2,1.0,3.16227766016838,5.56776436283002,10.3440804327886,0.748830864448976,2,0,1.0,0,1,,145,10,1154,322,2990,3113,133,189,0.66,10,0,0,255.086,-155,-52.23,10,0.07,-0.28,-0.04,83.33,88,-0.42,-0.01,0.57,1.16,0,0.0,,0,0,0,0,0,0,0,0,7.0,86.0,79.0,1,,183.0,184.0,2.0,0.666666666666667,2.0,0.7220216606498195,91.5,0.6606498194945848,1.8104575163398693,0.3351548269581056,0.6293478260869565,1.0,1.0,1,1.0,16.17698300283286,23.0,2,0.0109289617486338,73.2,BUY,2.1333333333333333,0.8888888888888888,-0.0588235294117647,1.0,0.0,15.0,2.255813953488372,0.9509803921568628,-0.0251256281407035,0.0,10.000000002037268,43.0,2022,0
LB_20220729_093500_SELL_0001,2022-07-29,discovery,B_CLEAN_BREAKOUT,2022-07-29 13:35:01.099000+00:00,2022-07-29 13:35:00+00:00,2022-07-29 13:35:01+00:00,SL; MFE<=10; MAE>=SL inicial,BUY,SELL,12767.5,60,60,SL,-60,60,0,09:36:00.112,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-07-29_NY.csv,-386,-400,-416,-416,-321,56,-386,-372,-12.47315260910805,1.0,0.303249097472924,591,722,-6,-2.666666666666667,-1.8,-6,-2.0,-6,-416,21.0,-38.0,-17.0,-23.03248996358884,-27,-33,-13,1,2,1.0,0,0.333333333333333,0.863120568566631,0.333333333333333,0.019230769230769,0.009925558312655,1,1.0,9.77230597666896,-0.288260684685062,-0.480582805388804,0.95029873613426,0.045187190738493,38.0291541558339,10,0.018625711884978,,386,30,0,722,84,62,0.232686980609418,0.321428571428571,0.5,6,1.0,0.5,0.008310249307479,0.166666666666667,0.5,0.077720207253886,0.0,10,2,431,-8,1.8,2,43.0,8.0,9.59166304662544,13.4536240470737,1.456553109682571,2,0,1.0,0,1,,105,30,736,-390,-2711,2996,-114,-276,27.3,10,0,2,301.099,-190,-339.62,85,0.29,-0.53,-0.04,95.0,99,-0.35,-0.03,0.9,0.85,3,1.0,,0,0,0,0,0,0,0,0,19.0,99.0,80.0,1,,386.0,372.0,6.0,2.666666666666667,6.0,0.8310249307479224,64.33333333333333,0.5346260387811634,1.22165820642978,0.3592400690846287,0.6,1.0,1.0,1,1.0,23.03248996358884,27.0,2,0.0155440414507772,25.73333333333333,SELL,0.0841121495327102,0.15,-0.7391304347826086,0.0,,107.0,,,,0.0,,0.0,2022,0
LB_20220804_093511_BUY_0001,2022-08-04,discovery,A_TRUE_ABSORPTION,2022-08-04 13:35:12.032000+00:00,2022-08-04 13:35:11+00:00,2022-08-04 13:35:12+00:00,TP; MAE<=10; MFE>=TP inicial,SELL,BUY,13305.0,60,60,TP,60,0,190,09:40:00.065,True,C:\Users\k_99_\Desktop\codding\data_footprint_generator\trade_results_score\score_trade_result_2022-08-04_NY.csv,119,118,176,319,394,119,-6,120,4.464247384558998,1.0,3.163636363636364,201,229,4,2.666666666666667,2.6,2,0.333333333333333,4,176,12.0,21.0,33.0,26.104517691659648,24,14,33,0,1,1.0,0,0.285714285714286,0.543564443199596,0.9375,0.045454545454545,0.017937219730942,5,0.3,9.4807467195612,-0.027702416122562,-0.336725078188282,0.908486912410569,0.05839300758214,34.3179247895729,13,0.999526116259478,,119,57,143,229,217,175,0.240174672489083,0.368663594470046,0.091428571428571,5,2.0,2.5,0.021834061135371,0.4,1.25,0.478991596638655,2.508771929824561,24,3,900,-8,2.6,0,10.0,6.32455532033676,9.32737905308882,12.5698050899765,1.232472045026644,3,0,1.0,0,1,,60,85,1076,354,1728,2392,116,238,7.06,11,2,0,312.032,-165,-75.6,105,1.42,-0.33,-0.05,111.67,101,-0.36,-0.03,1.86,0.66,3,0.67,,0,0,0,0,0,0,0,0,4.0,32.0,28.0,1,,119.0,120.0,4.0,2.666666666666667,2.0,1.7467248908296944,29.75,0.519650655021834,1.1393034825870647,0.4929971988795518,1.0875,1.0,1.0,1,0.5,26.104517691659648,24.0,2,0.0336134453781512,17.849999999999998,BUY,0.75,0.3157894736842105,-0.52,0.0,48.99999999906868,32.0,,,,0.0,,0.0,2022,1
