regime_axis,segment,n,coverage_pct,n_A,n_B,roc_auc,complement_auc,auc_improvement_vs_complement,eligible_year_count,years_auc_at_least_0_60,minimum_eligible_year_auc,both_sides_eligible,auc_year_2022,eligible_year_2022,auc_year_2023,eligible_year_2023,auc_year_2024,eligible_year_2024,auc_side_BUY,eligible_side_BUY,auc_side_SELL,eligible_side_SELL,p_permutation_oof_fixed,q_bh,candidate_regime
VWAP_DISTANCE_ABS,FAR,33,47.142857142857146,11,22,0.78099173553719,0.5964912280701755,0.18450050746701452,3,3,0.75,1,0.75,1,0.8571428571428571,1.0,0.7857142857142857,1,0.8484848484848485,1,0.7636363636363636,1,0.004799040191961607,0.020295940811837634,1
REALIZED_VOL_60S,HIGH,30,42.857142857142854,13,17,0.7782805429864253,0.6276041666666666,0.15067637631975872,2,2,0.7916666666666666,1,0.8080808080808081,1,,,0.7916666666666666,1,0.9666666666666668,1,0.7023809523809523,1,0.007598480303939212,0.021275744851029794,1
FLOW_INTENSITY,LOW,36,51.42857142857143,11,25,0.7563636363636363,0.5798611111111112,0.1765025252525252,3,3,0.7999999999999999,1,0.84375,1,0.8333333333333334,1.0,0.7999999999999999,1,0.8749999999999999,1,0.5714285714285714,1,0.0027994401119776045,0.020295940811837634,1
ATR5,HIGH,29,41.42857142857143,14,15,0.7904761904761906,0.5717948717948718,0.2186813186813188,2,2,0.8024691358024691,1,0.8024691358024691,1,,0.0,0.888888888888889,1,1.0,1,0.5,1,0.005398920215956809,0.020295940811837634,0
PROFILE_CONCENTRATION,DISPERSED,33,47.142857142857146,15,18,0.7592592592592593,0.6180124223602484,0.14124683689901085,3,2,0.16666666666666666,1,0.8518518518518519,1,0.16666666666666666,1.0,0.9166666666666666,1,0.8253968253968254,1,0.6111111111111112,1,0.0057988402319536095,0.020295940811837634,0
OR_WIDTH,WIDE,32,45.714285714285715,15,17,0.7254901960784313,0.6696428571428572,0.05584733893557414,2,2,0.75,1,0.826923076923077,1,,0.0,0.75,1,0.8333333333333334,1,0.6363636363636364,1,0.014597080583883223,0.034059854695727525,0
PATH_EFFICIENCY,ROTATIONAL,35,50.0,13,22,0.6958041958041958,0.6611842105263158,0.03461998527788002,3,3,0.6666666666666667,1,0.8809523809523809,1,0.6666666666666667,1.0,1.0,1,0.8541666666666667,1,0.4666666666666666,1,0.01839632073585283,0.036792641471705655,0
OR_WIDTH,NARROW,38,54.285714285714285,14,24,0.6696428571428572,0.7254901960784313,-0.05584733893557414,2,2,0.65625,1,,0,0.65625,1.0,0.6666666666666666,1,0.76,1,0.4938271604938272,1,0.03479304139172166,0.060887822435512905,0
PATH_EFFICIENCY,DIRECTIONAL,35,50.0,16,19,0.6611842105263158,0.6958041958041958,-0.03461998527788002,3,3,0.71875,1,0.8333333333333334,1,0.71875,1.0,0.8400000000000001,1,0.7638888888888888,1,0.5874999999999999,1,0.046590681863627276,0.07247439401008687,0
REALIZED_VOL_60S,LOW,40,57.142857142857146,16,24,0.6276041666666666,0.7782805429864253,-0.15067637631975872,2,2,0.6515837104072398,1,,0,0.6515837104072398,1.0,0.6666666666666666,1,0.6979166666666666,1,0.4625,1,0.09278144371125775,0.12989402119576085,0
PROFILE_CONCENTRATION,CONCENTRATED,37,52.857142857142854,14,23,0.6180124223602484,0.7592592592592593,-0.14124683689901085,2,1,0.4642857142857143,1,,0,0.7266666666666667,1.0,0.4642857142857143,1,0.7333333333333334,1,0.4747474747474747,1,0.11417716456708658,0.1453163912672011,0
VWAP_DISTANCE_ABS,NEAR,37,52.857142857142854,18,19,0.5964912280701755,0.78099173553719,-0.18450050746701452,3,2,0.5444444444444445,1,0.7666666666666666,1,0.5444444444444445,1.0,0.6666666666666666,1,0.7333333333333334,1,0.3981481481481482,1,0.14517096580683864,0.16936612677464505,0
FLOW_INTENSITY,HIGH,34,48.57142857142857,18,16,0.5798611111111112,0.7563636363636363,-0.1765025252525252,2,1,0.5537190082644629,1,0.76,1,0.5537190082644629,1.0,,0,0.6785714285714286,1,0.5222222222222221,1,0.21575684863027395,0.22695460907818435,0
ATR5,LOW,41,58.57142857142857,15,26,0.5717948717948718,0.7904761904761906,-0.2186813186813188,2,2,0.6417112299465241,1,,0,0.6417112299465241,1.0,0.65,1,0.6428571428571428,1,0.5,1,0.22695460907818435,0.22695460907818435,0
