test_year,regime_axis,source_feature,absolute_transform,training_threshold,training_years
2022,ATR5,Prior_Closed_ATR5_Ticks_AtEntry,False,49.5,"2023,2024"
2022,OR_WIDTH,OR_WidthTicks,False,16.0,"2023,2024"
2022,REALIZED_VOL_60S,Realized_Volatility_60s_Ticks,False,10.747067454516301,"2023,2024"
2022,PATH_EFFICIENCY,PreBurst_Path_Efficiency_10s,False,0.666666666666667,"2023,2024"
2022,FLOW_INTENSITY,Flow_3_5_GrossAggressive,False,119.5,"2023,2024"
2022,VWAP_DISTANCE_ABS,Directional_VWAP_Distance_Ticks_AtEntry,True,136.565,"2023,2024"
2022,PROFILE_CONCENTRATION,Profile_Concentration,False,0.10403990655658349,"2023,2024"
2023,ATR5,Prior_Closed_ATR5_Ticks_AtEntry,False,63.5,"2022,2024"
2023,OR_WIDTH,OR_WidthTicks,False,24.0,"2022,2024"
2023,REALIZED_VOL_60S,Realized_Volatility_60s_Ticks,False,14.71314426293975,"2022,2024"
2023,PATH_EFFICIENCY,PreBurst_Path_Efficiency_10s,False,0.6317733990147785,"2022,2024"
2023,FLOW_INTENSITY,Flow_3_5_GrossAggressive,False,88.0,"2022,2024"
2023,VWAP_DISTANCE_ABS,Directional_VWAP_Distance_Ticks_AtEntry,True,161.385,"2022,2024"
2023,PROFILE_CONCENTRATION,Profile_Concentration,False,0.072650346326051,"2022,2024"
2024,ATR5,Prior_Closed_ATR5_Ticks_AtEntry,False,53.5,"2022,2023"
2024,OR_WIDTH,OR_WidthTicks,False,21.0,"2022,2023"
2024,REALIZED_VOL_60S,Realized_Volatility_60s_Ticks,False,11.57382140707605,"2022,2023"
2024,PATH_EFFICIENCY,PreBurst_Path_Efficiency_10s,False,0.6339285714285715,"2022,2023"
2024,FLOW_INTENSITY,Flow_3_5_GrossAggressive,False,134.5,"2022,2023"
2024,VWAP_DISTANCE_ABS,Directional_VWAP_Distance_Ticks_AtEntry,True,131.08499999999998,"2022,2023"
2024,PROFILE_CONCENTRATION,Profile_Concentration,False,0.0806958882954055,"2022,2023"
