section,from_date,to_date,sessions_with_trade_in_legacy
2022-Q2,2022-04-04,2022-06-30,59
2022-Q3,2022-07-01,2022-09-30,59
2022-Q4,2022-10-03,2022-11-04,24
2023-Q1,2023-03-14,2023-03-30,10
2023-Q2,2023-04-06,2023-06-30,47
2023-Q3,2023-07-06,2023-09-28,48
2023-Q4,2023-10-02,2023-11-02,20
2024-Q1,2024-03-11,2024-03-28,12
2024-Q2,2024-04-01,2024-06-28,45
2024-Q3,2024-07-01,2024-09-27,46
2024-Q4,2024-10-01,2024-11-01,17
2025-Q1,2025-03-10,2025-03-31,14
2025-Q2,2025-04-01,2025-06-26,42
2025-Q3,2025-07-07,2025-09-30,38
2025-Q4,2025-10-01,2025-10-31,19
2026-Q1,2026-03-13,2026-03-31,10
2026-Q2,2026-04-01,2026-06-30,51
2026-Q3,2026-07-08,2026-07-10,3
