setup,filter,tp,sl,trades,wr,pf,expectancy,profit,dd,avg_mfe,avg_mae,avg_rr,std,test_trades,test_pf,test_exp,train_trades,train_pf,train_exp,active_months,monthly_pf_median,monthly_pf_cv,monthly_exp_cv,monthly_wr_cv,monthly_trades_cv,bad_months_pf_lt_1,robust_score
cvd=Excelente | TP=100 SL=40,cvd=Excelente,100,40,342,73.68421052631578,3.024141833270464,15.690058479532164,5366.0,120.0,27.280701754385966,15.90643274853801,1.0800506547394515,31.02969659800611,105,4.275449101796407,20.83809523809524,237,2.6026222894604136,13.40928270042194,39,3.0,0.6960289110823945,0.7224865633975963,0.21328249974647187,0.4349897873283275,2,494.70101908478193
cvd=Excelente | TP=120 SL=40,cvd=Excelente,120,40,342,73.68421052631578,3.02263296869106,15.678362573099415,5362.0,120.0,27.280701754385966,15.90643274853801,1.0795117745325213,30.998563011015857,105,4.269461077844311,20.8,237,2.6026222894604136,13.40928270042194,39,3.0,0.696365556600878,0.7227755376329483,0.21328249974647187,0.4349897873283275,2,494.005128960489
cvd=Excelente | TP=150 SL=40,cvd=Excelente,150,40,342,73.68421052631578,3.02263296869106,15.678362573099415,5362.0,120.0,27.280701754385966,15.90643274853801,1.0795117745325213,30.998563011015857,105,4.269461077844311,20.8,237,2.6026222894604136,13.40928270042194,39,3.0,0.696365556600878,0.7227755376329483,0.21328249974647187,0.4349897873283275,2,494.005128960489
cvd=Excelente | TP=200 SL=40,cvd=Excelente,200,40,342,73.68421052631578,3.02263296869106,15.678362573099415,5362.0,120.0,27.280701754385966,15.90643274853801,1.0795117745325213,30.998563011015857,105,4.269461077844311,20.8,237,2.6026222894604136,13.40928270042194,39,3.0,0.696365556600878,0.7227755376329483,0.21328249974647187,0.4349897873283275,2,494.005128960489
cvd=Excelente | TP=80 SL=40,cvd=Excelente,80,40,342,73.68421052631578,3.019615239532252,15.654970760233919,5354.0,120.0,27.280701754385966,15.90643274853801,1.0784340141186615,30.93618853612768,105,4.251497005988024,20.685714285714287,237,2.6046394351991933,13.426160337552743,39,3.0,0.700007595316454,0.7246710151364659,0.21328249974647187,0.4349897873283275,2,492.2496748773061
cvd=Excelente | TP=100 SL=30,cvd=Excelente,100,30,342,71.9298245614035,3.1611179613645706,15.374269005847953,5258.0,100.0,27.280701754385966,15.90643274853801,1.2336070093130032,29.19095255967015,105,4.099848714069592,19.514285714285716,237,2.8109480812641086,13.540084388185655,39,3.0,0.6425027452230554,0.8133124990353038,0.26561914668448344,0.4349897873283275,1,488.7395420801151
cvd=Excelente | TP=120 SL=30,cvd=Excelente,120,30,342,71.9298245614035,3.1594739005343198,15.362573099415204,5254.0,100.0,27.280701754385966,15.90643274853801,1.232965424598759,29.157728659376392,105,4.093797276853253,19.476190476190474,237,2.8109480812641086,13.540084388185655,39,3.0,0.6426492628140729,0.8134558862767508,0.26561914668448344,0.4349897873283275,1,488.0756849241354
cvd=Excelente | TP=150 SL=30,cvd=Excelente,150,30,342,71.9298245614035,3.1594739005343198,15.362573099415204,5254.0,100.0,27.280701754385966,15.90643274853801,1.232965424598759,29.157728659376392,105,4.093797276853253,19.476190476190474,237,2.8109480812641086,13.540084388185655,39,3.0,0.6426492628140729,0.8134558862767508,0.26561914668448344,0.4349897873283275,1,488.0756849241354
cvd=Excelente | TP=200 SL=30,cvd=Excelente,200,30,342,71.9298245614035,3.1594739005343198,15.362573099415204,5254.0,100.0,27.280701754385966,15.90643274853801,1.232965424598759,29.157728659376392,105,4.093797276853253,19.476190476190474,237,2.8109480812641086,13.540084388185655,39,3.0,0.6426492628140729,0.8134558862767508,0.26561914668448344,0.4349897873283275,1,488.0756849241354
cvd=Excelente | TP=80 SL=30,cvd=Excelente,80,30,342,71.9298245614035,3.156185778873818,15.339181286549708,5246.0,100.0,27.280701754385966,15.90643274853801,1.2316822551702706,29.09115287965281,105,4.075642965204236,19.36190476190476,237,2.8132054176072234,13.556962025316455,39,3.0,0.6459110163438144,0.815152936035124,0.26561914668448344,0.4349897873283275,1,486.3765309531881
cvd=Excelente | TP=60 SL=40,cvd=Excelente,60,40,342,73.68421052631578,3.000377216144851,15.505847953216374,5303.0,120.0,27.280701754385966,15.90643274853801,1.071563291480304,30.660925313299384,105,4.1946107784431135,20.323809523809523,237,2.5980837115481594,13.371308016877638,39,3.0,0.6918487228882921,0.7360107155376531,0.21328249974647187,0.4349897873283275,2,481.3807677401208
