rule,high_cut,low_cut,trades,profit_usd,expectancy_usd,dd_usd,pf,test_expectancy_usd,test_dd_usd,avg_contracts,c1,c3,c4,risk_score
top 10% -> 4c | mid -> 3c | bottom 30% -> 1c,9.0,8.0,342,33510.0,97.98245614035088,1895.0,2.6286755771567436,143.23809523809524,405.0,1.3421052631578947,303,0,39,3.6240832338631948
top 10% -> 4c | mid -> 3c | bottom 40% -> 1c,9.0,8.0,342,33510.0,97.98245614035088,1895.0,2.6286755771567436,143.23809523809524,405.0,1.3421052631578947,303,0,39,3.6240832338631948
top 20% -> 4c | mid -> 3c | bottom 30% -> 1c,8.0,8.0,342,33510.0,97.98245614035088,1895.0,2.6286755771567436,143.23809523809524,405.0,1.3421052631578947,303,0,39,3.6240832338631948
top 20% -> 4c | mid -> 3c | bottom 40% -> 1c,8.0,8.0,342,33510.0,97.98245614035088,1895.0,2.6286755771567436,143.23809523809524,405.0,1.3421052631578947,303,0,39,3.6240832338631948
top 30% -> 4c | mid -> 3c | bottom 30% -> 1c,8.0,8.0,342,33510.0,97.98245614035088,1895.0,2.6286755771567436,143.23809523809524,405.0,1.3421052631578947,303,0,39,3.6240832338631948
top 30% -> 4c | mid -> 3c | bottom 40% -> 1c,8.0,8.0,342,33510.0,97.98245614035088,1895.0,2.6286755771567436,143.23809523809524,405.0,1.3421052631578947,303,0,39,3.6240832338631948
top 40% -> 4c | mid -> 3c | bottom 30% -> 1c,8.0,8.0,342,33510.0,97.98245614035088,1895.0,2.6286755771567436,143.23809523809524,405.0,1.3421052631578947,303,0,39,3.6240832338631948
top 40% -> 4c | mid -> 3c | bottom 40% -> 1c,8.0,8.0,342,33510.0,97.98245614035088,1895.0,2.6286755771567436,143.23809523809524,405.0,1.3421052631578947,303,0,39,3.6240832338631948
top 10% -> 4c | mid -> 3c | bottom 10% -> 1c,9.0,6.0,342,71120.0,207.953216374269,1900.0,2.862511457378552,273.3333333333333,1200.0,2.7514619883040936,62,241,39,2.334027674468575
top 10% -> 4c | mid -> 3c | bottom 20% -> 1c,9.0,7.0,342,68920.0,201.5204678362573,1900.0,2.9046566256736215,266.95238095238096,1200.0,2.652046783625731,79,224,39,2.2795399203956155
top 20% -> 4c | mid -> 3c | bottom 10% -> 1c,8.0,6.0,342,88825.0,259.72222222222223,2400.0,2.931398130028267,335.1904761904762,1600.0,3.4064327485380117,62,17,263,2.1466751917139764
top 30% -> 4c | mid -> 3c | bottom 10% -> 1c,8.0,6.0,342,88825.0,259.72222222222223,2400.0,2.931398130028267,335.1904761904762,1600.0,3.4064327485380117,62,17,263,2.1466751917139764
top 40% -> 4c | mid -> 3c | bottom 10% -> 1c,8.0,6.0,342,88825.0,259.72222222222223,2400.0,2.931398130028267,335.1904761904762,1600.0,3.4064327485380117,62,17,263,2.1466751917139764
top 20% -> 4c | mid -> 3c | bottom 20% -> 1c,8.0,7.0,342,86625.0,253.28947368421052,2400.0,2.9691975448965673,328.8095238095238,1600.0,3.307017543859649,79,0,263,2.1058093761592565
top 30% -> 4c | mid -> 3c | bottom 20% -> 1c,8.0,7.0,342,86625.0,253.28947368421052,2400.0,2.9691975448965673,328.8095238095238,1600.0,3.307017543859649,79,0,263,2.1058093761592565
top 40% -> 4c | mid -> 3c | bottom 20% -> 1c,8.0,7.0,342,86625.0,253.28947368421052,2400.0,2.9691975448965673,328.8095238095238,1600.0,3.307017543859649,79,0,263,2.1058093761592565
