BurstId,fecha,year,family,burst_side,Profile_Local_Maxima_Count,Previous_Delta_AtEntry,Pre_Approach_Pause_Seconds,Prior_Closed_ATR3_Ticks_AtEntry,Prior_Closed_ATR5_Ticks_AtEntry,Flow_3_5_DirectionalNetDelta,Flow_3_5_GrossAggressive,BuySellRatio,Directional_VWAP_Distance_Ticks_AtEntry,Signal_To_Entry_Latency_Milliseconds
LB_20220405_093200_BUY_0001,2022-04-05,2022,A_TRUE_ABSORPTION,BUY,9,-85,0,81.67,68,11,67,3.904255319148936,14.73,26.0
LB_20220427_093500_BUY_0001,2022-04-27,2022,A_TRUE_ABSORPTION,BUY,25,-41,1,110.0,142,-42,78,3.951388888888889,-174.94,7.0
LB_20220504_093301_SELL_0001,2022-05-04,2022,A_TRUE_ABSORPTION,SELL,9,-26,1,110.0,84,1,33,0.088461538461538,-159.65,5.0
LB_20220520_093501_SELL_0001,2022-05-20,2022,B_CLEAN_BREAKOUT,SELL,11,241,1,110.0,135,-20,58,0.356115107913669,-173.7,5.0
LB_20220527_093100_BUY_0001,2022-05-27,2022,B_CLEAN_BREAKOUT,BUY,8,401,0,51.67,40,93,255,2.896103896103896,-399.24,19.0
LB_20220608_093102_SELL_0001,2022-06-08,2022,B_CLEAN_BREAKOUT,SELL,7,-12,2,56.67,46,-2,82,0.380952380952381,-76.04,7.0
LB_20220613_093107_SELL_0001,2022-06-13,2022,A_TRUE_ABSORPTION,SELL,9,287,0,86.67,65,27,91,0.246575342465753,-13.89,0.0
LB_20220627_093202_SELL_0001,2022-06-27,2022,B_CLEAN_BREAKOUT,SELL,12,-168,2,115.0,85,7,127,0.238993710691824,-119.34,9.0
LB_20220720_093414_BUY_0001,2022-07-20,2022,B_CLEAN_BREAKOUT,BUY,7,133,2,83.33,88,9,55,4.893617021276596,-52.23,86.0
LB_20220729_093500_SELL_0001,2022-07-29,2022,B_CLEAN_BREAKOUT,SELL,10,-114,2,95.0,99,0,62,0.303249097472924,-339.62,99.0
LB_20220804_093511_BUY_0001,2022-08-04,2022,A_TRUE_ABSORPTION,BUY,13,116,0,111.67,101,143,175,3.163636363636364,-75.6,32.0
LB_20220809_093105_SELL_0001,2022-08-09,2022,B_CLEAN_BREAKOUT,SELL,6,82,0,58.33,47,44,170,0.326359832635983,-245.03,48.0
LB_20220815_093300_BUY_0001,2022-08-15,2022,B_CLEAN_BREAKOUT,BUY,11,456,2,85.0,59,-11,81,5.568181818181818,-203.03,53.0
LB_20220817_093558_BUY_0001,2022-08-17,2022,A_TRUE_ABSORPTION,BUY,12,126,1,71.67,77,70,162,3.815384615384615,-18.6,26.0
LB_20220831_093400_SELL_0001,2022-08-31,2022,B_CLEAN_BREAKOUT,SELL,13,238,2,91.67,95,-24,84,0.313609467455621,-18.6,39.0
LB_20220901_093124_SELL_0002,2022-09-01,2022,B_CLEAN_BREAKOUT,SELL,7,236,1,56.67,45,74,184,0.262096774193548,-44.75,53.0
LB_20220928_093328_SELL_0001,2022-09-28,2022,B_CLEAN_BREAKOUT,SELL,8,-36,3,120.0,88,-3,77,0.263565891472868,188.82,39.0
LB_20221025_093119_BUY_0001,2022-10-25,2022,B_CLEAN_BREAKOUT,BUY,5,34,0,70.0,58,28,94,5.131147540983607,-262.58,76.0
LB_20221026_093108_SELL_0002,2022-10-26,2022,A_TRUE_ABSORPTION,SELL,10,-643,0,80.0,62,-10,166,0.354014598540146,-304.34,77.0
LB_20221027_093628_SELL_0001,2022-10-27,2022,A_TRUE_ABSORPTION,SELL,14,23,0,113.33,116,55,229,0.336734693877551,-113.65,53.0
LB_20221028_093127_BUY_0001,2022-10-28,2022,B_CLEAN_BREAKOUT,BUY,10,578,3,85.0,74,-38,142,3.397260273972603,-451.62,46.0
LB_20221103_093349_BUY_0001,2022-11-03,2022,A_TRUE_ABSORPTION,BUY,12,-6,1,116.67,90,62,160,2.263565891472868,98.08,21.0
LB_20230321_093130_BUY_0001,2023-03-21,2023,B_CLEAN_BREAKOUT,BUY,5,298,0,45.0,35,1,95,8.782608695652174,-228.93,49.99
LB_20230328_093202_SELL_0001,2023-03-28,2023,B_CLEAN_BREAKOUT,SELL,5,-323,1,55.0,43,27,59,0.230379746835443,-120.95,22.95
LB_20230404_093600_SELL_0001,2023-04-04,2023,A_TRUE_ABSORPTION,SELL,6,-103,1,40.0,48,14,60,0.189189189189189,-86.25,53.74
LB_20230419_093353_SELL_0001,2023-04-19,2023,A_TRUE_ABSORPTION,SELL,7,111,2,68.33,49,14,126,0.4279176201373,15.02,64.84
LB_20230426_093201_SELL_0001,2023-04-26,2023,A_TRUE_ABSORPTION,SELL,8,-565,1,70.0,59,127,245,0.368231046931408,-85.57,55.94
LB_20230503_093500_BUY_0001,2023-05-03,2023,B_CLEAN_BREAKOUT,BUY,2,267,3,53.33,53,3,59,4.454545454545455,-17.03,53.01
LB_20230511_093202_SELL_0001,2023-05-11,2023,B_CLEAN_BREAKOUT,SELL,8,-380,3,53.33,40,4,120,0.258461538461538,-133.39,23.83
LB_20230518_093436_BUY_0001,2023-05-18,2023,B_CLEAN_BREAKOUT,BUY,6,151,3,36.67,36,-12,32,5.724137931034483,-87.14,130.02
LB_20230522_093356_BUY_0001,2023-05-22,2023,B_CLEAN_BREAKOUT,BUY,6,36,2,56.67,42,72,176,2.226415094339623,-77.83,65.92
LB_20230526_093357_BUY_0001,2023-05-26,2023,A_TRUE_ABSORPTION,BUY,6,-76,0,53.33,40,25,171,2.66,-166.96,20.6
