section,segment,metric,value,n
Overall,ALL,sessions,50.0,50
Overall,ALL,sessions_with_first_minute_lvn,20.0,50
Overall,ALL,lvn_occurrence_day_rate,0.4,50
Overall,ALL,lvn_nodes,28.0,28
Overall,ALL,retest_events,67.0,67
Overall,ALL,retests_per_lvn,2.392857142857143,28
Shape occurrence,double,days_with_lvn,2.0,2
Shape occurrence,double,lvn_nodes,2.0,2
Shape occurrence,double,nodes_with_retest_rate,1.0,2
Shape occurrence,double,mean_retests_per_node,4.0,2
Shape occurrence,trend_down,days_with_lvn,4.0,6
Shape occurrence,trend_down,lvn_nodes,6.0,6
Shape occurrence,trend_down,nodes_with_retest_rate,1.0,6
Shape occurrence,trend_down,mean_retests_per_node,3.0,6
Shape occurrence,trend_up,days_with_lvn,3.0,3
Shape occurrence,trend_up,lvn_nodes,3.0,3
Shape occurrence,trend_up,nodes_with_retest_rate,0.6666666666666666,3
Shape occurrence,trend_up,mean_retests_per_node,1.3333333333333333,3
Shape occurrence,unknown,days_with_lvn,11.0,17
Shape occurrence,unknown,lvn_nodes,17.0,17
Shape occurrence,unknown,nodes_with_retest_rate,0.8823529411764706,17
Shape occurrence,unknown,mean_retests_per_node,2.176470588235294,17
Monthly occurrence,2022-04,days_with_lvn,7.0,13
Monthly occurrence,2022-04,lvn_nodes,13.0,13
Monthly occurrence,2022-04,nodes_with_retest,11.0,13
Monthly occurrence,2022-05,days_with_lvn,9.0,10
Monthly occurrence,2022-05,lvn_nodes,10.0,10
Monthly occurrence,2022-05,nodes_with_retest,10.0,10
Monthly occurrence,2022-06,days_with_lvn,4.0,5
Monthly occurrence,2022-06,lvn_nodes,5.0,5
Monthly occurrence,2022-06,nodes_with_retest,4.0,5
Overall,ALL,active_months,3.0,3
Overall,ALL,mean_events_per_month,22.333333333333332,3
Overall,ALL,median_events_per_month,21.0,3
Overall,ALL,mean_mfe_ticks,147.5,67
Overall,ALL,mean_mae_ticks,141.53225806451613,67
Overall,ALL,median_mfe_mae_ratio,1.0952380952380953,61
Shape cohort,double,events,8.0,8
Shape cohort,double,unique_days,2.0,8
Shape cohort,double,events_per_month,2.6666666666666665,8
Shape cohort,double,mfe_ticks_median,40.0,7
Shape cohort,double,mfe_ticks_mean,95.0,7
Shape cohort,double,mfe_ticks_p90,217.0000000000001,7
Shape cohort,double,mfe_ticks_max,385.0,7
Shape cohort,double,mae_ticks_median,150.0,8
Shape cohort,double,time_to_mfe_seconds_median,60.0,7
Shape cohort,trend_down,events,18.0,18
Shape cohort,trend_down,unique_days,4.0,18
Shape cohort,trend_down,events_per_month,6.0,18
Shape cohort,trend_down,mfe_ticks_median,75.0,16
Shape cohort,trend_down,mfe_ticks_mean,112.5,16
Shape cohort,trend_down,mfe_ticks_p90,295.0,16
Shape cohort,trend_down,mfe_ticks_max,370.0,16
Shape cohort,trend_down,mae_ticks_median,135.0,18
