date,symbol,rth_open,open_vs_context_value,open_vs_context_poc,premarket_high,premarket_low,premarket_range_ticks,or_high,or_low,or_width_ticks,or_delta,or_volume,or_vwap,minute_profile_poc,previous_rth_close,gap_points,gap_ticks,gap_available,atr_points,atr_ticks,atr_available,context_profile_start,context_profile_end,context_has_data,context_hvn_count,context_lvn_count,context_hvn_prices,context_lvn_prices,context_total_volume,context_bid_volume,context_ask_volume,context_delta,context_poc,context_poc_volume,context_vah,context_val,context_value_area_actual_pct,context_high,context_low,context_level_step,context_level_step_ticks,context_profile_width_ticks,context_value_area_width_ticks,context_price_level_count,context_occupied_price_level_count,context_empty_level_count,context_upper_volume,context_lower_volume,context_upper_lower_ratio,context_upper_volume_share,context_lower_volume_share,context_center_of_mass,context_skewness,context_kurtosis_excess,context_entropy,context_max_level_volume_share,context_volume_slope,context_poc_position,context_center_of_mass_position,context_source_rows,context_profile_shape,context_shape_confidence_score,context_prob_D,context_prob_P,context_prob_b,context_prob_double,context_prob_trend_up,context_prob_trend_down,context_prob_unknown,context_distribution_count,context_double_mode_separation,context_double_valley_depth,context_shape_probability_type,minute_profile_start,minute_profile_end,minute_has_data,minute_hvn_count,minute_lvn_count,minute_hvn_prices,minute_lvn_prices,minute_total_volume,minute_bid_volume,minute_ask_volume,minute_delta,minute_poc,minute_poc_volume,minute_vah,minute_val,minute_value_area_actual_pct,minute_high,minute_low,minute_level_step,minute_level_step_ticks,minute_profile_width_ticks,minute_value_area_width_ticks,minute_price_level_count,minute_occupied_price_level_count,minute_empty_level_count,minute_upper_volume,minute_lower_volume,minute_upper_lower_ratio,minute_upper_volume_share,minute_lower_volume_share,minute_center_of_mass,minute_skewness,minute_kurtosis_excess,minute_entropy,minute_max_level_volume_share,minute_volume_slope,minute_poc_position,minute_center_of_mass_position,minute_source_rows,minute_profile_shape,minute_shape_confidence_score,minute_prob_D,minute_prob_P,minute_prob_b,minute_prob_double,minute_prob_trend_up,minute_prob_trend_down,minute_prob_unknown,minute_distribution_count,minute_double_mode_separation,minute_double_valley_depth,minute_shape_probability_type,first_minute_lvn_count,retest_event_count,has_any_retest
2022-04-04,NQ,14896.25,INSIDE_VALUE,AT_POC,14916.25,14878.75,150.0,14916.25,14893.75,90.0,-44.0,4100.0,14906.405792682926,14911.25,,,,False,,,False,08:30:00,09:30:00,True,2,0,14896.25|14912.50,,13268.0,7002.0,6266.0,-736.0,14896.25,1380.0,14907.5,14890.0,0.7008592101296353,14916.25,14878.75,1.25,5.0,150.0,70.0,31,31,0,6311.0,5577.0,1.131611977765824,0.475655712993669,0.42033463973470003,14896.474412119385,0.1304834539832442,-0.3174419685596428,0.9183519867825717,0.10400964727163099,-0.04771213183730715,0.4666666666666667,0.4726509898502748,298,double,0.29795032195366844,0.15577370077851482,0.06051506237464986,0.05806641632383098,0.29795032195366844,0.07157613782306062,0.1334207369813775,0.22269762376489768,2,0.3,0.6120471777590564,MATHEMATICAL_PROTOTYPE_NOT_CALIBRATED,09:30:00,09:31:00,True,2,0,14897.50|14911.25,,4100.0,2072.0,2028.0,-44.0,14911.25,501.0,14913.75,14903.75,0.7014634146341463,14916.25,14893.75,1.25,5.0,90.0,40.0,19,19,0,702.0,2897.0,0.24231964100793923,0.17121951219512196,0.7065853658536585,14906.405792682926,-0.4087387522309062,-0.8842523560252977,0.9315668061997593,0.12219512195121951,0.14531988654270409,0.7777777777777778,0.562479674796729,19,trend_up,0.41483399932491205,0.06701368356398738,0.06588601938911173,0.06609608040307308,0.09914943117772189,0.41483399932491205,0.06994089187937506,0.2170798942618188,3,0.2777777777777778,0.161849710982659,MATHEMATICAL_PROTOTYPE_NOT_CALIBRATED,0,0,False
2022-04-05,NQ,15106.25,BELOW_VAL,BELOW_POC,15127.5,15101.25,105.0,15130.0,15096.25,135.0,104.0,5268.0,15113.074696279424,15106.25,,,,False,,,False,08:30:00,09:30:00,True,1,0,15106.25,,12982.0,6505.0,6477.0,-28.0,15118.75,1064.0,15123.75,15108.75,0.7159913726698506,15127.5,15101.25,1.25,5.0,105.0,60.0,22,22,0,3070.0,8848.0,0.3469710669077758,0.23648128177476507,0.681559081805577,15114.041750115544,-0.22082173491886345,-1.1099339971047533,0.9418241485090986,0.08195963641965799,-0.03857098279295083,0.6666666666666666,0.48730476630645125,306,double,0.5137748753435323,0.06586831455293639,0.05474911766624933,0.057152493050383564,0.5137748753435323,0.07417528929837112,0.11467914720232836,0.11960076288619893,2,0.47619047619047616,0.5172413793103448,MATHEMATICAL_PROTOTYPE_NOT_CALIBRATED,09:30:00,09:31:00,True,3,0,15106.25|15113.75|15125.00,,5268.0,2582.0,2686.0,104.0,15106.25,358.0,15120.0,15098.75,0.7012148823082763,15130.0,15096.25,1.25,5.0,135.0,85.0,28,28,0,3533.0,1377.0,2.5657225853304286,0.6706529992406985,0.2613895216400911,15113.074696279424,0.09615428661195992,-1.2419911907033736,0.9674278722741265,0.06795747911921032,-0.004375705204062101,0.2962962962962963,0.49850951939033283,28,double,0.6551706949409642,0.047415537862988626,0.045136513559640094,0.04478520558962442,0.6551706949409642,0.07142668238109753,0.07510076220966576,0.060964603456019284,3,0.5555555555555556,0.53125,MATHEMATICAL_PROTOTYPE_NOT_CALIBRATED,0,0,False
2022-04-06,NQ,14603.75,INSIDE_VALUE,BELOW_POC,14617.5,14585.0,130.0,14635.0,14595.0,160.0,852.0,5852.0,14614.855818523582,14627.5,,,,False,,,False,08:30:00,09:30:00,True,1,0,14588.75,,16991.0,8303.0,8688.0,385.0,14606.25,1191.0,14610.0,14596.25,0.7269731034076864,14617.5,14585.0,1.25,5.0,130.0,55.0,27,27,0,4798.0,11002.0,0.4361025268133067,0.2823847919486787,0.6475192749102466,14602.384129833441,-0.2383916040063414,-0.5421681437401,0.9267596854654492,0.07009593314107469,0.10272813295483334,0.6538461538461539,0.5348963025674144,330,unknown,0.38248819505470216,0.08554246234727955,0.06712641090561781,0.07052526025480335,0.07272899986798938,0.24551989558255666,0.07606877598705115,0.38248819505470216,2,0.19230769230769232,0.046096826499884225,MATHEMATICAL_PROTOTYPE_NOT_CALIBRATED,09:30:00,09:31:00,True,3,2,14605.00|14620.00|14627.50,14613.75|14621.25,5852.0,2500.0,3352.0,852.0,14627.5,380.0,14633.75,14606.25,0.7088174982911825,14635.0,14595.0,1.25,5.0,160.0,110.0,33,33,0,925.0,4547.0,0.20343083351660435,0.15806561859193438,0.7769993164730007,14614.855818523582,0.008452466492523252,-1.3941565956699005,0.9486894278861341,0.06493506493506493,-0.009499014916971558,0.8125,0.4963954630895387,33,double,0.8877056169613352,0.015699462770152967,0.015401084010318904,0.01543321008809755,0.8877056169613352,0.02378683257190706,0.026572741648288253,0.015401051949899961,3,0.5625,0.7928221859706363,MATHEMATICAL_PROTOTYPE_NOT_CALIBRATED,2,5,True
2022-04-07,NQ,14467.5,INSIDE_VALUE,ABOVE_POC,14523.75,14451.25,290.0,14490.0,14460.0,120.0,-4.0,4288.0,14472.012301772387,14463.75,,,,False,,,False,08:30:00,09:30:00,True,2,0,14498.75|14518.75,,20959.0,10645.0,10314.0,-331.0,14462.5,860.0,14493.75,14452.5,0.7002242473400448,14523.75,14451.25,1.25,5.0,290.0,165.0,59,59,0,16616.0,3483.0,4.770600057421762,0.7927859153585571,0.1661815926332363,14482.589042893267,0.4671827400744434,-1.187749996565093,0.9450757885701787,0.0410324920082065,-0.1622841939298384,0.15517241379310345,0.43226266059678764,451,trend_down,0.4752939892569855,0.0638900498522933,0.06335466468838385,0.06326670457585136,0.09586088145051215,0.0662915170758636,0.4752939892569855,0.1720421931001102,3,0.22413793103448276,0.20393474088291752,MATHEMATICAL_PROTOTYPE_NOT_CALIBRATED,09:30:00,09:31:00,True,2,1,14463.75|14485.00,14482.50,4288.0,2146.0,2142.0,-4.0,14463.75,351.0,14476.25,14461.25,0.707089552238806,14490.0,14460.0,1.25,5.0,120.0,60.0,25,25,0,3410.0,527.0,6.470588235294118,0.7952425373134329,0.12290111940298508,14472.012301772387,0.41313114872931295,-0.8684917096102884,0.9457978967892756,0.08185634328358209,-0.26953320184089424,0.125,0.40041005907957394,25,trend_down,0.7369894947229482,0.042245206418900026,0.04200635885387538,0.041966259966422295,0.045660396631559116,0.04235352260253073,0.7369894947229482,0.04877876080376426,3,0.2916666666666667,0.03181818181818186,MATHEMATICAL_PROTOTYPE_NOT_CALIBRATED,1,2,True
2022-04-08,NQ,14468.75,INSIDE_VALUE,BELOW_POC,14571.25,14461.25,440.0,14473.75,14441.25,130.0,-6.0,5146.0,14456.484891177613,14452.5,,,,False,,,False,08:30:00,09:30:00,True,9,5,14487.50|14497.50|14501.25|14507.50|14521.25|14528.75|14537.50|14548.75|14567.50,14495.00|14502.50|14510.00|14536.25|14540.00,25953.0,13683.0,12270.0,-1413.0,14487.5,1063.0,14520.0,14462.5,0.718914961661465,14571.25,14461.25,1.25,5.0,440.0,230.0,89,89,0,14823.0,10067.0,1.472434687593126,0.5711478441798636,0.38789349978807847,14501.521500404577,0.555564507302011,-0.7411881780537888,0.9198343842430384,0.04095865603205795,-0.21548722610377663,0.23863636363636365,0.3661045491325157,417,trend_down,0.5095131013904496,0.028710294935190676,0.027580464968551453,0.027584176565363914,0.347605751868122,0.02782646750344513,0.5095131013904496,0.031179742768877344,3,0.3068181818181818,0.9096612296110413,MATHEMATICAL_PROTOTYPE_NOT_CALIBRATED,09:30:00,09:31:00,True,1,0,14463.75,,5146.0,2576.0,2570.0,-6.0,14452.5,496.0,14463.75,14446.25,0.7462106490478041,14473.75,14441.25,1.25,5.0,130.0,70.0,27,27,0,2903.0,1747.0,1.6617057813394391,0.5641274776525457,0.33948698017877965,14456.484891177613,0.3690247915040074,-0.9247596459496954,0.9361979373556907,0.0963855421686747,-0.06686827956989243,0.34615384615384615,0.46876588238810657,27,double,0.43594755913484295,0.07486596490564307,0.05881640440907465,0.05642606898464785,0.43594755913484295,0.06815087438072663,0.15646509108025564,0.14932803710480913,2,0.4230769230769231,0.532795156407669,MATHEMATICAL_PROTOTYPE_NOT_CALIBRATED,0,0,False
2022-04-11,NQ,14158.75,INSIDE_VALUE,BELOW_POC,14175.0,14133.75,165.0,14177.5,14153.75,95.0,172.0,5054.0,14163.782400079146,14163.75,,,,False,,,False,08:30:00,09:30:00,True,1,0,14136.25,,16829.0,8083.0,8746.0,663.0,14165.0,1183.0,14171.25,14155.0,0.7500742765464377,14175.0,14133.75,1.25,5.0,165.0,65.0,34,34,0,5742.0,9904.0,0.5797657512116317,0.3411967437162042,0.5885079327351596,14160.86428189435,-0.6279519077603394,-0.11483499923350315,0.8981407953308234,0.07029532354863628,0.37236125219318483,0.7575757575757576,0.6573159247115131,424,trend_up,0.8282459665904688,0.02737512203694274,0.024345834228965704,0.02457176635730081,0.04694477648419581,0.8282459665904688,0.024274460443032143,0.024242073859094125,2,0.2727272727272727,0.26655583264062066,MATHEMATICAL_PROTOTYPE_NOT_CALIBRATED,09:30:00,09:31:00,True,1,0,14172.50,,5054.0,2441.0,2613.0,172.0,14163.75,524.0,14167.5,14157.5,0.740799366838148,14177.5,14153.75,1.25,5.0,95.0,40.0,20,20,0,2184.0,2346.0,0.9309462915601023,0.43213296398891965,0.4641867827463395,14163.782400079146,0.41076213361390823,-0.29589869736813146,0.9201628838505156,0.1036802532647408,-0.20310796074154866,0.42105263157894735,0.42241684543773056,20,trend_down,0.4518932269320964,0.2540261690580065,0.04577368345433133,0.07059431258970086,0.04375976998332513,0.044897911986469974,0.4518932269320964,0.08905492599606969,1,0.0,0.0,MATHEMATICAL_PROTOTYPE_NOT_CALIBRATED,0,0,False
2022-04-12,NQ,14200.0,INSIDE_VALUE,BELOW_POC,14285.0,14042.5,970.0,14203.75,14163.75,160.0,-645.0,5987.0,14183.515742441958,14178.75,,,,False,,,False,08:30:00,09:30:00,True,16,7,14046.25|14051.25|14056.25|14060.00|14076.25|14080.00|14100.00|14110.00|14118.75|14150.00|14156.25|14186.25|14210.00|14260.00|14273.75|14281.25,14048.75|14057.50|14061.25|14078.75|14082.50|14108.75|14153.75,71101.0,35234.0,35867.0,633.0,14258.75,1807.0,14268.75,14185.0,0.7084429192275776,14285.0,14042.5,1.25,5.0,970.0,335.0,195,193,2,9530.0,59764.0,0.15946054480958435,0.1340346830564971,0.8405507658120139,14210.098943756066,-0.6856961346086378,0.31467311453336366,0.9077743384706037,0.025414551131489008,0.2290382161122932,0.8917525773195877,0.6911296649734665,761,trend_up,0.7599480696250092,0.026960273923821727,0.02683756445223592,0.026858381738683018,0.10557691133906764,0.7599480696250092,0.026981251583256902,0.026837547337925708,3,0.17525773195876287,0.8596491228070176,MATHEMATICAL_PROTOTYPE_NOT_CALIBRATED,09:30:00,09:31:00,True,2,1,14167.50|14195.00,14170.00,5987.0,3316.0,2671.0,-645.0,14178.75,373.0,14195.0,14171.25,0.7456155002505428,14203.75,14163.75,1.25,5.0,160.0,95.0,33,33,0,3792.0,1822.0,2.0812294182217346,0.6333723066644397,0.3043260397527977,14183.515742441958,-0.017334022356900274,-1.000493294462291,0.9560239739192928,0.06230165358276265,-0.01608579088471848,0.375,0.4941435610489407,33,double,0.3219240928201836,0.07248109511481184,0.06593710374056518,0.06464851412062458,0.3219240928201836,0.09667511070973213,0.11648484349561301,0.26184923999846976,3,0.375,0.47095621090259165,MATHEMATICAL_PROTOTYPE_NOT_CALIBRATED,1,3,True
2022-04-13,NQ,13953.75,INSIDE_VALUE,BELOW_POC,13991.25,13926.25,260.0,13962.5,13938.75,95.0,-236.0,4706.0,13951.79451763706,13950.0,,,,False,,,False,08:30:00,09:30:00,True,3,0,13937.50|13950.00|13985.00,,27460.0,13829.0,13631.0,-198.0,13957.5,1308.0,13973.75,13947.5,0.7079752367079388,13991.25,13926.25,1.25,5.0,260.0,105.0,53,53,0,15478.0,10674.0,1.4500655799138094,0.5636562272396213,0.38871085214857976,13961.22109431901,0.16028392388024063,-0.5185642922199984,0.9336480898014632,0.04763292061179898,0.08700690477564292,0.4807692307692308,0.5380168356770669,507,unknown,0.4011330461082043,0.0824807067481327,0.06857759755913553,0.06523967753538364,0.0881362102095557,0.21902579523720989,0.07540696660237833,0.4011330461082043,3,0.11538461538461539,0.28801611278952666,MATHEMATICAL_PROTOTYPE_NOT_CALIBRATED,09:30:00,09:31:00,True,2,0,13943.75|13950.00,,4706.0,2471.0,2235.0,-236.0,13950.0,734.0,13958.75,13948.75,0.7035699107522312,13962.5,13938.75,1.25,5.0,95.0,40.0,20,20,0,2579.0,1393.0,1.851399856424982,0.5480237994050149,0.2960050998725032,13951.79451763706,-0.09588326925652946,-0.6308578115611296,0.9082622979674,0.15597110072248194,0.08569482288828337,0.47368421052631576,0.5492428478761883,20,unknown,0.3945313826365269,0.07987662622269981,0.06975084428175056,0.06592780320173311,0.08014666975707796,0.23450873459993046,0.07525793930028113,0.3945313826365269,3,0.21052631578947367,0.10223182145428367,MATHEMATICAL_PROTOTYPE_NOT_CALIBRATED,0,0,False
2022-04-14,NQ,14225.0,ABOVE_VAH,ABOVE_POC,14240.0,14176.25,255.0,14228.75,14202.5,105.0,-301.0,5119.0,14217.10929869115,14227.5,,,,False,,,False,08:30:00,09:30:00,True,2,0,14216.25|14233.75,,26455.0,13179.0,13276.0,97.0,14190.0,1287.0,14216.25,14183.75,0.7155547155547155,14240.0,14176.25,1.25,5.0,255.0,130.0,52,52,0,20831.0,4337.0,4.803089693336408,0.7874125874125875,0.16393876393876394,14205.459695709696,0.5090344738288798,-1.0175322638747915,0.9457875675181366,0.04864864864864865,-0.09541969883043908,0.21568627450980393,0.45819130525014057,486,unknown,0.38361651782347306,0.07041051831001399,0.06973765725938758,0.0695326473673534,0.07031232829215599,0.07912826128470644,0.2572620696629096,0.38361651782347306,3,0.058823529411764705,0.020856201975850697,MATHEMATICAL_PROTOTYPE_NOT_CALIBRATED,09:30:00,09:31:00,True,2,0,14221.25|14226.25,,5119.0,2710.0,2409.0,-301.0,14227.5,433.0,14227.5,14211.25,0.7042391092010158,14228.75,14202.5,1.25,5.0,105.0,65.0,22,22,0,92.0,4594.0,0.02002612102742708,0.017972260207071693,0.8974409064270366,14217.10929869115,-0.16372607236337325,-1.389522896476722,0.9565719389868563,0.08458683336589178,0.16645975773398203,0.9523809523809523,0.5565447120438053,22,trend_up,0.4492907005860192,0.06451570256703902,0.06446527511093156,0.06448876254363281,0.10298395381860086,0.4492907005860192,0.06774674206065538,0.18650886331312125,3,0.19047619047619047,0.27052785923753664,MATHEMATICAL_PROTOTYPE_NOT_CALIBRATED,0,0,False
2022-04-18,NQ,13851.25,INSIDE_VALUE,ABOVE_POC,13867.5,13828.75,155.0,13897.5,13848.75,195.0,171.0,6019.0,13876.504818076093,13895.0,,,,False,,,False,08:30:00,09:30:00,True,1,1,13832.50,13837.50,13793.0,7001.0,6792.0,-209.0,13846.25,972.0,13858.75,13843.75,0.7204379032842746,13867.5,13828.75,1.25,5.0,155.0,60.0,32,32,0,9056.0,3765.0,2.40531208499336,0.6565649242369318,0.27296454723410424,13850.479953599652,-0.41443067538474915,-0.2489705401375879,0.9193691046514695,0.07047052852896396,0.15189803123830903,0.45161290322580644,0.560772996120044,368,trend_up,0.4003036971702674,0.08571591282072255,0.07524297598901393,0.062321381036998545,0.1065026171197964,0.4003036971702674,0.06589235165573315,0.20402106420746785,2,0.2903225806451613,0.2030965391621129,MATHEMATICAL_PROTOTYPE_NOT_CALIBRATED,09:30:00,09:31:00,True,3,0,13862.50|13872.50|13883.75,,6019.0,2924.0,3095.0,171.0,13895.0,325.0,13896.25,13867.5,0.7006147200531649,13897.5,13848.75,1.25,5.0,195.0,115.0,40,40,0,190.0,5504.0,0.0345203488372093,0.03156670543279615,0.9144376142216315,13876.504818076093,-0.3707774958147973,-1.191226535627775,0.9670072256803406,0.05399568034557235,0.183202626641651,0.9487179487179487,0.5693296015608865,40,trend_up,0.5294706704867786,0.059770754499269725,0.059706474845691866,0.059729246335293376,0.09526001360716785,0.5294706704867786,0.06190186970415645,0.13416097052164214,3,0.20512820512820512,0.2505197505197505,MATHEMATICAL_PROTOTYPE_NOT_CALIBRATED,0,0,False
