section,segment,metric,value,n
Overall,ALL,sessions,100.0,100
Overall,ALL,sessions_with_first_minute_lvn,31.0,100
Overall,ALL,lvn_occurrence_day_rate,0.31,100
Overall,ALL,lvn_nodes,42.0,42
Overall,ALL,retest_events,105.0,105
Overall,ALL,retests_per_lvn,2.5,42
Shape occurrence,double,days_with_lvn,3.0,3
Shape occurrence,double,lvn_nodes,3.0,3
Shape occurrence,double,nodes_with_retest_rate,1.0,3
Shape occurrence,double,mean_retests_per_node,4.333333333333333,3
Shape occurrence,trend_down,days_with_lvn,8.0,11
Shape occurrence,trend_down,lvn_nodes,11.0,11
Shape occurrence,trend_down,nodes_with_retest_rate,0.6363636363636364,11
Shape occurrence,trend_down,mean_retests_per_node,2.090909090909091,11
Shape occurrence,trend_up,days_with_lvn,10.0,14
Shape occurrence,trend_up,lvn_nodes,14.0,14
Shape occurrence,trend_up,nodes_with_retest_rate,0.7142857142857143,14
Shape occurrence,trend_up,mean_retests_per_node,1.4285714285714286,14
Shape occurrence,unknown,days_with_lvn,10.0,14
Shape occurrence,unknown,lvn_nodes,14.0,14
Shape occurrence,unknown,nodes_with_retest_rate,0.9285714285714286,14
Shape occurrence,unknown,mean_retests_per_node,3.5,14
Monthly occurrence,2022-06,days_with_lvn,3.0,4
Monthly occurrence,2022-06,lvn_nodes,4.0,4
Monthly occurrence,2022-06,nodes_with_retest,4.0,4
Monthly occurrence,2022-07,days_with_lvn,6.0,6
Monthly occurrence,2022-07,lvn_nodes,6.0,6
Monthly occurrence,2022-07,nodes_with_retest,6.0,6
Monthly occurrence,2022-08,days_with_lvn,6.0,8
Monthly occurrence,2022-08,lvn_nodes,8.0,8
Monthly occurrence,2022-08,nodes_with_retest,4.0,8
Monthly occurrence,2022-09,days_with_lvn,9.0,13
Monthly occurrence,2022-09,lvn_nodes,13.0,13
Monthly occurrence,2022-09,nodes_with_retest,12.0,13
Monthly occurrence,2022-10,days_with_lvn,5.0,8
Monthly occurrence,2022-10,lvn_nodes,8.0,8
Monthly occurrence,2022-10,nodes_with_retest,5.0,8
Monthly occurrence,2022-11,days_with_lvn,2.0,3
Monthly occurrence,2022-11,lvn_nodes,3.0,3
Monthly occurrence,2022-11,nodes_with_retest,2.0,3
Overall,ALL,active_months,6.0,6
Overall,ALL,mean_events_per_month,17.5,6
Overall,ALL,median_events_per_month,14.0,6
Overall,ALL,mean_mfe_ticks,116.91919191919192,105
Overall,ALL,mean_mae_ticks,114.4949494949495,105
Overall,ALL,median_mfe_mae_ratio,0.8032258064516129,92
Shape cohort,double,events,13.0,13
Shape cohort,double,unique_days,3.0,13
Shape cohort,double,events_per_month,2.1666666666666665,13
Shape cohort,double,mfe_ticks_median,112.5,12
Shape cohort,double,mfe_ticks_mean,147.91666666666666,12
