section,segment,metric,value,n
Overall,ALL,sessions,165.0,165
Overall,ALL,sessions_with_first_minute_lvn,56.0,165
Overall,ALL,lvn_occurrence_day_rate,0.3393939393939394,165
Overall,ALL,lvn_nodes,77.0,77
Overall,ALL,retest_events,193.0,193
Overall,ALL,retests_per_lvn,2.5064935064935066,77
Shape occurrence,D,days_with_lvn,1.0,2
Shape occurrence,D,lvn_nodes,2.0,2
Shape occurrence,D,nodes_with_retest_rate,1.0,2
Shape occurrence,D,mean_retests_per_node,1.0,2
Shape occurrence,double,days_with_lvn,5.0,7
Shape occurrence,double,lvn_nodes,7.0,7
Shape occurrence,double,nodes_with_retest_rate,1.0,7
Shape occurrence,double,mean_retests_per_node,4.0,7
Shape occurrence,trend_down,days_with_lvn,19.0,24
Shape occurrence,trend_down,lvn_nodes,24.0,24
Shape occurrence,trend_down,nodes_with_retest_rate,0.75,24
Shape occurrence,trend_down,mean_retests_per_node,2.6666666666666665,24
Shape occurrence,trend_up,days_with_lvn,17.0,24
Shape occurrence,trend_up,lvn_nodes,24.0,24
Shape occurrence,trend_up,nodes_with_retest_rate,0.5833333333333334,24
Shape occurrence,trend_up,mean_retests_per_node,1.7916666666666667,24
Shape occurrence,unknown,days_with_lvn,14.0,20
Shape occurrence,unknown,lvn_nodes,20.0,20
Shape occurrence,unknown,nodes_with_retest_rate,0.75,20
Shape occurrence,unknown,mean_retests_per_node,2.8,20
Monthly occurrence,2023-03,days_with_lvn,2.0,3
Monthly occurrence,2023-03,lvn_nodes,3.0,3
Monthly occurrence,2023-03,nodes_with_retest,3.0,3
Monthly occurrence,2023-04,days_with_lvn,3.0,3
Monthly occurrence,2023-04,lvn_nodes,3.0,3
Monthly occurrence,2023-04,nodes_with_retest,1.0,3
Monthly occurrence,2023-05,days_with_lvn,4.0,6
Monthly occurrence,2023-05,lvn_nodes,6.0,6
Monthly occurrence,2023-05,nodes_with_retest,1.0,6
Monthly occurrence,2023-06,days_with_lvn,9.0,13
Monthly occurrence,2023-06,lvn_nodes,13.0,13
Monthly occurrence,2023-06,nodes_with_retest,8.0,13
Monthly occurrence,2023-07,days_with_lvn,9.0,12
Monthly occurrence,2023-07,lvn_nodes,12.0,12
Monthly occurrence,2023-07,nodes_with_retest,9.0,12
Monthly occurrence,2023-08,days_with_lvn,10.0,15
Monthly occurrence,2023-08,lvn_nodes,15.0,15
Monthly occurrence,2023-08,nodes_with_retest,13.0,15
Monthly occurrence,2023-09,days_with_lvn,7.0,9
Monthly occurrence,2023-09,lvn_nodes,9.0,9
Monthly occurrence,2023-09,nodes_with_retest,8.0,9
Monthly occurrence,2023-10,days_with_lvn,12.0,16
Monthly occurrence,2023-10,lvn_nodes,16.0,16
Monthly occurrence,2023-10,nodes_with_retest,13.0,16
Overall,ALL,active_months,8.0,8
Overall,ALL,mean_events_per_month,24.125,8
Overall,ALL,median_events_per_month,24.0,8
Overall,ALL,mean_mfe_ticks,78.77906976744185,193
Overall,ALL,mean_mae_ticks,80.75581395348837,193
Overall,ALL,median_mfe_mae_ratio,1.0,171
Shape cohort,D,events,2.0,2
Shape cohort,D,unique_days,1.0,2
Shape cohort,D,events_per_month,0.25,2
Shape cohort,D,mfe_ticks_median,110.0,2
Shape cohort,D,mfe_ticks_mean,110.0,2
Shape cohort,D,mfe_ticks_p90,110.0,2
Shape cohort,D,mfe_ticks_max,110.0,2
Shape cohort,D,mae_ticks_median,25.0,2
Shape cohort,D,time_to_mfe_seconds_median,480.0,2
Shape cohort,double,events,28.0,28
Shape cohort,double,unique_days,5.0,28
Shape cohort,double,events_per_month,3.5,28
Shape cohort,double,mfe_ticks_median,55.0,25
Shape cohort,double,mfe_ticks_mean,83.8,25
Shape cohort,double,mfe_ticks_p90,210.00000000000006,25
Shape cohort,double,mfe_ticks_max,270.0,25
Shape cohort,double,mae_ticks_median,60.0,28
Shape cohort,double,time_to_mfe_seconds_median,120.0,25
Shape cohort,trend_down,events,64.0,64
Shape cohort,trend_down,unique_days,14.0,64
Shape cohort,trend_down,events_per_month,8.0,64
Shape cohort,trend_down,mfe_ticks_median,75.0,58
Shape cohort,trend_down,mfe_ticks_mean,87.84482758620689,58
Shape cohort,trend_down,mfe_ticks_p90,185.0,58
Shape cohort,trend_down,mfe_ticks_max,300.0,58
Shape cohort,trend_down,mae_ticks_median,45.0,64
Shape cohort,trend_down,time_to_mfe_seconds_median,120.0,58
Shape cohort,trend_up,events,43.0,43
Shape cohort,trend_up,unique_days,13.0,43
Shape cohort,trend_up,events_per_month,5.375,43
Shape cohort,trend_up,mfe_ticks_median,65.0,40
Shape cohort,trend_up,mfe_ticks_mean,69.875,40
Shape cohort,trend_up,mfe_ticks_p90,115.0,40
Shape cohort,trend_up,mfe_ticks_max,300.0,40
Shape cohort,trend_up,mae_ticks_median,95.0,43
Shape cohort,trend_up,time_to_mfe_seconds_median,120.0,40
Shape cohort,unknown,events,56.0,56
Shape cohort,unknown,unique_days,11.0,56
Shape cohort,unknown,events_per_month,7.0,56
Shape cohort,unknown,mfe_ticks_median,60.0,47
Shape cohort,unknown,mfe_ticks_mean,71.17021276595744,47
Shape cohort,unknown,mfe_ticks_p90,129.0,47
Shape cohort,unknown,mfe_ticks_max,230.0,47
Shape cohort,unknown,mae_ticks_median,65.0,56
Shape cohort,unknown,time_to_mfe_seconds_median,120.0,47
Interaction cohort,ACCEPTANCE,events,80.0,80
Interaction cohort,ACCEPTANCE,unique_days,31.0,80
Interaction cohort,ACCEPTANCE,mean_mfe_ticks,78.63013698630137,80
Interaction cohort,ACCEPTANCE,mean_mae_ticks,85.75342465753425,80
Interaction cohort,ACCEPTANCE,wr_20_20_all,0.2375,80
Interaction cohort,ACCEPTANCE,wr_20_20_resolved,0.5428571428571428,35
Interaction cohort,ACCEPTANCE,mean_realized_r_20_20,0.08571428571428572,35
Interaction cohort,ACCEPTANCE,wr_40_40_all,0.4875,80
Interaction cohort,ACCEPTANCE,wr_40_40_resolved,0.5652173913043478,69
Interaction cohort,ACCEPTANCE,mean_realized_r_40_40,0.12857142857142856,70
Interaction cohort,ACCEPTANCE,wr_60_60_all,0.4375,80
Interaction cohort,ACCEPTANCE,wr_60_60_resolved,0.5555555555555556,63
Interaction cohort,ACCEPTANCE,mean_realized_r_60_60,0.12557077625570776,73
Interaction cohort,ACCEPTANCE,wr_80_80_all,0.4375,80
Interaction cohort,ACCEPTANCE,wr_80_80_resolved,0.6140350877192983,57
Interaction cohort,ACCEPTANCE,mean_realized_r_80_80,0.1541095890410959,73
Interaction cohort,REJECTION,events,111.0,111
Interaction cohort,REJECTION,unique_days,37.0,111
Interaction cohort,REJECTION,mean_mfe_ticks,78.88888888888889,111
Interaction cohort,REJECTION,mean_mae_ticks,77.07070707070707,111
Interaction cohort,REJECTION,wr_20_20_all,0.2072072072072072,111
Interaction cohort,REJECTION,wr_20_20_resolved,0.5609756097560976,41
