date,symbol,lvn_id,price,volume,depth,width_ticks,low_price,high_price,left_neighbor_mean,right_neighbor_mean,volume_percent_of_neighbors,volume_percent_of_poc,distance_to_poc_ticks,distance_to_vah_ticks,distance_to_val_ticks,member_level_count,retest_count,had_retest,context_profile_shape,context_shape_confidence,minute_profile_shape,minute_shape_confidence,context_prob_D,context_prob_P,context_prob_b,context_prob_double,context_prob_trend_up,context_prob_trend_down,context_prob_unknown,minute_prob_D,minute_prob_P,minute_prob_b,minute_prob_double,minute_prob_trend_up,minute_prob_trend_down,minute_prob_unknown
2024-03-14,NQ,FIRST_MINUTE_0930_0931_LVN_01,18363.75,128.0,0.5877616747181964,5,18363.75,18363.75,391.0,310.5,0.41223832528180354,0.1855072463768116,15.0,-25.0,30.0,1,3,True,trend_down,0.6980497132017646,trend_down,0.3897769641588627,0.04630079888236338,0.04541791512841224,0.045214617679811546,0.056321855689225195,0.045815852723944214,0.6980497132017646,0.0628792466944787,0.06292932074738668,0.06106133903203385,0.06079861409963586,0.16234603295548738,0.06444969171164039,0.3897769641588627,0.19863803729495313
2024-03-21,NQ,FIRST_MINUTE_0930_0931_LVN_01,18678.75,68.0,0.7536231884057971,5,18678.75,18678.75,292.0,276.0,0.2463768115942029,0.08865710560625815,-25.0,-45.0,-10.0,1,4,True,double,0.5986618015698234,double,0.4018512968227063,0.018095526532071683,0.016434385191197796,0.016406676792937572,0.5986618015698234,0.016454538009875116,0.3176483832691624,0.016298688634932185,0.06162843481538104,0.047562825817705816,0.049663241062971375,0.4018512968227063,0.27016631012316894,0.050533514226015534,0.11859437713205101
2024-03-25,NQ,FIRST_MINUTE_0930_0931_LVN_01,18458.75,103.0,0.6185185185185185,5,18458.75,18458.75,270.0,344.0,0.3814814814814815,0.15191740412979352,45.0,15.0,55.0,1,4,True,unknown,0.43429164772992446,unknown,0.6160193156279333,0.08063124323388822,0.07005452593312336,0.0658418946252191,0.06697885296163324,0.2049752857031244,0.07722654981308721,0.43429164772992446,0.05332840368859878,0.051283281359472195,0.05030431298601192,0.06545170354879283,0.07804943416977503,0.08556354861941584,0.6160193156279333
2024-03-28,NQ,FIRST_MINUTE_0930_0931_LVN_01,18498.75,39.0,0.5063291139240507,5,18498.75,18498.75,79.0,80.5,0.4936708860759494,0.05416666666666667,50.0,25.0,55.0,1,2,True,unknown,0.3985351412379334,trend_down,0.768435511059326,0.0814461765556236,0.06380843372893515,0.06786645259921534,0.09793144601670686,0.07347912405851771,0.21693322580306804,0.3985351412379334,0.04023852353739625,0.03854664571252214,0.03750228741591021,0.03749625676555761,0.03780562854180328,0.768435511059326,0.0399751469674845
2024-04-15,NQ,FIRST_MINUTE_0930_0931_LVN_01,18323.75,35.0,0.5953757225433526,5,18323.75,18323.75,86.5,112.5,0.4046242774566474,0.03404669260700389,60.0,45.0,95.0,1,0,False,trend_up,0.8616831323903179,trend_down,0.7438697633003717,0.022267424106859075,0.028526974743757857,0.02185487047032591,0.02192840816827357,0.8616831323903179,0.02188681257676192,0.021852377543703776,0.04060783986522105,0.03746676979077928,0.03878672732572725,0.06039159089160069,0.03748299543640574,0.7438697633003717,0.04139431338989435
2024-04-15,NQ,FIRST_MINUTE_0930_0931_LVN_02,18327.5,55.0,0.5111111111111111,5,18327.5,18327.5,112.5,118.5,0.4888888888888889,0.053501945525291826,75.0,60.0,110.0,1,0,False,trend_up,0.8616831323903179,trend_down,0.7438697633003717,0.022267424106859075,0.028526974743757857,0.02185487047032591,0.02192840816827357,0.8616831323903179,0.02188681257676192,0.021852377543703776,0.04060783986522105,0.03746676979077928,0.03878672732572725,0.06039159089160069,0.03748299543640574,0.7438697633003717,0.04139431338989435
2024-04-17,NQ,FIRST_MINUTE_0930_0931_LVN_01,17955.0,16.0,0.6893203883495146,5,17955.0,17955.0,75.5,51.5,0.3106796116504854,0.02872531418312388,90.0,40.0,95.0,1,2,True,double,0.5277055796842247,trend_down,0.7091293946696892,0.02592804171689831,0.024496790723092073,0.024613039607135196,0.5277055796842247,0.3478160874866458,0.02494497527832521,0.024495485503678707,0.026318822744483255,0.026243038339406666,0.02619085262333086,0.15963505386769816,0.026291995772873927,0.7091293946696892,0.026190841982517955
2024-04-19,NQ,FIRST_MINUTE_0930_0931_LVN_01,17487.5,50.0,0.5475113122171946,5,17487.5,17487.5,162.0,110.5,0.45248868778280543,0.07598784194528875,30.0,15.0,50.0,1,3,True,trend_down,0.35425811778441146,trend_down,0.32482746159913123,0.07142806092370772,0.07024656062602072,0.07001845680258063,0.07708904195923182,0.07623471427991525,0.35425811778441146,0.2807250476241325,0.255131623817538,0.050510658661342675,0.10369105940714593,0.049348148456971414,0.05209896276315886,0.32482746159913123,0.164392085294712
2024-04-23,NQ,FIRST_MINUTE_0930_0931_LVN_01,17423.75,35.0,0.77491961414791,5,17423.75,17423.75,155.5,249.0,0.22508038585209003,0.05319148936170213,-40.0,-55.0,-15.0,1,2,True,trend_up,0.7405447718632866,trend_up,0.7472836230440865,0.04075707056065705,0.040459017644910715,0.04049763060551626,0.05165892258177776,0.7405447718632866,0.040979161421853025,0.045103425321998535,0.04181708831588691,0.040608084222260914,0.040808979864624395,0.04261819729382086,0.7472836230440865,0.040911138557349055,0.04595288870197126
2024-05-01,NQ,FIRST_MINUTE_0930_0931_LVN_01,17498.75,26.0,0.7078651685393258,5,17498.75,17498.75,97.5,89.0,0.29213483146067415,0.055793991416309016,-50.0,-75.0,10.0,1,5,True,trend_up,0.8756093445993751,trend_up,0.34489605313652033,0.020212267576203632,0.024659916755093332,0.019700722721728677,0.020410802576240027,0.8756093445993751,0.019710602019648693,0.019696343751710636,0.07011704935700525,0.06914830935988674,0.06931608769134004,0.08553882887252415,0.34489605313652033,0.07494814239860176,0.2860355291841217
