date,symbol,rth_open,open_vs_context_value,open_vs_context_poc,premarket_high,premarket_low,premarket_range_ticks,or_high,or_low,or_width_ticks,or_delta,or_volume,or_vwap,minute_profile_poc,previous_rth_close,gap_points,gap_ticks,gap_available,atr_points,atr_ticks,atr_available,context_profile_start,context_profile_end,context_has_data,context_hvn_count,context_lvn_count,context_hvn_prices,context_lvn_prices,context_total_volume,context_bid_volume,context_ask_volume,context_delta,context_poc,context_poc_volume,context_vah,context_val,context_value_area_actual_pct,context_high,context_low,context_level_step,context_level_step_ticks,context_profile_width_ticks,context_value_area_width_ticks,context_price_level_count,context_occupied_price_level_count,context_empty_level_count,context_upper_volume,context_lower_volume,context_upper_lower_ratio,context_upper_volume_share,context_lower_volume_share,context_center_of_mass,context_skewness,context_kurtosis_excess,context_entropy,context_max_level_volume_share,context_volume_slope,context_poc_position,context_center_of_mass_position,context_source_rows,context_profile_shape,context_shape_confidence_score,context_prob_D,context_prob_P,context_prob_b,context_prob_double,context_prob_trend_up,context_prob_trend_down,context_prob_unknown,context_distribution_count,context_double_mode_separation,context_double_valley_depth,context_shape_probability_type,minute_profile_start,minute_profile_end,minute_has_data,minute_hvn_count,minute_lvn_count,minute_hvn_prices,minute_lvn_prices,minute_total_volume,minute_bid_volume,minute_ask_volume,minute_delta,minute_poc,minute_poc_volume,minute_vah,minute_val,minute_value_area_actual_pct,minute_high,minute_low,minute_level_step,minute_level_step_ticks,minute_profile_width_ticks,minute_value_area_width_ticks,minute_price_level_count,minute_occupied_price_level_count,minute_empty_level_count,minute_upper_volume,minute_lower_volume,minute_upper_lower_ratio,minute_upper_volume_share,minute_lower_volume_share,minute_center_of_mass,minute_skewness,minute_kurtosis_excess,minute_entropy,minute_max_level_volume_share,minute_volume_slope,minute_poc_position,minute_center_of_mass_position,minute_source_rows,minute_profile_shape,minute_shape_confidence_score,minute_prob_D,minute_prob_P,minute_prob_b,minute_prob_double,minute_prob_trend_up,minute_prob_trend_down,minute_prob_unknown,minute_distribution_count,minute_double_mode_separation,minute_double_valley_depth,minute_shape_probability_type,first_minute_lvn_count,retest_event_count,has_any_retest
2025-03-10,NQ,19881.25,INSIDE_VALUE,BELOW_POC,19942.5,19861.25,325.0,19887.5,19857.5,120.0,-271.0,4437.0,19871.688077529863,19875.0,,,,False,,,False,08:30:00,09:30:00,True,6,2,19882.50|19892.50|19930.00|19932.50|19935.00|19938.75,19931.25|19933.75,24293.0,12248.0,12045.0,-203.0,19882.5,1221.0,19906.25,19876.25,0.7039064751162887,19942.5,19861.25,1.25,5.0,325.0,120.0,66,66,0,18055.0,5017.0,3.5987642017141717,0.743218211007286,0.20652039682212983,19894.40569299798,0.45271883664102086,0.04687781966715976,0.9063650328022493,0.05026139217058412,-0.16131260161110897,0.26153846153846155,0.408070067667465,632,trend_down,0.5208616526769722,0.059101197473926524,0.058085856469905904,0.057786437240709546,0.1073691767409665,0.0599362410808141,0.5208616526769722,0.13685943831670536,3,0.12307692307692308,0.5537032626815909,MATHEMATICAL_PROTOTYPE_NOT_CALIBRATED,09:30:00,09:31:00,True,2,0,19860.00|19875.00,,4437.0,2354.0,2083.0,-271.0,19875.0,456.0,19878.75,19862.5,0.7029524453459545,19887.5,19857.5,1.25,5.0,120.0,65.0,25,25,0,1489.0,2492.0,0.5975120385232745,0.335587108406581,0.5616407482533243,19871.688077529863,-0.24594022042726582,-0.888579194960351,0.940566807164636,0.10277214334009466,-0.05834008097165998,0.5833333333333334,0.4729359176621074,25,double,0.38789775888548667,0.06880818796616699,0.060229487808582255,0.061975205959524576,0.38789775888548667,0.07497509197154706,0.15442778990356582,0.19168647750512663,3,0.5,0.4099660249150623,MATHEMATICAL_PROTOTYPE_NOT_CALIBRATED,0,0,False
2025-03-11,NQ,19421.25,BELOW_VAL,BELOW_POC,19501.25,19413.75,350.0,19450.0,19412.5,150.0,242.0,3568.0,19433.675728699553,19433.75,,,,False,,,False,08:30:00,09:30:00,True,3,1,19425.00|19436.25|19497.50,19496.25,26327.0,13390.0,12937.0,-453.0,19453.75,1151.0,19485.0,19443.75,0.7004596042086071,19501.25,19413.75,1.25,5.0,350.0,165.0,71,71,0,14241.0,10935.0,1.3023319615912208,0.5409275648573708,0.41535305959661184,19457.289047365823,-0.0665515460531616,-0.6333170533313259,0.9456203028006274,0.043719375546017396,-0.004530659194087225,0.45714285714285713,0.4975891127522586,730,unknown,0.5058438919934535,0.07246431701500683,0.057795873247225425,0.05602958312025971,0.1258792882201219,0.08836716139759711,0.0936198850063355,0.5058438919934535,3,0.22857142857142856,0.39112050739957716,MATHEMATICAL_PROTOTYPE_NOT_CALIBRATED,09:30:00,09:31:00,True,2,2,19417.50|19433.75,19420.00|19428.75,3568.0,1663.0,1905.0,242.0,19433.75,360.0,19445.0,19431.25,0.7015134529147982,19450.0,19412.5,1.25,5.0,150.0,55.0,31,31,0,1936.0,1272.0,1.5220125786163523,0.5426008968609866,0.35650224215246634,19433.675728699553,-0.7115395794642935,-0.15029225809572466,0.9168857080272711,0.10089686098654709,0.11633064516129031,0.5666666666666667,0.5646860986547351,31,trend_up,0.27297985119919627,0.1349914469787163,0.20615516131835976,0.05368894547037272,0.053448280024498765,0.27297985119919627,0.05798772727447355,0.22074858773438263,1,0.0,0.0,MATHEMATICAL_PROTOTYPE_NOT_CALIBRATED,2,10,True
2025-03-12,NQ,19697.5,INSIDE_VALUE,BELOW_POC,19788.75,19590.0,795.0,19716.25,19671.25,180.0,37.0,3951.0,19692.14281194634,19681.25,,,,False,,,False,08:30:00,09:30:00,True,13,3,19595.00|19600.00|19607.50|19611.25|19615.00|19620.00|19625.00|19632.50|19640.00|19707.50|19750.00|19765.00|19783.75,19605.00|19610.00|19641.25,54009.0,26422.0,27587.0,1165.0,19707.5,1346.0,19726.25,19677.5,0.7016608343053935,19788.75,19590.0,1.25,5.0,795.0,195.0,160,152,8,20927.0,31736.0,0.6594088732039325,0.387472458293988,0.5876057694088023,19702.44350478624,0.4690433957539133,0.4903421796293772,0.8683147665972131,0.024921772297209724,0.09771075212499894,0.5911949685534591,0.5657534832012021,1162,unknown,0.35163195177629686,0.075618904191838,0.06787121247962054,0.0699080560456399,0.06897257771598098,0.2912542969809526,0.07474300080967097,0.35163195177629686,3,0.018867924528301886,0.10151187904967607,MATHEMATICAL_PROTOTYPE_NOT_CALIBRATED,09:30:00,09:31:00,True,3,0,19681.25|19697.50|19705.00,,3951.0,1957.0,1994.0,37.0,19681.25,264.0,19698.75,19673.75,0.7015945330296127,19716.25,19671.25,1.25,5.0,180.0,100.0,37,37,0,2950.0,737.0,4.002713704206242,0.7466464186281954,0.1865350544166034,19692.14281194634,0.1458859641223211,-1.1477860166148477,0.9442826741503842,0.06681852695520121,-0.08211560843139795,0.2222222222222222,0.464284709918704,37,double,0.5237044466888071,0.0519574263310578,0.05089513844142185,0.05073316695042252,0.5237044466888071,0.05942177692365934,0.16279571655707656,0.10049232810755468,3,0.3611111111111111,0.7110799438990183,MATHEMATICAL_PROTOTYPE_NOT_CALIBRATED,0,0,False
2025-03-13,NQ,19575.0,INSIDE_VALUE,ABOVE_POC,19600.0,19507.5,370.0,19577.5,19528.75,195.0,44.0,3258.0,19547.34154389196,19537.5,,,,False,,,False,08:30:00,09:30:00,True,2,0,19517.50|19571.25,,30212.0,14641.0,15571.0,930.0,19571.25,1526.0,19578.75,19543.75,0.7021382232225606,19600.0,19507.5,1.25,5.0,370.0,140.0,75,74,1,6728.0,21958.0,0.3064031332543948,0.22269296968092148,0.7267972990864557,19557.03085694426,-0.3733207845733729,-0.47869730256996723,0.9198517725781356,0.0505097312326228,0.05469890322135618,0.6891891891891891,0.5354687237217346,808,unknown,0.47911356422973417,0.061577328042409216,0.059468642169132786,0.06003035894713162,0.11120364567650305,0.1551753555479121,0.07343110538717694,0.47911356422973417,3,0.16216216216216217,0.42458777885548016,MATHEMATICAL_PROTOTYPE_NOT_CALIBRATED,09:30:00,09:31:00,True,3,2,19555.00|19568.75|19575.00,19551.25|19571.25,3258.0,1607.0,1651.0,44.0,19537.5,235.0,19555.0,19530.0,0.7550644567219152,19577.5,19528.75,1.25,5.0,195.0,100.0,40,40,0,2331.0,692.0,3.3684971098265897,0.7154696132596685,0.21240024554941683,19547.34154389196,0.6757018830175525,-0.2858103628944635,0.9190191904305167,0.07213014119091467,-0.2346756616502336,0.1794871794871795,0.38136500291196473,40,trend_down,0.45997787332443846,0.02591795928321703,0.025650030531584933,0.025602307902607507,0.40697092734444085,0.025895252537369608,0.45997787332443846,0.029985649076341603,3,0.41025641025641024,0.741654571843251,MATHEMATICAL_PROTOTYPE_NOT_CALIBRATED,2,6,True
2025-03-14,NQ,19465.0,BELOW_VAL,BELOW_POC,19533.75,19457.5,305.0,19490.0,19451.25,155.0,249.0,3255.0,19476.44124423963,19480.0,,,,False,,,False,08:30:00,09:30:00,True,2,1,19466.25|19522.50,19483.75,20373.0,10579.0,9794.0,-785.0,19500.0,764.0,19532.5,19480.0,0.7137387719039906,19533.75,19457.5,1.25,5.0,305.0,210.0,62,62,0,8195.0,11414.0,0.7179779218503592,0.40224807343052077,0.5602513130123202,19494.42521965346,-0.02249612280993286,-0.9580792380620564,0.9623482589538934,0.03750061355715899,-0.03931627540392948,0.5573770491803278,0.484265175783104,454,unknown,0.5431663343916019,0.07403430821732779,0.05844733748617652,0.06029098491556698,0.060146332724471056,0.0784720509569704,0.12544265130788534,0.5431663343916019,3,0.06557377049180328,0.05169063350174896,MATHEMATICAL_PROTOTYPE_NOT_CALIBRATED,09:30:00,09:31:00,True,2,1,19455.00|19463.75,19460.00,3255.0,1503.0,1752.0,249.0,19480.0,338.0,19486.25,19473.75,0.7204301075268817,19490.0,19451.25,1.25,5.0,155.0,50.0,32,32,0,1132.0,1785.0,0.6341736694677871,0.3477726574500768,0.5483870967741935,19476.44124423963,-1.0769796331739363,0.38884318108317384,0.8845392676094553,0.10384024577572964,0.254597565895643,0.7419354838709677,0.650096625538877,32,trend_up,0.7919707837144693,0.041704032971191726,0.033721943830449935,0.03419843706304984,0.032733663813013326,0.7919707837144693,0.032937474794812634,0.032733663813013326,1,0.0,0.0,MATHEMATICAL_PROTOTYPE_NOT_CALIBRATED,1,0,False
2025-03-17,NQ,19703.75,BELOW_VAL,BELOW_POC,19778.75,19661.25,470.0,19707.5,19685.0,90.0,20.0,2066.0,19694.868707647627,19695.0,,,,False,,,False,08:30:00,09:30:00,True,5,3,19670.00|19672.50|19692.50|19710.00|19756.25,19675.00|19678.75|19702.50,18829.0,9549.0,9280.0,-269.0,19738.75,516.0,19773.75,19717.5,0.7060385575442137,19778.75,19661.25,1.25,5.0,470.0,225.0,95,94,1,7416.0,10897.0,0.6805542809947692,0.39386053428222423,0.578734930160922,19732.78513197727,-0.18132409355663837,-0.8215549845261916,0.9379260690786844,0.02740453555685379,0.2455439106487149,0.6595744680851063,0.6088096338491131,646,trend_up,0.7306607963414872,0.04656570562332003,0.041710412681951956,0.04208782375871063,0.048095266115883696,0.7306607963414872,0.042076821046833204,0.0488031744318134,3,0.1276595744680851,0.1248153618906942,MATHEMATICAL_PROTOTYPE_NOT_CALIBRATED,09:30:00,09:31:00,True,1,0,19695.00,,2066.0,1023.0,1043.0,20.0,19695.0,237.0,19697.5,19688.75,0.7071636011616651,19707.5,19685.0,1.25,5.0,90.0,35.0,19,19,0,791.0,1038.0,0.7620423892100193,0.38286544046466603,0.5024201355275896,19694.868707647627,0.501479970092559,-0.5163848296448554,0.9167097721278723,0.11471442400774444,-0.15209860093271166,0.4444444444444444,0.4386092287834294,19,trend_down,0.4263376480784447,0.07636132162745547,0.06612366762420097,0.0722679784450918,0.07339605387418441,0.06978355758002297,0.4263376480784447,0.2157297727705998,3,0.16666666666666666,0.06985294117647056,MATHEMATICAL_PROTOTYPE_NOT_CALIBRATED,0,0,False
2025-03-18,NQ,19898.75,INSIDE_VALUE,BELOW_POC,19977.5,19886.25,365.0,19901.25,19858.75,170.0,-187.0,3907.0,19878.159073457897,19871.25,,,,False,,,False,08:30:00,09:30:00,True,4,1,19900.00|19947.50|19961.25|19972.50,19958.75,18353.0,9561.0,8792.0,-769.0,19900.0,782.0,19925.0,19890.0,0.7049528687408053,19977.5,19886.25,1.25,5.0,365.0,140.0,74,74,0,13137.0,4434.0,2.962787550744249,0.7157957827058247,0.24159537950198878,19917.9932436114,0.8452564155213451,-0.3846889906845572,0.933388043330764,0.04260883779218656,-0.2817688532522293,0.1506849315068493,0.3478711628646523,587,trend_down,0.822733984374514,0.02873238426249866,0.028486856143283293,0.02845034367422541,0.034571337968422954,0.02857565456908018,0.822733984374514,0.028449439007975735,3,0.0821917808219178,0.2608365019011407,MATHEMATICAL_PROTOTYPE_NOT_CALIBRATED,09:30:00,09:31:00,True,3,2,19871.25|19882.50|19895.00,19862.50|19881.25,3907.0,2047.0,1860.0,-187.0,19871.25,346.0,19883.75,19865.0,0.7135909905298182,19901.25,19858.75,1.25,5.0,170.0,75.0,35,35,0,2682.0,879.0,3.051194539249147,0.6864601996416688,0.22498080368569234,19878.159073457897,0.482321756022174,-0.6469542599320808,0.9279687344484879,0.08855899667263885,-0.07919075144508674,0.29411764705882354,0.45668408136227623,35,unknown,0.4263246818650989,0.06928218710385316,0.06774195145595573,0.06722507089311683,0.07039921196758839,0.07823303070249264,0.2207938660118944,0.4263246818650989,3,0.14705882352941177,0.03453237410071941,MATHEMATICAL_PROTOTYPE_NOT_CALIBRATED,2,5,True
2025-03-19,NQ,19790.0,ABOVE_VAH,ABOVE_POC,19792.5,19742.5,200.0,19806.25,19778.75,110.0,170.0,3176.0,19794.773693324936,19796.25,,,,False,,,False,08:30:00,09:30:00,True,2,1,19772.50|19777.50,19780.00,12176.0,6099.0,6077.0,-22.0,19758.75,761.0,19768.75,19748.75,0.7155880420499343,19792.5,19742.5,1.25,5.0,200.0,80.0,41,41,0,6649.0,4766.0,1.3950902224087285,0.5460742444152431,0.3914257555847569,19763.574655059132,0.744122051944836,-0.3531491217444085,0.9313187396967592,0.0625,-0.1750676489306661,0.325,0.4214931011826411,432,double,0.7104085429982064,0.024753879061347035,0.02093145371388496,0.020667412978432487,0.7104085429982064,0.02104719361310563,0.181885778279725,0.020305739355298426,2,0.575,0.6800748362956034,MATHEMATICAL_PROTOTYPE_NOT_CALIBRATED,09:30:00,09:31:00,True,3,0,19787.50|19796.25|19802.50,,3176.0,1503.0,1673.0,170.0,19796.25,300.0,19805.0,19791.25,0.7071788413098237,19806.25,19778.75,1.25,5.0,110.0,55.0,23,23,0,1208.0,1668.0,0.7242206235011991,0.380352644836272,0.5251889168765743,19794.773693324936,-0.21300221919370474,-1.0051794660804467,0.9371687777301199,0.09445843828715365,0.2093115942028986,0.6363636363636364,0.5826797572704063,23,trend_up,0.5550513686192379,0.05529190164308371,0.04878461663043522,0.04921547385019865,0.1543459107899172,0.5550513686192379,0.04969201203909659,0.08761871642803071,3,0.2727272727272727,0.4663101604278075,MATHEMATICAL_PROTOTYPE_NOT_CALIBRATED,0,0,False
2025-03-20,NQ,19787.5,INSIDE_VALUE,BELOW_POC,19862.5,19781.25,325.0,19790.0,19756.25,135.0,-26.0,3460.0,19771.41690751445,19766.25,,,,False,,,False,08:30:00,09:30:00,True,4,0,19788.75|19795.00|19820.00|19830.00,,18826.0,9780.0,9046.0,-734.0,19807.5,676.0,19837.5,19783.75,0.710984808243918,19862.5,19781.25,1.25,5.0,325.0,215.0,66,66,0,12178.0,5972.0,2.0391828533154723,0.6468713481355572,0.3172208647615001,19820.71994847551,0.22524901836653408,-1.16732398700724,0.9661351892040734,0.03590778710294274,-0.034916862701018764,0.3230769230769231,0.485783981237059,562,unknown,0.5586656078866233,0.06257605408298145,0.05894024768876833,0.05832374783570992,0.06023484777811578,0.07986716167651287,0.12139233305128844,0.5586656078866233,3,0.06153846153846154,0.058050383351588186,MATHEMATICAL_PROTOTYPE_NOT_CALIBRATED,09:30:00,09:31:00,True,1,0,19787.50,,3460.0,1743.0,1717.0,-26.0,19766.25,302.0,19776.25,19762.5,0.7216763005780347,19790.0,19756.25,1.25,5.0,135.0,55.0,28,28,0,2475.0,683.0,3.623718887262079,0.7153179190751445,0.19739884393063584,19771.41690751445,0.4741459889558523,-0.302683897276975,0.9181743567578954,0.08728323699421965,-0.11568198871236104,0.2962962962962963,0.44938985227997397,28,unknown,0.32228353468245363,0.07599587030208602,0.07134889430222671,0.06940507288927643,0.06994397882238078,0.07622353594443539,0.3147991130571411,0.32228353468245363,2,0.14814814814814814,0.005773672055427226,MATHEMATICAL_PROTOTYPE_NOT_CALIBRATED,0,0,False
2025-03-21,NQ,19657.5,INSIDE_VALUE,AT_POC,19798.75,19602.5,785.0,19695.0,19646.25,195.0,204.0,5456.0,19667.39071664223,19663.75,,,,False,,,False,08:30:00,09:30:00,True,5,3,19710.00|19750.00|19768.75|19778.75|19792.50,19727.50|19737.50|19763.75,44869.0,23038.0,21831.0,-1207.0,19657.5,1154.0,19700.0,19622.5,0.7012413916066772,19798.75,19602.5,1.25,5.0,785.0,310.0,158,158,0,27556.0,16159.0,1.7053035460115107,0.6141433952171879,0.3601372885511155,19676.16522543404,0.8100806432757955,0.1907899152954271,0.9214722597315801,0.025719316231696716,-0.18171051438822566,0.2802547770700637,0.375364206033328,742,trend_down,0.6396590679531624,0.047616180070777524,0.04629754922607141,0.0460633468614946,0.10394963825725682,0.04695886269173506,0.6396590679531624,0.06945535493950213,3,0.14012738853503184,0.6397652237710931,MATHEMATICAL_PROTOTYPE_NOT_CALIBRATED,09:30:00,09:31:00,True,3,1,19655.00|19668.75|19677.50,19666.25,5456.0,2626.0,2830.0,204.0,19663.75,315.0,19672.5,19647.5,0.7061950146627566,19695.0,19646.25,1.25,5.0,195.0,100.0,40,40,0,2822.0,2319.0,1.216903837861147,0.5172287390029325,0.4250366568914956,19667.39071664223,0.43416523994783673,-0.6609442528130658,0.9565656386202639,0.057734604105571845,-0.1639605110336818,0.358974358974359,0.4336557259944339,40,trend_down,0.4705482767903567,0.06948460374851864,0.06277549831951722,0.062901470998782,0.1033244370063405,0.06516966602699423,0.4705482767903567,0.16579604710949075,3,0.1282051282051282,0.43543223052294555,MATHEMATICAL_PROTOTYPE_NOT_CALIBRATED,1,3,True
