date,symbol,event_id,lvn_id,lvn_price,retest_number,retest_time_et,retest_end_time_et,seconds_from_0931,approach,approach_hypothetical_side,lvn_interaction,trade_logic,expected_reaction_side,lvn_zone_low,lvn_zone_high,entry_price,entry_time_et,seconds_touch_to_entry,entry_distance_from_lvn_ticks,zone_speed_ticks_per_second,deceleration_ratio,prior_movement_direction,prior_price,prior_move_from_open_ticks,distance_traveled_to_lvn_ticks,time_inside_lvn_zone_seconds,timing_precision,source_resolution_seconds,lvn_depth,lvn_width_ticks,lvn_volume,context_profile_shape,context_shape_confidence,minute_profile_shape,minute_shape_confidence,distance_to_context_poc_ticks,distance_to_context_vah_ticks,distance_to_context_val_ticks,distance_to_minute_poc_ticks,distance_to_open_ticks,distance_to_or_high_ticks,distance_to_or_low_ticks,open_vs_context_value,open_vs_context_poc,vwap,distance_to_vwap_ticks,vwap_slope_ticks,ema,distance_to_ema_ticks,ema_slope_ticks,realized_volatility,approach_speed_ticks_per_second,context_prob_D,minute_prob_D,context_prob_P,minute_prob_P,context_prob_b,minute_prob_b,context_prob_double,minute_prob_double,context_prob_trend_up,minute_prob_trend_up,context_prob_trend_down,minute_prob_trend_down,context_prob_unknown,minute_prob_unknown,ctx_skewness,min_skewness,ctx_kurtosis_excess,min_kurtosis_excess,ctx_entropy,min_entropy,ctx_profile_width_ticks,min_profile_width_ticks,ctx_value_area_width_ticks,min_value_area_width_ticks,ctx_upper_volume_share,min_upper_volume_share,ctx_lower_volume_share,min_lower_volume_share,ctx_poc_position,min_poc_position,ctx_center_of_mass_position,min_center_of_mass_position,ctx_max_level_volume_share,min_max_level_volume_share,ctx_volume_slope,min_volume_slope,ctx_total_volume,min_total_volume,ctx_delta,min_delta,ctx_distribution_count,ctx_double_mode_separation,ctx_double_valley_depth,ctx_hvn_count,ctx_lvn_count,minute_lvn_count,ctx_hvn_dominance,distance_to_main_hvn_ticks,open_to_ctx_poc_ticks,open_to_ctx_vah_ticks,open_to_ctx_val_ticks,day_of_week,rth_open,premarket_high,premarket_low,premarket_range_ticks,or_high,or_low,or_width_ticks,or_delta,or_volume,or_vwap,minute_profile_poc,previous_rth_close,gap_points,gap_ticks,gap_available,atr_points,atr_ticks,atr_available,lvn_retest_volume,lvn_retest_bid_volume,lvn_retest_ask_volume,lvn_retest_delta,total_retest_volume,big_trade_available,big_trade_count,big_trade_volume,iceberg_available,iceberg_count,absorption_available,absorption_count,tape_speed_trades_per_second,aggression_volume_per_second,aggression_delta_per_second,delta_touch_bar,delta_prev_bar,delta_change_touch_bar,imbalance_available,buy_imbalance_count,sell_imbalance_count,net_imbalance_count,pre_entry_volume_per_second,pre_entry_delta_per_second,pre_entry_tape_speed,pre_entry_lvn_delta,pre_entry_lvn_volume,outcome_start_policy,outcome_path_rows,max_up_ticks,max_down_ticks,time_to_max_up_seconds,time_to_max_down_seconds,mfe_ticks,mae_ticks,time_to_mfe_seconds,time_to_mae_seconds,mfe_mae_ratio,mae_before_mfe_ticks,max_pullback_before_mfe_ticks,rr_max_achievable,hit_plus_20,hit_minus_20,tp_sl_20_20_result,realized_r_20_20,exit_price_20_20,exit_time_et_20_20,trade_duration_seconds_20_20,hit_plus_40,hit_minus_40,tp_sl_40_40_result,realized_r_40_40,exit_price_40_40,exit_time_et_40_40,trade_duration_seconds_40_40,hit_plus_60,hit_minus_60,tp_sl_60_60_result,realized_r_60_60,exit_price_60_60,exit_time_et_60_60,trade_duration_seconds_60_60,hit_plus_80,hit_minus_80,tp_sl_80_80_result,realized_r_80_80,exit_price_80_80,exit_time_et_80_80,trade_duration_seconds_80_80
2025-03-11,NQ,20250311_FIRST_MINUTE_0930_0931_LVN_01_R01,FIRST_MINUTE_0930_0931_LVN_01,19420.0,1,2025-03-11T09:32:00-04:00,2025-03-11T09:33:00-04:00,60.0,FROM_ABOVE,LONG,ACCEPTANCE,CONTINUATION,SHORT,19420.0,19420.0,19407.5,2025-03-11T09:32:00-04:00,0.0,50.0,,,UP,19432.5,45.0,50.0,120.0,BAR_UNORDERED,60.0,0.6031746031746033,5,25.0,unknown,0.5058438919934535,trend_up,0.27297985119919627,-135.0,-260.0,-95.0,-55.0,-5.0,-120.0,30.0,BELOW_VAL,BELOW_POC,19430.574021314762,-42.296085259047686,-0.00031915842205938304,19432.16553287982,-48.662131519275135,-0.0002916868659819281,0.0008187381948524142,0.8333333333333334,0.07246431701500683,0.1349914469787163,0.057795873247225425,0.20615516131835976,0.05602958312025971,0.05368894547037272,0.1258792882201219,0.053448280024498765,0.08836716139759711,0.27297985119919627,0.0936198850063355,0.05798772727447355,0.5058438919934535,0.22074858773438263,-0.0665515460531616,-0.7115395794642935,-0.6333170533313259,-0.15029225809572466,0.9456203028006274,0.9168857080272711,350.0,150.0,165.0,55.0,0.5409275648573708,0.5426008968609866,0.41535305959661184,0.35650224215246634,0.45714285714285713,0.5666666666666667,0.4975891127522586,0.5646860986547351,0.043719375546017396,0.10089686098654709,-0.004530659194087225,0.11633064516129031,26327.0,3568.0,-453.0,242.0,3,0.22857142857142856,0.39112050739957716,3,1,2,0.3375241779497099,-20.0,-130.0,-255.0,-90.0,1,19421.25,19501.25,19413.75,350.0,19450.0,19412.5,150.0,242.0,3568.0,19433.675728699553,19433.75,,,,False,,,False,158.0,71.0,87.0,16.0,5662.0,False,,,False,,False,,44.7,47.18333333333333,-0.23333333333333334,-132.0,75.0,-207.0,True,0,0,0,50.56666666666667,-2.2,47.88333333333333,-12.0,98.0,NEXT_BAR_CAUSAL_CONSERVATIVE,7,545.0,85.0,420.0,60.0,85.0,545.0,60.0,420.0,0.1559633027522936,85.0,0.0,1.0,True,True,AMBIGUOUS,,,2025-03-11T09:33:00-04:00,60.0,True,True,AMBIGUOUS,,,2025-03-11T09:33:00-04:00,60.0,True,True,AMBIGUOUS,,,2025-03-11T09:33:00-04:00,60.0,True,True,AMBIGUOUS,,,2025-03-11T09:33:00-04:00,60.0
2025-03-11,NQ,20250311_FIRST_MINUTE_0930_0931_LVN_01_R02,FIRST_MINUTE_0930_0931_LVN_01,19420.0,2,2025-03-11T09:33:00-04:00,2025-03-11T09:34:00-04:00,120.0,FROM_BELOW,SHORT,ACCEPTANCE,CONTINUATION,LONG,19420.0,19420.0,19426.25,2025-03-11T09:33:00-04:00,0.0,25.0,,,DOWN,19407.5,-55.0,50.0,120.0,BAR_UNORDERED,60.0,0.6031746031746033,5,25.0,unknown,0.5058438919934535,trend_up,0.27297985119919627,-135.0,-260.0,-95.0,-55.0,-5.0,-120.0,30.0,BELOW_VAL,BELOW_POC,19425.073110285008,-20.29244114003086,-0.0009885090678888138,19431.602148796024,-46.40859518409707,-0.0003948523435244042,0.001593055452678676,0.8333333333333334,0.07246431701500683,0.1349914469787163,0.057795873247225425,0.20615516131835976,0.05602958312025971,0.05368894547037272,0.1258792882201219,0.053448280024498765,0.08836716139759711,0.27297985119919627,0.0936198850063355,0.05798772727447355,0.5058438919934535,0.22074858773438263,-0.0665515460531616,-0.7115395794642935,-0.6333170533313259,-0.15029225809572466,0.9456203028006274,0.9168857080272711,350.0,150.0,165.0,55.0,0.5409275648573708,0.5426008968609866,0.41535305959661184,0.35650224215246634,0.45714285714285713,0.5666666666666667,0.4975891127522586,0.5646860986547351,0.043719375546017396,0.10089686098654709,-0.004530659194087225,0.11633064516129031,26327.0,3568.0,-453.0,242.0,3,0.22857142857142856,0.39112050739957716,3,1,2,0.3375241779497099,-20.0,-130.0,-255.0,-90.0,1,19421.25,19501.25,19413.75,350.0,19450.0,19412.5,150.0,242.0,3568.0,19433.675728699553,19433.75,,,,False,,,False,188.0,92.0,96.0,4.0,4716.0,False,,,False,,False,,37.291666666666664,39.3,0.05,104.0,-132.0,236.0,True,0,0,0,43.8,1.7333333333333334,41.516666666666666,28.0,60.0,NEXT_BAR_CAUSAL_CONSERVATIVE,6,470.0,105.0,360.0,120.0,470.0,105.0,360.0,120.0,4.476190476190476,105.0,25.0,4.476190476190476,True,True,AMBIGUOUS,,,2025-03-11T09:34:00-04:00,60.0,True,True,AMBIGUOUS,,,2025-03-11T09:34:00-04:00,60.0,True,True,SL,-1.0,19411.25,2025-03-11T09:34:00-04:00,60.0,True,True,SL,-1.0,19406.25,2025-03-11T09:34:00-04:00,60.0
2025-03-11,NQ,20250311_FIRST_MINUTE_0930_0931_LVN_01_R03,FIRST_MINUTE_0930_0931_LVN_01,19420.0,3,2025-03-11T09:34:00-04:00,2025-03-11T09:35:00-04:00,180.0,FROM_ABOVE,LONG,REJECTION,REVERSAL,LONG,19420.0,19420.0,19422.5,2025-03-11T09:34:00-04:00,0.0,10.0,,,UP,19426.25,20.0,25.0,120.0,BAR_UNORDERED,60.0,0.6031746031746033,5,25.0,unknown,0.5058438919934535,trend_up,0.27297985119919627,-135.0,-260.0,-95.0,-55.0,-5.0,-120.0,30.0,BELOW_VAL,BELOW_POC,19424.546871697316,-18.18748678926204,-0.0012336676957798557,19430.735277482116,-42.94110992846254,-0.0004811608336162769,0.0015934980682068697,0.4166666666666667,0.07246431701500683,0.1349914469787163,0.057795873247225425,0.20615516131835976,0.05602958312025971,0.05368894547037272,0.1258792882201219,0.053448280024498765,0.08836716139759711,0.27297985119919627,0.0936198850063355,0.05798772727447355,0.5058438919934535,0.22074858773438263,-0.0665515460531616,-0.7115395794642935,-0.6333170533313259,-0.15029225809572466,0.9456203028006274,0.9168857080272711,350.0,150.0,165.0,55.0,0.5409275648573708,0.5426008968609866,0.41535305959661184,0.35650224215246634,0.45714285714285713,0.5666666666666667,0.4975891127522586,0.5646860986547351,0.043719375546017396,0.10089686098654709,-0.004530659194087225,0.11633064516129031,26327.0,3568.0,-453.0,242.0,3,0.22857142857142856,0.39112050739957716,3,1,2,0.3375241779497099,-20.0,-130.0,-255.0,-90.0,1,19421.25,19501.25,19413.75,350.0,19450.0,19412.5,150.0,242.0,3568.0,19433.675728699553,19433.75,,,,False,,,False,206.0,123.0,83.0,-40.0,4846.0,False,,,False,,False,,37.425,40.38333333333333,-0.35,-98.0,104.0,-202.0,True,0,0,0,34.8,-1.6333333333333333,33.06666666666667,-24.0,128.0,NEXT_BAR_CAUSAL_CONSERVATIVE,5,485.0,90.0,300.0,60.0,485.0,90.0,300.0,60.0,5.388888888888889,90.0,25.0,5.388888888888889,True,True,AMBIGUOUS,,,2025-03-11T09:35:00-04:00,60.0,True,True,AMBIGUOUS,,,2025-03-11T09:35:00-04:00,60.0,True,True,AMBIGUOUS,,,2025-03-11T09:35:00-04:00,60.0,True,True,AMBIGUOUS,,,2025-03-11T09:35:00-04:00,60.0
2025-03-11,NQ,20250311_FIRST_MINUTE_0930_0931_LVN_01_R04,FIRST_MINUTE_0930_0931_LVN_01,19420.0,4,2025-03-11T09:35:00-04:00,2025-03-11T09:35:00-04:00,240.0,FROM_ABOVE,LONG,REJECTION,REVERSAL,LONG,19420.0,19420.0,19427.5,2025-03-11T09:35:00-04:00,0.0,30.0,,,UP,19422.5,5.0,10.0,60.0,BAR_UNORDERED,60.0,0.6031746031746033,5,25.0,unknown,0.5058438919934535,trend_up,0.27297985119919627,-135.0,-260.0,-95.0,-55.0,-5.0,-120.0,30.0,BELOW_VAL,BELOW_POC,19424.09297386585,-16.37189546339505,-0.0012931494214057108,19430.427155817153,-41.70862326861243,-0.0004157397280897219,0.0016367589699571676,0.16666666666666666,0.07246431701500683,0.1349914469787163,0.057795873247225425,0.20615516131835976,0.05602958312025971,0.05368894547037272,0.1258792882201219,0.053448280024498765,0.08836716139759711,0.27297985119919627,0.0936198850063355,0.05798772727447355,0.5058438919934535,0.22074858773438263,-0.0665515460531616,-0.7115395794642935,-0.6333170533313259,-0.15029225809572466,0.9456203028006274,0.9168857080272711,350.0,150.0,165.0,55.0,0.5409275648573708,0.5426008968609866,0.41535305959661184,0.35650224215246634,0.45714285714285713,0.5666666666666667,0.4975891127522586,0.5646860986547351,0.043719375546017396,0.10089686098654709,-0.004530659194087225,0.11633064516129031,26327.0,3568.0,-453.0,242.0,3,0.22857142857142856,0.39112050739957716,3,1,2,0.3375241779497099,-20.0,-130.0,-255.0,-90.0,1,19421.25,19501.25,19413.75,350.0,19450.0,19412.5,150.0,242.0,3568.0,19433.675728699553,19433.75,,,,False,,,False,78.0,47.0,31.0,-16.0,2758.0,False,,,False,,False,,41.78333333333333,45.96666666666667,0.9333333333333333,56.0,-98.0,154.0,True,0,0,0,45.96666666666667,0.9333333333333333,41.78333333333333,-16.0,78.0,NEXT_BAR_CAUSAL_CONSERVATIVE,4,465.0,20.0,240.0,60.0,465.0,20.0,240.0,60.0,23.25,20.0,25.0,23.25,True,True,AMBIGUOUS,,,2025-03-11T09:36:00-04:00,60.0,True,False,TP,1.0,19437.5,2025-03-11T09:36:00-04:00,60.0,True,False,TP,1.0,19442.5,2025-03-11T09:36:00-04:00,60.0,True,False,TP,1.0,19447.5,2025-03-11T09:36:00-04:00,60.0
2025-03-11,NQ,20250311_FIRST_MINUTE_0930_0931_LVN_02_R01,FIRST_MINUTE_0930_0931_LVN_02,19428.75,1,2025-03-11T09:31:00-04:00,2025-03-11T09:32:00-04:00,0.0,FROM_ABOVE,LONG,REJECTION,REVERSAL,LONG,19428.75,19428.75,19432.5,2025-03-11T09:31:00-04:00,0.0,15.0,,,UP,19435.0,55.0,25.0,120.0,BAR_UNORDERED,60.0,0.6688741721854304,5,25.0,unknown,0.5058438919934535,trend_up,0.27297985119919627,-100.0,-225.0,-60.0,-20.0,30.0,-85.0,65.0,BELOW_VAL,BELOW_POC,19436.788568989603,-32.154275958411745,0.00032030397192443956,19434.761904761905,-24.047619047618355,-2.4501696742886413e-05,0.0,0.4166666666666667,0.07246431701500683,0.1349914469787163,0.057795873247225425,0.20615516131835976,0.05602958312025971,0.05368894547037272,0.1258792882201219,0.053448280024498765,0.08836716139759711,0.27297985119919627,0.0936198850063355,0.05798772727447355,0.5058438919934535,0.22074858773438263,-0.0665515460531616,-0.7115395794642935,-0.6333170533313259,-0.15029225809572466,0.9456203028006274,0.9168857080272711,350.0,150.0,165.0,55.0,0.5409275648573708,0.5426008968609866,0.41535305959661184,0.35650224215246634,0.45714285714285713,0.5666666666666667,0.4975891127522586,0.5646860986547351,0.043719375546017396,0.10089686098654709,-0.004530659194087225,0.11633064516129031,26327.0,3568.0,-453.0,242.0,3,0.22857142857142856,0.39112050739957716,3,1,2,0.3375241779497099,15.0,-130.0,-255.0,-90.0,1,19421.25,19501.25,19413.75,350.0,19450.0,19412.5,150.0,242.0,3568.0,19433.675728699553,19433.75,,,,False,,,False,135.0,73.0,62.0,-11.0,5909.0,False,,,False,,False,,46.325,49.24166666666667,-0.475,75.0,242.0,-167.0,True,0,0,0,47.916666666666664,1.25,44.766666666666666,-14.0,80.0,NEXT_BAR_CAUSAL_CONSERVATIVE,8,445.0,185.0,480.0,120.0,445.0,185.0,480.0,120.0,2.4054054054054053,185.0,80.0,2.4054054054054053,True,True,AMBIGUOUS,,,2025-03-11T09:32:00-04:00,60.0,True,True,AMBIGUOUS,,,2025-03-11T09:32:00-04:00,60.0,True,True,AMBIGUOUS,,,2025-03-11T09:32:00-04:00,60.0,True,True,SL,-1.0,19412.5,2025-03-11T09:32:00-04:00,60.0
2025-03-11,NQ,20250311_FIRST_MINUTE_0930_0931_LVN_02_R02,FIRST_MINUTE_0930_0931_LVN_02,19428.75,2,2025-03-11T09:32:00-04:00,2025-03-11T09:33:00-04:00,60.0,FROM_ABOVE,LONG,ACCEPTANCE,CONTINUATION,SHORT,19428.75,19428.75,19407.5,2025-03-11T09:32:00-04:00,0.0,85.0,,,UP,19432.5,45.0,15.0,120.0,BAR_UNORDERED,60.0,0.6688741721854304,5,25.0,unknown,0.5058438919934535,trend_up,0.27297985119919627,-100.0,-225.0,-60.0,-20.0,30.0,-85.0,65.0,BELOW_VAL,BELOW_POC,19430.574021314762,-7.296085259047686,-0.00031915842205938304,19432.16553287982,-13.662131519275135,-0.0002916868659819281,0.0008187381948524142,0.25,0.07246431701500683,0.1349914469787163,0.057795873247225425,0.20615516131835976,0.05602958312025971,0.05368894547037272,0.1258792882201219,0.053448280024498765,0.08836716139759711,0.27297985119919627,0.0936198850063355,0.05798772727447355,0.5058438919934535,0.22074858773438263,-0.0665515460531616,-0.7115395794642935,-0.6333170533313259,-0.15029225809572466,0.9456203028006274,0.9168857080272711,350.0,150.0,165.0,55.0,0.5409275648573708,0.5426008968609866,0.41535305959661184,0.35650224215246634,0.45714285714285713,0.5666666666666667,0.4975891127522586,0.5646860986547351,0.043719375546017396,0.10089686098654709,-0.004530659194087225,0.11633064516129031,26327.0,3568.0,-453.0,242.0,3,0.22857142857142856,0.39112050739957716,3,1,2,0.3375241779497099,15.0,-130.0,-255.0,-90.0,1,19421.25,19501.25,19413.75,350.0,19450.0,19412.5,150.0,242.0,3568.0,19433.675728699553,19433.75,,,,False,,,False,57.0,26.0,31.0,5.0,5662.0,False,,,False,,False,,44.7,47.18333333333333,-0.23333333333333334,-132.0,75.0,-207.0,True,0,0,0,50.56666666666667,-2.2,47.88333333333333,3.0,55.0,NEXT_BAR_CAUSAL_CONSERVATIVE,7,545.0,85.0,420.0,60.0,85.0,545.0,60.0,420.0,0.1559633027522936,85.0,0.0,1.0,True,True,AMBIGUOUS,,,2025-03-11T09:33:00-04:00,60.0,True,True,AMBIGUOUS,,,2025-03-11T09:33:00-04:00,60.0,True,True,AMBIGUOUS,,,2025-03-11T09:33:00-04:00,60.0,True,True,AMBIGUOUS,,,2025-03-11T09:33:00-04:00,60.0
2025-03-11,NQ,20250311_FIRST_MINUTE_0930_0931_LVN_02_R03,FIRST_MINUTE_0930_0931_LVN_02,19428.75,3,2025-03-11T09:33:00-04:00,2025-03-11T09:34:00-04:00,120.0,FROM_BELOW,SHORT,REJECTION,REVERSAL,SHORT,19428.75,19428.75,19426.25,2025-03-11T09:33:00-04:00,0.0,10.0,,,DOWN,19407.5,-55.0,85.0,120.0,BAR_UNORDERED,60.0,0.6688741721854304,5,25.0,unknown,0.5058438919934535,trend_up,0.27297985119919627,-100.0,-225.0,-60.0,-20.0,30.0,-85.0,65.0,BELOW_VAL,BELOW_POC,19425.073110285008,14.70755885996914,-0.0009885090678888138,19431.602148796024,-11.408595184097067,-0.0003948523435244042,0.001593055452678676,1.4166666666666667,0.07246431701500683,0.1349914469787163,0.057795873247225425,0.20615516131835976,0.05602958312025971,0.05368894547037272,0.1258792882201219,0.053448280024498765,0.08836716139759711,0.27297985119919627,0.0936198850063355,0.05798772727447355,0.5058438919934535,0.22074858773438263,-0.0665515460531616,-0.7115395794642935,-0.6333170533313259,-0.15029225809572466,0.9456203028006274,0.9168857080272711,350.0,150.0,165.0,55.0,0.5409275648573708,0.5426008968609866,0.41535305959661184,0.35650224215246634,0.45714285714285713,0.5666666666666667,0.4975891127522586,0.5646860986547351,0.043719375546017396,0.10089686098654709,-0.004530659194087225,0.11633064516129031,26327.0,3568.0,-453.0,242.0,3,0.22857142857142856,0.39112050739957716,3,1,2,0.3375241779497099,15.0,-130.0,-255.0,-90.0,1,19421.25,19501.25,19413.75,350.0,19450.0,19412.5,150.0,242.0,3568.0,19433.675728699553,19433.75,,,,False,,,False,112.0,39.0,73.0,34.0,4716.0,False,,,False,,False,,37.291666666666664,39.3,0.05,104.0,-132.0,236.0,True,0,0,0,43.8,1.7333333333333334,41.516666666666666,2.0,2.0,NEXT_BAR_CAUSAL_CONSERVATIVE,6,470.0,105.0,360.0,120.0,105.0,470.0,120.0,360.0,0.22340425531914893,70.0,0.0,1.5,True,True,AMBIGUOUS,,,2025-03-11T09:34:00-04:00,60.0,True,True,AMBIGUOUS,,,2025-03-11T09:34:00-04:00,60.0,True,True,TP,1.0,19411.25,2025-03-11T09:34:00-04:00,60.0,True,True,TP,1.0,19406.25,2025-03-11T09:34:00-04:00,60.0
2025-03-11,NQ,20250311_FIRST_MINUTE_0930_0931_LVN_02_R04,FIRST_MINUTE_0930_0931_LVN_02,19428.75,4,2025-03-11T09:34:00-04:00,2025-03-11T09:35:00-04:00,180.0,FROM_BELOW,SHORT,REJECTION,REVERSAL,SHORT,19428.75,19428.75,19422.5,2025-03-11T09:34:00-04:00,0.0,25.0,,,UP,19426.25,20.0,10.0,120.0,BAR_UNORDERED,60.0,0.6688741721854304,5,25.0,unknown,0.5058438919934535,trend_up,0.27297985119919627,-100.0,-225.0,-60.0,-20.0,30.0,-85.0,65.0,BELOW_VAL,BELOW_POC,19424.546871697316,16.81251321073796,-0.0012336676957798557,19430.735277482116,-7.941109928462538,-0.0004811608336162769,0.0015934980682068697,0.16666666666666666,0.07246431701500683,0.1349914469787163,0.057795873247225425,0.20615516131835976,0.05602958312025971,0.05368894547037272,0.1258792882201219,0.053448280024498765,0.08836716139759711,0.27297985119919627,0.0936198850063355,0.05798772727447355,0.5058438919934535,0.22074858773438263,-0.0665515460531616,-0.7115395794642935,-0.6333170533313259,-0.15029225809572466,0.9456203028006274,0.9168857080272711,350.0,150.0,165.0,55.0,0.5409275648573708,0.5426008968609866,0.41535305959661184,0.35650224215246634,0.45714285714285713,0.5666666666666667,0.4975891127522586,0.5646860986547351,0.043719375546017396,0.10089686098654709,-0.004530659194087225,0.11633064516129031,26327.0,3568.0,-453.0,242.0,3,0.22857142857142856,0.39112050739957716,3,1,2,0.3375241779497099,15.0,-130.0,-255.0,-90.0,1,19421.25,19501.25,19413.75,350.0,19450.0,19412.5,150.0,242.0,3568.0,19433.675728699553,19433.75,,,,False,,,False,248.0,115.0,133.0,18.0,4846.0,False,,,False,,False,,37.425,40.38333333333333,-0.35,-98.0,104.0,-202.0,True,0,0,0,34.8,-1.6333333333333333,33.06666666666667,32.0,110.0,NEXT_BAR_CAUSAL_CONSERVATIVE,5,485.0,90.0,300.0,60.0,90.0,485.0,60.0,300.0,0.18556701030927836,85.0,0.0,1.0588235294117647,True,True,AMBIGUOUS,,,2025-03-11T09:35:00-04:00,60.0,True,True,AMBIGUOUS,,,2025-03-11T09:35:00-04:00,60.0,True,True,AMBIGUOUS,,,2025-03-11T09:35:00-04:00,60.0,True,True,AMBIGUOUS,,,2025-03-11T09:35:00-04:00,60.0
2025-03-11,NQ,20250311_FIRST_MINUTE_0930_0931_LVN_02_R05,FIRST_MINUTE_0930_0931_LVN_02,19428.75,5,2025-03-11T09:35:00-04:00,2025-03-11T09:36:00-04:00,240.0,FROM_BELOW,SHORT,REJECTION,REVERSAL,SHORT,19428.75,19428.75,19427.5,2025-03-11T09:35:00-04:00,0.0,5.0,,,UP,19422.5,5.0,25.0,120.0,BAR_UNORDERED,60.0,0.6688741721854304,5,25.0,unknown,0.5058438919934535,trend_up,0.27297985119919627,-100.0,-225.0,-60.0,-20.0,30.0,-85.0,65.0,BELOW_VAL,BELOW_POC,19424.09297386585,18.62810453660495,-0.0012931494214057108,19430.427155817153,-6.708623268612428,-0.0004157397280897219,0.0016367589699571676,0.4166666666666667,0.07246431701500683,0.1349914469787163,0.057795873247225425,0.20615516131835976,0.05602958312025971,0.05368894547037272,0.1258792882201219,0.053448280024498765,0.08836716139759711,0.27297985119919627,0.0936198850063355,0.05798772727447355,0.5058438919934535,0.22074858773438263,-0.0665515460531616,-0.7115395794642935,-0.6333170533313259,-0.15029225809572466,0.9456203028006274,0.9168857080272711,350.0,150.0,165.0,55.0,0.5409275648573708,0.5426008968609866,0.41535305959661184,0.35650224215246634,0.45714285714285713,0.5666666666666667,0.4975891127522586,0.5646860986547351,0.043719375546017396,0.10089686098654709,-0.004530659194087225,0.11633064516129031,26327.0,3568.0,-453.0,242.0,3,0.22857142857142856,0.39112050739957716,3,1,2,0.3375241779497099,15.0,-130.0,-255.0,-90.0,1,19421.25,19501.25,19413.75,350.0,19450.0,19412.5,150.0,242.0,3568.0,19433.675728699553,19433.75,,,,False,,,False,199.0,123.0,76.0,-47.0,5962.0,False,,,False,,False,,46.025,49.68333333333333,4.35,56.0,-98.0,154.0,True,0,0,0,45.96666666666667,0.9333333333333333,41.78333333333333,-14.0,138.0,NEXT_BAR_CAUSAL_CONSERVATIVE,4,465.0,20.0,240.0,60.0,20.0,465.0,60.0,240.0,0.043010752688172046,240.0,0.0,0.08333333333333333,True,True,AMBIGUOUS,,,2025-03-11T09:36:00-04:00,60.0,True,False,SL,-1.0,19437.5,2025-03-11T09:36:00-04:00,60.0,True,False,SL,-1.0,19442.5,2025-03-11T09:36:00-04:00,60.0,True,False,SL,-1.0,19447.5,2025-03-11T09:36:00-04:00,60.0
2025-03-11,NQ,20250311_FIRST_MINUTE_0930_0931_LVN_02_R06,FIRST_MINUTE_0930_0931_LVN_02,19428.75,6,2025-03-11T09:36:00-04:00,2025-03-11T09:36:00-04:00,300.0,FROM_BELOW,SHORT,ACCEPTANCE,CONTINUATION,LONG,19428.75,19428.75,19485.0,2025-03-11T09:36:00-04:00,0.0,225.0,,,UP,19427.5,25.0,5.0,60.0,BAR_UNORDERED,60.0,0.6688741721854304,5,25.0,unknown,0.5058438919934535,trend_up,0.27297985119919627,-100.0,-225.0,-60.0,-20.0,30.0,-85.0,65.0,BELOW_VAL,BELOW_POC,19429.576221781197,-3.3048871247883653,-0.000122517656268903,19435.624569548854,-27.498278195416788,0.00023639396155832138,0.003219212758454585,0.08333333333333333,0.07246431701500683,0.1349914469787163,0.057795873247225425,0.20615516131835976,0.05602958312025971,0.05368894547037272,0.1258792882201219,0.053448280024498765,0.08836716139759711,0.27297985119919627,0.0936198850063355,0.05798772727447355,0.5058438919934535,0.22074858773438263,-0.0665515460531616,-0.7115395794642935,-0.6333170533313259,-0.15029225809572466,0.9456203028006274,0.9168857080272711,350.0,150.0,165.0,55.0,0.5409275648573708,0.5426008968609866,0.41535305959661184,0.35650224215246634,0.45714285714285713,0.5666666666666667,0.4975891127522586,0.5646860986547351,0.043719375546017396,0.10089686098654709,-0.004530659194087225,0.11633064516129031,26327.0,3568.0,-453.0,242.0,3,0.22857142857142856,0.39112050739957716,3,1,2,0.3375241779497099,15.0,-130.0,-255.0,-90.0,1,19421.25,19501.25,19413.75,350.0,19450.0,19412.5,150.0,242.0,3568.0,19433.675728699553,19433.75,,,,False,,,False,61.0,47.0,14.0,-33.0,3204.0,False,,,False,,False,,50.266666666666666,53.4,7.766666666666667,466.0,56.0,410.0,True,0,0,0,53.4,7.766666666666667,50.266666666666666,-33.0,61.0,NEXT_BAR_CAUSAL_CONSERVATIVE,3,235.0,20.0,180.0,60.0,235.0,20.0,180.0,60.0,11.75,20.0,25.0,11.75,True,True,AMBIGUOUS,,,2025-03-11T09:37:00-04:00,60.0,True,False,TP,1.0,19495.0,2025-03-11T09:37:00-04:00,60.0,True,False,TP,1.0,19500.0,2025-03-11T09:37:00-04:00,60.0,True,False,TP,1.0,19505.0,2025-03-11T09:37:00-04:00,60.0
