date,symbol,lvn_count,lvn_ids,lvn_prices,context_profile_shape,context_prob_P,context_prob_b,context_prob_D,reason
2025-03-14,NQ,1,FIRST_MINUTE_0930_0931_LVN_01,19460.00,unknown,0.05844733748617652,0.06029098491556698,0.07403430821732779,LVN_DETECTED_BUT_NOT_RETESTED_BEFORE_0940
2025-05-12,NQ,1,FIRST_MINUTE_0930_0931_LVN_01,20898.75,unknown,0.06665922877098998,0.07235446524391292,0.08010445465916188,LVN_DETECTED_BUT_NOT_RETESTED_BEFORE_0940
2025-05-16,NQ,1,FIRST_MINUTE_0930_0931_LVN_01,21463.75,unknown,0.06175358545993161,0.060241680344946605,0.06820042272540627,LVN_DETECTED_BUT_NOT_RETESTED_BEFORE_0940
2025-06-13,NQ,3,FIRST_MINUTE_0930_0931_LVN_01|FIRST_MINUTE_0930_0931_LVN_02|FIRST_MINUTE_0930_0931_LVN_03,21686.25|21691.25|21702.50,unknown,0.06873673557583,0.0680707217406071,0.07163641239208092,LVN_DETECTED_BUT_NOT_RETESTED_BEFORE_0940
2025-06-16,NQ,3,FIRST_MINUTE_0930_0931_LVN_01|FIRST_MINUTE_0930_0931_LVN_02|FIRST_MINUTE_0930_0931_LVN_03,22032.50|22038.75|22046.25,unknown,0.05058700837937223,0.05426240607200676,0.057427389477482396,LVN_DETECTED_BUT_NOT_RETESTED_BEFORE_0940
2025-07-09,NQ,1,FIRST_MINUTE_0930_0931_LVN_01,22982.50,unknown,0.05883760192868806,0.05961295839649103,0.06467502553909225,LVN_DETECTED_BUT_NOT_RETESTED_BEFORE_0940
2025-07-21,NQ,1,FIRST_MINUTE_0930_0931_LVN_01,23278.75,trend_down,0.045690188189050206,0.04548791980582544,0.046855743245626316,LVN_DETECTED_BUT_NOT_RETESTED_BEFORE_0940
2025-07-22,NQ,2,FIRST_MINUTE_0930_0931_LVN_01|FIRST_MINUTE_0930_0931_LVN_02,23331.25|23342.50,D,0.08717219858848978,0.05543946341897837,0.4969066835414576,LVN_DETECTED_BUT_NOT_RETESTED_BEFORE_0940
2025-07-23,NQ,1,FIRST_MINUTE_0930_0931_LVN_01,23247.50,double,0.01571541513091873,0.015584890974160213,0.01669677046755099,LVN_DETECTED_BUT_NOT_RETESTED_BEFORE_0940
2025-07-31,NQ,1,FIRST_MINUTE_0930_0931_LVN_01,23743.75,trend_up,0.046848714092404965,0.04728622055931861,0.04983269509157712,LVN_DETECTED_BUT_NOT_RETESTED_BEFORE_0940
2025-08-20,NQ,2,FIRST_MINUTE_0930_0931_LVN_01|FIRST_MINUTE_0930_0931_LVN_02,23406.25|23411.25,double,0.03873710189479297,0.039422233587898675,0.04305657194558344,LVN_DETECTED_BUT_NOT_RETESTED_BEFORE_0940
2025-09-15,NQ,1,FIRST_MINUTE_0930_0931_LVN_01,24181.25,double,0.018080932859490733,0.01829482763859762,0.019232222341658698,LVN_DETECTED_BUT_NOT_RETESTED_BEFORE_0940
2025-10-10,NQ,1,FIRST_MINUTE_0930_0931_LVN_01,25303.75,trend_down,0.05566391857082498,0.05536611851558126,0.05662902690549023,LVN_DETECTED_BUT_NOT_RETESTED_BEFORE_0940
2025-10-15,NQ,1,FIRST_MINUTE_0930_0931_LVN_01,25000.00,unknown,0.06212853358683724,0.06660555263091889,0.19545714883867496,LVN_DETECTED_BUT_NOT_RETESTED_BEFORE_0940
2025-10-20,NQ,1,FIRST_MINUTE_0930_0931_LVN_01,25138.75,trend_up,0.042278305525640464,0.04237147286863547,0.04269332028121758,LVN_DETECTED_BUT_NOT_RETESTED_BEFORE_0940
2025-10-22,NQ,1,FIRST_MINUTE_0930_0931_LVN_01,25255.00,trend_up,0.06472394643644008,0.06480126606358137,0.0650684013545433,LVN_DETECTED_BUT_NOT_RETESTED_BEFORE_0940
