section,segment,metric,value,n
Overall,ALL,sessions,165.0,165
Overall,ALL,sessions_with_first_minute_lvn,84.0,165
Overall,ALL,lvn_occurrence_day_rate,0.509090909090909,165
Overall,ALL,lvn_nodes,125.0,125
Overall,ALL,retest_events,286.0,286
Overall,ALL,retests_per_lvn,2.288,125
Shape occurrence,D,days_with_lvn,2.0,3
Shape occurrence,D,lvn_nodes,3.0,3
Shape occurrence,D,nodes_with_retest_rate,0.3333333333333333,3
Shape occurrence,D,mean_retests_per_node,0.3333333333333333,3
Shape occurrence,double,days_with_lvn,9.0,11
Shape occurrence,double,lvn_nodes,11.0,11
Shape occurrence,double,nodes_with_retest_rate,0.6363636363636364,11
Shape occurrence,double,mean_retests_per_node,1.2727272727272727,11
Shape occurrence,trend_down,days_with_lvn,18.0,30
Shape occurrence,trend_down,lvn_nodes,30.0,30
Shape occurrence,trend_down,nodes_with_retest_rate,0.8,30
Shape occurrence,trend_down,mean_retests_per_node,2.6666666666666665,30
Shape occurrence,trend_up,days_with_lvn,25.0,35
Shape occurrence,trend_up,lvn_nodes,35.0,35
Shape occurrence,trend_up,nodes_with_retest_rate,0.8,35
Shape occurrence,trend_up,mean_retests_per_node,2.657142857142857,35
Shape occurrence,unknown,days_with_lvn,30.0,46
Shape occurrence,unknown,lvn_nodes,46.0,46
Shape occurrence,unknown,nodes_with_retest_rate,0.7391304347826086,46
Shape occurrence,unknown,mean_retests_per_node,2.130434782608696,46
Monthly occurrence,2025-03,days_with_lvn,8.0,12
Monthly occurrence,2025-03,lvn_nodes,12.0,12
Monthly occurrence,2025-03,nodes_with_retest,11.0,12
Monthly occurrence,2025-04,days_with_lvn,11.0,19
Monthly occurrence,2025-04,lvn_nodes,19.0,19
Monthly occurrence,2025-04,nodes_with_retest,17.0,19
Monthly occurrence,2025-05,days_with_lvn,10.0,11
Monthly occurrence,2025-05,lvn_nodes,11.0,11
Monthly occurrence,2025-05,nodes_with_retest,9.0,11
Monthly occurrence,2025-06,days_with_lvn,13.0,21
Monthly occurrence,2025-06,lvn_nodes,21.0,21
Monthly occurrence,2025-06,nodes_with_retest,15.0,21
Monthly occurrence,2025-07,days_with_lvn,15.0,18
Monthly occurrence,2025-07,lvn_nodes,18.0,18
Monthly occurrence,2025-07,nodes_with_retest,12.0,18
Monthly occurrence,2025-08,days_with_lvn,10.0,21
Monthly occurrence,2025-08,lvn_nodes,21.0,21
Monthly occurrence,2025-08,nodes_with_retest,14.0,21
Monthly occurrence,2025-09,days_with_lvn,9.0,13
Monthly occurrence,2025-09,lvn_nodes,13.0,13
Monthly occurrence,2025-09,nodes_with_retest,10.0,13
Monthly occurrence,2025-10,days_with_lvn,8.0,10
Monthly occurrence,2025-10,lvn_nodes,10.0,10
Monthly occurrence,2025-10,nodes_with_retest,6.0,10
Overall,ALL,active_months,8.0,8
Overall,ALL,mean_events_per_month,35.75,8
Overall,ALL,median_events_per_month,35.5,8
Overall,ALL,mean_mfe_ticks,124.22932330827068,286
Overall,ALL,mean_mae_ticks,134.3984962406015,286
Overall,ALL,median_mfe_mae_ratio,0.9772727272727273,260
Shape cohort,D,events,1.0,1
Shape cohort,D,unique_days,1.0,1
Shape cohort,D,events_per_month,0.125,1
Shape cohort,D,mfe_ticks_median,155.0,1
Shape cohort,D,mfe_ticks_mean,155.0,1
Shape cohort,D,mfe_ticks_p90,155.0,1
Shape cohort,D,mfe_ticks_max,155.0,1
Shape cohort,D,mae_ticks_median,35.0,1
Shape cohort,D,time_to_mfe_seconds_median,420.0,1
Shape cohort,double,events,14.0,14
Shape cohort,double,unique_days,6.0,14
Shape cohort,double,events_per_month,1.75,14
Shape cohort,double,mfe_ticks_median,97.5,14
Shape cohort,double,mfe_ticks_mean,103.57142857142857,14
Shape cohort,double,mfe_ticks_p90,175.0,14
Shape cohort,double,mfe_ticks_max,195.0,14
Shape cohort,double,mae_ticks_median,55.0,14
Shape cohort,double,time_to_mfe_seconds_median,210.0,14
Shape cohort,trend_down,events,80.0,80
Shape cohort,trend_down,unique_days,16.0,80
Shape cohort,trend_down,events_per_month,10.0,80
Shape cohort,trend_down,mfe_ticks_median,70.0,73
Shape cohort,trend_down,mfe_ticks_mean,130.6164383561644,73
Shape cohort,trend_down,mfe_ticks_p90,305.0,73
Shape cohort,trend_down,mfe_ticks_max,460.0,73
Shape cohort,trend_down,mae_ticks_median,70.0,80
Shape cohort,trend_down,time_to_mfe_seconds_median,120.0,73
Shape cohort,trend_up,events,93.0,93
Shape cohort,trend_up,unique_days,22.0,93
Shape cohort,trend_up,events_per_month,11.625,93
Shape cohort,trend_up,mfe_ticks_median,80.0,83
Shape cohort,trend_up,mfe_ticks_mean,112.10843373493977,83
Shape cohort,trend_up,mfe_ticks_p90,224.0,83
Shape cohort,trend_up,mfe_ticks_max,525.0,83
Shape cohort,trend_up,mae_ticks_median,110.0,93
Shape cohort,trend_up,time_to_mfe_seconds_median,120.0,83
Shape cohort,unknown,events,98.0,98
Shape cohort,unknown,unique_days,23.0,98
Shape cohort,unknown,events_per_month,12.25,98
Shape cohort,unknown,mfe_ticks_median,100.0,95
Shape cohort,unknown,mfe_ticks_mean,132.6315789473684,95
Shape cohort,unknown,mfe_ticks_p90,263.00000000000006,95
Shape cohort,unknown,mfe_ticks_max,485.0,95
Shape cohort,unknown,mae_ticks_median,75.0,98
Shape cohort,unknown,time_to_mfe_seconds_median,120.0,95
Interaction cohort,ACCEPTANCE,events,152.0,152
Interaction cohort,ACCEPTANCE,unique_days,58.0,152
Interaction cohort,ACCEPTANCE,mean_mfe_ticks,129.13793103448276,152
Interaction cohort,ACCEPTANCE,mean_mae_ticks,145.9655172413793,152
Interaction cohort,ACCEPTANCE,wr_20_20_all,0.23026315789473684,152
Interaction cohort,ACCEPTANCE,wr_20_20_resolved,0.603448275862069,58
Interaction cohort,ACCEPTANCE,mean_realized_r_20_20,0.20689655172413793,58
Interaction cohort,ACCEPTANCE,wr_40_40_all,0.4276315789473684,152
Interaction cohort,ACCEPTANCE,wr_40_40_resolved,0.6132075471698113,106
Interaction cohort,ACCEPTANCE,mean_realized_r_40_40,0.22546728971962618,107
Interaction cohort,ACCEPTANCE,wr_60_60_all,0.4276315789473684,152
Interaction cohort,ACCEPTANCE,wr_60_60_resolved,0.5462184873949579,119
Interaction cohort,ACCEPTANCE,mean_realized_r_60_60,0.09960937499999997,128
Interaction cohort,ACCEPTANCE,wr_80_80_all,0.45394736842105265,152
Interaction cohort,ACCEPTANCE,wr_80_80_resolved,0.5798319327731093,119
Interaction cohort,ACCEPTANCE,mean_realized_r_80_80,0.1381340579710145,138
Interaction cohort,REJECTION,events,133.0,133
Interaction cohort,REJECTION,unique_days,49.0,133
Interaction cohort,REJECTION,mean_mfe_ticks,118.34710743801652,133
Interaction cohort,REJECTION,mean_mae_ticks,120.53719008264463,133
Interaction cohort,REJECTION,wr_20_20_all,0.18045112781954886,133
Interaction cohort,REJECTION,wr_20_20_resolved,0.4,60
Interaction cohort,REJECTION,mean_realized_r_20_20,-0.2,60
Interaction cohort,REJECTION,wr_40_40_all,0.3233082706766917,133
Interaction cohort,REJECTION,wr_40_40_resolved,0.4479166666666667,96
Interaction cohort,REJECTION,mean_realized_r_40_40,-0.09558823529411764,102
Interaction cohort,REJECTION,wr_60_60_all,0.3458646616541353,133
Interaction cohort,REJECTION,wr_60_60_resolved,0.46938775510204084,98
Interaction cohort,REJECTION,mean_realized_r_60_60,-0.04751461988304093,114
Interaction cohort,REJECTION,wr_80_80_all,0.3233082706766917,133
Interaction cohort,REJECTION,wr_80_80_resolved,0.4777777777777778,90
Interaction cohort,REJECTION,mean_realized_r_80_80,-0.04006410256410257,117
Interaction cohort,UNKNOWN_APPROACH,events,1.0,1
Interaction cohort,UNKNOWN_APPROACH,unique_days,1.0,1
Interaction cohort,UNKNOWN_APPROACH,mean_mfe_ticks,,1
Interaction cohort,UNKNOWN_APPROACH,mean_mae_ticks,,1
Interaction cohort,UNKNOWN_APPROACH,wr_20_20_all,0.0,1
Interaction cohort,UNKNOWN_APPROACH,wr_20_20_resolved,,0
Interaction cohort,UNKNOWN_APPROACH,mean_realized_r_20_20,,0
Interaction cohort,UNKNOWN_APPROACH,wr_40_40_all,0.0,1
Interaction cohort,UNKNOWN_APPROACH,wr_40_40_resolved,,0
Interaction cohort,UNKNOWN_APPROACH,mean_realized_r_40_40,,0
Interaction cohort,UNKNOWN_APPROACH,wr_60_60_all,0.0,1
Interaction cohort,UNKNOWN_APPROACH,wr_60_60_resolved,,0
Interaction cohort,UNKNOWN_APPROACH,mean_realized_r_60_60,,0
Interaction cohort,UNKNOWN_APPROACH,wr_80_80_all,0.0,1
Interaction cohort,UNKNOWN_APPROACH,wr_80_80_resolved,,0
Interaction cohort,UNKNOWN_APPROACH,mean_realized_r_80_80,,0
Interaction x shape,ACCEPTANCE|double,events,4.0,4
Interaction x shape,ACCEPTANCE|double,wr_20_20_resolved,1.0,2
Interaction x shape,ACCEPTANCE|double,wr_40_40_resolved,1.0,3
Interaction x shape,ACCEPTANCE|double,wr_60_60_resolved,0.75,4
Interaction x shape,ACCEPTANCE|double,wr_80_80_resolved,1.0,4
Interaction x shape,ACCEPTANCE|trend_down,events,40.0,40
Interaction x shape,ACCEPTANCE|trend_down,wr_20_20_resolved,0.6153846153846154,13
Interaction x shape,ACCEPTANCE|trend_down,wr_40_40_resolved,0.6333333333333333,30
Interaction x shape,ACCEPTANCE|trend_down,wr_60_60_resolved,0.6071428571428571,28
Interaction x shape,ACCEPTANCE|trend_down,wr_80_80_resolved,0.6428571428571429,28
