debug_type,status,source_file,raw_rows,accepted_rows,dropped_rows,granularity,first_timestamp_et,last_timestamp_et,off_tick_price_rows,has_bid_ask,has_ohlc,has_big_trade_field,has_iceberg_field,has_absorption_field,date,profile,candidate_type,reason,price,price_bin,volume,left_neighbor_mean,right_neighbor_mean,volume_multiple_of_neighbors,width_ticks,low_price,high_price,prominence,hvn_id,weaker_neighbor_mean,volume_percent_of_neighbors,depth,volume_percent_of_poc
INPUT_MANIFEST,ACCEPTED,C:\Users\k_99_\Desktop\codding\data_footprint_generator\lvn_research_raw\lvn_research_raw_2026-07-01_NY.csv,420.0,420.0,0.0,FOOTPRINT_BAR,2026-07-01T09:31:00-04:00,2026-07-01T09:39:00-04:00,0.0,True,True,False,False,False,,,,,,,,,,,,,,,,,,,
INPUT_MANIFEST,ACCEPTED,C:\Users\k_99_\Desktop\codding\data_footprint_generator\lvn_research_raw\lvn_research_raw_2026-07-02_NY.csv,1775.0,1775.0,0.0,FOOTPRINT_BAR,2026-07-02T08:30:00-04:00,2026-07-02T09:39:00-04:00,0.0,True,True,False,False,False,,,,,,,,,,,,,,,,,,,
INPUT_MANIFEST,ACCEPTED,C:\Users\k_99_\Desktop\codding\data_footprint_generator\lvn_research_raw\lvn_research_raw_2026-07-06_NY.csv,1130.0,1130.0,0.0,FOOTPRINT_BAR,2026-07-06T08:30:00-04:00,2026-07-06T09:39:00-04:00,0.0,True,True,False,False,False,,,,,,,,,,,,,,,,,,,
INPUT_MANIFEST,ACCEPTED,C:\Users\k_99_\Desktop\codding\data_footprint_generator\lvn_research_raw\lvn_research_raw_2026-07-07_NY.csv,1199.0,1199.0,0.0,FOOTPRINT_BAR,2026-07-07T08:30:00-04:00,2026-07-07T09:39:00-04:00,0.0,True,True,False,False,False,,,,,,,,,,,,,,,,,,,
INPUT_MANIFEST,ACCEPTED,C:\Users\k_99_\Desktop\codding\data_footprint_generator\lvn_research_raw\lvn_research_raw_2026-07-08_NY.csv,1409.0,1409.0,0.0,FOOTPRINT_BAR,2026-07-08T08:30:00-04:00,2026-07-08T09:39:00-04:00,0.0,True,True,False,False,False,,,,,,,,,,,,,,,,,,,
,REJECTED,,,,,,,,,,,,,,2026-07-01,CONTEXT_0830_0930,HVN,NO_PROFILE_DATA,,,,,,,,,,,,,,,
,REJECTED,,,,,,,,,,,,,,2026-07-01,CONTEXT_0830_0930,LVN,NO_PROFILE_DATA,,,,,,,,,,,,,,,
,REJECTED,,,,,,,,,,,,,,2026-07-01,FIRST_MINUTE_0930_0931,HVN,NO_PROFILE_DATA,,,,,,,,,,,,,,,
,REJECTED,,,,,,,,,,,,,,2026-07-01,FIRST_MINUTE_0930_0931,LVN,NO_PROFILE_DATA,,,,,,,,,,,,,,,
,REJECTED,,,,,,,,,,,,,,2026-07-02,CONTEXT_0830_0930,HVN,INSUFFICIENT_NEIGHBORS,30073.75,24059.0,1.0,,,,,,,,,,,,
,REJECTED,,,,,,,,,,,,,,2026-07-02,CONTEXT_0830_0930,HVN,INSUFFICIENT_NEIGHBORS,30075.0,24060.0,16.0,,,,,,,,,,,,
,REJECTED,,,,,,,,,,,,,,2026-07-02,CONTEXT_0830_0930,HVN,BELOW_NEIGHBOR_MULTIPLE,30076.25,24061.0,34.0,8.5,30.0,1.1333333333333333,,,,,,,,,
,REJECTED,,,,,,,,,,,,,,2026-07-02,CONTEXT_0830_0930,HVN,NOT_HIGHER_THAN_BOTH_SIDES|BELOW_NEIGHBOR_MULTIPLE,30077.5,24062.0,33.0,25.0,54.5,0.6055045871559633,,,,,,,,,
,REJECTED,,,,,,,,,,,,,,2026-07-02,CONTEXT_0830_0930,HVN,NOT_HIGHER_THAN_BOTH_SIDES|BELOW_NEIGHBOR_MULTIPLE,30078.75,24063.0,27.0,33.5,54.5,0.4954128440366973,,,,,,,,,
,ACCEPTED,,,,,,,,,,,,,,2026-07-02,CONTEXT_0830_0930,HVN,QUALIFIED,30080.0,24064.0,82.0,30.0,45.5,1.8021978021978022,5.0,30080.0,30080.0,0.44512195121951215,CONTEXT_0830_0930_HVN_01,,,,
,REJECTED,,,,,,,,,,,,,,2026-07-02,CONTEXT_0830_0930,HVN,NOT_HIGHER_THAN_BOTH_SIDES|BELOW_NEIGHBOR_MULTIPLE,30081.25,24065.0,27.0,54.5,49.0,0.4954128440366973,,,,,,,,,
