section,segment,metric,value,n
Overall,ALL,sessions,84.0,84
Overall,ALL,sessions_with_first_minute_lvn,44.0,84
Overall,ALL,lvn_occurrence_day_rate,0.5238095238095238,84
Overall,ALL,lvn_nodes,89.0,89
Overall,ALL,retest_events,181.0,181
Overall,ALL,retests_per_lvn,2.033707865168539,89
Shape occurrence,double,days_with_lvn,5.0,6
Shape occurrence,double,lvn_nodes,6.0,6
Shape occurrence,double,nodes_with_retest_rate,0.5,6
Shape occurrence,double,mean_retests_per_node,1.0,6
Shape occurrence,trend_down,days_with_lvn,9.0,19
Shape occurrence,trend_down,lvn_nodes,19.0,19
Shape occurrence,trend_down,nodes_with_retest_rate,0.5789473684210527,19
Shape occurrence,trend_down,mean_retests_per_node,1.5789473684210527,19
Shape occurrence,trend_up,days_with_lvn,12.0,25
Shape occurrence,trend_up,lvn_nodes,25.0,25
Shape occurrence,trend_up,nodes_with_retest_rate,0.76,25
Shape occurrence,trend_up,mean_retests_per_node,2.28,25
Shape occurrence,unknown,days_with_lvn,18.0,39
Shape occurrence,unknown,lvn_nodes,39.0,39
Shape occurrence,unknown,nodes_with_retest_rate,0.7692307692307693,39
Shape occurrence,unknown,mean_retests_per_node,2.2564102564102564,39
Monthly occurrence,2026-03,days_with_lvn,9.0,16
Monthly occurrence,2026-03,lvn_nodes,16.0,16
Monthly occurrence,2026-03,nodes_with_retest,12.0,16
Monthly occurrence,2026-04,days_with_lvn,9.0,14
Monthly occurrence,2026-04,lvn_nodes,14.0,14
Monthly occurrence,2026-04,nodes_with_retest,8.0,14
Monthly occurrence,2026-05,days_with_lvn,10.0,17
Monthly occurrence,2026-05,lvn_nodes,17.0,17
Monthly occurrence,2026-05,nodes_with_retest,13.0,17
Monthly occurrence,2026-06,days_with_lvn,14.0,39
Monthly occurrence,2026-06,lvn_nodes,39.0,39
Monthly occurrence,2026-06,nodes_with_retest,27.0,39
Monthly occurrence,2026-07,days_with_lvn,2.0,3
Monthly occurrence,2026-07,lvn_nodes,3.0,3
Monthly occurrence,2026-07,nodes_with_retest,3.0,3
Overall,ALL,active_months,5.0,5
Overall,ALL,mean_events_per_month,36.2,5
Overall,ALL,median_events_per_month,29.0,5
Overall,ALL,mean_mfe_ticks,178.10650887573965,181
Overall,ALL,mean_mae_ticks,208.57988165680473,181
Overall,ALL,median_mfe_mae_ratio,0.8205128205128205,169
Shape cohort,double,events,6.0,6
Shape cohort,double,unique_days,3.0,6
Shape cohort,double,mean_mfe_ticks,362.5,6
Shape cohort,double,mean_mae_ticks,62.5,6
Shape cohort,double,wr_20_20_all,0.0,6
Shape cohort,double,wr_20_20_resolved,,0
Shape cohort,double,mean_realized_r_20_20,,0
Shape cohort,double,ambiguous_20_20,6.0,6
Shape cohort,double,wr_40_40_all,0.5,6
Shape cohort,double,wr_40_40_resolved,0.75,4
Shape cohort,double,mean_realized_r_40_40,0.5,4
Shape cohort,double,ambiguous_40_40,2.0,6
Shape cohort,double,wr_60_60_all,0.8333333333333334,6
Shape cohort,double,wr_60_60_resolved,0.8333333333333334,6
Shape cohort,double,mean_realized_r_60_60,0.6666666666666666,6
Shape cohort,double,ambiguous_60_60,0.0,6
Shape cohort,double,wr_80_80_all,1.0,6
Shape cohort,double,wr_80_80_resolved,1.0,6
Shape cohort,double,mean_realized_r_80_80,1.0,6
Shape cohort,double,ambiguous_80_80,0.0,6
Shape cohort,trend_down,events,30.0,30
Shape cohort,trend_down,unique_days,7.0,30
Shape cohort,trend_down,mean_mfe_ticks,121.55172413793103,30
Shape cohort,trend_down,mean_mae_ticks,171.20689655172413,30
Shape cohort,trend_down,wr_20_20_all,0.3,30
Shape cohort,trend_down,wr_20_20_resolved,0.5625,16
Shape cohort,trend_down,mean_realized_r_20_20,0.125,16
Shape cohort,trend_down,ambiguous_20_20,13.0,30
Shape cohort,trend_down,wr_40_40_all,0.3333333333333333,30
Shape cohort,trend_down,wr_40_40_resolved,0.43478260869565216,23
Shape cohort,trend_down,mean_realized_r_40_40,-0.13043478260869565,23
Shape cohort,trend_down,ambiguous_40_40,6.0,30
Shape cohort,trend_down,wr_60_60_all,0.36666666666666664,30
Shape cohort,trend_down,wr_60_60_resolved,0.44,25
Shape cohort,trend_down,mean_realized_r_60_60,-0.12,25
Shape cohort,trend_down,ambiguous_60_60,4.0,30
Shape cohort,trend_down,wr_80_80_all,0.4666666666666667,30
Shape cohort,trend_down,wr_80_80_resolved,0.5,28
Shape cohort,trend_down,mean_realized_r_80_80,0.0,28
Shape cohort,trend_down,ambiguous_80_80,1.0,30
Shape cohort,trend_up,events,57.0,57
Shape cohort,trend_up,unique_days,10.0,57
Shape cohort,trend_up,mean_mfe_ticks,265.7692307692308,57
Shape cohort,trend_up,mean_mae_ticks,293.65384615384613,57
Shape cohort,trend_up,wr_20_20_all,0.14035087719298245,57
Shape cohort,trend_up,wr_20_20_resolved,0.5333333333333333,15
Shape cohort,trend_up,mean_realized_r_20_20,0.06666666666666667,15
Shape cohort,trend_up,ambiguous_20_20,37.0,57
Shape cohort,trend_up,wr_40_40_all,0.21052631578947367,57
Shape cohort,trend_up,wr_40_40_resolved,0.5,24
Shape cohort,trend_up,mean_realized_r_40_40,0.0,24
Shape cohort,trend_up,ambiguous_40_40,28.0,57
Shape cohort,trend_up,wr_60_60_all,0.3157894736842105,57
Shape cohort,trend_up,wr_60_60_resolved,0.5625,32
Shape cohort,trend_up,mean_realized_r_60_60,0.125,32
Shape cohort,trend_up,ambiguous_60_60,20.0,57
Shape cohort,trend_up,wr_80_80_all,0.42105263157894735,57
Shape cohort,trend_up,wr_80_80_resolved,0.6,40
Shape cohort,trend_up,mean_realized_r_80_80,0.20579268292682926,41
Shape cohort,trend_up,ambiguous_80_80,11.0,57
Shape cohort,unknown,events,88.0,88
Shape cohort,unknown,unique_days,15.0,88
Shape cohort,unknown,mean_mfe_ticks,129.02439024390245,88
Shape cohort,unknown,mean_mae_ticks,178.53658536585365,88
Shape cohort,unknown,wr_20_20_all,0.07954545454545454,88
Shape cohort,unknown,wr_20_20_resolved,0.3333333333333333,21
Shape cohort,unknown,mean_realized_r_20_20,-0.3333333333333333,21
Shape cohort,unknown,ambiguous_20_20,61.0,88
Shape cohort,unknown,wr_40_40_all,0.26136363636363635,88
Shape cohort,unknown,wr_40_40_resolved,0.41818181818181815,55
Shape cohort,unknown,mean_realized_r_40_40,-0.16363636363636364,55
Shape cohort,unknown,ambiguous_40_40,27.0,88
Shape cohort,unknown,wr_60_60_all,0.2840909090909091,88
Shape cohort,unknown,wr_60_60_resolved,0.3787878787878788,66
Shape cohort,unknown,mean_realized_r_60_60,-0.21256038647342995,69
Shape cohort,unknown,ambiguous_60_60,13.0,88
Shape cohort,unknown,wr_80_80_all,0.32954545454545453,88
Shape cohort,unknown,wr_80_80_resolved,0.3972602739726027,73
Shape cohort,unknown,mean_realized_r_80_80,-0.16930379746835442,79
Shape cohort,unknown,ambiguous_80_80,3.0,88
Interaction cohort,ACCEPTANCE,events,93.0,93
Interaction cohort,ACCEPTANCE,unique_days,30.0,93
Interaction cohort,ACCEPTANCE,mean_mfe_ticks,171.56976744186048,93
Interaction cohort,ACCEPTANCE,mean_mae_ticks,202.03488372093022,93
Interaction cohort,ACCEPTANCE,wr_20_20_all,0.12903225806451613,93
Interaction cohort,ACCEPTANCE,wr_20_20_resolved,0.5217391304347826,23
Interaction cohort,ACCEPTANCE,mean_realized_r_20_20,0.043478260869565216,23
Interaction cohort,ACCEPTANCE,wr_40_40_all,0.2903225806451613,93
Interaction cohort,ACCEPTANCE,wr_40_40_resolved,0.5,54
Interaction cohort,ACCEPTANCE,mean_realized_r_40_40,0.0,54
Interaction cohort,ACCEPTANCE,wr_60_60_all,0.3225806451612903,93
Interaction cohort,ACCEPTANCE,wr_60_60_resolved,0.4918032786885246,61
Interaction cohort,ACCEPTANCE,mean_realized_r_60_60,-0.001322751322751311,63
Interaction cohort,ACCEPTANCE,wr_80_80_all,0.43010752688172044,93
Interaction cohort,ACCEPTANCE,wr_80_80_resolved,0.5405405405405406,74
Interaction cohort,ACCEPTANCE,mean_realized_r_80_80,0.10680379746835443,79
Interaction cohort,REJECTION,events,87.0,87
Interaction cohort,REJECTION,unique_days,29.0,87
Interaction cohort,REJECTION,mean_mfe_ticks,184.87951807228916,87
Interaction cohort,REJECTION,mean_mae_ticks,215.36144578313252,87
Interaction cohort,REJECTION,wr_20_20_all,0.13793103448275862,87
Interaction cohort,REJECTION,wr_20_20_resolved,0.41379310344827586,29
Interaction cohort,REJECTION,mean_realized_r_20_20,-0.1724137931034483,29
Interaction cohort,REJECTION,wr_40_40_all,0.2413793103448276,87
Interaction cohort,REJECTION,wr_40_40_resolved,0.40384615384615385,52
Interaction cohort,REJECTION,mean_realized_r_40_40,-0.19230769230769232,52
Interaction cohort,REJECTION,wr_60_60_all,0.3333333333333333,87
Interaction cohort,REJECTION,wr_60_60_resolved,0.4264705882352941,68
Interaction cohort,REJECTION,mean_realized_r_60_60,-0.13888888888888887,69
Interaction cohort,REJECTION,wr_80_80_all,0.3793103448275862,87
Interaction cohort,REJECTION,wr_80_80_resolved,0.4520547945205479,73
Interaction cohort,REJECTION,mean_realized_r_80_80,-0.09833333333333333,75
Interaction cohort,UNRESOLVED,events,1.0,1
Interaction cohort,UNRESOLVED,unique_days,1.0,1
Interaction cohort,UNRESOLVED,mean_mfe_ticks,,1
Interaction cohort,UNRESOLVED,mean_mae_ticks,,1
Interaction cohort,UNRESOLVED,wr_20_20_all,0.0,1
Interaction cohort,UNRESOLVED,wr_20_20_resolved,,0
Interaction cohort,UNRESOLVED,mean_realized_r_20_20,,0
Interaction cohort,UNRESOLVED,wr_40_40_all,0.0,1
Interaction cohort,UNRESOLVED,wr_40_40_resolved,,0
Interaction cohort,UNRESOLVED,mean_realized_r_40_40,,0
Interaction cohort,UNRESOLVED,wr_60_60_all,0.0,1
Interaction cohort,UNRESOLVED,wr_60_60_resolved,,0
Interaction cohort,UNRESOLVED,mean_realized_r_60_60,,0
Interaction cohort,UNRESOLVED,wr_80_80_all,0.0,1
Interaction cohort,UNRESOLVED,wr_80_80_resolved,,0
Interaction cohort,UNRESOLVED,mean_realized_r_80_80,,0
Interaction x shape,ACCEPTANCE|double,events,2.0,2
Interaction x shape,ACCEPTANCE|double,wr_20_20_resolved,,0
Interaction x shape,ACCEPTANCE|double,wr_40_40_resolved,1.0,2
Interaction x shape,ACCEPTANCE|double,wr_60_60_resolved,1.0,2
Interaction x shape,ACCEPTANCE|double,wr_80_80_resolved,1.0,2
Interaction x shape,ACCEPTANCE|trend_down,events,17.0,17
Interaction x shape,ACCEPTANCE|trend_down,wr_20_20_resolved,0.5454545454545454,11
Interaction x shape,ACCEPTANCE|trend_down,wr_40_40_resolved,0.4666666666666667,15
Interaction x shape,ACCEPTANCE|trend_down,wr_60_60_resolved,0.5,14
Interaction x shape,ACCEPTANCE|trend_down,wr_80_80_resolved,0.5882352941176471,17
Interaction x shape,ACCEPTANCE|trend_up,events,30.0,30
Interaction x shape,ACCEPTANCE|trend_up,wr_20_20_resolved,0.6666666666666666,6
Interaction x shape,ACCEPTANCE|trend_up,wr_40_40_resolved,0.5555555555555556,9
Interaction x shape,ACCEPTANCE|trend_up,wr_60_60_resolved,0.6666666666666666,15
Interaction x shape,ACCEPTANCE|trend_up,wr_80_80_resolved,0.7142857142857143,21
Interaction x shape,ACCEPTANCE|unknown,events,44.0,44
Interaction x shape,ACCEPTANCE|unknown,wr_20_20_resolved,0.3333333333333333,6
Interaction x shape,ACCEPTANCE|unknown,wr_40_40_resolved,0.4642857142857143,28
Interaction x shape,ACCEPTANCE|unknown,wr_60_60_resolved,0.36666666666666664,30
Interaction x shape,ACCEPTANCE|unknown,wr_80_80_resolved,0.38235294117647056,34
Interaction x shape,REJECTION|double,events,4.0,4
Interaction x shape,REJECTION|double,wr_20_20_resolved,,0
Interaction x shape,REJECTION|double,wr_40_40_resolved,0.5,2
Interaction x shape,REJECTION|double,wr_60_60_resolved,0.75,4
