section,segment,metric,value,n
Overall,ALL,sessions,13.0,13
Overall,ALL,sessions_with_first_minute_lvn,9.0,13
Overall,ALL,lvn_occurrence_day_rate,0.6923076923076923,13
Overall,ALL,lvn_nodes,27.0,27
Overall,ALL,retest_events,54.0,54
Overall,ALL,retests_per_lvn,2.0,27
Shape occurrence,trend_down,days_with_lvn,2.0,7
Shape occurrence,trend_down,lvn_nodes,7.0,7
Shape occurrence,trend_down,nodes_with_retest_rate,0.42857142857142855,7
Shape occurrence,trend_down,mean_retests_per_node,0.42857142857142855,7
Shape occurrence,trend_up,days_with_lvn,1.0,3
Shape occurrence,trend_up,lvn_nodes,3.0,3
Shape occurrence,trend_up,nodes_with_retest_rate,1.0,3
Shape occurrence,trend_up,mean_retests_per_node,2.3333333333333335,3
Shape occurrence,unknown,days_with_lvn,6.0,17
Shape occurrence,unknown,lvn_nodes,17.0,17
Shape occurrence,unknown,nodes_with_retest_rate,0.7647058823529411,17
Shape occurrence,unknown,mean_retests_per_node,2.588235294117647,17
Monthly occurrence,2026-05,days_with_lvn,1.0,2
Monthly occurrence,2026-05,lvn_nodes,2.0,2
Monthly occurrence,2026-05,nodes_with_retest,2.0,2
Monthly occurrence,2026-06,days_with_lvn,8.0,25
Monthly occurrence,2026-06,lvn_nodes,25.0,25
Monthly occurrence,2026-06,nodes_with_retest,17.0,25
Overall,ALL,active_months,2.0,2
Overall,ALL,mean_events_per_month,27.0,2
Overall,ALL,median_events_per_month,27.0,2
Overall,ALL,mean_mfe_ticks,145.41666666666666,54
Overall,ALL,mean_mae_ticks,223.54166666666666,54
Overall,ALL,median_mfe_mae_ratio,0.6499057196731616,48
Shape cohort,trend_down,events,3.0,3
Shape cohort,trend_down,unique_days,1.0,3
Shape cohort,trend_down,mean_mfe_ticks,205.0,3
Shape cohort,trend_down,mean_mae_ticks,285.0,3
Shape cohort,trend_down,wr_20_20_all,1.0,3
Shape cohort,trend_down,wr_20_20_resolved,1.0,3
Shape cohort,trend_down,mean_realized_r_20_20,1.0,3
Shape cohort,trend_down,ambiguous_20_20,0.0,3
Shape cohort,trend_down,wr_40_40_all,1.0,3
Shape cohort,trend_down,wr_40_40_resolved,1.0,3
Shape cohort,trend_down,mean_realized_r_40_40,1.0,3
Shape cohort,trend_down,ambiguous_40_40,0.0,3
Shape cohort,trend_down,wr_60_60_all,1.0,3
Shape cohort,trend_down,wr_60_60_resolved,1.0,3
Shape cohort,trend_down,mean_realized_r_60_60,1.0,3
Shape cohort,trend_down,ambiguous_60_60,0.0,3
Shape cohort,trend_down,wr_80_80_all,1.0,3
Shape cohort,trend_down,wr_80_80_resolved,1.0,3
Shape cohort,trend_down,mean_realized_r_80_80,1.0,3
Shape cohort,trend_down,ambiguous_80_80,0.0,3
Shape cohort,trend_up,events,7.0,7
Shape cohort,trend_up,unique_days,1.0,7
Shape cohort,trend_up,mean_mfe_ticks,219.16666666666666,7
Shape cohort,trend_up,mean_mae_ticks,229.16666666666666,7
Shape cohort,trend_up,wr_20_20_all,0.2857142857142857,7
Shape cohort,trend_up,wr_20_20_resolved,0.5,4
Shape cohort,trend_up,mean_realized_r_20_20,0.0,4
Shape cohort,trend_up,ambiguous_20_20,2.0,7
Shape cohort,trend_up,wr_40_40_all,0.2857142857142857,7
