debug_type,status,source_file,raw_rows,accepted_rows,dropped_rows,granularity,first_timestamp_et,last_timestamp_et,off_tick_price_rows,has_bid_ask,has_ohlc,has_big_trade_field,has_iceberg_field,has_absorption_field,date,profile,candidate_type,price,price_bin,volume,reason,left_neighbor_mean,right_neighbor_mean,volume_multiple_of_neighbors,width_ticks,low_price,high_price,prominence,hvn_id,weaker_neighbor_mean,volume_percent_of_neighbors,depth,volume_percent_of_poc,lvn_id,lvn_price
INPUT_MANIFEST,ACCEPTED,C:\Users\k_99_\Desktop\codding\OpeningRangeSetup\EddiewareOpeningRangeSetup\EddiewareOpeningRangeSetup\outputs\lvn_retest_engine_20260708\synthetic_ticks.parquet,41.0,41.0,0.0,TICK,2026-06-01T08:30:00-04:00,2026-06-02T09:39:00-04:00,0.0,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,
,REJECTED,,,,,,,,,,,,,,2026-06-01,CONTEXT_0830_0930,HVN,99.5,398.0,20.0,INSUFFICIENT_NEIGHBORS,,,,,,,,,,,,,,
,REJECTED,,,,,,,,,,,,,,2026-06-01,CONTEXT_0830_0930,HVN,99.75,399.0,45.0,NOT_HIGHER_THAN_BOTH_SIDES|BELOW_NEIGHBOR_MULTIPLE,20.0,80.0,0.5625,,,,,,,,,,,
,REJECTED,,,,,,,,,,,,,,2026-06-01,CONTEXT_0830_0930,HVN,100.0,400.0,80.0,NOT_HIGHER_THAN_BOTH_SIDES|BELOW_NEIGHBOR_MULTIPLE,45.0,120.0,0.6666666666666666,,,,,,,,,,,
,REJECTED,,,,,,,,,,,,,,2026-06-01,CONTEXT_0830_0930,HVN,100.25,401.0,120.0,NOT_HIGHER_THAN_BOTH_SIDES|BELOW_NEIGHBOR_MULTIPLE,80.0,150.0,0.8,,,,,,,,,,,
,ACCEPTED,,,,,,,,,,,,,,2026-06-01,CONTEXT_0830_0930,HVN,100.5,402.0,150.0,QUALIFIED,120.0,120.0,1.25,5.0,100.0,101.0,0.19999999999999996,CONTEXT_0830_0930_HVN_01,,,,,,
,REJECTED,,,,,,,,,,,,,,2026-06-01,CONTEXT_0830_0930,HVN,100.75,403.0,120.0,NOT_HIGHER_THAN_BOTH_SIDES|BELOW_NEIGHBOR_MULTIPLE,150.0,80.0,0.8,,,,,,,,,,,
,REJECTED,,,,,,,,,,,,,,2026-06-01,CONTEXT_0830_0930,HVN,101.0,404.0,80.0,NOT_HIGHER_THAN_BOTH_SIDES|BELOW_NEIGHBOR_MULTIPLE,120.0,45.0,0.6666666666666666,,,,,,,,,,,
,REJECTED,,,,,,,,,,,,,,2026-06-01,CONTEXT_0830_0930,HVN,101.25,405.0,45.0,NOT_HIGHER_THAN_BOTH_SIDES|BELOW_NEIGHBOR_MULTIPLE,80.0,20.0,0.5625,,,,,,,,,,,
,REJECTED,,,,,,,,,,,,,,2026-06-01,CONTEXT_0830_0930,HVN,101.5,406.0,20.0,INSUFFICIENT_NEIGHBORS,,,,,,,,,,,,,,
,REJECTED,,,,,,,,,,,,,,2026-06-01,CONTEXT_0830_0930,LVN,99.5,398.0,20.0,INSUFFICIENT_NEIGHBORS,,,,,,,,,,,,,,
,REJECTED,,,,,,,,,,,,,,2026-06-01,CONTEXT_0830_0930,LVN,99.75,399.0,45.0,NOT_LOWER_THAN_BOTH_SIDES|ABOVE_NEIGHBOR_PERCENT_LIMIT,20.0,80.0,,,,,,,20.0,2.25,-1.25,0.3,,
,REJECTED,,,,,,,,,,,,,,2026-06-01,CONTEXT_0830_0930,LVN,100.0,400.0,80.0,NOT_LOWER_THAN_BOTH_SIDES|ABOVE_NEIGHBOR_PERCENT_LIMIT|ABOVE_POC_PERCENT_LIMIT,45.0,120.0,,,,,,,45.0,1.7777777777777777,-0.7777777777777777,0.5333333333333333,,
,REJECTED,,,,,,,,,,,,,,2026-06-01,CONTEXT_0830_0930,LVN,100.25,401.0,120.0,NOT_LOWER_THAN_BOTH_SIDES|ABOVE_NEIGHBOR_PERCENT_LIMIT|ABOVE_POC_PERCENT_LIMIT,80.0,150.0,,,,,,,80.0,1.5,-0.5,0.8,,
,REJECTED,,,,,,,,,,,,,,2026-06-01,CONTEXT_0830_0930,LVN,100.5,402.0,150.0,NOT_LOWER_THAN_BOTH_SIDES|ABOVE_NEIGHBOR_PERCENT_LIMIT|ABOVE_POC_PERCENT_LIMIT,120.0,120.0,,,,,,,120.0,1.25,-0.25,1.0,,
,REJECTED,,,,,,,,,,,,,,2026-06-01,CONTEXT_0830_0930,LVN,100.75,403.0,120.0,NOT_LOWER_THAN_BOTH_SIDES|ABOVE_NEIGHBOR_PERCENT_LIMIT|ABOVE_POC_PERCENT_LIMIT,150.0,80.0,,,,,,,80.0,1.5,-0.5,0.8,,
,REJECTED,,,,,,,,,,,,,,2026-06-01,CONTEXT_0830_0930,LVN,101.0,404.0,80.0,NOT_LOWER_THAN_BOTH_SIDES|ABOVE_NEIGHBOR_PERCENT_LIMIT|ABOVE_POC_PERCENT_LIMIT,120.0,45.0,,,,,,,45.0,1.7777777777777777,-0.7777777777777777,0.5333333333333333,,
,REJECTED,,,,,,,,,,,,,,2026-06-01,CONTEXT_0830_0930,LVN,101.25,405.0,45.0,NOT_LOWER_THAN_BOTH_SIDES|ABOVE_NEIGHBOR_PERCENT_LIMIT,80.0,20.0,,,,,,,20.0,2.25,-1.25,0.3,,
,REJECTED,,,,,,,,,,,,,,2026-06-01,CONTEXT_0830_0930,LVN,101.5,406.0,20.0,INSUFFICIENT_NEIGHBORS,,,,,,,,,,,,,,
,REJECTED,,,,,,,,,,,,,,2026-06-01,FIRST_MINUTE_0930_0931,HVN,100.0,400.0,90.0,INSUFFICIENT_NEIGHBORS,,,,,,,,,,,,,,
,REJECTED,,,,,,,,,,,,,,2026-06-01,FIRST_MINUTE_0930_0931,HVN,100.25,401.0,80.0,NOT_HIGHER_THAN_BOTH_SIDES|BELOW_NEIGHBOR_MULTIPLE,90.0,10.0,0.8888888888888888,,,,,,,,,,,
,REJECTED,,,,,,,,,,,,,,2026-06-01,FIRST_MINUTE_0930_0931,HVN,100.5,402.0,10.0,NOT_HIGHER_THAN_BOTH_SIDES|BELOW_NEIGHBOR_MULTIPLE,80.0,90.0,0.1111111111111111,,,,,,,,,,,
,REJECTED,,,,,,,,,,,,,,2026-06-01,FIRST_MINUTE_0930_0931,HVN,100.75,403.0,90.0,NOT_HIGHER_THAN_BOTH_SIDES|BELOW_NEIGHBOR_MULTIPLE,10.0,110.0,0.8181818181818182,,,,,,,,,,,
,REJECTED,,,,,,,,,,,,,,2026-06-01,FIRST_MINUTE_0930_0931,HVN,101.0,404.0,110.0,INSUFFICIENT_NEIGHBORS,,,,,,,,,,,,,,
,REJECTED,,,,,,,,,,,,,,2026-06-01,FIRST_MINUTE_0930_0931,LVN,100.0,400.0,90.0,INSUFFICIENT_NEIGHBORS,,,,,,,,,,,,,,
,REJECTED,,,,,,,,,,,,,,2026-06-01,FIRST_MINUTE_0930_0931,LVN,100.25,401.0,80.0,NOT_LOWER_THAN_BOTH_SIDES|ABOVE_NEIGHBOR_PERCENT_LIMIT|ABOVE_POC_PERCENT_LIMIT,90.0,10.0,,,,,,,10.0,8.0,-7.0,0.7272727272727273,,
,ACCEPTED,,,,,,,,,,,,,,2026-06-01,FIRST_MINUTE_0930_0931,LVN,100.5,402.0,10.0,QUALIFIED,80.0,90.0,,,,,,,80.0,0.125,0.875,0.09090909090909091,,
,REJECTED,,,,,,,,,,,,,,2026-06-01,FIRST_MINUTE_0930_0931,LVN,100.75,403.0,90.0,NOT_LOWER_THAN_BOTH_SIDES|ABOVE_NEIGHBOR_PERCENT_LIMIT|ABOVE_POC_PERCENT_LIMIT,10.0,110.0,,,,,,,10.0,9.0,-8.0,0.8181818181818182,,
,REJECTED,,,,,,,,,,,,,,2026-06-01,FIRST_MINUTE_0930_0931,LVN,101.0,404.0,110.0,INSUFFICIENT_NEIGHBORS,,,,,,,,,,,,,,
,REJECTED,,,,,,,,,,,,,,2026-06-02,CONTEXT_0830_0930,HVN,99.5,398.0,20.0,INSUFFICIENT_NEIGHBORS,,,,,,,,,,,,,,
,REJECTED,,,,,,,,,,,,,,2026-06-02,CONTEXT_0830_0930,HVN,99.75,399.0,45.0,NOT_HIGHER_THAN_BOTH_SIDES|BELOW_NEIGHBOR_MULTIPLE,20.0,80.0,0.5625,,,,,,,,,,,
