feature_set,subgroup,n,roc_auc
EXISTING_CAUSAL,ALL,30,0.7955555555555556
EXISTING_CAUSAL,YEAR_2022,10,0.76
EXISTING_CAUSAL,YEAR_2023,10,0.8
EXISTING_CAUSAL,YEAR_2024,10,0.76
EXISTING_CAUSAL,SIDE_BUY,15,0.9285714285714286
EXISTING_CAUSAL,SIDE_SELL,15,0.6607142857142857
MBO_ONLY,ALL,30,0.38666666666666666
MBO_ONLY,YEAR_2022,10,0.4
MBO_ONLY,YEAR_2023,10,0.28
MBO_ONLY,YEAR_2024,10,0.68
MBO_ONLY,SIDE_BUY,15,0.6071428571428571
MBO_ONLY,SIDE_SELL,15,0.19642857142857145
EXISTING_CAUSAL_PLUS_MBO,ALL,30,0.5688888888888889
EXISTING_CAUSAL_PLUS_MBO,YEAR_2022,10,0.68
EXISTING_CAUSAL_PLUS_MBO,YEAR_2023,10,0.4
EXISTING_CAUSAL_PLUS_MBO,YEAR_2024,10,0.8
EXISTING_CAUSAL_PLUS_MBO,SIDE_BUY,15,0.75
EXISTING_CAUSAL_PLUS_MBO,SIDE_SELL,15,0.3571428571428571
