feature,coverage_pct,median_A,median_B,cliffs_delta_A_minus_B,mann_whitney_p,global_sign,stable_all_years,stable_both_sides,sign_year_2022,sign_year_2023,sign_year_2024,sign_side_BUY,sign_side_SELL,q_bh,gate_robust_feature
burst_w1_refill_100ms_share,100.0,0.7735849056603774,0.8958333333333334,-0.39555555555555555,0.06796511812064768,-1.0,1,1,-1.0,-1.0,-1.0,-1.0,-1.0,0.8155814174477721,0
burst_w1_new_order_survival_share,100.0,0.17142857142857143,0.075,0.23555555555555555,0.2796084031698649,1.0,0,1,1.0,1.0,-1.0,1.0,1.0,0.8388252095095947,0
burst_w3_cancel_to_add_size,100.0,0.8888888888888888,0.7894736842105263,0.28,0.1984559214557191,1.0,0,1,1.0,-1.0,1.0,1.0,1.0,0.8388252095095947,0
near_w1_fill_size_side_imbalance,100.0,0.4594594594594595,0.5131086142322098,-0.27111111111111114,0.2132718497654562,-1.0,0,0,1.0,-1.0,-1.0,-1.0,1.0,0.8388252095095947,0
burst_w1_passive_add_size,100.0,11.0,12.0,-0.0044444444444444444,1.0,-1.0,0,0,1.0,-1.0,1.0,1.0,-1.0,1.0,0
burst_w1_passive_pure_cancel_size,100.0,13.0,11.0,0.16444444444444445,0.4543466715948907,1.0,0,1,1.0,-1.0,1.0,1.0,1.0,1.0,0
burst_w1_passive_fill_size,100.0,5.0,11.0,-0.02666666666666667,0.9170889988834204,-1.0,0,1,-1.0,-1.0,1.0,-1.0,-1.0,1.0,0
burst_w1_short_lived_250ms_share,100.0,0.9696969696969697,1.0,0.022222222222222223,0.9292961872097442,-1.0,0,0,1.0,0.0,0.0,1.0,-1.0,1.0,0
near_w1_add_size_side_imbalance,100.0,0.1336206896551724,0.0410958904109589,0.08444444444444445,0.7089232340537643,1.0,0,0,1.0,-1.0,1.0,1.0,-1.0,1.0,0
near_w1_pure_cancel_size_side_imbalance,100.0,0.376271186440678,0.1796875,0.12,0.5897385933186072,1.0,0,1,1.0,-1.0,-1.0,1.0,1.0,1.0,0
near_w3_orderbook_message_rate,100.0,159.33333333333334,190.66666666666666,0.022222222222222223,0.9338864180775845,-1.0,1,0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,0
near_w3_reuse_order_id_share,100.0,0.7336561743341404,0.7171052631578947,0.1288888888888889,0.5614474146848649,1.0,0,0,-1.0,-1.0,1.0,1.0,-1.0,1.0,0
