BurstId,atas_first_book_price,atas_first_book_time,atas_book_valid,attacked_l0_price_mbo,burst_side,family_label_only,abs_ticks
LB_20220405_093200_BUY_0001,15125.0,2022-04-05 13:32:00.003000+00:00,0.0,15124.75,BUY,A_TRUE_ABSORPTION,1.0
LB_20220406_093100_BUY_0001,14633.75,2022-04-06 13:31:00.009000+00:00,0.0,14633.5,BUY,C_MIXED_PATH,1.0
LB_20220426_093143_SELL_0001,13408.75,2022-04-26 13:31:43.069000+00:00,0.0,13409.25,SELL,C_MIXED_PATH,2.0
LB_20220427_093500_BUY_0001,13096.25,2022-04-27 13:35:00.012000+00:00,0.0,13096.25,BUY,A_TRUE_ABSORPTION,0.0
LB_20220504_093301_SELL_0001,13075.0,2022-05-04 13:33:01.028000+00:00,0.0,13075.75,SELL,A_TRUE_ABSORPTION,3.0
LB_20220509_093112_BUY_0001,12486.25,2022-05-09 13:31:12.018000+00:00,0.0,12486.25,BUY,C_MIXED_PATH,0.0
LB_20220518_093457_BUY_0001,,,,12374.75,BUY,C_MIXED_PATH,
LB_20220520_093501_SELL_0001,11996.25,2022-05-20 13:35:01.014000+00:00,0.0,11996.75,SELL,B_CLEAN_BREAKOUT,2.0
LB_20220523_093420_SELL_0001,11852.5,2022-05-23 13:34:20.013000+00:00,0.0,11852.75,SELL,C_MIXED_PATH,1.0
LB_20220527_093100_BUY_0001,12430.0,2022-05-27 13:31:00.002000+00:00,0.0,12429.75,BUY,B_CLEAN_BREAKOUT,1.0
LB_20220608_093102_SELL_0001,12655.0,2022-06-08 13:31:02.013000+00:00,0.0,12654.75,SELL,B_CLEAN_BREAKOUT,1.0
LB_20220613_093107_SELL_0001,11537.5,2022-06-13 13:31:07.020000+00:00,0.0,11507.5,SELL,A_TRUE_ABSORPTION,120.0
LB_20220627_093202_SELL_0001,12171.25,2022-06-27 13:32:02.023000+00:00,0.0,12172.0,SELL,B_CLEAN_BREAKOUT,3.0
LB_20220718_093105_SELL_0001,12103.75,2022-07-18 13:31:05.002000+00:00,0.0,12103.75,SELL,C_MIXED_PATH,0.0
LB_20220719_093600_SELL_0001,12038.75,2022-07-19 13:36:00+00:00,0.0,12038.75,SELL,C_MIXED_PATH,0.0
LB_20220720_093414_BUY_0001,12298.75,2022-07-20 13:34:14.048000+00:00,0.0,12298.5,BUY,B_CLEAN_BREAKOUT,1.0
LB_20220726_093111_SELL_0001,12267.5,2022-07-26 13:31:11.018000+00:00,0.0,12267.0,SELL,C_MIXED_PATH,2.0
LB_20220729_093500_SELL_0001,12772.5,2022-07-29 13:35:00+00:00,1.0,12774.0,SELL,B_CLEAN_BREAKOUT,6.0
LB_20220801_093127_SELL_0001,12880.0,2022-08-01 13:31:27.002000+00:00,1.0,12880.0,SELL,C_MIXED_PATH,0.0
LB_20220804_093511_BUY_0001,13300.0,2022-08-04 13:35:11.012000+00:00,1.0,13299.5,BUY,A_TRUE_ABSORPTION,2.0
LB_20220809_093105_SELL_0001,13078.75,2022-08-09 13:31:05.002000+00:00,1.0,13079.75,SELL,B_CLEAN_BREAKOUT,4.0
LB_20220815_093300_BUY_0001,13580.0,2022-08-15 13:33:00.008000+00:00,1.0,13578.0,BUY,B_CLEAN_BREAKOUT,8.0
LB_20220817_093558_BUY_0001,13555.0,2022-08-17 13:35:58.187000+00:00,1.0,13554.0,BUY,A_TRUE_ABSORPTION,4.0
LB_20220831_093400_SELL_0001,12433.75,2022-08-31 13:34:00.002000+00:00,1.0,12434.0,SELL,B_CLEAN_BREAKOUT,1.0
LB_20220901_093124_SELL_0002,12165.0,2022-09-01 13:31:24.007000+00:00,1.0,12166.0,SELL,B_CLEAN_BREAKOUT,4.0
LB_20220906_093405_BUY_0001,,,,12102.25,BUY,C_MIXED_PATH,
LB_20220928_093328_SELL_0001,11300.0,2022-09-28 13:33:28.008000+00:00,1.0,11301.0,SELL,B_CLEAN_BREAKOUT,4.0
LB_20221011_093101_SELL_0001,10910.0,2022-10-11 13:31:01.023000+00:00,1.0,10911.0,SELL,C_MIXED_PATH,4.0
LB_20221018_093155_SELL_0001,,,,11400.0,SELL,C_MIXED_PATH,
LB_20221025_093119_BUY_0001,11547.5,2022-10-25 13:31:19.015000+00:00,1.0,11547.5,BUY,B_CLEAN_BREAKOUT,0.0
LB_20221026_093108_SELL_0002,11432.5,2022-10-26 13:31:08.001000+00:00,0.0,11438.75,SELL,A_TRUE_ABSORPTION,25.0
LB_20221027_093628_SELL_0001,,,,11403.0,SELL,A_TRUE_ABSORPTION,
LB_20221028_093127_BUY_0001,11247.5,2022-10-28 13:31:27.023000+00:00,1.0,11247.5,BUY,B_CLEAN_BREAKOUT,0.0
LB_20221103_093349_BUY_0001,10838.75,2022-11-03 13:33:49.035000+00:00,1.0,10839.0,BUY,A_TRUE_ABSORPTION,1.0
LB_20230321_093130_BUY_0001,12798.75,2023-03-21 13:31:30.004017+00:00,1.0,12798.25,BUY,B_CLEAN_BREAKOUT,2.0
LB_20230328_093202_SELL_0001,,,,12753.25,SELL,B_CLEAN_BREAKOUT,
LB_20230403_093250_BUY_0001,13216.25,2023-04-03 13:32:50.031615900+00:00,1.0,13215.5,BUY,C_MIXED_PATH,3.0
LB_20230404_093600_SELL_0001,,,,13271.5,SELL,A_TRUE_ABSORPTION,
LB_20230419_093353_SELL_0001,13108.75,2023-04-19 13:33:53.099828900+00:00,1.0,13108.5,SELL,A_TRUE_ABSORPTION,1.0
LB_20230426_093201_SELL_0001,12925.0,2023-04-26 13:32:01.000538+00:00,1.0,12926.25,SELL,A_TRUE_ABSORPTION,5.0
LB_20230503_093500_BUY_0001,13206.25,2023-05-03 13:35:00.002197900+00:00,1.0,13205.5,BUY,B_CLEAN_BREAKOUT,3.0
LB_20230511_093202_SELL_0001,13401.25,2023-05-11 13:32:02.019666+00:00,1.0,13402.0,SELL,B_CLEAN_BREAKOUT,3.0
LB_20230518_093436_BUY_0001,13680.0,2023-05-18 13:34:36.034722900+00:00,1.0,13679.75,BUY,B_CLEAN_BREAKOUT,1.0
LB_20230522_093356_BUY_0001,13875.0,2023-05-22 13:33:56.056454+00:00,1.0,13874.0,BUY,B_CLEAN_BREAKOUT,4.0
LB_20230526_093357_BUY_0001,14043.75,2023-05-26 13:33:57.009127+00:00,1.0,14043.0,BUY,A_TRUE_ABSORPTION,3.0
LB_20230531_093156_BUY_0001,14347.5,2023-05-31 13:31:56.064457900+00:00,1.0,14347.25,BUY,C_MIXED_PATH,1.0
LB_20230605_093500_BUY_0001,14606.25,2023-06-05 13:35:00.002617+00:00,1.0,14606.25,BUY,C_MIXED_PATH,0.0
LB_20230613_093139_SELL_0001,15080.0,2023-06-13 13:31:39.006745+00:00,1.0,14897.0,SELL,A_TRUE_ABSORPTION,732.0
LB_20230622_093240_BUY_0001,14997.5,2023-06-22 13:32:40.043914+00:00,1.0,14997.25,BUY,B_CLEAN_BREAKOUT,1.0
LB_20230623_093159_BUY_0001,15060.0,2023-06-23 13:31:59.021092900+00:00,1.0,15059.5,BUY,B_CLEAN_BREAKOUT,2.0
LB_20230630_093123_BUY_0001,15253.75,2023-06-30 13:31:23.011503900+00:00,1.0,15253.75,BUY,B_CLEAN_BREAKOUT,0.0
LB_20230718_093258_SELL_0002,,,,15783.25,SELL,B_CLEAN_BREAKOUT,
LB_20230720_093345_SELL_0001,,,,15875.0,SELL,A_TRUE_ABSORPTION,
LB_20230727_093300_BUY_0001,15850.0,2023-07-27 13:33:00.001449+00:00,1.0,15849.5,BUY,B_CLEAN_BREAKOUT,2.0
LB_20230808_093726_SELL_0001,15351.25,2023-08-08 13:37:26.026850900+00:00,1.0,15352.0,SELL,A_TRUE_ABSORPTION,3.0
LB_20230824_093139_SELL_0001,15302.5,2023-08-24 13:31:39.003479+00:00,1.0,15303.0,SELL,B_CLEAN_BREAKOUT,2.0
LB_20230825_093257_BUY_0001,14933.75,2023-08-25 13:32:57.004258+00:00,1.0,14931.5,BUY,A_TRUE_ABSORPTION,9.0
