request_id,BurstId,fecha,year,burst_side,attacked_side,resolved_raw_symbol,burst_timestamp_utc,strict_feature_cutoff_utc_exclusive,initial_l0_price_mbo,initial_l0_l2_depth,initial_l0_l2_order_count,coverage_250ms,coverage_500ms,packets_before_250ms,packets_before_500ms,consumption_fill_qty_250ms,pure_withdrawal_qty_250ms,aggressive_trade_qty_250ms,matched_refill_qty,durable_refill_qty_500ms,initial_queue_remaining_qty_250ms,directional_best_passive_progress_ticks_250ms,eligible_aggression_packets_500ms,absorption_motif_packets_500ms,eligible_removal_packets_500ms,breakout_motif_packets_500ms,ambiguous_cancel_fill_rows,unknown_state_rows,max_used_event_utc,max_used_before_decision_cutoff,events_after_cutoff_used,consumption_initial_depth_ratio_250ms,withdrawal_initial_depth_ratio_250ms,durable_refill_removed_ratio_250ms,initial_queue_survival_ratio_250ms,impact_efficiency_250ms,depletion_persistence_share_500ms,absorption_motif_share_500ms,breakout_motif_share_500ms,family_label_only,selection_seed,selection_hash,predictor_policy
NQ_MBO_SNAPSHOT_2022-04-05_LB_20220405_093200_BUY_0001,LB_20220405_093200_BUY_0001,2022-04-05,2022,BUY,A,NQM2,2022-04-05T13:32:00+00:00,2022-04-05T13:32:01.026000+00:00,15124.75,30.0,25,250.0,500.0,618,1685,33.0,25.0,84.0,41.0,8.0,0.0,9.0,14,1,38,0,0,0,2022-04-05T13:32:00.498576937+00:00,True,0,1.1,0.8333333333333334,0.13793103448275862,0.0,3.2142857142857144,0.731617886,0.07142857142857142,0.0,A_TRUE_ABSORPTION,MBO_SNAPSHOT_PILOT_V1_20260723,0e7f5e46b5890a4f8319be969b4ee8cae22c978f73fa0038b4421422c065a1b1,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL
NQ_MBO_SNAPSHOT_2022-04-06_LB_20220406_093100_BUY_0001,LB_20220406_093100_BUY_0001,2022-04-06,2022,BUY,A,NQM2,2022-04-06T13:31:00+00:00,2022-04-06T13:31:01.004000+00:00,14633.5,9.0,9,250.0,500.0,568,1347,13.0,34.0,43.0,45.0,1.0,0.0,5.0,8,0,42,1,0,0,2022-04-06T13:31:00.498250795+00:00,True,0,1.4444444444444444,3.7777777777777777,0.02127659574468085,0.0,1.0465116279069768,0.961321358,0.0,0.023809523809523808,C_MIXED_PATH,MBO_SNAPSHOT_PILOT_V1_20260723,233d1896a454d9c348da0b6bd899a660bb5ac84ff0a1a96c12228e029324b544,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL
NQ_MBO_SNAPSHOT_2022-04-26_LB_20220426_093143_SELL_0001,LB_20220426_093143_SELL_0001,2022-04-26,2022,SELL,B,NQM2,2022-04-26T13:31:43+00:00,2022-04-26T13:31:44.003000+00:00,13409.25,8.0,8,250.0,500.0,248,407,2.0,26.0,2.0,23.0,2.0,0.0,1.0,3,0,29,0,0,0,2022-04-26T13:31:43.498916841+00:00,True,0,0.25,3.25,0.07142857142857142,0.0,4.0,0.3342926,0.0,0.0,C_MIXED_PATH,MBO_SNAPSHOT_PILOT_V1_20260723,f0277afbfc305d231b4908195b093d588ac980bcafc116d5a280000b1e79ee8d,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL
NQ_MBO_SNAPSHOT_2022-04-27_LB_20220427_093500_BUY_0001,LB_20220427_093500_BUY_0001,2022-04-27,2022,BUY,A,NQM2,2022-04-27T13:35:00+00:00,2022-04-27T13:35:01.007000+00:00,13096.25,4.0,3,250.0,500.0,818,1602,5.0,7.0,132.0,12.0,1.0,0.0,23.0,4,0,11,0,1,0,2022-04-27T13:35:00.499827629+00:00,True,0,1.25,1.75,0.08333333333333333,0.0,0.696969696969697,0.892194558,0.0,0.0,A_TRUE_ABSORPTION,MBO_SNAPSHOT_PILOT_V1_20260723,ec1f1cc9082cf20a096b3e13f763c936709a526c652e4ff8a994c0e38c89699f,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL
NQ_MBO_SNAPSHOT_2022-05-04_LB_20220504_093301_SELL_0001,LB_20220504_093301_SELL_0001,2022-05-04,2022,SELL,B,NQM2,2022-05-04T13:33:01+00:00,2022-05-04T13:33:02.005000+00:00,13075.75,12.0,9,250.0,500.0,233,378,11.0,15.0,11.0,21.0,3.0,0.0,0.0,5,1,20,0,0,0,2022-05-04T13:33:01.499322893+00:00,True,0,0.9166666666666666,1.25,0.11538461538461539,0.0,0.0,0.22849012,0.2,0.0,A_TRUE_ABSORPTION,MBO_SNAPSHOT_PILOT_V1_20260723,bab30b1cd8f3cfd3e8e2e4fbfa2070d5b54b4bd5f50aa4734fc88e612642ec5f,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL
NQ_MBO_SNAPSHOT_2022-05-09_LB_20220509_093112_BUY_0001,LB_20220509_093112_BUY_0001,2022-05-09,2022,BUY,A,NQM2,2022-05-09T13:31:12+00:00,2022-05-09T13:31:13.010000+00:00,12486.25,6.0,6,250.0,500.0,290,594,0.0,3.0,0.0,1.0,0.0,5.0,0.0,0,0,3,0,0,0,2022-05-09T13:31:12.499562805+00:00,True,0,0.0,0.5,0.0,0.8333333333333334,0.0,0.18302431,0.0,0.0,C_MIXED_PATH,MBO_SNAPSHOT_PILOT_V1_20260723,c53493db976a32f08c97a072f9cdf71196caf103157241247306a400d798a3bc,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL
NQ_MBO_SNAPSHOT_2022-05-18_LB_20220518_093457_BUY_0001,LB_20220518_093457_BUY_0001,2022-05-18,2022,BUY,A,NQM2,2022-05-18T13:34:57+00:00,2022-05-18T13:34:58.072000+00:00,12374.75,6.0,6,250.0,500.0,601,1021,6.0,11.0,186.0,9.0,1.0,0.0,15.0,1,0,12,0,1,0,2022-05-18T13:34:57.495636739+00:00,True,0,1.0,1.8333333333333333,0.058823529411764705,0.0,0.4838709677419355,0.747093594,0.0,0.0,C_MIXED_PATH,MBO_SNAPSHOT_PILOT_V1_20260723,1524dd421bbdd3f7dc9f9ed13f3cd834f3b0c6143b599f217a3a479fa67a28b5,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL
NQ_MBO_SNAPSHOT_2022-05-20_LB_20220520_093501_SELL_0001,LB_20220520_093501_SELL_0001,2022-05-20,2022,SELL,B,NQM2,2022-05-20T13:35:01+00:00,2022-05-20T13:35:02.005000+00:00,11996.75,6.0,6,250.0,500.0,654,2058,8.0,17.0,81.0,22.0,1.0,0.0,20.0,3,0,20,0,0,0,2022-05-20T13:35:01.499693625+00:00,True,0,1.3333333333333333,2.8333333333333335,0.04,0.0,1.4814814814814814,0.970450834,0.0,0.0,B_CLEAN_BREAKOUT,MBO_SNAPSHOT_PILOT_V1_20260723,77640a16c4ed68f7bfe8a69ea57e5d8e20dc426f9a6d4e1e28c0933406f92604,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL
NQ_MBO_SNAPSHOT_2022-05-23_LB_20220523_093420_SELL_0001,LB_20220523_093420_SELL_0001,2022-05-23,2022,SELL,B,NQM2,2022-05-23T13:34:20+00:00,2022-05-23T13:34:21.020000+00:00,11852.75,7.0,7,250.0,500.0,365,564,6.0,6.0,23.0,11.0,2.0,0.0,0.0,5,0,11,1,0,0,2022-05-23T13:34:20.498138431+00:00,True,0,0.8571428571428571,0.8571428571428571,0.16666666666666666,0.0,0.0,0.428608606,0.0,0.09090909090909091,C_MIXED_PATH,MBO_SNAPSHOT_PILOT_V1_20260723,35348dffcd546655da16186e3a623cfc74202284b7a23b85c2a4fe0e8787a35f,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL
NQ_MBO_SNAPSHOT_2022-05-27_LB_20220527_093100_BUY_0001,LB_20220527_093100_BUY_0001,2022-05-27,2022,BUY,A,NQM2,2022-05-27T13:31:00+00:00,2022-05-27T13:31:01.019000+00:00,12429.75,24.0,17,250.0,500.0,681,1244,24.0,5.0,63.0,14.0,9.0,0.0,13.0,13,0,18,0,0,0,2022-05-27T13:31:00.498921999+00:00,True,0,1.0,0.20833333333333334,0.3103448275862069,0.0,4.9523809523809526,0.982461198,0.0,0.0,B_CLEAN_BREAKOUT,MBO_SNAPSHOT_PILOT_V1_20260723,f9e1da04cffd03e10851300e619e84d285eb6b68246c9a78c44659592d22fdd6,PREDECISION_ONLY_NO_MFE_MAE_TP_SL_PNL
