feature_family,dimension,slice,n,n_A,n_B,balanced_accuracy,roc_auc_A_vs_B,sensitivity_A,specificity_B
MATRIX_TRANSITIONS,year,2022,22,9,13,0.6025641025641025,0.6410256410256411,0.6666666666666666,0.5384615384615384
MATRIX_TRANSITIONS,year,2023,30,13,17,0.4457013574660633,0.504524886877828,0.5384615384615384,0.35294117647058826
MATRIX_TRANSITIONS,year,2024,18,7,11,0.6298701298701299,0.6883116883116882,0.7142857142857143,0.5454545454545454
MATRIX_TRANSITIONS,side,BUY,33,12,21,0.47023809523809523,0.5575396825396826,0.4166666666666667,0.5238095238095238
MATRIX_TRANSITIONS,side,SELL,37,17,20,0.5823529411764705,0.5941176470588235,0.7647058823529411,0.4
MATRIX_TRANSITIONS,year_side,2022_BUY,10,5,5,0.5,0.5800000000000001,0.4,0.6
MATRIX_TRANSITIONS,year_side,2022_SELL,12,4,8,0.75,0.8125,1.0,0.5
MATRIX_TRANSITIONS,year_side,2023_BUY,13,3,10,0.26666666666666666,0.36666666666666664,0.3333333333333333,0.2
MATRIX_TRANSITIONS,year_side,2023_SELL,17,10,7,0.5857142857142856,0.5642857142857143,0.6,0.5714285714285714
MATRIX_TRANSITIONS,year_side,2024_BUY,10,4,6,0.75,0.9166666666666667,0.5,1.0
MATRIX_TRANSITIONS,year_side,2024_SELL,8,3,5,0.5,0.3666666666666666,1.0,0.0
MBO_SNAPSHOT_8,year,2022,22,9,13,0.3418803418803419,0.46153846153846156,0.2222222222222222,0.46153846153846156
MBO_SNAPSHOT_8,year,2023,30,13,17,0.5226244343891403,0.502262443438914,0.6923076923076923,0.35294117647058826
MBO_SNAPSHOT_8,year,2024,18,7,11,0.577922077922078,0.6103896103896105,0.42857142857142855,0.7272727272727273
MBO_SNAPSHOT_8,side,BUY,33,12,21,0.40476190476190477,0.38095238095238093,0.3333333333333333,0.47619047619047616
MBO_SNAPSHOT_8,side,SELL,37,17,20,0.5441176470588236,0.638235294117647,0.5882352941176471,0.5
MBO_SNAPSHOT_8,year_side,2022_BUY,10,5,5,0.2,0.24,0.2,0.2
MBO_SNAPSHOT_8,year_side,2022_SELL,12,4,8,0.4375,0.53125,0.25,0.625
MBO_SNAPSHOT_8,year_side,2023_BUY,13,3,10,0.3666666666666667,0.19999999999999998,0.3333333333333333,0.4
MBO_SNAPSHOT_8,year_side,2023_SELL,17,10,7,0.5428571428571429,0.6571428571428573,0.8,0.2857142857142857
MBO_SNAPSHOT_8,year_side,2024_BUY,10,4,6,0.6666666666666667,0.7083333333333333,0.5,0.8333333333333334
MBO_SNAPSHOT_8,year_side,2024_SELL,8,3,5,0.4666666666666667,0.6,0.3333333333333333,0.6
MATRIX_TRANSITIONS_PLUS_MBO_SNAPSHOT_8,year,2022,22,9,13,0.641025641025641,0.5982905982905983,0.6666666666666666,0.6153846153846154
MATRIX_TRANSITIONS_PLUS_MBO_SNAPSHOT_8,year,2023,30,13,17,0.41628959276018096,0.4298642533936652,0.5384615384615384,0.29411764705882354
MATRIX_TRANSITIONS_PLUS_MBO_SNAPSHOT_8,year,2024,18,7,11,0.6038961038961039,0.5844155844155844,0.5714285714285714,0.6363636363636364
MATRIX_TRANSITIONS_PLUS_MBO_SNAPSHOT_8,side,BUY,33,12,21,0.47023809523809523,0.4246031746031746,0.4166666666666667,0.5238095238095238
MATRIX_TRANSITIONS_PLUS_MBO_SNAPSHOT_8,side,SELL,37,17,20,0.5779411764705883,0.5617647058823529,0.7058823529411765,0.45
MATRIX_TRANSITIONS_PLUS_MBO_SNAPSHOT_8,year_side,2022_BUY,10,5,5,0.5,0.52,0.4,0.6
MATRIX_TRANSITIONS_PLUS_MBO_SNAPSHOT_8,year_side,2022_SELL,12,4,8,0.8125,0.71875,1.0,0.625
MATRIX_TRANSITIONS_PLUS_MBO_SNAPSHOT_8,year_side,2023_BUY,13,3,10,0.26666666666666666,0.13333333333333333,0.3333333333333333,0.2
MATRIX_TRANSITIONS_PLUS_MBO_SNAPSHOT_8,year_side,2023_SELL,17,10,7,0.5142857142857142,0.6142857142857143,0.6,0.42857142857142855
MATRIX_TRANSITIONS_PLUS_MBO_SNAPSHOT_8,year_side,2024_BUY,10,4,6,0.75,0.8333333333333334,0.5,1.0
MATRIX_TRANSITIONS_PLUS_MBO_SNAPSHOT_8,year_side,2024_SELL,8,3,5,0.43333333333333335,0.1333333333333333,0.6666666666666666,0.2
