date,direction,branch,action,router_trade,selected,correct,sweep_breakout_alignment,breakout_exhaustion_ratio
2024-07-26,DOWN,,CONT,False,False,0,-0.09433962264150944,0.08771929824561403
2024-07-29,DOWN,,CONT,False,False,0,-0.05511811023622047,0.3333333333333333
2024-07-30,UP,medium_cont,CONT,True,False,0,-0.008333333333333333,0.1
2024-07-31,DOWN,,CONT,False,False,1,-0.01267710663683818,0.08
2024-08-01,DOWN,narrow_fade,FADE,True,True,1,0.08100147275405008,0.19642857142857142
2024-08-02,DOWN,,CONT,False,False,1,-0.2049598832968636,0.1346153846153846
2024-08-05,UP,,CONT,False,False,0,0.19005847953216373,0.125
2024-08-06,UP,,CONT,False,False,0,0.16022099447513813,0.375
2024-08-07,UP,,CONT,False,False,0,0.17580872011251758,0.14285714285714285
2024-08-08,DOWN,,CONT,False,False,1,0.1301859799713877,0.17647058823529413
2024-08-09,UP,,CONT,False,False,0,-0.1207115628970775,0.2
2024-08-12,UP,,CONT,False,False,0,-0.13464991023339318,0.13953488372093023
2024-08-13,UP,,CONT,False,False,0,0.2849604221635884,0.175
2024-08-14,UP,,CONT,False,False,0,0.08670520231213873,0.057692307692307696
2024-08-15,DOWN,narrow_fade,FADE,True,True,1,0.2037037037037037,0.28125
2024-08-16,DOWN,,CONT,False,False,0,0.33446519524617996,0.20689655172413793
2024-08-19,DOWN,narrow_fade,FADE,True,True,1,-0.17391304347826086,0.17647058823529413
2024-08-20,UP,,CONT,False,False,1,0.29213483146067415,0.061224489795918366
2024-08-21,UP,,CONT,False,False,0,-0.096,0.03225806451612903
2024-08-22,UP,,CONT,False,False,0,0.3523809523809524,0.5774647887323944
2024-08-23,DOWN,,CONT,False,False,1,-0.13267326732673268,0.2608695652173913
2024-08-26,DOWN,,CONT,False,False,1,-0.08653846153846154,0.08333333333333333
2024-08-27,DOWN,,CONT,False,False,0,0.2286158631415241,0.3333333333333333
2024-08-28,DOWN,,CONT,False,False,0,0.12376470588235294,0.28
2024-08-29,UP,,CONT,False,False,1,-0.0041265474552957355,0.10256410256410256
2024-08-30,DOWN,,CONT,False,False,1,-0.03522205206738132,0.4375
2024-09-02,UP,,CONT,False,False,1,0.5616438356164384,0.12
2024-09-03,DOWN,,CONT,False,False,1,0.3931034482758621,0.0392156862745098
2024-09-04,UP,narrow_cont,CONT,True,True,1,0.28369704749679076,0.04285714285714286
2024-09-05,UP,,CONT,False,False,0,0.006002400960384154,0.1
2024-09-06,DOWN,,CONT,False,False,1,0.0125,0.14705882352941177
2024-09-09,UP,,CONT,False,False,0,0.16775599128540306,0.275
2024-09-10,UP,,CONT,False,False,1,0.10599078341013825,0.12195121951219512
2024-09-11,UP,,CONT,False,False,0,-0.00392156862745098,0.0975609756097561
2024-09-12,DOWN,,CONT,False,False,0,0.4035928143712575,0.125
2024-09-13,UP,,CONT,False,False,0,0.047619047619047616,0.09836065573770492
2024-09-16,DOWN,,CONT,False,False,1,-0.38402309913378246,0.1111111111111111
2024-09-17,UP,,CONT,False,False,0,0.3551912568306011,0.2
2024-09-18,DOWN,,CONT,False,False,0,0.18840579710144928,0.125
2024-09-19,DOWN,,CONT,False,False,0,-0.367816091954023,0.5
2024-09-23,UP,,CONT,False,False,0,-0.3107890499194847,0.12307692307692308
2024-09-24,DOWN,,CONT,False,False,1,-0.15913555992141454,0.045454545454545456
2024-09-25,UP,,CONT,False,False,1,-0.1724137931034483,0.08888888888888889
2024-09-26,DOWN,,CONT,False,False,1,-0.21882640586797067,0.11764705882352941
2024-09-27,DOWN,,CONT,False,False,0,0.2386780905752754,0.358974358974359
2024-09-30,DOWN,,CONT,False,False,0,0.23282442748091603,0.08695652173913043
2024-10-01,DOWN,,CONT,False,False,1,0.04186046511627907,0.2727272727272727
2024-10-02,DOWN,,CONT,False,False,0,-0.2388451443569554,0.5625
2024-10-03,DOWN,,CONT,False,False,1,-0.14130434782608695,0.19444444444444445
2024-10-04,DOWN,,CONT,False,False,1,-0.14192495921696574,0.0547945205479452
2024-10-07,DOWN,,CONT,False,False,0,-0.18637274549098196,0.32142857142857145
2024-10-08,DOWN,,CONT,False,False,1,-0.2570281124497992,0.037037037037037035
2024-10-09,DOWN,,CONT,False,False,1,-0.1958041958041958,0.06818181818181818
2024-10-10,DOWN,,CONT,False,False,0,-0.13253012048192772,0.25
2024-10-11,DOWN,,CONT,False,False,0,-0.0182648401826484,0.0784313725490196
2024-10-14,UP,,CONT,False,False,0,0.0440251572327044,0.11818181818181818
2024-10-15,UP,,CONT,False,False,0,0.10849056603773585,0.175
2024-10-16,DOWN,,CONT,False,False,1,-0.026041666666666668,0.12
2024-10-17,DOWN,,CONT,False,False,0,0.04068117313150426,0.08333333333333333
2024-10-18,DOWN,,CONT,False,False,0,0.37119113573407203,0.08928571428571429
2024-10-21,UP,narrow_cont,CONT,True,True,0,0.09370199692780339,0.1111111111111111
2024-10-22,DOWN,,CONT,False,False,0,0.31790499390986604,0.18181818181818182
2024-10-23,DOWN,,CONT,False,False,1,0.12815126050420167,0.06521739130434782
2024-10-24,DOWN,,CONT,False,False,0,-0.0502283105022831,0.05263157894736842
2024-10-25,UP,medium_cont,CONT,True,True,0,0.17565217391304347,0.07692307692307693
2024-10-28,DOWN,,CONT,False,False,0,0.1572769953051643,0.16666666666666666
2024-10-29,DOWN,,CONT,False,False,1,-0.22857142857142856,0.1095890410958904
2024-10-30,UP,,CONT,False,False,0,-0.011337868480725623,0.07142857142857142
2024-10-31,DOWN,,CONT,False,False,0,0.21314102564102563,0.2857142857142857
2024-11-01,UP,,CONT,False,False,1,-0.15842839036755388,0.15555555555555556
2024-11-04,DOWN,,CONT,False,False,1,-0.24965893587994542,0.09375
2024-11-05,UP,,CONT,False,False,1,0.20557491289198607,0.14754098360655737
2024-11-06,UP,,CONT,False,False,0,-0.0680786686838124,0.1875
2024-11-07,UP,,CONT,False,False,1,-0.275811209439528,0.1388888888888889
2024-11-08,UP,,CONT,False,False,1,0.07338308457711443,0.18421052631578946
2024-11-11,DOWN,,CONT,False,False,0,0.35834411384217335,0.25
2024-11-12,DOWN,,CONT,False,False,1,0.2548618219037871,0.05555555555555555
2024-11-13,DOWN,,CONT,False,False,0,0.008871989860583017,0.19148936170212766
2024-11-14,DOWN,,CONT,False,False,0,0.07745664739884393,0.0
2024-11-15,DOWN,,CONT,False,False,1,0.26011560693641617,0.07142857142857142
2024-11-18,DOWN,,CONT,False,False,1,0.10456553755522828,0.10810810810810811
2024-11-19,UP,narrow_cont,CONT,True,True,1,0.01485148514851485,0.20689655172413793
2024-11-20,DOWN,,CONT,False,False,1,0.16253776435045317,0.075
2024-11-21,UP,,CONT,False,False,1,-0.017241379310344827,0.08080808080808081
2024-11-22,DOWN,,CONT,False,False,0,-0.08925318761384335,0.5
2024-11-25,DOWN,,CONT,False,False,1,-0.047448522829006266,0.10989010989010989
2024-11-26,UP,,CONT,False,False,1,0.09024390243902439,0.136986301369863
2024-11-27,DOWN,,CONT,False,False,1,0.12811693895098883,0.036585365853658534
