date,trade,prediction_fade,y_fade
2024-07-26,False,0,1
2024-07-29,True,1,1
2024-07-30,False,0,1
2024-07-31,False,1,0
2024-08-01,True,1,1
2024-08-02,False,0,0
2024-08-05,False,1,1
2024-08-06,False,1,1
2024-08-07,True,0,1
2024-08-08,False,0,0
2024-08-09,True,1,1
2024-08-12,False,0,1
2024-08-13,False,1,1
2024-08-14,False,0,1
2024-08-15,True,1,1
2024-08-16,False,1,1
2024-08-19,False,1,1
2024-08-20,False,0,0
2024-08-21,False,0,1
2024-08-22,False,0,1
2024-08-23,False,1,0
2024-08-26,False,0,0
2024-08-27,False,0,1
2024-08-28,True,1,1
2024-08-29,False,0,0
2024-08-30,False,0,0
2024-09-02,False,0,0
2024-09-03,True,1,0
2024-09-04,False,0,0
2024-09-05,False,0,1
2024-09-06,False,0,0
2024-09-09,False,1,1
2024-09-10,False,0,0
2024-09-11,False,1,1
2024-09-12,True,1,1
2024-09-13,False,0,1
2024-09-16,False,1,0
2024-09-17,False,1,1
2024-09-18,False,1,1
2024-09-19,False,1,1
2024-09-23,False,1,1
2024-09-24,True,0,0
2024-09-25,False,0,0
2024-09-26,True,0,0
2024-09-27,False,1,1
2024-09-30,False,1,1
2024-10-01,False,0,0
2024-10-02,True,1,1
2024-10-03,False,0,0
2024-10-04,True,0,0
2024-10-07,False,0,1
2024-10-08,False,1,0
2024-10-09,False,0,0
2024-10-10,False,1,1
2024-10-11,True,1,1
2024-10-14,False,1,1
2024-10-15,False,1,1
2024-10-16,False,1,0
2024-10-17,False,0,1
2024-10-18,False,1,1
2024-10-21,False,1,1
2024-10-22,True,1,1
2024-10-23,False,0,0
2024-10-24,False,1,1
2024-10-25,True,1,1
2024-10-28,False,1,1
2024-10-29,False,1,0
2024-10-30,False,0,1
2024-10-31,True,1,1
2024-11-01,False,0,0
2024-11-04,False,0,0
2024-11-05,False,1,0
2024-11-06,True,1,1
2024-11-07,True,0,0
2024-11-08,False,0,0
2024-11-11,False,1,1
2024-11-12,False,0,0
2024-11-13,True,1,1
2024-11-14,False,0,1
2024-11-15,False,1,0
2024-11-18,False,0,0
2024-11-19,False,0,0
2024-11-20,False,0,0
2024-11-21,False,0,0
2024-11-22,True,1,1
2024-11-25,True,0,0
2024-11-26,False,0,0
2024-11-27,True,0,0
2024-11-28,True,1,1
2024-11-29,False,1,1
2024-12-02,False,1,0
2024-12-03,False,1,1
2024-12-04,False,0,0
2024-12-05,True,1,1
2024-12-06,False,1,0
2024-12-09,False,1,0
2024-12-10,False,1,0
2024-12-11,False,0,1
2024-12-12,False,0,0
2024-12-13,False,1,1
2024-12-16,False,1,0
2024-12-17,False,0,0
2024-12-18,False,1,0
2024-12-19,False,1,0
2024-12-23,False,0,1
2024-12-24,False,1,1
2024-12-26,False,0,1
2024-12-27,False,0,0
2024-12-30,True,0,0
2024-12-31,False,1,0
2025-01-02,False,0,1
2025-01-03,False,1,0
2025-01-06,True,1,1
2025-01-07,True,1,1
2025-01-08,True,0,0
2025-01-10,False,0,0
2025-01-13,False,0,1
2025-01-14,False,1,0
2025-01-15,False,1,0
2025-01-16,False,0,0
2025-01-17,False,1,0
2025-01-20,False,1,1
2025-01-21,False,0,1
2025-01-22,False,0,0
2025-01-23,True,1,1
2025-01-24,False,1,1
2025-01-27,False,1,0
2025-01-28,False,0,0
2025-01-29,False,1,0
2025-01-30,False,0,1
2025-01-31,False,1,1
2025-02-03,True,1,1
2025-02-04,False,0,1
2025-02-05,True,1,1
2025-02-06,False,1,1
2025-02-07,False,0,0
2025-02-10,False,1,1
2025-02-11,False,0,0
2025-02-12,False,0,1
2025-02-13,True,0,0
2025-02-14,True,0,0
2025-02-17,False,1,0
2025-02-18,False,0,0
2025-02-19,False,1,0
2025-02-20,False,0,0
2025-02-21,False,0,0
2025-02-24,False,0,0
2025-02-25,False,0,0
2025-02-26,False,0,1
