concept,action,n,wins,losses,wr,pf_gross,pf_after_2t,wilson_low
CONT_thin_profile,CONT,215,110,105,0.5116279069767442,1.0476190476190477,0.9166666666666666,0.445196367767438
CONT_price_alignment,CONT,199,102,97,0.5125628140703518,1.0515463917525774,0.9201030927835051,0.4435380812954153
CONT_vpin_drive,CONT,217,110,107,0.5069124423963134,1.02803738317757,0.8995327102803738,0.44085401513144784
FADE_absorption_alignment,FADE,188,96,92,0.5106382978723404,1.0434782608695652,0.9130434782608695,0.4396876448572595
CONT_flow_persistence,CONT,220,111,109,0.5045454545454545,1.018348623853211,0.8910550458715596,0.4389691228118873
FADE_exhaustion,FADE,214,108,106,0.5046728971962616,1.0188679245283019,0.8915094339622641,0.4381964393672728
CONT_open_drive,CONT,246,123,123,0.5,1.0,0.875,0.43800083481028895
CONT_flow_alignment,CONT,246,123,123,0.5,1.0,0.875,0.43800083481028895
CONT_sweep_alignment,CONT,246,123,123,0.5,1.0,0.875,0.43800083481028895
CONT_spoof_alignment,CONT,246,123,123,0.5,1.0,0.875,0.43800083481028895
FADE_trapped_alignment,FADE,246,123,123,0.5,1.0,0.875,0.43800083481028895
FADE_iceberg_alignment,FADE,246,123,123,0.5,1.0,0.875,0.43800083481028895
FADE_edge_rejection,FADE,246,123,123,0.5,1.0,0.875,0.43800083481028895
FADE_value_acceptance,FADE,246,123,123,0.5,1.0,0.875,0.43800083481028895
FADE_unfinished_auction,FADE,246,123,123,0.5,1.0,0.875,0.43800083481028895
CONT_late_flow_alignment,CONT,245,122,123,0.49795918367346936,0.991869918699187,0.8678861788617886,0.43586758209503174
FADE_spoof_opposition,FADE,222,111,111,0.5,1.0,0.875,0.434789690699899
CONT_liquidity_alignment,CONT,227,113,114,0.4977973568281938,0.9912280701754386,0.8673245614035088,0.43333440755893865
FADE_liquidity_opposition,FADE,223,111,112,0.4977578475336323,0.9910714285714286,0.8671875,0.43273004540863
CONT_trade_sign_ema_128,CONT,220,108,112,0.4909090909090909,0.9642857142857143,0.84375,0.4255747612674038
CONT_trade_sign_ema_8,CONT,219,107,112,0.4885844748858447,0.9553571428571429,0.8359375,0.4231502903589743
CONT_initiative_profile,CONT,200,97,103,0.485,0.941747572815534,0.8240291262135923,0.4166738517187752
CONT_responsive_to_value,CONT,202,96,106,0.4752475247524752,0.9056603773584906,0.7924528301886793,0.40748677699243097
CONT_trade_sign_ema_32,CONT,189,90,99,0.47619047619047616,0.9090909090909091,0.7954545454545454,0.40617359137981945
FADE_open_auction,FADE,192,90,102,0.46875,0.8823529411764706,0.7720588235294118,0.3994701493847139
FADE_high_volume_edge,FADE,152,66,86,0.4342105263157895,0.7674418604651163,0.6715116279069767,0.3579965872070765
