bracket,grupo,dAUC,dPF,dWR,veredicto
40,refill,-0.00662768031189076,0.07157258064516125,1.408450704225352,No aporta
40,velocidad,-0.005847953216374324,0.0,0.0,No aporta
40,agresion_delta,0.014294996751137101,0.22952586206896552,4.225352112676056,Marginal
40,profundidad_liquidez,0.05562053281351531,0.5120192307692308,8.450704225352112,Mantener
40,absorcion,-0.004808317089018632,0.0,0.0,No aporta
40,cancelacion,-0.008187134502923965,-0.0672348484848484,-1.408450704225352,No aporta
80,refill,0.009075710532601144,0.0,0.0,Marginal
80,velocidad,0.05063291139240522,0.0,0.0,Marginal
80,agresion_delta,0.029018390255552973,0.06595365418894827,1.3513513513513473,Marginal
80,profundidad_liquidez,0.009792213995701071,0.0,0.0,Marginal
80,absorcion,-0.0001194172438500063,-0.12091503267973858,-2.7027027027027017,No aporta
80,cancelacion,0.01313589682350147,-0.06218487394957983,-1.3513513513513544,No aporta
