feature_set,model,split,n,feature_count,balanced_accuracy,roc_auc,mbp_nonmissing_mean_pct
BASELINE,logistic,validation,25,10,0.6066176470588236,0.5661764705882353,73.66666666666667
BASELINE,logistic,holdout,29,10,0.3222222222222222,0.27777777777777773,63.793103448275865
BASELINE,random_forest,validation,25,10,0.7022058823529411,0.6397058823529411,73.66666666666667
BASELINE,random_forest,holdout,29,10,0.3222222222222222,0.26111111111111107,63.793103448275865
MBP_ONLY,logistic,validation,25,12,0.49264705882352944,0.4632352941176471,73.66666666666667
MBP_ONLY,logistic,holdout,29,12,0.4638888888888889,0.43333333333333335,63.793103448275865
MBP_ONLY,random_forest,validation,25,12,0.5183823529411764,0.5147058823529411,73.66666666666667
MBP_ONLY,random_forest,holdout,29,12,0.5083333333333333,0.49444444444444446,63.793103448275865
BASELINE_PLUS_MBP,logistic,validation,25,22,0.45588235294117646,0.5808823529411765,73.66666666666667
BASELINE_PLUS_MBP,logistic,holdout,29,22,0.37777777777777777,0.2777777777777778,63.793103448275865
BASELINE_PLUS_MBP,random_forest,validation,25,22,0.6102941176470589,0.6544117647058824,73.66666666666667
BASELINE_PLUS_MBP,random_forest,holdout,29,22,0.3277777777777778,0.24444444444444444,63.793103448275865
