feature,coverage_pct,mann_whitney_p_discovery,cliffs_delta_A_minus_B_discovery,median_A_discovery,median_B_discovery,direction_discovery,direction_validation,direction_holdout,direction_stable_all_splits,discovery_n_a,discovery_n_b,validation_n_a,validation_n_b,holdout_n_a,holdout_n_b,mann_whitney_q_bh,robust_candidate
burst_w1_counter_volume,94.35483870967742,0.20827469914909436,-0.18814968814968816,12.5,16.0,-1.0,1.0,-1.0,0,26,37,8,17,9,20,0.7034013806204047,0
burst_w3_counter_volume,94.35483870967742,0.30412341088789785,-0.15384615384615385,12.5,16.0,-1.0,1.0,-1.0,0,26,37,8,17,9,20,0.7034013806204047,0
burst_w5_counter_volume,94.35483870967742,0.28797622562222147,-0.15904365904365905,12.5,16.0,-1.0,1.0,-1.0,0,26,37,8,17,9,20,0.7034013806204047,0
burst_w10_counter_volume,94.35483870967742,0.3074306794561995,-0.15280665280665282,12.5,16.0,-1.0,1.0,-1.0,0,26,37,8,17,9,20,0.7034013806204047,0
reference_w1_aggressive_volume,94.35483870967742,0.07728631080412848,-0.2182952182952183,0.0,0.0,0.0,0.0,0.0,0,26,37,8,17,9,20,0.7034013806204047,0
reference_w1_counter_volume,94.35483870967742,0.014023267375169539,-0.2869022869022869,0.0,0.0,0.0,0.0,0.0,0,26,37,8,17,9,20,0.7034013806204047,0
reference_w3_aggressive_volume,94.35483870967742,0.1448842508399507,-0.2047817047817048,0.0,4.0,-1.0,1.0,0.0,0,26,37,8,17,9,20,0.7034013806204047,0
reference_w3_counter_volume,94.35483870967742,0.12831557806777602,-0.20893970893970895,0.0,2.0,-1.0,0.0,0.0,0,26,37,8,17,9,20,0.7034013806204047,0
burst_w1_end_depth,92.74193548387096,0.31164577030386276,-0.13097713097713098,0.0,0.0,0.0,0.0,0.0,0,26,37,7,17,9,19,0.7034013806204047,0
burst_w1_recovery_from_min,92.74193548387096,0.30191797145172306,-0.12993762993762994,0.0,0.0,0.0,0.0,0.0,0,26,37,7,17,9,19,0.7034013806204047,0
burst_w1_level_survived,92.74193548387096,0.19165910931911678,-0.1632016632016632,0.0,0.0,0.0,0.0,0.0,0,26,37,7,17,9,19,0.7034013806204047,0
