ordinal,session_date,source_date,trade_path,trade_bytes,trade_magic,trade_context_length,trade_template_id,trade_tick_size,trade_lot_size,trade_header_bytes,trade_has_blocks,trade_status,depth_path,depth_bytes,depth_magic,depth_context_length,depth_template_id,depth_tick_size,depth_lot_size,depth_header_bytes,depth_has_blocks,depth_status
1,2022-04-04,2022-04-03,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_03\trades.dat,7402042,1396790337.0,33.0,92.0,0.25,1.0,41.0,True,DATA_PRESENT,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_03\marketdepth.dat,33,1396790337.0,25.0,93.0,0.0,0.0,33.0,False,HEADER_ONLY_ZERO_SCALE
2,2022-04-05,2022-04-04,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_04\trades.dat,9192430,1396790337.0,33.0,92.0,0.25,1.0,41.0,True,DATA_PRESENT,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_04\marketdepth.dat,33,1396790337.0,25.0,93.0,0.0,0.0,33.0,False,HEADER_ONLY_ZERO_SCALE
3,2022-04-06,2022-04-05,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_05\trades.dat,12753670,1396790337.0,33.0,92.0,0.25,1.0,41.0,True,DATA_PRESENT,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_05\marketdepth.dat,33,1396790337.0,25.0,93.0,0.0,0.0,33.0,False,HEADER_ONLY_ZERO_SCALE
4,2022-04-07,2022-04-06,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_06\trades.dat,10545318,1396790337.0,33.0,92.0,0.25,1.0,41.0,True,DATA_PRESENT,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_06\marketdepth.dat,33,1396790337.0,25.0,93.0,0.0,0.0,33.0,False,HEADER_ONLY_ZERO_SCALE
5,2022-04-08,2022-04-07,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_07\trades.dat,10510952,1396790337.0,33.0,92.0,0.25,1.0,41.0,True,DATA_PRESENT,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_07\marketdepth.dat,33,1396790337.0,25.0,93.0,0.0,0.0,33.0,False,HEADER_ONLY_ZERO_SCALE
6,2022-04-11,2022-04-10,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_10\trades.dat,9287906,1396790337.0,33.0,92.0,0.25,1.0,41.0,True,DATA_PRESENT,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_10\marketdepth.dat,33,1396790337.0,25.0,93.0,0.0,0.0,33.0,False,HEADER_ONLY_ZERO_SCALE
7,2022-04-12,2022-04-11,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_11\trades.dat,11438932,1396790337.0,33.0,92.0,0.25,1.0,41.0,True,DATA_PRESENT,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_11\marketdepth.dat,33,1396790337.0,25.0,93.0,0.0,0.0,33.0,False,HEADER_ONLY_ZERO_SCALE
8,2022-04-13,2022-04-12,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_12\trades.dat,8580592,1396790337.0,33.0,92.0,0.25,1.0,41.0,True,DATA_PRESENT,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_12\marketdepth.dat,33,1396790337.0,25.0,93.0,0.0,0.0,33.0,False,HEADER_ONLY_ZERO_SCALE
9,2022-04-14,2022-04-13,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_13\trades.dat,8743046,1396790337.0,33.0,92.0,0.25,1.0,41.0,True,DATA_PRESENT,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_13\marketdepth.dat,33,1396790337.0,25.0,93.0,0.0,0.0,33.0,False,HEADER_ONLY_ZERO_SCALE
10,2022-04-15,2022-04-14,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_14\trades.dat,41,1396790337.0,33.0,92.0,0.0,0.0,41.0,False,HEADER_ONLY_ZERO_SCALE,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_14\marketdepth.dat,33,1396790337.0,25.0,93.0,0.0,0.0,33.0,False,HEADER_ONLY_ZERO_SCALE
