ordinal,session_date,source_date,depth_status,depth_path,depth_bytes,depth_template_id,depth_tick_size,depth_lot_size,depth_has_blocks,trade_status,trade_reason,trade_source,trade_source_bytes,trade_tick_size,trade_lot_size,trade_rows,trade_first_ticks,trade_last_ticks,trade_first_utc,trade_last_utc,detection_window_trade_coverage,trade_only_liquidity_bursts,minimum_directional_delta_1s,minimum_directional_delta_change_1s,minimum_directional_zscore,minimum_delta_percentile,minimum_trades_per_second,minimum_contracts_per_second,minimum_directional_cumulative_delta,maximum_abs_delta_1s,maximum_abs_delta_change_1s,maximum_abs_zscore,raw_timestamp_backtracks,largest_raw_backtrack_ms,timestamps_repaired,depth_message_count,opening_range_used_by_lb_detector,valid_reference_bursts,target_status
1,2022-04-04,2022-04-03,HEADER_ONLY_ZERO_SCALE,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_03\marketdepth.dat,33,93.0,0.0,0.0,False,PASS,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_03\trades.dat,7402042.0,0.25,1.0,385753.0,6.3784641600156e+17,6.3784699219971e+17,2022-04-04T04:00:00.156000+00:00,2022-04-04T20:00:19.971000+00:00,True,17.0,115.0,82.0,2.9276239359017104,0.9833333333333333,180.0,207.0,152.0,306.0,308.0,30.96160113386477,0.0,0.0,0.0,0,False,0,EXCLUDED_NO_DEPTH_REFERENCE
2,2022-04-05,2022-04-04,HEADER_ONLY_ZERO_SCALE,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_04\marketdepth.dat,33,93.0,0.0,0.0,False,PASS,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_04\trades.dat,9192430.0,0.25,1.0,491698.0,6.3784728000174e+17,6.3784785619952e+17,2022-04-05T04:00:00.174000+00:00,2022-04-05T20:00:19.952000+00:00,True,27.0,111.0,94.0,4.131214237901925,0.9866666666666667,94.0,152.0,150.0,459.0,460.0,25.172341227854382,2.0,4.0025,2.0,0,False,0,EXCLUDED_NO_DEPTH_REFERENCE
3,2022-04-06,2022-04-05,HEADER_ONLY_ZERO_SCALE,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_05\marketdepth.dat,33,93.0,0.0,0.0,False,PASS,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_05\trades.dat,12753670.0,0.25,1.0,679511.0,6.3784814400308e+17,6.3784872019984e+17,2022-04-06T04:00:00.308000+00:00,2022-04-06T20:00:19.984000+00:00,True,35.0,110.0,82.0,3.5271614319023112,0.9833333333333333,92.0,150.0,150.0,419.0,406.0,20.761204544921284,1.0,1.0001,1.0,0,False,0,EXCLUDED_NO_DEPTH_REFERENCE
4,2022-04-07,2022-04-06,HEADER_ONLY_ZERO_SCALE,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_06\marketdepth.dat,33,93.0,0.0,0.0,False,PASS,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_06\trades.dat,10545318.0,0.25,1.0,556047.0,6.3784900800176e+17,6.3784958419934e+17,2022-04-07T04:00:00.176000+00:00,2022-04-07T20:00:19.934000+00:00,True,33.0,102.0,78.0,2.69202217424355,0.9766666666666667,102.0,146.0,150.0,307.0,306.0,14.803744070195922,2.0,1.0,2.0,0,False,0,EXCLUDED_NO_DEPTH_REFERENCE
5,2022-04-08,2022-04-07,HEADER_ONLY_ZERO_SCALE,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_07\marketdepth.dat,33,93.0,0.0,0.0,False,PASS,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_07\trades.dat,10510952.0,0.25,1.0,558320.0,6.3784987200191e+17,6.378504481998801e+17,2022-04-08T04:00:00.191000+00:00,2022-04-08T20:00:19.988000+00:00,True,34.0,113.0,83.0,2.823458544908962,0.9766666666666667,163.0,177.0,152.0,378.0,382.0,19.792625896708664,0.0,0.0,0.0,0,False,0,EXCLUDED_NO_DEPTH_REFERENCE
6,2022-04-11,2022-04-10,HEADER_ONLY_ZERO_SCALE,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_10\marketdepth.dat,33,93.0,0.0,0.0,False,PASS,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_10\trades.dat,9287906.0,0.25,1.0,472026.0,6.3785246400591e+17,6.3785304019731e+17,2022-04-11T04:00:00.591000+00:00,2022-04-11T20:00:19.731000+00:00,True,29.0,101.0,80.0,3.3031161392384787,0.9866666666666667,141.0,159.0,159.0,371.0,371.0,21.564684460172447,0.0,0.0,0.0,0,False,0,EXCLUDED_NO_DEPTH_REFERENCE
7,2022-04-12,2022-04-11,HEADER_ONLY_ZERO_SCALE,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_11\marketdepth.dat,33,93.0,0.0,0.0,False,PASS,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_11\trades.dat,11438932.0,0.25,1.0,597389.0,6.3785332800944e+17,6.3785390419996e+17,2022-04-12T04:00:00.944000+00:00,2022-04-12T20:00:19.996000+00:00,True,31.0,109.0,76.0,2.8355835092981705,0.9666666666666667,65.0,157.0,151.0,300.0,323.0,13.688644964527247,0.0,0.0,0.0,0,False,0,EXCLUDED_NO_DEPTH_REFERENCE
8,2022-04-13,2022-04-12,HEADER_ONLY_ZERO_SCALE,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_12\marketdepth.dat,33,93.0,0.0,0.0,False,PASS,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_12\trades.dat,8580592.0,0.25,1.0,448751.0,6.3785419207296e+17,6.3785476819939e+17,2022-04-13T04:00:07.296000+00:00,2022-04-13T20:00:19.939000+00:00,True,22.0,123.0,101.0,3.3813898070758324,0.9833333333333333,41.0,163.0,157.0,321.0,319.0,37.512174245349435,0.0,0.0,0.0,0,False,0,EXCLUDED_NO_DEPTH_REFERENCE
9,2022-04-14,2022-04-13,HEADER_ONLY_ZERO_SCALE,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_13\marketdepth.dat,33,93.0,0.0,0.0,False,PASS,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_13\trades.dat,8743046.0,0.25,1.0,458318.0,6.3785505600191e+17,6.3785563219952e+17,2022-04-14T04:00:00.191000+00:00,2022-04-14T20:00:19.952000+00:00,True,31.0,125.0,81.0,2.6660099101591856,0.9733333333333334,107.0,185.0,152.0,305.0,271.0,21.171536190898358,0.0,0.0,0.0,0,False,0,EXCLUDED_NO_DEPTH_REFERENCE
10,2022-04-15,2022-04-14,HEADER_ONLY_ZERO_SCALE,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_04_14\marketdepth.dat,33,93.0,0.0,0.0,False,EXCLUDED,"ValueError: Invalid context scale: tick_size=0.0, lot_size=0.0",,,,,,,,,,False,,,,,,,,,,,,,,,0,False,0,EXCLUDED_TRADE_DATA
