variant,activity,path_column,n,pearson,spearman
trade_path_efficiency_v1,TradeCount,trade_path_length,22422,-0.14010401027461106,-0.06963292925234356
trade_path_efficiency_v1,TradeRate,trade_path_length,22422,-0.14010401027461106,-0.06963292925234356
trade_path_efficiency_v1,DOMUpdateCount,trade_path_length,22422,-0.1093283746841195,-0.03141023905617841
trade_path_efficiency_v1,PathLength,trade_path_length,22422,-0.12322661483802148,-0.06046191811109997
mid_efficiency_quote_changes,TradeCount,mid_quote_path_length,22422,-0.021179119882210988,-0.016370349291826965
mid_efficiency_quote_changes,TradeRate,mid_quote_path_length,22422,-0.021179119882210988,-0.016370349291826965
mid_efficiency_quote_changes,DOMUpdateCount,mid_quote_path_length,22422,-0.044973457874746915,-0.010611947033169832
mid_efficiency_quote_changes,PathLength,mid_quote_path_length,22422,-0.1038495702871824,-0.03564276376428014
mid_efficiency_sampled_25ms,TradeCount,mid_sampled_25ms_path_length,22422,0.01396576189065672,0.006028208159909363
mid_efficiency_sampled_25ms,TradeRate,mid_sampled_25ms_path_length,22422,0.01396576189065672,0.006028208159909363
mid_efficiency_sampled_25ms,DOMUpdateCount,mid_sampled_25ms_path_length,22422,0.008040568669171504,0.01674945513493545
mid_efficiency_sampled_25ms,PathLength,mid_sampled_25ms_path_length,22422,-0.02877859733469338,-0.0025377627519821426
mid_efficiency_sampled_50ms,TradeCount,mid_sampled_50ms_path_length,22422,0.022986914872880737,0.012661658984798735
mid_efficiency_sampled_50ms,TradeRate,mid_sampled_50ms_path_length,22422,0.022986914872880737,0.012661658984798735
mid_efficiency_sampled_50ms,DOMUpdateCount,mid_sampled_50ms_path_length,22422,0.027042156159009508,0.025776564763131657
mid_efficiency_sampled_50ms,PathLength,mid_sampled_50ms_path_length,22422,0.00415565619895217,0.010977049764475388
mid_efficiency_sampled_100ms,TradeCount,mid_sampled_100ms_path_length,22422,0.029957013045590456,0.017499970607308974
mid_efficiency_sampled_100ms,TradeRate,mid_sampled_100ms_path_length,22422,0.029957013045590456,0.017499970607308974
mid_efficiency_sampled_100ms,DOMUpdateCount,mid_sampled_100ms_path_length,22422,0.038625663486674365,0.030688851986479686
mid_efficiency_sampled_100ms,PathLength,mid_sampled_100ms_path_length,22422,0.008644771446352235,0.013115470295011443
microprice_efficiency,TradeCount,microprice_path_length,22422,-0.011419881123577464,-0.021875465507872175
microprice_efficiency,TradeRate,microprice_path_length,22422,-0.011419881123577464,-0.021875465507872175
microprice_efficiency,DOMUpdateCount,microprice_path_length,22422,-0.03644054756002012,-0.01971369086105821
microprice_efficiency,PathLength,microprice_path_length,22422,-0.10515070704451447,-0.04607409293938919
excursion_efficiency,TradeCount,trade_path_length,22422,-0.0008668810409117599,0.0008331576076192938
excursion_efficiency,TradeRate,trade_path_length,22422,-0.0008668810409117599,0.0008331576076192938
excursion_efficiency,DOMUpdateCount,trade_path_length,22422,0.02571938492355305,0.02627190449782806
excursion_efficiency,PathLength,trade_path_length,22422,-0.0027581132078672186,0.011336039839179482
impulse_retention,TradeCount,trade_path_length,22422,-0.005136254791485762,-0.006888037423042998
impulse_retention,TradeRate,trade_path_length,22422,-0.005136254791485762,-0.006888037423042998
impulse_retention,DOMUpdateCount,trade_path_length,22422,0.010689418624931526,0.013473295708496754
impulse_retention,PathLength,trade_path_length,22422,-0.0016044519091278238,0.002925638202191339
