variant,group,rows,valid,missing,coverage,mean,std,q00,q01,q05,q10,q25,q50,q75,q90,q95,q99,q100
trade_path_efficiency_v1,ALL,22422,22422,0,1.0,0.053134292252345075,0.08638807769772146,0.0,0.0,0.0,0.0,0.0,0.0,0.08137618195757731,0.16666666666666666,0.22580645161290322,0.38461538461538464,1.0
trade_path_efficiency_v1,SNIPER_CORE,787,787,0,1.0,0.19584256835764957,0.11343558718662855,0.01639344262295082,0.02998012849644897,0.061350293542074365,0.08040770914833291,0.11304347826086956,0.16666666666666666,0.2631578947368421,0.36363636363636365,0.4166666666666667,0.5555555555555556,0.6363636363636364
trade_path_efficiency_v1,BUY,11211,11211,0,1.0,0.05151629028316686,0.08664106960347659,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.16,0.22580645161290322,0.38461538461538464,1.0
trade_path_efficiency_v1,SELL,11211,11211,0,1.0,0.05475229422152331,0.08610780686275078,0.0,0.0,0.0,0.0,0.0,0.0,0.08571428571428572,0.1702127659574468,0.22370500438981564,0.38408488063660284,1.0
mid_efficiency_quote_changes,ALL,22422,22422,0,1.0,0.041751403134320464,0.07388750825487488,0.0,0.0,0.0,0.0,0.0,0.0,0.06493506493506493,0.125,0.16666666666666666,0.2875,1.0
mid_efficiency_quote_changes,SNIPER_CORE,787,787,0,1.0,0.15722519003977453,0.13924578792816525,0.0,0.02474820143884893,0.05458806818181818,0.06579086580849938,0.08883696780893043,0.12121212121212122,0.16901408450704225,0.2571428571428571,0.37694444444444425,0.8363636363636363,0.9649122807017544
mid_efficiency_quote_changes,BUY,11211,11211,0,1.0,0.04220017127013846,0.0821160088709778,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.125,0.17279710066533238,0.3250766087844712,0.9649122807017544
mid_efficiency_quote_changes,SELL,11211,11211,0,1.0,0.04130263499850246,0.06462022149523974,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.125,0.16393442622950818,0.268974358974358,1.0
mid_efficiency_sampled_25ms,ALL,22422,22422,0,1.0,0.07426160285080684,0.11411852629012229,0.0,0.0,0.0,0.0,0.0,0.0,0.12359550561797752,0.23076923076923078,0.30058282208589,0.45454545454545453,1.0
mid_efficiency_sampled_25ms,SNIPER_CORE,787,787,0,1.0,0.27767036274753726,0.15330970428040191,0.0,0.04526315789473686,0.11305045462649314,0.13763473053892217,0.1872459349593496,0.24561403508771928,0.3299319727891156,0.4224945926459985,0.5304761904761899,1.0,1.0
