variant,session_date,side,rows,valid,coverage,median,mean
trade_path_efficiency_v1,2022-08-01,BUY,2525,2525,1.0,0.0,0.06222326981074221
trade_path_efficiency_v1,2022-08-01,SELL,2525,2525,1.0,0.0,0.05223167483309782
trade_path_efficiency_v1,2022-08-02,BUY,3131,3131,1.0,0.0,0.04400384235982779
trade_path_efficiency_v1,2022-08-02,SELL,3131,3131,1.0,0.02040816326530612,0.07056695140333968
trade_path_efficiency_v1,2022-08-03,BUY,2828,2828,1.0,0.0,0.04956681053501262
trade_path_efficiency_v1,2022-08-03,SELL,2828,2828,1.0,0.0,0.04090312396432373
trade_path_efficiency_v1,2022-08-04,BUY,1313,1313,1.0,0.0,0.04842389254722174
trade_path_efficiency_v1,2022-08-04,SELL,1313,1313,1.0,0.017543859649122806,0.05817013694663293
trade_path_efficiency_v1,2022-08-05,BUY,1414,1414,1.0,0.02020408163265306,0.055801861779576335
trade_path_efficiency_v1,2022-08-05,SELL,1414,1414,1.0,0.0,0.048759860210772776
mid_efficiency_quote_changes,2022-08-01,BUY,2525,2525,1.0,0.0,0.05544856418327151
mid_efficiency_quote_changes,2022-08-01,SELL,2525,2525,1.0,0.0,0.03951326584874538
mid_efficiency_quote_changes,2022-08-02,BUY,3131,3131,1.0,0.0,0.029916832563100283
mid_efficiency_quote_changes,2022-08-02,SELL,3131,3131,1.0,0.014925373134328358,0.04559084943010989
mid_efficiency_quote_changes,2022-08-03,BUY,2828,2828,1.0,0.0,0.04196085211813545
mid_efficiency_quote_changes,2022-08-03,SELL,2828,2828,1.0,0.0,0.03836061384868364
mid_efficiency_quote_changes,2022-08-04,BUY,1313,1313,1.0,0.0,0.041629542688898145
mid_efficiency_quote_changes,2022-08-04,SELL,1313,1313,1.0,0.014164305949008499,0.0466040827786903
mid_efficiency_quote_changes,2022-08-05,BUY,1414,1414,1.0,0.01639344262295082,0.046749655906000345
mid_efficiency_quote_changes,2022-08-05,SELL,1414,1414,1.0,0.0,0.035963874456829734
mid_efficiency_sampled_25ms,2022-08-01,BUY,2525,2525,1.0,0.0,0.089848459443605
mid_efficiency_sampled_25ms,2022-08-01,SELL,2525,2525,1.0,0.0,0.06925753345648979
mid_efficiency_sampled_25ms,2022-08-02,BUY,3131,3131,1.0,0.0,0.057614423754308544
mid_efficiency_sampled_25ms,2022-08-02,SELL,3131,3131,1.0,0.02857142857142857,0.08783504732656638
mid_efficiency_sampled_25ms,2022-08-03,BUY,2828,2828,1.0,0.0,0.07287663508774582
mid_efficiency_sampled_25ms,2022-08-03,SELL,2828,2828,1.0,0.0,0.06630025922723241
mid_efficiency_sampled_25ms,2022-08-04,BUY,1313,1313,1.0,0.0,0.06529910053835467
mid_efficiency_sampled_25ms,2022-08-04,SELL,1313,1313,1.0,0.027777777777777776,0.08091413412588411
mid_efficiency_sampled_25ms,2022-08-05,BUY,1414,1414,1.0,0.034482758620689655,0.09116048172028703
mid_efficiency_sampled_25ms,2022-08-05,SELL,1414,1414,1.0,0.0,0.06610861223793658
mid_efficiency_sampled_50ms,2022-08-01,BUY,2525,2525,1.0,0.0,0.10818450747451248
mid_efficiency_sampled_50ms,2022-08-01,SELL,2525,2525,1.0,0.0,0.08732028842012302
mid_efficiency_sampled_50ms,2022-08-02,BUY,3131,3131,1.0,0.0,0.0739603973445591
mid_efficiency_sampled_50ms,2022-08-02,SELL,3131,3131,1.0,0.03529411764705882,0.10774116009145862
mid_efficiency_sampled_50ms,2022-08-03,BUY,2828,2828,1.0,0.0,0.08958473197978759
mid_efficiency_sampled_50ms,2022-08-03,SELL,2828,2828,1.0,0.0,0.0809150962956351
mid_efficiency_sampled_50ms,2022-08-04,BUY,1313,1313,1.0,0.0,0.08004653866268228
mid_efficiency_sampled_50ms,2022-08-04,SELL,1313,1313,1.0,0.034482758620689655,0.10067630514533304
mid_efficiency_sampled_50ms,2022-08-05,BUY,1414,1414,1.0,0.0410958904109589,0.1134896544539689
mid_efficiency_sampled_50ms,2022-08-05,SELL,1414,1414,1.0,0.0,0.08387484896482025
mid_efficiency_sampled_100ms,2022-08-01,BUY,2525,2525,1.0,0.0,0.13386557698502483
mid_efficiency_sampled_100ms,2022-08-01,SELL,2525,2525,1.0,0.0,0.11399446390083623
mid_efficiency_sampled_100ms,2022-08-02,BUY,3131,3131,1.0,0.0,0.09705449009843088
mid_efficiency_sampled_100ms,2022-08-02,SELL,3131,3131,1.0,0.046153846153846156,0.14298336191461944
mid_efficiency_sampled_100ms,2022-08-03,BUY,2828,2828,1.0,0.0,0.11958131333168738
mid_efficiency_sampled_100ms,2022-08-03,SELL,2828,2828,1.0,0.0,0.10914962744041586
mid_efficiency_sampled_100ms,2022-08-04,BUY,1313,1313,1.0,0.0,0.10008294529407356
mid_efficiency_sampled_100ms,2022-08-04,SELL,1313,1313,1.0,0.043478260869565216,0.12761626376355417
mid_efficiency_sampled_100ms,2022-08-05,BUY,1414,1414,1.0,0.060024009603841535,0.147914495033552
mid_efficiency_sampled_100ms,2022-08-05,SELL,1414,1414,1.0,0.0,0.10687470881169733
microprice_efficiency,2022-08-01,BUY,2525,2525,1.0,0.001955515060370128,0.05104796370079256
