reference,threshold_ticks,horizon_ms,dimension,dimension_value,regime,count,share,lb_count
EXECUTABLE,4,500,ALL,ALL,CONTINUATION,32,0.2882882882882883,111
EXECUTABLE,4,500,ALL,ALL,REVERSAL,49,0.44144144144144143,111
EXECUTABLE,4,500,ALL,ALL,NO_EXPANSION,24,0.21621621621621623,111
EXECUTABLE,4,500,ALL,ALL,AMBIGUOUS,6,0.05405405405405406,111
EXECUTABLE,4,1000,ALL,ALL,CONTINUATION,36,0.32432432432432434,111
EXECUTABLE,4,1000,ALL,ALL,REVERSAL,58,0.5225225225225225,111
EXECUTABLE,4,1000,ALL,ALL,NO_EXPANSION,10,0.09009009009009009,111
EXECUTABLE,4,1000,ALL,ALL,AMBIGUOUS,7,0.06306306306306306,111
EXECUTABLE,4,2000,ALL,ALL,CONTINUATION,37,0.3333333333333333,111
EXECUTABLE,4,2000,ALL,ALL,REVERSAL,63,0.5675675675675675,111
EXECUTABLE,4,2000,ALL,ALL,NO_EXPANSION,4,0.036036036036036036,111
EXECUTABLE,4,2000,ALL,ALL,AMBIGUOUS,7,0.06306306306306306,111
EXECUTABLE,4,5000,ALL,ALL,CONTINUATION,40,0.36036036036036034,111
EXECUTABLE,4,5000,ALL,ALL,REVERSAL,64,0.5765765765765766,111
EXECUTABLE,4,5000,ALL,ALL,NO_EXPANSION,0,0.0,111
EXECUTABLE,4,5000,ALL,ALL,AMBIGUOUS,7,0.06306306306306306,111
EXECUTABLE,4,10000,ALL,ALL,CONTINUATION,40,0.36036036036036034,111
EXECUTABLE,4,10000,ALL,ALL,REVERSAL,64,0.5765765765765766,111
EXECUTABLE,4,10000,ALL,ALL,NO_EXPANSION,0,0.0,111
EXECUTABLE,4,10000,ALL,ALL,AMBIGUOUS,7,0.06306306306306306,111
EXECUTABLE,8,500,ALL,ALL,CONTINUATION,14,0.12612612612612611,111
EXECUTABLE,8,500,ALL,ALL,REVERSAL,19,0.17117117117117117,111
EXECUTABLE,8,500,ALL,ALL,NO_EXPANSION,78,0.7027027027027027,111
EXECUTABLE,8,500,ALL,ALL,AMBIGUOUS,0,0.0,111
EXECUTABLE,8,1000,ALL,ALL,CONTINUATION,22,0.1981981981981982,111
EXECUTABLE,8,1000,ALL,ALL,REVERSAL,34,0.3063063063063063,111
EXECUTABLE,8,1000,ALL,ALL,NO_EXPANSION,55,0.4954954954954955,111
EXECUTABLE,8,1000,ALL,ALL,AMBIGUOUS,0,0.0,111
EXECUTABLE,8,2000,ALL,ALL,CONTINUATION,33,0.2972972972972973,111
EXECUTABLE,8,2000,ALL,ALL,REVERSAL,41,0.36936936936936937,111
EXECUTABLE,8,2000,ALL,ALL,NO_EXPANSION,37,0.3333333333333333,111
EXECUTABLE,8,2000,ALL,ALL,AMBIGUOUS,0,0.0,111
EXECUTABLE,8,5000,ALL,ALL,CONTINUATION,41,0.36936936936936937,111
EXECUTABLE,8,5000,ALL,ALL,REVERSAL,51,0.4594594594594595,111
EXECUTABLE,8,5000,ALL,ALL,NO_EXPANSION,19,0.17117117117117117,111
EXECUTABLE,8,5000,ALL,ALL,AMBIGUOUS,0,0.0,111
EXECUTABLE,8,10000,ALL,ALL,CONTINUATION,48,0.43243243243243246,111
EXECUTABLE,8,10000,ALL,ALL,REVERSAL,59,0.5315315315315315,111
EXECUTABLE,8,10000,ALL,ALL,NO_EXPANSION,4,0.036036036036036036,111
EXECUTABLE,8,10000,ALL,ALL,AMBIGUOUS,0,0.0,111
EXECUTABLE,12,500,ALL,ALL,CONTINUATION,4,0.036036036036036036,111
EXECUTABLE,12,500,ALL,ALL,REVERSAL,7,0.06306306306306306,111
EXECUTABLE,12,500,ALL,ALL,NO_EXPANSION,100,0.9009009009009009,111
EXECUTABLE,12,500,ALL,ALL,AMBIGUOUS,0,0.0,111
EXECUTABLE,12,1000,ALL,ALL,CONTINUATION,10,0.09009009009009009,111
EXECUTABLE,12,1000,ALL,ALL,REVERSAL,17,0.15315315315315314,111
EXECUTABLE,12,1000,ALL,ALL,NO_EXPANSION,84,0.7567567567567568,111
EXECUTABLE,12,1000,ALL,ALL,AMBIGUOUS,0,0.0,111
EXECUTABLE,12,2000,ALL,ALL,CONTINUATION,23,0.2072072072072072,111
EXECUTABLE,12,2000,ALL,ALL,REVERSAL,20,0.18018018018018017,111
EXECUTABLE,12,2000,ALL,ALL,NO_EXPANSION,68,0.6126126126126126,111
EXECUTABLE,12,2000,ALL,ALL,AMBIGUOUS,0,0.0,111
EXECUTABLE,12,5000,ALL,ALL,CONTINUATION,35,0.3153153153153153,111
EXECUTABLE,12,5000,ALL,ALL,REVERSAL,31,0.27927927927927926,111
EXECUTABLE,12,5000,ALL,ALL,NO_EXPANSION,45,0.40540540540540543,111
EXECUTABLE,12,5000,ALL,ALL,AMBIGUOUS,0,0.0,111
EXECUTABLE,12,10000,ALL,ALL,CONTINUATION,48,0.43243243243243246,111
EXECUTABLE,12,10000,ALL,ALL,REVERSAL,36,0.32432432432432434,111
EXECUTABLE,12,10000,ALL,ALL,NO_EXPANSION,27,0.24324324324324326,111
EXECUTABLE,12,10000,ALL,ALL,AMBIGUOUS,0,0.0,111
EXECUTABLE,16,500,ALL,ALL,CONTINUATION,4,0.036036036036036036,111
EXECUTABLE,16,500,ALL,ALL,REVERSAL,4,0.036036036036036036,111
EXECUTABLE,16,500,ALL,ALL,NO_EXPANSION,103,0.9279279279279279,111
EXECUTABLE,16,500,ALL,ALL,AMBIGUOUS,0,0.0,111
EXECUTABLE,16,1000,ALL,ALL,CONTINUATION,6,0.05405405405405406,111
EXECUTABLE,16,1000,ALL,ALL,REVERSAL,7,0.06306306306306306,111
EXECUTABLE,16,1000,ALL,ALL,NO_EXPANSION,98,0.8828828828828829,111
EXECUTABLE,16,1000,ALL,ALL,AMBIGUOUS,0,0.0,111
EXECUTABLE,16,2000,ALL,ALL,CONTINUATION,16,0.14414414414414414,111
EXECUTABLE,16,2000,ALL,ALL,REVERSAL,13,0.11711711711711711,111
EXECUTABLE,16,2000,ALL,ALL,NO_EXPANSION,82,0.7387387387387387,111
EXECUTABLE,16,2000,ALL,ALL,AMBIGUOUS,0,0.0,111
EXECUTABLE,16,5000,ALL,ALL,CONTINUATION,29,0.26126126126126126,111
EXECUTABLE,16,5000,ALL,ALL,REVERSAL,25,0.22522522522522523,111
EXECUTABLE,16,5000,ALL,ALL,NO_EXPANSION,57,0.5135135135135135,111
EXECUTABLE,16,5000,ALL,ALL,AMBIGUOUS,0,0.0,111
EXECUTABLE,16,10000,ALL,ALL,CONTINUATION,41,0.36936936936936937,111
EXECUTABLE,16,10000,ALL,ALL,REVERSAL,31,0.27927927927927926,111
EXECUTABLE,16,10000,ALL,ALL,NO_EXPANSION,39,0.35135135135135137,111
EXECUTABLE,16,10000,ALL,ALL,AMBIGUOUS,0,0.0,111
LAST_TRADE,4,500,ALL,ALL,CONTINUATION,39,0.35135135135135137,111
LAST_TRADE,4,500,ALL,ALL,REVERSAL,42,0.3783783783783784,111
LAST_TRADE,4,500,ALL,ALL,NO_EXPANSION,26,0.23423423423423423,111
LAST_TRADE,4,500,ALL,ALL,AMBIGUOUS,4,0.036036036036036036,111
LAST_TRADE,4,1000,ALL,ALL,CONTINUATION,43,0.38738738738738737,111
LAST_TRADE,4,1000,ALL,ALL,REVERSAL,50,0.45045045045045046,111
LAST_TRADE,4,1000,ALL,ALL,NO_EXPANSION,13,0.11711711711711711,111
LAST_TRADE,4,1000,ALL,ALL,AMBIGUOUS,5,0.04504504504504504,111
LAST_TRADE,4,2000,ALL,ALL,CONTINUATION,44,0.3963963963963964,111
LAST_TRADE,4,2000,ALL,ALL,REVERSAL,55,0.4954954954954955,111
LAST_TRADE,4,2000,ALL,ALL,NO_EXPANSION,7,0.06306306306306306,111
LAST_TRADE,4,2000,ALL,ALL,AMBIGUOUS,5,0.04504504504504504,111
LAST_TRADE,4,5000,ALL,ALL,CONTINUATION,49,0.44144144144144143,111
LAST_TRADE,4,5000,ALL,ALL,REVERSAL,57,0.5135135135135135,111
LAST_TRADE,4,5000,ALL,ALL,NO_EXPANSION,0,0.0,111
LAST_TRADE,4,5000,ALL,ALL,AMBIGUOUS,5,0.04504504504504504,111
LAST_TRADE,4,10000,ALL,ALL,CONTINUATION,49,0.44144144144144143,111
LAST_TRADE,4,10000,ALL,ALL,REVERSAL,57,0.5135135135135135,111
LAST_TRADE,4,10000,ALL,ALL,NO_EXPANSION,0,0.0,111
LAST_TRADE,4,10000,ALL,ALL,AMBIGUOUS,5,0.04504504504504504,111
LAST_TRADE,8,500,ALL,ALL,CONTINUATION,19,0.17117117117117117,111
LAST_TRADE,8,500,ALL,ALL,REVERSAL,11,0.0990990990990991,111
LAST_TRADE,8,500,ALL,ALL,NO_EXPANSION,80,0.7207207207207207,111
LAST_TRADE,8,500,ALL,ALL,AMBIGUOUS,1,0.009009009009009009,111
