reference,threshold_ticks,horizon_ms,dimension,dimension_value,regime,count,share,lb_count
EXECUTABLE,4,500,ALL,ALL,CONTINUATION,32,0.2882882882882883,111
EXECUTABLE,4,500,ALL,ALL,REVERSAL,49,0.44144144144144143,111
EXECUTABLE,4,500,ALL,ALL,NO_EXPANSION,24,0.21621621621621623,111
EXECUTABLE,4,500,ALL,ALL,AMBIGUOUS,6,0.05405405405405406,111
EXECUTABLE,4,500,SIDE,BUY,CONTINUATION,17,0.25757575757575757,66
EXECUTABLE,4,500,SIDE,BUY,REVERSAL,31,0.4696969696969697,66
EXECUTABLE,4,500,SIDE,BUY,NO_EXPANSION,13,0.19696969696969696,66
EXECUTABLE,4,500,SIDE,BUY,AMBIGUOUS,5,0.07575757575757576,66
EXECUTABLE,4,500,SIDE,SELL,CONTINUATION,15,0.3333333333333333,45
EXECUTABLE,4,500,SIDE,SELL,REVERSAL,18,0.4,45
EXECUTABLE,4,500,SIDE,SELL,NO_EXPANSION,11,0.24444444444444444,45
EXECUTABLE,4,500,SIDE,SELL,AMBIGUOUS,1,0.022222222222222223,45
EXECUTABLE,4,500,SESSION,2022-08-01,CONTINUATION,8,0.32,25
EXECUTABLE,4,500,SESSION,2022-08-01,REVERSAL,11,0.44,25
EXECUTABLE,4,500,SESSION,2022-08-01,NO_EXPANSION,4,0.16,25
EXECUTABLE,4,500,SESSION,2022-08-01,AMBIGUOUS,2,0.08,25
EXECUTABLE,4,500,SESSION,2022-08-02,CONTINUATION,9,0.2903225806451613,31
EXECUTABLE,4,500,SESSION,2022-08-02,REVERSAL,15,0.4838709677419355,31
EXECUTABLE,4,500,SESSION,2022-08-02,NO_EXPANSION,4,0.12903225806451613,31
EXECUTABLE,4,500,SESSION,2022-08-02,AMBIGUOUS,3,0.0967741935483871,31
EXECUTABLE,4,500,SESSION,2022-08-03,CONTINUATION,8,0.2857142857142857,28
EXECUTABLE,4,500,SESSION,2022-08-03,REVERSAL,12,0.42857142857142855,28
EXECUTABLE,4,500,SESSION,2022-08-03,NO_EXPANSION,8,0.2857142857142857,28
EXECUTABLE,4,500,SESSION,2022-08-03,AMBIGUOUS,0,0.0,28
EXECUTABLE,4,500,SESSION,2022-08-04,CONTINUATION,2,0.15384615384615385,13
EXECUTABLE,4,500,SESSION,2022-08-04,REVERSAL,6,0.46153846153846156,13
EXECUTABLE,4,500,SESSION,2022-08-04,NO_EXPANSION,4,0.3076923076923077,13
EXECUTABLE,4,500,SESSION,2022-08-04,AMBIGUOUS,1,0.07692307692307693,13
EXECUTABLE,4,500,SESSION,2022-08-05,CONTINUATION,5,0.35714285714285715,14
EXECUTABLE,4,500,SESSION,2022-08-05,REVERSAL,5,0.35714285714285715,14
EXECUTABLE,4,500,SESSION,2022-08-05,NO_EXPANSION,4,0.2857142857142857,14
EXECUTABLE,4,500,SESSION,2022-08-05,AMBIGUOUS,0,0.0,14
EXECUTABLE,4,500,MONTH,2022-08,CONTINUATION,32,0.2882882882882883,111
EXECUTABLE,4,500,MONTH,2022-08,REVERSAL,49,0.44144144144144143,111
EXECUTABLE,4,500,MONTH,2022-08,NO_EXPANSION,24,0.21621621621621623,111
EXECUTABLE,4,500,MONTH,2022-08,AMBIGUOUS,6,0.05405405405405406,111
EXECUTABLE,4,500,YEAR,2022,CONTINUATION,32,0.2882882882882883,111
EXECUTABLE,4,500,YEAR,2022,REVERSAL,49,0.44144144144144143,111
EXECUTABLE,4,500,YEAR,2022,NO_EXPANSION,24,0.21621621621621623,111
EXECUTABLE,4,500,YEAR,2022,AMBIGUOUS,6,0.05405405405405406,111
EXECUTABLE,4,500,HOUR_NY,10,CONTINUATION,11,0.34375,32
EXECUTABLE,4,500,HOUR_NY,10,REVERSAL,15,0.46875,32
EXECUTABLE,4,500,HOUR_NY,10,NO_EXPANSION,3,0.09375,32
EXECUTABLE,4,500,HOUR_NY,10,AMBIGUOUS,3,0.09375,32
EXECUTABLE,4,500,HOUR_NY,11,CONTINUATION,5,0.2631578947368421,19
EXECUTABLE,4,500,HOUR_NY,11,REVERSAL,5,0.2631578947368421,19
EXECUTABLE,4,500,HOUR_NY,11,NO_EXPANSION,9,0.47368421052631576,19
EXECUTABLE,4,500,HOUR_NY,11,AMBIGUOUS,0,0.0,19
EXECUTABLE,4,500,HOUR_NY,12,CONTINUATION,4,0.4444444444444444,9
EXECUTABLE,4,500,HOUR_NY,12,REVERSAL,4,0.4444444444444444,9
EXECUTABLE,4,500,HOUR_NY,12,NO_EXPANSION,1,0.1111111111111111,9
EXECUTABLE,4,500,HOUR_NY,12,AMBIGUOUS,0,0.0,9
EXECUTABLE,4,500,HOUR_NY,13,CONTINUATION,1,0.16666666666666666,6
EXECUTABLE,4,500,HOUR_NY,13,REVERSAL,2,0.3333333333333333,6
EXECUTABLE,4,500,HOUR_NY,13,NO_EXPANSION,3,0.5,6
EXECUTABLE,4,500,HOUR_NY,13,AMBIGUOUS,0,0.0,6
EXECUTABLE,4,500,HOUR_NY,14,CONTINUATION,2,0.18181818181818182,11
EXECUTABLE,4,500,HOUR_NY,14,REVERSAL,6,0.5454545454545454,11
EXECUTABLE,4,500,HOUR_NY,14,NO_EXPANSION,3,0.2727272727272727,11
EXECUTABLE,4,500,HOUR_NY,14,AMBIGUOUS,0,0.0,11
EXECUTABLE,4,500,HOUR_NY,15,CONTINUATION,3,0.25,12
EXECUTABLE,4,500,HOUR_NY,15,REVERSAL,4,0.3333333333333333,12
EXECUTABLE,4,500,HOUR_NY,15,NO_EXPANSION,4,0.3333333333333333,12
EXECUTABLE,4,500,HOUR_NY,15,AMBIGUOUS,1,0.08333333333333333,12
EXECUTABLE,4,500,HOUR_NY,16,CONTINUATION,1,1.0,1
EXECUTABLE,4,500,HOUR_NY,16,REVERSAL,0,0.0,1
EXECUTABLE,4,500,HOUR_NY,16,NO_EXPANSION,0,0.0,1
EXECUTABLE,4,500,HOUR_NY,16,AMBIGUOUS,0,0.0,1
EXECUTABLE,4,500,HOUR_NY,9,CONTINUATION,5,0.23809523809523808,21
EXECUTABLE,4,500,HOUR_NY,9,REVERSAL,13,0.6190476190476191,21
EXECUTABLE,4,500,HOUR_NY,9,NO_EXPANSION,1,0.047619047619047616,21
EXECUTABLE,4,500,HOUR_NY,9,AMBIGUOUS,2,0.09523809523809523,21
EXECUTABLE,4,1000,ALL,ALL,CONTINUATION,36,0.32432432432432434,111
EXECUTABLE,4,1000,ALL,ALL,REVERSAL,58,0.5225225225225225,111
EXECUTABLE,4,1000,ALL,ALL,NO_EXPANSION,10,0.09009009009009009,111
EXECUTABLE,4,1000,ALL,ALL,AMBIGUOUS,7,0.06306306306306306,111
EXECUTABLE,4,1000,SIDE,BUY,CONTINUATION,19,0.2878787878787879,66
EXECUTABLE,4,1000,SIDE,BUY,REVERSAL,36,0.5454545454545454,66
EXECUTABLE,4,1000,SIDE,BUY,NO_EXPANSION,6,0.09090909090909091,66
EXECUTABLE,4,1000,SIDE,BUY,AMBIGUOUS,5,0.07575757575757576,66
EXECUTABLE,4,1000,SIDE,SELL,CONTINUATION,17,0.37777777777777777,45
EXECUTABLE,4,1000,SIDE,SELL,REVERSAL,22,0.4888888888888889,45
EXECUTABLE,4,1000,SIDE,SELL,NO_EXPANSION,4,0.08888888888888889,45
EXECUTABLE,4,1000,SIDE,SELL,AMBIGUOUS,2,0.044444444444444446,45
EXECUTABLE,4,1000,SESSION,2022-08-01,CONTINUATION,10,0.4,25
EXECUTABLE,4,1000,SESSION,2022-08-01,REVERSAL,11,0.44,25
EXECUTABLE,4,1000,SESSION,2022-08-01,NO_EXPANSION,2,0.08,25
EXECUTABLE,4,1000,SESSION,2022-08-01,AMBIGUOUS,2,0.08,25
EXECUTABLE,4,1000,SESSION,2022-08-02,CONTINUATION,9,0.2903225806451613,31
EXECUTABLE,4,1000,SESSION,2022-08-02,REVERSAL,17,0.5483870967741935,31
EXECUTABLE,4,1000,SESSION,2022-08-02,NO_EXPANSION,1,0.03225806451612903,31
EXECUTABLE,4,1000,SESSION,2022-08-02,AMBIGUOUS,4,0.12903225806451613,31
EXECUTABLE,4,1000,SESSION,2022-08-03,CONTINUATION,9,0.32142857142857145,28
EXECUTABLE,4,1000,SESSION,2022-08-03,REVERSAL,16,0.5714285714285714,28
EXECUTABLE,4,1000,SESSION,2022-08-03,NO_EXPANSION,3,0.10714285714285714,28
EXECUTABLE,4,1000,SESSION,2022-08-03,AMBIGUOUS,0,0.0,28
EXECUTABLE,4,1000,SESSION,2022-08-04,CONTINUATION,2,0.15384615384615385,13
EXECUTABLE,4,1000,SESSION,2022-08-04,REVERSAL,7,0.5384615384615384,13
EXECUTABLE,4,1000,SESSION,2022-08-04,NO_EXPANSION,3,0.23076923076923078,13
EXECUTABLE,4,1000,SESSION,2022-08-04,AMBIGUOUS,1,0.07692307692307693,13
