threshold_ticks,from_horizon_ms,to_horizon_ms,from_regime,to_regime,count,share
4,500,1000,AMBIGUOUS,AMBIGUOUS,7,0.06306306306306306
4,500,1000,CONTINUATION,CONTINUATION,38,0.34234234234234234
4,500,1000,NO_EXPANSION,CONTINUATION,9,0.08108108108108109
4,500,1000,NO_EXPANSION,NO_EXPANSION,14,0.12612612612612611
4,500,1000,NO_EXPANSION,REVERSAL,7,0.06306306306306306
4,500,1000,REVERSAL,AMBIGUOUS,1,0.009009009009009009
4,500,1000,REVERSAL,REVERSAL,35,0.3153153153153153
4,1000,2000,AMBIGUOUS,AMBIGUOUS,8,0.07207207207207207
4,1000,2000,CONTINUATION,CONTINUATION,47,0.42342342342342343
4,1000,2000,NO_EXPANSION,CONTINUATION,3,0.02702702702702703
4,1000,2000,NO_EXPANSION,NO_EXPANSION,6,0.05405405405405406
4,1000,2000,NO_EXPANSION,REVERSAL,5,0.04504504504504504
4,1000,2000,REVERSAL,REVERSAL,42,0.3783783783783784
4,2000,5000,AMBIGUOUS,AMBIGUOUS,8,0.07207207207207207
4,2000,5000,CONTINUATION,CONTINUATION,50,0.45045045045045046
4,2000,5000,NO_EXPANSION,CONTINUATION,4,0.036036036036036036
4,2000,5000,NO_EXPANSION,REVERSAL,2,0.018018018018018018
4,2000,5000,REVERSAL,REVERSAL,47,0.42342342342342343
4,5000,10000,AMBIGUOUS,AMBIGUOUS,8,0.07207207207207207
4,5000,10000,CONTINUATION,CONTINUATION,54,0.4864864864864865
4,5000,10000,REVERSAL,REVERSAL,49,0.44144144144144143
8,500,1000,AMBIGUOUS,AMBIGUOUS,1,0.009009009009009009
8,500,1000,CONTINUATION,CONTINUATION,16,0.14414414414414414
8,500,1000,NO_EXPANSION,CONTINUATION,9,0.08108108108108109
8,500,1000,NO_EXPANSION,NO_EXPANSION,58,0.5225225225225225
8,500,1000,NO_EXPANSION,REVERSAL,16,0.14414414414414414
8,500,1000,REVERSAL,REVERSAL,11,0.0990990990990991
8,1000,2000,AMBIGUOUS,AMBIGUOUS,1,0.009009009009009009
8,1000,2000,CONTINUATION,CONTINUATION,25,0.22522522522522523
8,1000,2000,NO_EXPANSION,CONTINUATION,9,0.08108108108108109
8,1000,2000,NO_EXPANSION,NO_EXPANSION,42,0.3783783783783784
8,1000,2000,NO_EXPANSION,REVERSAL,7,0.06306306306306306
8,1000,2000,REVERSAL,REVERSAL,27,0.24324324324324326
8,2000,5000,AMBIGUOUS,AMBIGUOUS,1,0.009009009009009009
8,2000,5000,CONTINUATION,CONTINUATION,34,0.3063063063063063
8,2000,5000,NO_EXPANSION,CONTINUATION,13,0.11711711711711711
8,2000,5000,NO_EXPANSION,NO_EXPANSION,23,0.2072072072072072
8,2000,5000,NO_EXPANSION,REVERSAL,6,0.05405405405405406
8,2000,5000,REVERSAL,REVERSAL,34,0.3063063063063063
8,5000,10000,AMBIGUOUS,AMBIGUOUS,1,0.009009009009009009
8,5000,10000,CONTINUATION,CONTINUATION,47,0.42342342342342343
8,5000,10000,NO_EXPANSION,CONTINUATION,6,0.05405405405405406
8,5000,10000,NO_EXPANSION,NO_EXPANSION,6,0.05405405405405406
8,5000,10000,NO_EXPANSION,REVERSAL,11,0.0990990990990991
8,5000,10000,REVERSAL,REVERSAL,40,0.36036036036036034
12,500,1000,CONTINUATION,CONTINUATION,5,0.04504504504504504
12,500,1000,NO_EXPANSION,CONTINUATION,5,0.04504504504504504
12,500,1000,NO_EXPANSION,NO_EXPANSION,86,0.7747747747747747
12,500,1000,NO_EXPANSION,REVERSAL,8,0.07207207207207207
12,500,1000,REVERSAL,REVERSAL,7,0.06306306306306306
12,1000,2000,CONTINUATION,CONTINUATION,10,0.09009009009009009
12,1000,2000,NO_EXPANSION,CONTINUATION,14,0.12612612612612611
12,1000,2000,NO_EXPANSION,NO_EXPANSION,70,0.6306306306306306
12,1000,2000,NO_EXPANSION,REVERSAL,2,0.018018018018018018
12,1000,2000,REVERSAL,REVERSAL,15,0.13513513513513514
12,2000,5000,CONTINUATION,CONTINUATION,24,0.21621621621621623
12,2000,5000,NO_EXPANSION,CONTINUATION,11,0.0990990990990991
12,2000,5000,NO_EXPANSION,NO_EXPANSION,47,0.42342342342342343
12,2000,5000,NO_EXPANSION,REVERSAL,12,0.10810810810810811
12,2000,5000,REVERSAL,REVERSAL,17,0.15315315315315314
12,5000,10000,CONTINUATION,CONTINUATION,35,0.3153153153153153
12,5000,10000,NO_EXPANSION,CONTINUATION,15,0.13513513513513514
12,5000,10000,NO_EXPANSION,NO_EXPANSION,27,0.24324324324324326
12,5000,10000,NO_EXPANSION,REVERSAL,5,0.04504504504504504
12,5000,10000,REVERSAL,REVERSAL,29,0.26126126126126126
16,500,1000,CONTINUATION,CONTINUATION,4,0.036036036036036036
16,500,1000,NO_EXPANSION,CONTINUATION,2,0.018018018018018018
