threshold_ticks,sensitivity_type,base_value,perturbed_value,n,agreement
4,AMBIGUITY_WINDOW,250,200,111,0.9819819819819819
4,AMBIGUITY_WINDOW,250,300,111,0.990990990990991
4,AMBIGUITY_WINDOW,250,MIN,111,0.9819819819819819
4,THRESHOLD,4,3,111,0.8738738738738738
4,THRESHOLD,4,5,111,0.8738738738738738
4,THRESHOLD,4,MIN,111,0.8738738738738738
4,HORIZON,5000,4500,111,1.0
4,HORIZON,5000,5500,111,1.0
4,HORIZON,5000,MIN,111,1.0
8,AMBIGUITY_WINDOW,250,200,111,1.0
8,AMBIGUITY_WINDOW,250,300,111,0.990990990990991
8,AMBIGUITY_WINDOW,250,MIN,111,0.990990990990991
8,THRESHOLD,8,7,111,0.8648648648648649
8,THRESHOLD,8,9,111,0.9099099099099099
8,THRESHOLD,8,MIN,111,0.8648648648648649
8,HORIZON,5000,4500,111,0.9819819819819819
8,HORIZON,5000,5500,111,0.954954954954955
8,HORIZON,5000,MIN,111,0.954954954954955
12,AMBIGUITY_WINDOW,250,200,111,1.0
12,AMBIGUITY_WINDOW,250,300,111,0.990990990990991
12,AMBIGUITY_WINDOW,250,MIN,111,0.990990990990991
12,THRESHOLD,12,11,111,0.954954954954955
12,THRESHOLD,12,13,111,0.9819819819819819
12,THRESHOLD,12,MIN,111,0.954954954954955
12,HORIZON,5000,4500,111,0.963963963963964
12,HORIZON,5000,5500,111,0.972972972972973
12,HORIZON,5000,MIN,111,0.963963963963964
16,AMBIGUITY_WINDOW,250,200,111,1.0
16,AMBIGUITY_WINDOW,250,300,111,1.0
16,AMBIGUITY_WINDOW,250,MIN,111,1.0
16,THRESHOLD,16,15,111,0.963963963963964
16,THRESHOLD,16,17,111,0.9819819819819819
16,THRESHOLD,16,MIN,111,0.963963963963964
16,HORIZON,5000,4500,111,0.990990990990991
16,HORIZON,5000,5500,111,0.963963963963964
16,HORIZON,5000,MIN,111,0.963963963963964
