reference,threshold_ticks,horizon_ms,dimension,dimension_value,regime,count,share,lb_count
EXECUTABLE,4,500,ALL,ALL,CONTINUATION,31,0.29245283018867924,106
EXECUTABLE,4,500,ALL,ALL,REVERSAL,46,0.4339622641509434,106
EXECUTABLE,4,500,ALL,ALL,NO_EXPANSION,24,0.22641509433962265,106
EXECUTABLE,4,500,ALL,ALL,AMBIGUOUS,5,0.04716981132075472,106
EXECUTABLE,4,1000,ALL,ALL,CONTINUATION,35,0.330188679245283,106
EXECUTABLE,4,1000,ALL,ALL,REVERSAL,55,0.5188679245283019,106
EXECUTABLE,4,1000,ALL,ALL,NO_EXPANSION,10,0.09433962264150944,106
EXECUTABLE,4,1000,ALL,ALL,AMBIGUOUS,6,0.05660377358490566,106
EXECUTABLE,4,2000,ALL,ALL,CONTINUATION,36,0.33962264150943394,106
EXECUTABLE,4,2000,ALL,ALL,REVERSAL,60,0.5660377358490566,106
EXECUTABLE,4,2000,ALL,ALL,NO_EXPANSION,4,0.03773584905660377,106
EXECUTABLE,4,2000,ALL,ALL,AMBIGUOUS,6,0.05660377358490566,106
EXECUTABLE,4,5000,ALL,ALL,CONTINUATION,39,0.36792452830188677,106
EXECUTABLE,4,5000,ALL,ALL,REVERSAL,61,0.5754716981132075,106
EXECUTABLE,4,5000,ALL,ALL,NO_EXPANSION,0,0.0,106
EXECUTABLE,4,5000,ALL,ALL,AMBIGUOUS,6,0.05660377358490566,106
EXECUTABLE,4,10000,ALL,ALL,CONTINUATION,39,0.36792452830188677,106
EXECUTABLE,4,10000,ALL,ALL,REVERSAL,61,0.5754716981132075,106
EXECUTABLE,4,10000,ALL,ALL,NO_EXPANSION,0,0.0,106
EXECUTABLE,4,10000,ALL,ALL,AMBIGUOUS,6,0.05660377358490566,106
EXECUTABLE,8,500,ALL,ALL,CONTINUATION,13,0.12264150943396226,106
EXECUTABLE,8,500,ALL,ALL,REVERSAL,16,0.1509433962264151,106
EXECUTABLE,8,500,ALL,ALL,NO_EXPANSION,77,0.7264150943396226,106
EXECUTABLE,8,500,ALL,ALL,AMBIGUOUS,0,0.0,106
EXECUTABLE,8,1000,ALL,ALL,CONTINUATION,21,0.19811320754716982,106
EXECUTABLE,8,1000,ALL,ALL,REVERSAL,31,0.29245283018867924,106
EXECUTABLE,8,1000,ALL,ALL,NO_EXPANSION,54,0.5094339622641509,106
EXECUTABLE,8,1000,ALL,ALL,AMBIGUOUS,0,0.0,106
EXECUTABLE,8,2000,ALL,ALL,CONTINUATION,32,0.3018867924528302,106
EXECUTABLE,8,2000,ALL,ALL,REVERSAL,37,0.3490566037735849,106
EXECUTABLE,8,2000,ALL,ALL,NO_EXPANSION,37,0.3490566037735849,106
EXECUTABLE,8,2000,ALL,ALL,AMBIGUOUS,0,0.0,106
EXECUTABLE,8,5000,ALL,ALL,CONTINUATION,40,0.37735849056603776,106
EXECUTABLE,8,5000,ALL,ALL,REVERSAL,47,0.44339622641509435,106
EXECUTABLE,8,5000,ALL,ALL,NO_EXPANSION,19,0.1792452830188679,106
EXECUTABLE,8,5000,ALL,ALL,AMBIGUOUS,0,0.0,106
EXECUTABLE,8,10000,ALL,ALL,CONTINUATION,47,0.44339622641509435,106
EXECUTABLE,8,10000,ALL,ALL,REVERSAL,55,0.5188679245283019,106
EXECUTABLE,8,10000,ALL,ALL,NO_EXPANSION,4,0.03773584905660377,106
EXECUTABLE,8,10000,ALL,ALL,AMBIGUOUS,0,0.0,106
EXECUTABLE,12,500,ALL,ALL,CONTINUATION,3,0.02830188679245283,106
EXECUTABLE,12,500,ALL,ALL,REVERSAL,4,0.03773584905660377,106
EXECUTABLE,12,500,ALL,ALL,NO_EXPANSION,99,0.9339622641509434,106
EXECUTABLE,12,500,ALL,ALL,AMBIGUOUS,0,0.0,106
EXECUTABLE,12,1000,ALL,ALL,CONTINUATION,9,0.08490566037735849,106
EXECUTABLE,12,1000,ALL,ALL,REVERSAL,14,0.1320754716981132,106
EXECUTABLE,12,1000,ALL,ALL,NO_EXPANSION,83,0.7830188679245284,106
EXECUTABLE,12,1000,ALL,ALL,AMBIGUOUS,0,0.0,106
EXECUTABLE,12,2000,ALL,ALL,CONTINUATION,22,0.20754716981132076,106
EXECUTABLE,12,2000,ALL,ALL,REVERSAL,16,0.1509433962264151,106
EXECUTABLE,12,2000,ALL,ALL,NO_EXPANSION,68,0.6415094339622641,106
EXECUTABLE,12,2000,ALL,ALL,AMBIGUOUS,0,0.0,106
EXECUTABLE,12,5000,ALL,ALL,CONTINUATION,34,0.32075471698113206,106
EXECUTABLE,12,5000,ALL,ALL,REVERSAL,27,0.25471698113207547,106
EXECUTABLE,12,5000,ALL,ALL,NO_EXPANSION,45,0.42452830188679247,106
EXECUTABLE,12,5000,ALL,ALL,AMBIGUOUS,0,0.0,106
EXECUTABLE,12,10000,ALL,ALL,CONTINUATION,47,0.44339622641509435,106
EXECUTABLE,12,10000,ALL,ALL,REVERSAL,32,0.3018867924528302,106
EXECUTABLE,12,10000,ALL,ALL,NO_EXPANSION,27,0.25471698113207547,106
EXECUTABLE,12,10000,ALL,ALL,AMBIGUOUS,0,0.0,106
EXECUTABLE,16,500,ALL,ALL,CONTINUATION,2,0.018867924528301886,106
EXECUTABLE,16,500,ALL,ALL,REVERSAL,2,0.018867924528301886,106
EXECUTABLE,16,500,ALL,ALL,NO_EXPANSION,102,0.9622641509433962,106
EXECUTABLE,16,500,ALL,ALL,AMBIGUOUS,0,0.0,106
EXECUTABLE,16,1000,ALL,ALL,CONTINUATION,4,0.03773584905660377,106
EXECUTABLE,16,1000,ALL,ALL,REVERSAL,5,0.04716981132075472,106
EXECUTABLE,16,1000,ALL,ALL,NO_EXPANSION,97,0.9150943396226415,106
EXECUTABLE,16,1000,ALL,ALL,AMBIGUOUS,0,0.0,106
EXECUTABLE,16,2000,ALL,ALL,CONTINUATION,14,0.1320754716981132,106
EXECUTABLE,16,2000,ALL,ALL,REVERSAL,11,0.10377358490566038,106
EXECUTABLE,16,2000,ALL,ALL,NO_EXPANSION,81,0.7641509433962265,106
EXECUTABLE,16,2000,ALL,ALL,AMBIGUOUS,0,0.0,106
EXECUTABLE,16,5000,ALL,ALL,CONTINUATION,27,0.25471698113207547,106
EXECUTABLE,16,5000,ALL,ALL,REVERSAL,22,0.20754716981132076,106
EXECUTABLE,16,5000,ALL,ALL,NO_EXPANSION,57,0.5377358490566038,106
EXECUTABLE,16,5000,ALL,ALL,AMBIGUOUS,0,0.0,106
EXECUTABLE,16,10000,ALL,ALL,CONTINUATION,39,0.36792452830188677,106
EXECUTABLE,16,10000,ALL,ALL,REVERSAL,28,0.2641509433962264,106
EXECUTABLE,16,10000,ALL,ALL,NO_EXPANSION,39,0.36792452830188677,106
EXECUTABLE,16,10000,ALL,ALL,AMBIGUOUS,0,0.0,106
LAST_TRADE,4,500,ALL,ALL,CONTINUATION,36,0.33962264150943394,106
LAST_TRADE,4,500,ALL,ALL,REVERSAL,40,0.37735849056603776,106
LAST_TRADE,4,500,ALL,ALL,NO_EXPANSION,26,0.24528301886792453,106
LAST_TRADE,4,500,ALL,ALL,AMBIGUOUS,4,0.03773584905660377,106
LAST_TRADE,4,1000,ALL,ALL,CONTINUATION,40,0.37735849056603776,106
LAST_TRADE,4,1000,ALL,ALL,REVERSAL,48,0.4528301886792453,106
LAST_TRADE,4,1000,ALL,ALL,NO_EXPANSION,13,0.12264150943396226,106
LAST_TRADE,4,1000,ALL,ALL,AMBIGUOUS,5,0.04716981132075472,106
LAST_TRADE,4,2000,ALL,ALL,CONTINUATION,41,0.3867924528301887,106
LAST_TRADE,4,2000,ALL,ALL,REVERSAL,53,0.5,106
LAST_TRADE,4,2000,ALL,ALL,NO_EXPANSION,7,0.0660377358490566,106
LAST_TRADE,4,2000,ALL,ALL,AMBIGUOUS,5,0.04716981132075472,106
LAST_TRADE,4,5000,ALL,ALL,CONTINUATION,46,0.4339622641509434,106
LAST_TRADE,4,5000,ALL,ALL,REVERSAL,55,0.5188679245283019,106
LAST_TRADE,4,5000,ALL,ALL,NO_EXPANSION,0,0.0,106
LAST_TRADE,4,5000,ALL,ALL,AMBIGUOUS,5,0.04716981132075472,106
LAST_TRADE,4,10000,ALL,ALL,CONTINUATION,46,0.4339622641509434,106
LAST_TRADE,4,10000,ALL,ALL,REVERSAL,55,0.5188679245283019,106
LAST_TRADE,4,10000,ALL,ALL,NO_EXPANSION,0,0.0,106
LAST_TRADE,4,10000,ALL,ALL,AMBIGUOUS,5,0.04716981132075472,106
LAST_TRADE,8,500,ALL,ALL,CONTINUATION,16,0.1509433962264151,106
