threshold_ticks,from_horizon_ms,to_horizon_ms,from_regime,to_regime,count,share
4,500,1000,AMBIGUOUS,AMBIGUOUS,5,0.04716981132075472
4,500,1000,CONTINUATION,CONTINUATION,36,0.33962264150943394
4,500,1000,NO_EXPANSION,CONTINUATION,9,0.08490566037735849
4,500,1000,NO_EXPANSION,NO_EXPANSION,14,0.1320754716981132
4,500,1000,NO_EXPANSION,REVERSAL,7,0.0660377358490566
4,500,1000,REVERSAL,AMBIGUOUS,1,0.009433962264150943
4,500,1000,REVERSAL,REVERSAL,34,0.32075471698113206
4,1000,2000,AMBIGUOUS,AMBIGUOUS,6,0.05660377358490566
4,1000,2000,CONTINUATION,CONTINUATION,45,0.42452830188679247
4,1000,2000,NO_EXPANSION,CONTINUATION,3,0.02830188679245283
4,1000,2000,NO_EXPANSION,NO_EXPANSION,6,0.05660377358490566
4,1000,2000,NO_EXPANSION,REVERSAL,5,0.04716981132075472
4,1000,2000,REVERSAL,REVERSAL,41,0.3867924528301887
4,2000,5000,AMBIGUOUS,AMBIGUOUS,6,0.05660377358490566
4,2000,5000,CONTINUATION,CONTINUATION,48,0.4528301886792453
4,2000,5000,NO_EXPANSION,CONTINUATION,4,0.03773584905660377
4,2000,5000,NO_EXPANSION,REVERSAL,2,0.018867924528301886
4,2000,5000,REVERSAL,REVERSAL,46,0.4339622641509434
4,5000,10000,AMBIGUOUS,AMBIGUOUS,6,0.05660377358490566
4,5000,10000,CONTINUATION,CONTINUATION,52,0.49056603773584906
4,5000,10000,REVERSAL,REVERSAL,48,0.4528301886792453
8,500,1000,AMBIGUOUS,AMBIGUOUS,1,0.009433962264150943
8,500,1000,CONTINUATION,CONTINUATION,15,0.14150943396226415
8,500,1000,NO_EXPANSION,CONTINUATION,9,0.08490566037735849
8,500,1000,NO_EXPANSION,NO_EXPANSION,57,0.5377358490566038
8,500,1000,NO_EXPANSION,REVERSAL,16,0.1509433962264151
8,500,1000,REVERSAL,REVERSAL,8,0.07547169811320754
8,1000,2000,AMBIGUOUS,AMBIGUOUS,1,0.009433962264150943
8,1000,2000,CONTINUATION,CONTINUATION,24,0.22641509433962265
8,1000,2000,NO_EXPANSION,CONTINUATION,9,0.08490566037735849
8,1000,2000,NO_EXPANSION,NO_EXPANSION,42,0.39622641509433965
8,1000,2000,NO_EXPANSION,REVERSAL,6,0.05660377358490566
8,1000,2000,REVERSAL,REVERSAL,24,0.22641509433962265
8,2000,5000,AMBIGUOUS,AMBIGUOUS,1,0.009433962264150943
8,2000,5000,CONTINUATION,CONTINUATION,33,0.3113207547169811
8,2000,5000,NO_EXPANSION,CONTINUATION,13,0.12264150943396226
8,2000,5000,NO_EXPANSION,NO_EXPANSION,23,0.2169811320754717
8,2000,5000,NO_EXPANSION,REVERSAL,6,0.05660377358490566
8,2000,5000,REVERSAL,REVERSAL,30,0.2830188679245283
8,5000,10000,AMBIGUOUS,AMBIGUOUS,1,0.009433962264150943
8,5000,10000,CONTINUATION,CONTINUATION,46,0.4339622641509434
8,5000,10000,NO_EXPANSION,CONTINUATION,6,0.05660377358490566
8,5000,10000,NO_EXPANSION,NO_EXPANSION,6,0.05660377358490566
8,5000,10000,NO_EXPANSION,REVERSAL,11,0.10377358490566038
8,5000,10000,REVERSAL,REVERSAL,36,0.33962264150943394
12,500,1000,CONTINUATION,CONTINUATION,4,0.03773584905660377
12,500,1000,NO_EXPANSION,CONTINUATION,5,0.04716981132075472
12,500,1000,NO_EXPANSION,NO_EXPANSION,85,0.8018867924528302
12,500,1000,NO_EXPANSION,REVERSAL,8,0.07547169811320754
12,500,1000,REVERSAL,REVERSAL,4,0.03773584905660377
12,1000,2000,CONTINUATION,CONTINUATION,9,0.08490566037735849
12,1000,2000,NO_EXPANSION,CONTINUATION,14,0.1320754716981132
12,1000,2000,NO_EXPANSION,NO_EXPANSION,69,0.6509433962264151
12,1000,2000,NO_EXPANSION,REVERSAL,2,0.018867924528301886
12,1000,2000,REVERSAL,REVERSAL,12,0.11320754716981132
12,2000,5000,CONTINUATION,CONTINUATION,23,0.2169811320754717
12,2000,5000,NO_EXPANSION,CONTINUATION,11,0.10377358490566038
12,2000,5000,NO_EXPANSION,NO_EXPANSION,47,0.44339622641509435
12,2000,5000,NO_EXPANSION,REVERSAL,11,0.10377358490566038
12,2000,5000,REVERSAL,REVERSAL,14,0.1320754716981132
12,5000,10000,CONTINUATION,CONTINUATION,34,0.32075471698113206
12,5000,10000,NO_EXPANSION,CONTINUATION,15,0.14150943396226415
12,5000,10000,NO_EXPANSION,NO_EXPANSION,27,0.25471698113207547
12,5000,10000,NO_EXPANSION,REVERSAL,5,0.04716981132075472
12,5000,10000,REVERSAL,REVERSAL,25,0.2358490566037736
16,500,1000,CONTINUATION,CONTINUATION,2,0.018867924528301886
16,500,1000,NO_EXPANSION,CONTINUATION,2,0.018867924528301886
16,500,1000,NO_EXPANSION,NO_EXPANSION,100,0.9433962264150944
16,500,1000,NO_EXPANSION,REVERSAL,2,0.018867924528301886
16,1000,2000,CONTINUATION,CONTINUATION,4,0.03773584905660377
16,1000,2000,NO_EXPANSION,CONTINUATION,11,0.10377358490566038
16,1000,2000,NO_EXPANSION,NO_EXPANSION,81,0.7641509433962265
16,1000,2000,NO_EXPANSION,REVERSAL,8,0.07547169811320754
16,1000,2000,REVERSAL,REVERSAL,2,0.018867924528301886
16,2000,5000,CONTINUATION,CONTINUATION,15,0.14150943396226415
16,2000,5000,NO_EXPANSION,CONTINUATION,12,0.11320754716981132
16,2000,5000,NO_EXPANSION,NO_EXPANSION,60,0.5660377358490566
16,2000,5000,NO_EXPANSION,REVERSAL,9,0.08490566037735849
