threshold_ticks,sensitivity_type,base_value,perturbed_value,n,agreement
4,AMBIGUITY_WINDOW,250,200,106,0.9811320754716981
4,AMBIGUITY_WINDOW,250,300,106,0.9905660377358491
4,AMBIGUITY_WINDOW,250,MIN,106,0.9811320754716981
4,THRESHOLD,4,3,106,0.8773584905660378
4,THRESHOLD,4,5,106,0.8773584905660378
4,THRESHOLD,4,MIN,106,0.8773584905660378
4,HORIZON,5000,4500,106,1.0
4,HORIZON,5000,5500,106,1.0
4,HORIZON,5000,MIN,106,1.0
8,AMBIGUITY_WINDOW,250,200,106,1.0
8,AMBIGUITY_WINDOW,250,300,106,1.0
8,AMBIGUITY_WINDOW,250,MIN,106,1.0
8,THRESHOLD,8,7,106,0.8679245283018868
8,THRESHOLD,8,9,106,0.9056603773584906
8,THRESHOLD,8,MIN,106,0.8679245283018868
8,HORIZON,5000,4500,106,0.9811320754716981
8,HORIZON,5000,5500,106,0.9528301886792453
8,HORIZON,5000,MIN,106,0.9528301886792453
12,AMBIGUITY_WINDOW,250,200,106,1.0
12,AMBIGUITY_WINDOW,250,300,106,1.0
12,AMBIGUITY_WINDOW,250,MIN,106,1.0
12,THRESHOLD,12,11,106,0.9528301886792453
12,THRESHOLD,12,13,106,0.9811320754716981
12,THRESHOLD,12,MIN,106,0.9528301886792453
12,HORIZON,5000,4500,106,0.9622641509433962
12,HORIZON,5000,5500,106,0.9716981132075472
12,HORIZON,5000,MIN,106,0.9622641509433962
16,AMBIGUITY_WINDOW,250,200,106,1.0
16,AMBIGUITY_WINDOW,250,300,106,1.0
16,AMBIGUITY_WINDOW,250,MIN,106,1.0
16,THRESHOLD,16,15,106,0.9622641509433962
16,THRESHOLD,16,17,106,0.9811320754716981
16,THRESHOLD,16,MIN,106,0.9622641509433962
16,HORIZON,5000,4500,106,0.9905660377358491
16,HORIZON,5000,5500,106,0.9622641509433962
16,HORIZON,5000,MIN,106,0.9622641509433962
