session_date,eligible_after_trade_qc,minutes_since_depth_load_start,snapshot_ticks,book_status,depth_age_ms,bid_published_level_count,ask_published_level_count,bid_recently_updated_level_count_250ms,ask_recently_updated_level_count_250ms
2022-07-27,True,0.0,637945251000000000,NO_PRIOR_DEPTH,,0,0,0,0
2022-07-27,True,1.0,637945251600000000,VALID,74.0,123,128,1,7
2022-07-27,True,2.0,637945252200000000,VALID,11.0,164,170,5,2
2022-07-27,True,3.0,637945252800000000,VALID,32.0,197,182,3,4
2022-07-27,True,4.0,637945253400000000,VALID,74.0,201,207,2,2
2022-07-27,True,5.0,637945254000000000,VALID,1.0,255,209,21,22
2022-07-27,True,6.0,637945254600000000,VALID,0.0,360,385,39,55
2022-07-27,True,7.0,637945255200000000,VALID,1.0,368,419,23,41
2022-07-27,True,8.0,637945255800000000,VALID,11.0,426,464,15,16
2022-07-27,True,9.0,637945256400000000,VALID,1.0,424,483,65,75
2022-07-27,True,10.0,637945257000000000,VALID,0.0,453,466,27,31
2022-07-27,True,11.0,637945257600000000,VALID,5.0,477,451,23,34
2022-07-27,True,12.0,637945258200000000,VALID,0.0,515,444,50,46
2022-07-27,True,13.0,637945258800000000,VALID,0.0,554,476,52,56
2022-07-27,True,14.0,637945259400000000,VALID,0.0,576,475,17,25
2022-07-27,True,15.0,637945260000000000,VALID,0.0,596,476,20,9
2022-07-28,True,0.0,637946115000000000,NO_PRIOR_DEPTH,,0,0,0,0
2022-07-28,True,1.0,637946115600000000,VALID,15.0,173,159,5,3
2022-07-28,True,2.0,637946116200000000,VALID,11.0,206,203,19,17
2022-07-28,True,3.0,637946116800000000,VALID,7.0,259,207,46,14
2022-07-28,True,4.0,637946117400000000,VALID,31.0,343,277,3,2
2022-07-28,True,5.0,637946118000000000,VALID,4.0,332,320,43,29
2022-07-28,True,6.0,637946118600000000,VALID,0.0,484,377,59,47
2022-07-28,True,7.0,637946119200000000,VALID,4.0,523,426,14,10
2022-07-28,True,8.0,637946119800000000,VALID,0.0,526,449,23,16
