session_date,status,eligible_after_trade_qc,trade_qc_exclusion_reason,trade_source,depth_source,liquidity_bursts,valid_references,invalid_references,elapsed_seconds,trade_timestamp_policy,trade_raw_timestamp_backtracks,trade_largest_raw_backtrack_ms,trade_timestamps_repaired,trade_effective_timestamp_backtracks,depth_policy,depth_raw_rows,depth_accepted_rows,depth_clamped_rows,depth_stale_rows_dropped,depth_largest_lateness_ms
2022-07-27,PASS_ELIGIBLE,True,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_07_26\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_07_26\marketdepth.dat,31.0,31.0,0.0,56.99518470000476,FILE_ORDER_CUMMAX,0.0,0.0,0.0,0.0,FILE_ORDER_WATERMARK,8817153,8817153,51,0,2.0
2022-07-28,PASS_ELIGIBLE,True,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_07_27\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_07_27\marketdepth.dat,18.0,17.0,1.0,54.066690599982394,FILE_ORDER_CUMMAX,0.0,0.0,0.0,0.0,FILE_ORDER_WATERMARK,9356003,9356003,17,0,1.0
2022-07-29,PASS_ELIGIBLE,True,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_07_28\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_07_28\marketdepth.dat,24.0,23.0,1.0,51.3707098000159,FILE_ORDER_CUMMAX,0.0,0.0,0.0,0.0,FILE_ORDER_WATERMARK,8656369,8656119,12,250,22916475.0
2022-08-01,PASS_ELIGIBLE,True,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_07_31\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_07_31\marketdepth.dat,25.0,24.0,1.0,55.06484810000984,FILE_ORDER_CUMMAX,0.0,0.0,0.0,0.0,FILE_ORDER_WATERMARK,10621842,10621842,8,0,1.0
2022-08-02,PASS_ELIGIBLE,True,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_01\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_01\marketdepth.dat,31.0,30.0,1.0,58.31858039999497,FILE_ORDER_CUMMAX,1.0,2.0,1.0,0.0,FILE_ORDER_WATERMARK,11472553,11472553,69,0,2.0
2022-08-03,PASS_ELIGIBLE,True,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_02\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_02\marketdepth.dat,28.0,26.0,2.0,49.38524930001586,FILE_ORDER_CUMMAX,0.0,0.0,0.0,0.0,FILE_ORDER_WATERMARK,9293195,9293195,18,0,1.0
2022-08-04,PASS_ELIGIBLE,True,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_03\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_03\marketdepth.dat,13.0,12.0,1.0,51.887182400008896,FILE_ORDER_CUMMAX,0.0,0.0,0.0,0.0,FILE_ORDER_WATERMARK,9446490,9446490,14,0,1.0
2022-08-05,PASS_ELIGIBLE,True,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_04\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_04\marketdepth.dat,14.0,14.0,0.0,54.84507350000786,FILE_ORDER_CUMMAX,0.0,0.0,0.0,0.0,FILE_ORDER_WATERMARK,10320857,10320607,22,250,16189322.0
2022-08-08,PASS_ELIGIBLE,True,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_07\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_07\marketdepth.dat,32.0,32.0,0.0,55.03519209998194,FILE_ORDER_CUMMAX,0.0,0.0,0.0,0.0,FILE_ORDER_WATERMARK,10797527,10797527,25,0,1.0
2022-08-09,PASS_ELIGIBLE,True,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_08\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_08\marketdepth.dat,14.0,14.0,0.0,53.57281419998617,FILE_ORDER_CUMMAX,1.0,1.0,1.0,0.0,FILE_ORDER_WATERMARK,9900584,9900584,61,0,6.0
2022-08-10,PASS_ELIGIBLE,True,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_09\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_09\marketdepth.dat,30.0,29.0,1.0,48.936598300002515,FILE_ORDER_CUMMAX,0.0,0.0,0.0,0.0,FILE_ORDER_WATERMARK,8920969,8920969,44,0,2.0
2022-08-11,PASS_ELIGIBLE,True,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_10\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_10\marketdepth.dat,16.0,16.0,0.0,55.29924399999436,FILE_ORDER_CUMMAX,0.0,0.0,0.0,0.0,FILE_ORDER_WATERMARK,10458604,10458604,64,0,2.0
2022-08-12,PASS_ELIGIBLE,True,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_11\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_11\marketdepth.dat,24.0,23.0,1.0,42.36356249998789,FILE_ORDER_CUMMAX,0.0,0.0,0.0,0.0,FILE_ORDER_WATERMARK,7541713,7541463,696,250,3892577.0
2022-08-15,PASS_ELIGIBLE,True,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_14\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_14\marketdepth.dat,20.0,20.0,0.0,37.45445799999288,FILE_ORDER_CUMMAX,0.0,0.0,0.0,0.0,FILE_ORDER_WATERMARK,7015335,7015335,1,0,1.0
2022-08-16,PASS_ELIGIBLE,True,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_15\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_15\marketdepth.dat,24.0,24.0,0.0,46.12881829999969,FILE_ORDER_CUMMAX,0.0,0.0,0.0,0.0,FILE_ORDER_WATERMARK,8584743,8584743,15,0,1.0
2022-08-17,PASS_ELIGIBLE,True,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_16\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_16\marketdepth.dat,28.0,27.0,1.0,57.48977830001968,FILE_ORDER_CUMMAX,0.0,0.0,0.0,0.0,FILE_ORDER_WATERMARK,10193431,10193431,8,0,1.0
2022-08-18,PASS_ELIGIBLE,True,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_17\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_17\marketdepth.dat,13.0,13.0,0.0,45.6478268999781,FILE_ORDER_CUMMAX,0.0,0.0,0.0,0.0,FILE_ORDER_WATERMARK,8372729,8372729,10,0,1.0
2022-08-19,PASS_ELIGIBLE,True,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_18\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_18\marketdepth.dat,26.0,25.0,1.0,44.348809999995865,FILE_ORDER_CUMMAX,1.0,1.0002,1.0,0.0,FILE_ORDER_WATERMARK,8034079,8034079,3,0,1.0
2022-08-22,PASS_ELIGIBLE,True,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_21\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_21\marketdepth.dat,24.0,24.0,0.0,40.95323700000881,FILE_ORDER_CUMMAX,0.0,0.0,0.0,0.0,FILE_ORDER_WATERMARK,7864125,7864125,30,0,1.0
2022-08-23,PASS_ELIGIBLE,True,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_22\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_22\marketdepth.dat,26.0,24.0,2.0,49.80453710001893,FILE_ORDER_CUMMAX,0.0,0.0,0.0,0.0,FILE_ORDER_WATERMARK,9426241,9426241,30,0,2.0
2022-08-24,PASS_ELIGIBLE,True,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_23\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_23\marketdepth.dat,15.0,15.0,0.0,42.842819499986945,FILE_ORDER_CUMMAX,1.0,1.0,1.0,0.0,FILE_ORDER_WATERMARK,7415865,7415865,13,0,1.0
2022-08-25,PASS_ELIGIBLE,True,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_24\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_24\marketdepth.dat,23.0,23.0,0.0,47.208617800002685,FILE_ORDER_CUMMAX,0.0,0.0,0.0,0.0,FILE_ORDER_WATERMARK,8143956,8143956,31,0,1.0
2022-08-26,PASS_ELIGIBLE,True,,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_25\trades.dat,C:\Users\k_99_\AppData\Roaming\ATAS\Cache_v2\NQ@CME_Ind\2022_08_25\marketdepth.dat,48.0,44.0,4.0,61.55957219999982,FILE_ORDER_CUMMAX,1.0,1.0002,1.0,0.0,FILE_ORDER_WATERMARK,11405727,11405477,34,250,20892714.0
