lb_id,session_date,side,source_second_ticks,time_since_previous_any_ms,time_since_previous_same_side_ms,time_since_previous_opposite_side_ms,previous_lb_direction,previous_lb_side,overlap_any_1s,overlap_any_5s,overlap_any_30s
LB_20220727_093600_BUY_0001,2022-07-27,BUY,637945257600000000,,,,,,False,False,False
LB_20220727_093700_BUY_0002,2022-07-27,BUY,637945258200000000,60000.0,60000.0,,1.0,BUY,False,False,False
LB_20220727_093800_BUY_0003,2022-07-27,BUY,637945258800000000,60000.0,60000.0,,1.0,BUY,False,False,False
LB_20220727_093805_SELL_0004,2022-07-27,SELL,637945258850000000,5000.0,,5000.0,1.0,BUY,False,True,True
LB_20220727_093900_BUY_0005,2022-07-27,BUY,637945259400000000,55000.0,60000.0,55000.0,-1.0,SELL,False,False,False
LB_20220727_094500_BUY_0006,2022-07-27,BUY,637945263000000000,360000.0,360000.0,415000.0,1.0,BUY,False,False,False
LB_20220727_094732_BUY_0007,2022-07-27,BUY,637945264520000000,152000.0,152000.0,567000.0,1.0,BUY,False,False,False
LB_20220727_100501_BUY_0008,2022-07-27,BUY,637945275010000000,1049000.0,1049000.0,1616000.0,1.0,BUY,False,False,False
LB_20220727_100506_BUY_0009,2022-07-27,BUY,637945275060000000,5000.0,5000.0,1621000.0,1.0,BUY,False,True,True
LB_20220727_100604_SELL_0010,2022-07-27,SELL,637945275640000000,58000.0,1679000.0,58000.0,1.0,BUY,False,False,False
LB_20220727_110124_BUY_0011,2022-07-27,BUY,637945308840000000,3320000.0,3378000.0,3320000.0,-1.0,SELL,False,False,False
LB_20220727_120346_BUY_0012,2022-07-27,BUY,637945346260000000,3742000.0,3742000.0,7062000.0,1.0,BUY,False,False,False
LB_20220727_122619_BUY_0013,2022-07-27,BUY,637945359790000000,1353000.0,1353000.0,8415000.0,1.0,BUY,False,False,False
LB_20220727_140331_BUY_0014,2022-07-27,BUY,637945418110000000,5832000.0,5832000.0,14247000.0,1.0,BUY,False,False,False
LB_20220727_140443_SELL_0015,2022-07-27,SELL,637945418830000000,72000.0,14319000.0,72000.0,1.0,BUY,False,False,False
LB_20220727_140914_BUY_0016,2022-07-27,BUY,637945421540000000,271000.0,343000.0,271000.0,-1.0,SELL,False,False,False
LB_20220727_142201_SELL_0017,2022-07-27,SELL,637945429210000000,767000.0,1038000.0,767000.0,1.0,BUY,False,False,False
LB_20220727_143545_BUY_0018,2022-07-27,BUY,637945437450000000,824000.0,1591000.0,824000.0,-1.0,SELL,False,False,False
LB_20220727_143758_SELL_0019,2022-07-27,SELL,637945438780000000,133000.0,957000.0,133000.0,1.0,BUY,False,False,False
LB_20220727_143922_BUY_0020,2022-07-27,BUY,637945439620000000,84000.0,217000.0,84000.0,-1.0,SELL,False,False,False
LB_20220727_144000_BUY_0021,2022-07-27,BUY,637945440000000000,38000.0,38000.0,122000.0,1.0,BUY,False,False,False
LB_20220727_145232_BUY_0022,2022-07-27,BUY,637945447520000000,752000.0,752000.0,874000.0,1.0,BUY,False,False,False
LB_20220727_145903_SELL_0023,2022-07-27,SELL,637945451430000000,391000.0,1265000.0,391000.0,1.0,BUY,False,False,False
LB_20220727_151846_SELL_0024,2022-07-27,SELL,637945463260000000,1183000.0,1183000.0,1574000.0,-1.0,SELL,False,False,False
LB_20220727_152036_SELL_0025,2022-07-27,SELL,637945464360000000,110000.0,110000.0,1684000.0,-1.0,SELL,False,False,False
LB_20220727_152141_BUY_0026,2022-07-27,BUY,637945465010000000,65000.0,1749000.0,65000.0,-1.0,SELL,False,False,False
LB_20220727_152424_BUY_0027,2022-07-27,BUY,637945466640000000,163000.0,163000.0,228000.0,1.0,BUY,False,False,False
LB_20220727_152717_BUY_0028,2022-07-27,BUY,637945468370000000,173000.0,173000.0,401000.0,1.0,BUY,False,False,False
LB_20220727_152819_BUY_0029,2022-07-27,BUY,637945468990000000,62000.0,62000.0,463000.0,1.0,BUY,False,False,False
LB_20220727_153526_SELL_0030,2022-07-27,SELL,637945473260000000,427000.0,890000.0,427000.0,1.0,BUY,False,False,False
LB_20220727_155900_SELL_0031,2022-07-27,SELL,637945487400000000,1414000.0,1414000.0,1841000.0,-1.0,SELL,False,False,False
LB_20220728_093500_BUY_0001,2022-07-28,BUY,637946121000000000,,,,,,False,False,False
LB_20220728_094557_SELL_0002,2022-07-28,SELL,637946127570000000,657000.0,,657000.0,1.0,BUY,False,False,False
LB_20220728_100132_BUY_0003,2022-07-28,BUY,637946136920000000,935000.0,1592000.0,935000.0,-1.0,SELL,False,False,False
LB_20220728_100834_SELL_0004,2022-07-28,SELL,637946141140000000,422000.0,1357000.0,422000.0,1.0,BUY,False,False,False
LB_20220728_103220_SELL_0005,2022-07-28,SELL,637946155400000000,1426000.0,1426000.0,1848000.0,-1.0,SELL,False,False,False
