lb_id,session_date,side,direction,source_second_ticks,publish_ticks,book_valid_fraction_pre_1s,book_fresh_valid_fraction_pre_1s,book_fresh_valid_full_pre_1s,book_valid_fraction_pre_5s,book_fresh_valid_fraction_pre_5s,book_fresh_valid_full_pre_5s,book_valid_fraction_pre_30s,book_fresh_valid_fraction_pre_30s,book_fresh_valid_full_pre_30s
LB_20220727_093600_BUY_0001,2022-07-27,BUY,1,637945257600000000,637945257610100000,1.0,1.0,True,1.0,1.0,True,0.9996333333333334,0.9996333333333334,False
LB_20220727_093700_BUY_0002,2022-07-27,BUY,1,637945258200000000,637945258210200000,1.0,1.0,True,1.0,1.0,True,0.9999,0.9999,False
LB_20220727_093800_BUY_0003,2022-07-27,BUY,1,637945258800000000,637945258810200000,1.0,1.0,True,0.9998,0.9998,False,0.9995333333333334,0.9995333333333334,False
LB_20220727_093805_SELL_0004,2022-07-27,SELL,-1,637945258850000000,637945258860000000,1.0,1.0,True,0.998,0.998,False,0.9994333333333333,0.9994333333333333,False
LB_20220727_093900_BUY_0005,2022-07-27,BUY,1,637945259400000000,637945259410090000,1.0,1.0,True,1.0,1.0,True,0.9998,0.9998,False
LB_20220727_094500_BUY_0006,2022-07-27,BUY,1,637945263000000000,637945263010320000,1.0,1.0,True,1.0,1.0,True,0.9998666666666667,0.9998666666666667,False
LB_20220727_094732_BUY_0007,2022-07-27,BUY,1,637945264520000000,637945264530120000,1.0,1.0,True,1.0,1.0,True,0.9999333333333333,0.9999333333333333,False
LB_20220727_100501_BUY_0008,2022-07-27,BUY,1,637945275010000000,637945275020010000,0.999,0.999,False,0.9994,0.9994,False,0.9999,0.9999,False
LB_20220727_100506_BUY_0009,2022-07-27,BUY,1,637945275060000000,637945275070160000,1.0,1.0,True,0.9994,0.9994,False,0.9998,0.9998,False
LB_20220727_100604_SELL_0010,2022-07-27,SELL,-1,637945275640000000,637945275650030000,1.0,1.0,True,1.0,1.0,True,0.9999666666666667,0.9999666666666667,False
LB_20220727_110124_BUY_0011,2022-07-27,BUY,1,637945308840000000,637945308850380000,1.0,1.0,True,1.0,1.0,True,1.0,1.0,True
LB_20220727_120346_BUY_0012,2022-07-27,BUY,1,637945346260000000,637945346270000000,1.0,0.999,False,1.0,0.9998,False,1.0,0.9966,False
LB_20220727_122619_BUY_0013,2022-07-27,BUY,1,637945359790000000,637945359801000000,1.0,1.0,True,1.0,1.0,True,1.0,0.9982,False
LB_20220727_140331_BUY_0014,2022-07-27,BUY,1,637945418110000000,637945418120200000,1.0,1.0,True,0.9992,0.9992,False,0.9994,0.9994,False
LB_20220727_140443_SELL_0015,2022-07-27,SELL,-1,637945418830000000,637945418840060000,1.0,1.0,True,0.9998,0.9998,False,0.9990666666666667,0.9990666666666667,False
LB_20220727_140914_BUY_0016,2022-07-27,BUY,1,637945421540000000,637945421550180000,1.0,1.0,True,1.0,1.0,True,0.9988333333333334,0.9975666666666667,False
LB_20220727_142201_SELL_0017,2022-07-27,SELL,-1,637945429210000000,637945429220000000,1.0,1.0,True,1.0,1.0,True,0.9999666666666667,0.9993,False
LB_20220727_143545_BUY_0018,2022-07-27,BUY,1,637945437450000000,637945437460140000,0.603,0.603,False,0.3346,0.3346,False,0.5631,0.5631,False
LB_20220727_143758_SELL_0019,2022-07-27,SELL,-1,637945438780000000,637945438790010000,0.997,0.997,False,0.9954,0.9954,False,0.9972333333333333,0.9972333333333333,False
LB_20220727_143922_BUY_0020,2022-07-27,BUY,1,637945439620000000,637945439630030000,1.0,1.0,True,0.999,0.999,False,0.9992,0.9992,False
LB_20220727_144000_BUY_0021,2022-07-27,BUY,1,637945440000000000,637945440010160000,1.0,1.0,True,0.9994,0.9994,False,0.9984333333333333,0.9984333333333333,False
LB_20220727_145232_BUY_0022,2022-07-27,BUY,1,637945447520000000,637945447530130000,1.0,1.0,True,1.0,1.0,True,0.9993,0.9993,False
LB_20220727_145903_SELL_0023,2022-07-27,SELL,-1,637945451430000000,637945451440130000,1.0,1.0,True,1.0,1.0,True,1.0,1.0,True
